DateTime,Panasonic_Count
0000-00-00,3109
2000-00-00,7
2004-00-00,5
2005-00-00,1080
2006-00-00,1266
2007-00-00,3126
2008-00-00,4273
2009-00-00,5112
2010-00-00,5805
2011-00-00,4762
2012-00-00,7026
2013-00-00,10799
2014-00-00,2567
2015-00-00,338
2017-00-00,1
2018-00-00,1
2019-00-00,2
2043-00-00,1
2048-00-00,4
2085-00-00,1
