DateTime,Canon_Count
2000-00-00,485
2001-00-00,287
2002-00-00,1336
2003-00-00,3816
2004-00-00,8167
2005-00-00,17514
2006-00-00,24564
2007-00-00,37407
2008-00-00,46659
2009-00-00,45809
2010-00-00,41447
2011-00-00,30434
2012-00-00,26362
2013-00-00,33343
2014-00-00,10951
2015-00-00,1402
