ifd0_make#ifd0_model#ifd1_bit#Count
1#1#0000000000000000000#60
1#1#0001000001101000000#25
1#1#0001000001101110000#1340
1#2#0000000000000000000#51
1#2#0000000001101000000#2
1#2#0001000001101000000#26
1#2#0001000001101110000#1905
1#2#1101000001101000000#46
1#169#0000000000000110000#7
1#1339#0001000000000110000#121
1#1998#0001000000000110000#16
1#2318#0001000001101110010#150
2#3#0001000001101110000#9
3#4#0000000000000000000#6095
3#4#0001000001101110000#17087
3#13#0000000000000000000#100
3#13#0001000001101110000#3352
3#15#0000000000000000000#5819
3#15#0001000001101110000#19998
3#31#0000000000000000000#6952
3#31#0000000001101000000#22
3#31#0001000001101000000#1
3#31#0001000001101110000#13341
3#32#0001000001101110000#1960
3#34#0000000000000000000#198
3#34#0001000001101110000#8356
3#63#0000000000000000000#379
3#63#0001000001101110000#1820
3#87#0001000001101110000#1361
3#95#0000000000000000000#1967
3#95#0001000000001110000#1806
3#95#0001000001101110000#4102
3#137#0000000000000000000#80
3#137#0001000001101110000#2754
3#176#0000000000000000000#867
3#176#0001000001101110000#5880
3#460#0000000000000000000#50
3#460#0001000001101110000#1354
3#598#0000000000000000000#1
3#598#0001000001101110000#78
3#1082#0000000000000000000#257
3#1082#0001000001101110000#443
3#1433#0000000000000000000#16
3#1433#0001000001101110000#3
3#1636#0001000001101110000#113
3#2173#0001000000001110000#104
3#3617#0001000001101110000#122
3#3796#0001000001101110000#2
3#4037#0001000001101110000#14
3#4150#0001000001101110000#1
3#4177#0001000001101110000#16
4#5#0001000001101110010#165
4#6#0000000000000000000#9
4#6#0001000001101110000#15
4#6#0001000001101110010#2315
4#45#0000000000000000000#2
4#45#0001000001101110000#6
4#45#0001000001101110010#2345
4#46#0000000000000000000#38
4#46#0001000001101110000#1
4#46#0001000001101110010#1810
4#64#0000000000000000000#2
4#64#0001000001101110010#1142
4#94#0001000001101110000#1
4#94#0001000001101110010#745
4#103#0001000001101110000#4
4#103#0001000001101110010#2881
4#107#0001000001101110010#63
4#109#0001000001101110010#277
4#131#0001000001101110000#9
4#131#0001000001101110010#1421
4#141#0000000000000000000#11
4#141#0001000001101110010#421
4#175#0000000000000000000#28
4#175#0000000000001110000#1
4#175#0001000001101110000#2
4#175#0001000001101110010#1829
4#175#1100000000000000000#1
4#187#0001000001101110010#78
4#188#0001000001101110010#237
4#203#0000000000000000000#1
4#203#0001000001101110000#1
4#203#0001000001101110010#74
4#227#0001000001101110000#6
4#227#0001000001101110010#1106
4#253#0000000000000000000#155
4#253#0001000001101110010#151
4#261#0001000001101110010#19
4#266#0001000001101110010#718
4#267#0000000000000000000#4
4#267#0001000001101110000#8
4#267#0001000001101110010#406
4#268#0001000001101110000#149
4#268#0001000001101110010#867
4#269#0000000000000000000#1
4#269#0001000001101110000#7
4#269#0001000001101110010#2758
4#309#0000000000000000000#20
4#309#0001000000000110000#37
4#309#0001000001101110000#32
4#309#0001000001101110010#3950
4#310#0000000000000000000#8
4#310#0001000001101110000#91
4#310#0001000001101110010#4580
4#327#0000000000000000000#2
4#327#0000000000000000010#1
4#327#0001000001101110010#285
4#328#0000000000000000000#1
4#328#0001000001101110010#85
4#334#0000000000000000000#9
4#334#0001000001101110000#1
4#334#0001000001101110010#737
4#376#0000000000000000000#2
4#376#0000000000000000010#1
4#376#0001000001101110010#868
4#387#0001000001101110010#434
4#399#0001000001101110010#2
4#400#0001000001101110000#18
4#400#0001000001101110010#811
4#407#0001000001101110000#1
4#407#0001000001101110010#227
4#428#0001000001101110010#101
4#429#0001000001101110000#33
4#429#0001000001101110010#1116
4#453#0000000000000000000#1
4#453#0000000000000000010#24
4#453#0001000001101110000#2
4#453#0001000001101110010#343
4#454#0000000000000000010#5
4#454#0001000001101110000#2
4#454#0001000001101110010#1542
4#482#0000000000000000000#175
4#482#0001000001101110000#42
4#482#0001000001101110010#3122
4#504#0001000001101110010#198
4#506#0001000001101110010#50
4#507#0001000001101110010#95
4#508#0001000001101110000#8
4#516#0000000000000000000#1
4#516#0001000001101110000#414
4#516#0001000001101110010#1929
4#523#0001000001101110010#103
4#535#0001000001101110000#1
4#535#0001000001101110010#220
4#536#0001000001101110010#405
4#537#0001000001101110010#15
4#538#0001000001101110000#1
4#538#0001000001101110010#446
4#539#0001000001101110010#1209
4#557#0001000001101110000#1
4#557#0001000001101110010#604
4#558#0001000001101110010#239
4#559#0001000001101110010#411
4#560#0001000001101110010#313
4#585#0000000000000000000#5
4#585#0001000001101110010#1333
4#592#0001000001101110010#123
4#592#1101000000000110000#2
4#625#0000000000000000000#2
4#625#0001000001101110010#2965
4#631#0001000001101110000#2
4#631#0001000001101110010#795
4#632#0001000001101110010#29
4#636#0000000000000000000#150
4#636#0001000001101110000#79
4#639#0001000001101110010#385
4#647#0001000001101110000#31
4#681#0000000000000000000#4
4#681#0001000001101110010#851
4#692#0000000000000000000#24
4#692#0001000001101110000#2
4#692#0001000001101110010#914
4#693#0001000001101110000#4
4#693#0001000001101110010#111
4#705#0000000000000000000#3
4#705#0000000000001110000#124
4#705#0001000001101110000#9
4#705#0001000001101110010#1117
4#705#1100000000000000000#4
4#707#0001000001101110010#368
4#726#0001000001101110010#1377
4#774#0001000001101110010#256
4#780#0000000000000000000#14
4#780#0001000001101110010#1544
4#830#0001000001101110010#56
4#865#0000000000000000000#24
4#865#0001000001101110000#1
4#865#0001000001101110010#1691
4#868#0001000001101110010#85
4#884#0000000000000000000#88
4#884#0001000001101110010#450
4#899#0000000000000000000#10
4#899#0001000000000110000#1
4#899#0001000001101110000#1
4#899#0001000001101110010#415
4#901#0000000000000000000#1
4#901#0001000001101110010#785
4#907#0001000001101110010#607
4#912#0001000001101110010#211
4#917#0001000001101110010#7
4#921#0001000001101110010#287
4#936#0001000001101110010#74
4#971#0000000000000000000#2
4#971#0001000001101110010#869
4#984#0000000000000000000#11
4#984#0001000000000110000#7
4#984#0001000001101000010#1
4#984#0001000001101110000#5
4#984#0001000001101110010#913
4#985#0001000001101110010#150
4#988#0001000001101110010#151
4#998#0001000001101110010#593
4#999#0001000001101110010#181
4#1007#0001000001101110010#80
4#1013#0000000000000000000#9
4#1013#0001000001101110010#17
4#1019#0001000001101110000#1
4#1019#0001000001101110010#412
4#1030#0000000000000000000#100
4#1030#0001000001101110010#298
4#1044#0000000000000000000#2
4#1044#0001000001101110000#2
4#1044#0001000001101110010#423
4#1060#0000000000000000000#2
4#1060#0001000001101110000#7
4#1060#0001000001101110010#983
4#1066#0000000000000000000#73
4#1066#0001000000000110000#8
4#1066#0001000001101110010#2010
4#1086#0001000001101110010#125
4#1113#0001000001101110010#242
4#1114#0001000001101110010#42
4#1117#0000000000000000000#5
4#1117#0000000000000000010#1
4#1117#0001000000000110000#1
4#1117#0001000001101110010#643
4#1141#0001000001101110010#147
4#1172#0001000001101110010#92
4#1172#1111111111111000000#4
4#1196#0001000001101110010#646
4#1260#0000000000000000000#3
4#1260#0001000001101110000#7
4#1260#0001000001101110010#629
4#1260#1111111111101110100#1
4#1264#0001000001101110010#114
4#1264#1101000000000110000#7
4#1266#0001000001101110010#393
4#1295#0000000000000000000#1
4#1295#0001000001101110010#332
4#1296#0000000000000000000#1
4#1296#0001000001101110010#884
4#1308#0000000000000000000#4
4#1308#0001000001101110010#1409
4#1369#0000000000000000000#9
4#1423#0001000001101110000#1
4#1423#0001000001101110010#70
4#1424#0001000001101110010#1272
4#1426#0001000001101110010#548
4#1437#0001000001101110010#231
4#1441#0001000001101110000#1
4#1441#0001000001101110010#324
4#1450#0000000000000000000#4
4#1450#0001000001101110010#295
4#1457#0001000001101110010#8
4#1467#0001000001101110000#1
4#1467#0001000001101110010#581
4#1470#0000000000000000000#1
4#1470#0001000001101110010#169
4#1495#0001000001101110000#5
4#1495#0001000001101110010#1143
4#1499#0001000001101110010#34
4#1526#0001000001101110010#7
4#1553#0001000001101110010#326
4#1556#0001000001101110010#256
4#1563#0000000000000000000#11
4#1563#0001000000000110000#3
4#1563#0001000001101110010#533
4#1568#0001000001101110010#223
4#1599#0001000001101110010#24
4#1638#0001000001101110010#93
4#1692#0001000001101110010#166
4#1693#0001000001101110010#9
4#1694#0001000001101110010#176
4#1723#0001000001101110010#690
4#1726#0000000000000000000#2
4#1726#0001000001101110000#8
4#1726#0001000001101110010#1017
4#1769#0000000000000000000#1
4#1769#0000000000000000010#8
4#1769#0001000001101110010#106
4#1787#0001000001101110010#201
4#1821#0001000001101110010#277
4#1843#0001000001101110010#44
4#1850#0001000001101110010#211
4#1851#0001000001101110010#173
4#1855#0001000001101110010#257
4#1867#0001000001101110010#191
4#1868#0001000001101110010#523
4#1869#0001000001101110010#83
4#1883#0001000001101110010#14
4#1884#0001000001101110010#88
4#1903#0001000001101110010#316
4#1936#0001000001101110010#35
4#1955#0000000000000000000#28
4#1955#0001000001101110010#290
4#1962#0001000001101110010#160
4#1988#0000000000000000000#1
4#1988#0001000001101110010#160
4#2039#0001000001101110010#151
4#2084#0001000001101110010#21
4#2096#0000000000000000000#1
4#2096#0001000001101110010#207
4#2100#0000000000000000000#1
4#2100#0001000001101110010#191
4#2104#0001000001101110010#16
4#2106#0000000000000000010#25
4#2106#0001000001101110010#239
4#2107#0001000001101110010#40
4#2108#0000000000000000000#1
4#2108#0001000001101110010#35
4#2109#0000000000000110000#10
4#2109#0001000001101110010#264
4#2123#0001000001101110010#224
4#2159#0000000000000000000#7
4#2159#0001000001101110010#7
4#2165#0001000001101110010#161
4#2168#0001000001101110010#24
4#2183#0001000001101110010#53
4#2230#0001000000000110000#4
4#2230#0001000001101110010#234
4#2247#0001000001101110010#83
4#2248#0001000001101110010#14
4#2251#0000000000000000000#1
4#2251#0001000001101110010#24
4#2258#0001000001101110010#134
4#2298#0000000000000000000#2
4#2298#0001000001101110010#200
4#2302#0000000000000000000#6
4#2302#0001000001101110010#788
4#2306#0000000000000000000#1
4#2306#0001000001101110000#4
4#2306#0001000001101110010#1032
