ifd0_make#ifd0_model#ifdg_bit#Count
1#1#0000000000000000000000000000000#33
1#1#0000001000000000000000000000010#24
1#1#0000001000000000110000000000010#160
1#1#0010000000000000000000000001000#1
1#1#0110000000000000000000000001000#1
1#1#0110100000000000000000000001000#1
1#1#0111100010000000000000000001000#3
1#1#0111110010000000000000000001000#4
1#1#0111110010000000000000000001010#8
1#1#0111111010000000000000000000010#1
1#1#0111111010000000000000000001010#554
1#1#0111111010000000110000000000010#3
1#1#0111111010000000110000000001010#632
1#2#0000000000000000000000000000000#173
1#2#0000000000000000110000000000000#463
1#2#0111100000000000000000000000000#1
1#2#0111100010000000000000000000000#1
1#2#0111111010000000000000000001010#4
1#2#0111111010000000110000000000010#4
1#2#0111111010000000110000000001010#1333
1#2#1000000000000000110000000000000#1
1#2#1111111010000000110000000001010#50
1#169#0000000000000000000000000000000#6
1#169#0111100000000000000000000000000#1
1#1339#0000000000000000000000000000000#121
1#1998#0000000000000000000000000000000#16
1#2318#1000001000000000000000000000010#9
1#2318#1111111010000000000000000001010#141
2#3#0111111010000000110000000001010#9
3#4#0000000000000000000000000000000#4649
3#4#0111100000000000000000000000000#91
3#4#0111101000000000000000000000000#17
3#4#0111101000000000110000000000000#71
3#4#0111101000000000110000000000010#1
3#4#0111101000001100000000000000010#1
3#4#0111101000001100110000011000010#24
3#4#0111101010000000000000000000010#88
3#4#0111101010001100000000000000010#55
3#4#0111101010001111000000000000010#86
3#4#0111101010010000000000000000000#1
3#4#0111110010000000000000000000000#1
3#4#0111110010000000110000000000000#22
3#4#0111110110000000000000000000000#2
3#4#0111111010000000000000000000000#1656
3#4#0111111010000000000000000000010#27
3#4#0111111010000000110000000000000#14746
3#4#0111111010000000110000000000010#463
3#4#0111111010001100000000000000010#82
3#4#0111111010001100110000011000010#1095
3#4#1010111010000000110000000000000#2
3#4#1111110010000000110000000000000#2
3#13#0000000000000000000000000000000#367
3#13#0111101000001100000000000000010#2
3#13#0111101000001100110000011000010#7
3#13#0111111010001100000000000000010#98
3#13#0111111010001100110000011000010#2952
3#13#1111111010001100000000000000010#2
3#13#1111111010001100110000011000010#24
3#15#0000000000000000000000000000000#6090
3#15#0111100000000000000000000000000#99
3#15#0111101000000000000000000000000#408
3#15#0111101000000000110000000000000#3295
3#15#0111101000000000110000000000010#1
3#15#0111101010000000000000000000010#48
3#15#0111101010001100000000000000010#43
3#15#0111101010001111000000000000010#20
3#15#0111101010010000110000000000000#1
3#15#0111110010000000000000000000000#1
3#15#0111110010000000110000000000000#1
3#15#0111110010001111000000000000000#3
3#15#0111111010000000000000000000000#809
3#15#0111111010000000000000000000010#15
3#15#0111111010000000110000000000000#14603
3#15#0111111010000000110000000000010#272
3#15#1111100000000000000000011000000#4
3#15#1111101000000000000000000000000#11
3#15#1111111000000000000000000000000#3
3#15#1111111000000000110000000000000#34
3#15#1111111010000000000000000000000#4
3#15#1111111010000000110000000000000#52
3#31#0000000000000000000000000000000#5209
3#31#0111100000000000000000000000000#225
3#31#0111100010010000000000000000000#3
