ifd0_make#ifd0_model#marker_order#Count
1#1#1:2:3:3:4:5:5:5:5:6:7#31
1#1#1:2:3:4:5:6:7#1303
1#1#1:2:8:3:3:4:5:5:5:5:6:7#41
1#1#1:8:2:3:3:4:5:5:5:5:6:7#50
1#2#1:2:3:3:4:5:5:5:5:6:7#2
1#2#1:2:3:4:5:6:7#1794
1#2#1:2:8:3:3:4:5:5:5:5:6:7#204
1#2#1:8:2:3:3:4:5:5:5:5:6:7#30
1#169#1:2:3:5:4:6:7#7
1#1339#1:2:5:4:3:6:7#121
1#1998#1:2:5:4:3:6:7#16
1#2318#1:2:3:5:4:6:7#150
2#3#1:2:3:4:5:6:7#9
3#4#1:2:18:18:18:18:18:18:18:18:18:18:18:18:18:3:9:4:5:6:7#2
3#4#1:2:18:18:18:18:18:18:18:18:18:18:18:3:9:4:5:6:7#1
3#4#1:2:18:3:9:4:5:6:7#1
3#4#1:2:3:3:4:5:5:5:5:6:7#1672
3#4#1:2:3:4:5:6#2
3#4#1:2:3:4:5:6:6#1
3#4#1:2:3:4:5:6:7#5530
3#4#1:2:3:5:4:6:7#22
3#4#1:2:3:9:4:5:6#1
3#4#1:2:3:9:4:5:6:6#1
3#4#1:2:3:9:4:5:6:7#8413
3#4#1:2:4:5:5:5:5:3:3:9:6:7#326
3#4#1:8:2:3:3:4:5:5:5:5:6#2
3#4#1:8:2:3:3:4:5:5:5:5:6:7#7204
3#4#1:8:2:3:3:4:5:5:5:5:9:6:7#4
3#13#1:2:3:3:4:5:5:5:5:6:7#240
3#13#1:2:3:9:4:5:6:7#2915
3#13#1:2:4:5:5:5:5:3:3:9:6:7#253
3#13#1:8:2:3:3:4:5:5:5:5:6:7#44
3#15#1:2:2:3:3:4:5:5:5:5:6#1
3#15#1:2:2:3:3:4:5:5:5:5:6:7#92
3#15#1:2:3:3:4:5:5:5:5:6#1
3#15#1:2:3:3:4:5:5:5:5:6:7#1434
3#15#1:2:3:3:5:4:6:7#1
3#15#1:2:3:4:5:6#3
3#15#1:2:3:4:5:6:7#16767
3#15#1:2:3:5:4:6:7#4
3#15#1:2:3:9:4:5:6:7#1638
3#15#1:8:2:2:3:3:4:5:5:5:5:6:7#3
3#15#1:8:2:3:3:4:5:5:5:5:6:7#5873
3#31#1:2:2:3:3:4:5:5:5:5:6:7#30
3#31#1:2:3:3:4:5:5:5:5:6:7#1874
3#31#1:2:3:3:5:4:6:7#17
3#31#1:2:3:4:5:6#1
3#31#1:2:3:4:5:6:7#8216
3#31#1:2:3:5:4:6:7#27
3#31#1:2:3:9:4:5:6:7#3353
3#31#1:2:4:5:5:5:5:3:3:9:6:7#1
3#31#1:2:8:3:3:4:5:5:5:5:6:7#1
3#31#1:8:2:3:3:4:5:5:5:5:6:7#6796
3#32#1:2:3:9:4:5:6:7#1947
3#32#1:2:4:5:5:5:5:3:3:9:6:7#13
3#34#1:2:3:11:3:4:5:5:5:5:6:7#6
3#34#1:2:3:3:4:5:5:5:5:6:7#487
3#34#1:2:3:4:5:5:5:5:6:7#18
3#34#1:2:3:9:4:5:6#2
3#34#1:2:3:9:4:5:6:7#7435
3#34#1:2:4:5:5:5:5:3:3:9:6:7#158
3#34#1:8:2:3:3:4:5:5:5:5:6:7#284
3#34#1:8:2:3:4:5:5:5:5:6:7#164
3#63#1:2:3:3:4:5:5:5:5:6:7#346
3#63#1:2:3:4:5:6:7#757
3#63#1:2:3:9:4:5:6:7#594
3#63#1:8:2:3:3:4:5:5:5:5:6:7#502
3#87#1:2:3:9:4:5:6:7#1356
3#87#1:8:2:3:3:4:5:5:5:5:6:7#5
3#95#1:2:2:3:3:4:5:5:5:5:6:7#14
3#95#1:2:3:3:4:5:5:5:5:6:7#844
3#95#1:2:3:3:5:4:6:7#4
3#95#1:2:3:4:5:6:7#5018
3#95#1:2:8:3:3:4:5:5:5:5:6:7#13
3#95#1:8:2:3:3:4:5:5:5:5:6:7#1982
3#137#1:2:2:3:3:4:5:5:5:5:6:7#2
3#137#1:2:3:3:4:5:5:5:5:6:7#458
3#137#1:2:3:3:5:4:6:7#1
3#137#1:2:3:4:5:6:7#2323
3#137#1:8:2:3:3:4:5:5:5:5:6:7#50
3#176#1:2:3:3:4:5:5:5:5:6:7#454
3#176#1:2:3:3:5:4:6:7#2
3#176#1:2:3:4:5:6#1
3#176#1:2:3:4:5:6:7#5337
3#176#1:2:8:3:3:4:5:5:5:5:6:7#35
3#176#1:8:2:3:3:4:5:5:5:5:6:7#918
3#460#1:2:3:3:4:5:5:5:5:6:7#544
3#460#1:2:3:4:5:6:7#246
3#460#1:2:3:9:4:5:6:7#498
3#460#1:2:4:5:5:5:5:3:3:9:6:7#9
3#460#1:8:2:3:3:4:5:5:5:5:6:7#107
3#598#1:2:3:9:4:5:6:7#78
3#598#1:8:2:3:3:4:5:5:5:5:6:7#1
3#1082#1:2:3:3:4:5:5:5:5:6:7#35
3#1082#1:2:3:4:5:6:7#365
3#1082#1:2:3:9:4:5:6:7#47
3#1082#1:8:2:3:3:4:5:5:5:5:6:7#253
3#1433#1:2:3:3:4:5:5:5:5:6:7#3
3#1433#1:8:2:3:3:4:5:5:5:5:6:7#16
3#1636#1:2:3:9:4:5:6:7#113
3#2173#1:2:3:3:4:5:5:5:5:6:7#34
3#2173#1:2:3:4:5:6:7#70
3#3617#1:2:3:3:4:5:5:5:5:6:7#17
3#3617#1:2:3:4:5:6:7#105
3#3796#1:2:3:3:4:5:5:5:5:6#1
3#3796#1:2:3:3:4:5:5:5:5:6:7#1
3#4037#1:2:3:3:4:5:5:5:5:6:7#14
3#4150#1:2:3:3:4:5:5:5:5:6:7#1
3#4177#1:2:3:3:4:5:5:5:5:6:7#16
4#5#1:2:3:4:5:9:6:7#161
4#5#1:8:2:3:3:4:5:5:5:5:6:7#4
4#6#1:2:2:3:3:4:5:5:5:5:6:7#5
4#6#1:2:3:3:4:5:5:5:5:6:7#121
4#6#1:2:3:4:5:9:6#1
4#6#1:2:3:4:5:9:6:7#2164
4#6#1:2:3:5:4:6:7#1
4#6#1:8:2:3:3:4:5:5:5:5:6:7#47
4#45#1:2:3:3:4:5:5:5:5:6:7#95
4#45#1:2:3:4:5:6:7#6
4#45#1:2:3:4:5:9:6:7#2032
4#45#1:2:3:5:4:6:7#2
4#45#1:2:4:3:5:6:7#1
4#45#1:3:2:4:5:9:6:7#14
4#45#1:3:2:4:9:5:6:7#7
4#45#1:8:2:3:3:4:5:5:5:5:6:7#196
4#46#1:2:12:3:3:4:5:5:5:5:6:7#4
4#46#1:2:12:3:4:5:9:6:7#1803
4#46#1:2:3:3:5:4:6:7#38
4#46#1:2:3:4:5:6:7#1
4#46#1:8:2:3:3:4:5:5:5:5:6:7#3
4#64#1:2:12:3:3:4:5:5:5:5:6:7#7
4#64#1:2:12:3:4:5:9:6:7#1020
4#64#1:2:12:3:5:4:6:7#2
4#64#1:2:3:3:4:5:5:5:5:6:7#5
4#64#1:2:3:4:5:9:6:7#1
4#64#1:2:4:3:5:6:7#23
4#64#1:8:2:3:3:4:5:5:5:5:6:7#86
4#94#1:2:12:3:4:5:9:6:7#740
4#94#1:2:3:3:4:5:5:5:5:6:7#5
4#94#1:2:3:4:5:9:6:7#1
4#103#1:2:3:3:4:5:5:5:5:6:7#185
4#103#1:2:3:4:5:6:7#4
4#103#1:2:3:4:5:9:6:7#2476
4#103#1:8:2:3:3:4:5:5:5:5:6:7#220
4#107#1:2:12:3:4:5:9:6:7#62
4#107#1:8:2:3:3:4:5:5:5:5:6:7#1
4#109#1:2:12:3:4:5:9:6:7#277
4#131#1:2:3:3:4:5:5:5:5:6:7#100
4#131#1:2:3:3:5:4:6:7#3
4#131#1:2:3:4:5:6:7#1
4#131#1:2:3:4:5:9:6#1
4#131#1:2:3:4:5:9:6:7#1175
4#131#1:8:2:3:3:4:5:5:5:5:6:7#150
4#141#1:2:3:3:4:5:5:5:5:6:7#5
4#141#1:2:3:4:5:9:6#2
4#141#1:2:3:4:5:9:6:7#414
4#141#1:2:3:5:4:6:7#4
4#141#1:8:2:3:3:4:5:5:5:5:6:7#7
4#175#1:2:3:3:4:5:5:5:5:6#1
4#175#1:2:3:3:4:5:5:5:5:6:7#111
4#175#1:2:3:4:5:9:6#3
4#175#1:2:3:4:5:9:6:7#1574
4#175#1:2:3:5:4:6:7#19
4#175#1:2:4:3:5:6:7#4
4#175#1:8:2:3:3:4:5:5:5:5:6:7#149
4#187#1:2:12:3:4:5:9:6:7#78
4#188#1:2:12:3:3:4:5:5:5:5:6:7#5
4#188#1:2:12:3:4:5:9:6:7#219
4#188#1:2:3:4:5:9:6:7#13
4#203#1:2:3:3:4:5:5:5:5:6:7#13
4#203#1:2:3:4:5:9:6:7#62
4#203#1:2:3:5:4:6:7#1
4#227#1:2:11:3:3:5:4:6:7#1
4#227#1:2:12:3:3:4:5:5:5:5:6:7#22
4#227#1:2:12:3:4:5:9:6:7#1052
