ifd0_make#ifd0_model#ifds_MakerNote#Count
1#1##1425
1#2##1988
3#87#@ 0x02C6#24
3#87#@ 0x02CC#4
3#87#@ 0x02D2#3
3#95##7875
3#137##2834
3#176##6743
3#176#@ 0x0280#4
3#460##756
3#460#@ 0x0270#70
3#460#@ 0x027C#14
3#460#@ 0x0280#1
3#460#@ 0x0286#26
3#460#@ 0x028C#2
3#460#@ 0x0292#45
3#460#@ 0x0294#10
3#460#@ 0x029A#92
3#460#@ 0x029E#26
3#460#@ 0x02A0#9
3#460#@ 0x02A6#189
3#460#@ 0x02AC#1
3#460#@ 0x02AE#44
3#460#@ 0x02B2#13
3#460#@ 0x02B4#20
3#460#@ 0x02BA#71
3#460#@ 0x02BE#1
3#460#@ 0x02C0#8
3#460#@ 0x02C6#6
3#598#@ 0x0286#1
3#598#@ 0x028E#1
3#598#@ 0x0292#1
3#598#@ 0x029A#38
3#598#@ 0x02A6#7
3#598#@ 0x02A8#2
3#598#@ 0x02AE#11
3#598#@ 0x02B4#3
3#598#@ 0x02BA#13
3#598#@ 0x02C6#2
3#1082##652
3#1082#@ 0x0270#1
3#1082#@ 0x0288#1
3#1082#@ 0x0294#2
3#1082#@ 0x02A8#16
3#1082#@ 0x02B4#28
3#1433##19
3#1636#@ 0x02B0#7
3#1636#@ 0x02B6#80
3#1636#@ 0x02BC#6
3#1636#@ 0x02C2#18
3#1636#@ 0x02CE#2
3#2173##104
3#3617##122
3#3796##2
3#4037##14
3#4150##1
3#4177##16
4#5#@ 0x02D6#1
4#5#@ 0x02EE#3
4#5#@ 0x0472#161
4#6#@ 0x02D4#13
4#6#@ 0x02E0#5
4#6#@ 0x0364#1
4#6#@ 0x0398#8
4#6#@ 0x03CE#15
4#6#@ 0x03D4#9
4#6#@ 0x03E4#2272
4#6#@ 0x03E8#1
4#6#@ 0x040E#5
4#6#@ 0x154E#1
4#6#@ 0x1600#1
4#6#@ 0x18CA#1
4#6#@ 0x190A#1
4#6#@ 0x19A4#1
4#6#@ 0x2052#1
4#6#@ 0x225C#1
4#6#@ 0x24BE#1
4#6#@ 0x265E#1
4#6#@ 0x2A1C#1
4#45##1
4#45#@ 0x023E#6
4#45#@ 0x0262#2
4#45#@ 0x03D6#79
4#45#@ 0x03DA#1
4#45#@ 0x03E2#138
4#45#@ 0x03E5#1
4#45#@ 0x03E6#2103
4#45#@ 0x03EC#1
4#45#@ 0x03ED#21
4#46##1
4#46#@ 0x0232#1
4#46#@ 0x0304#3
4#46#@ 0x0478#2
4#46#@ 0x0488#1
4#46#@ 0x04B6#41
4#46#@ 0x04CC#1800
4#64##23
4#64#@ 0x02E2#2
4#64#@ 0x02FA#84
4#64#@ 0x0334#1
4#64#@ 0x0340#1
4#64#@ 0x046E#7
4#64#@ 0x047E#1025
4#64#@ 0x132A#1
4#94#@ 0x047E#741
4#94#@ 0x04A8#1
4#94#@ 0x132A#3
4#94#@ 0x1336#1
4#103#@ 0x0232#3
4#103#@ 0x023E#1
4#103#@ 0x0382#276
4#103#@ 0x0388#111
4#103#@ 0x0394#1
4#103#@ 0x0398#2371
4#103#@ 0x03A4#122
4#107#@ 0x02F8#1
4#107#@ 0x047C#62
4#109#@ 0x047E#277
4#131#@ 0x023E#1
4#131#@ 0x0240#8
4#131#@ 0x0368#2
4#131#@ 0x0374#8
4#131#@ 0x0384#18
4#131#@ 0x038A#64
4#131#@ 0x0396#1
4#131#@ 0x039A#1328
4#141#@ 0x0260#4
4#141#@ 0x03E4#7
4#141#@ 0x041A#7
4#141#@ 0x0420#2
4#141#@ 0x0430#314
4#141#@ 0x04B0#2
4#141#@ 0x04B8#95
4#141#@ 0x1312#1
4#175##8
4#175#@ 0x0262#2
4#175#@ 0x028A#2
4#175#@ 0x02BE#2
4#175#@ 0x02C0#3
4#175#@ 0x02C4#17
4#175#@ 0x02D6#10
4#175#@ 0x034E#6
4#175#@ 0x0360#1
4#175#@ 0x0383#1
4#175#@ 0x0384#244
4#175#@ 0x0389#1
4#175#@ 0x038A#53
4#175#@ 0x0399#2
4#175#@ 0x039A#1509
4#187#@ 0x04CE#78
4#188#@ 0x0460#5
4#188#@ 0x0470#232
4#203#@ 0x0100#1
4#203#@ 0x03C6#3
4#203#@ 0x03D2#9
4#203#@ 0x03D5#1
4#203#@ 0x03D6#62
4#227##8
4#227#@ 0x0224#4
4#227#@ 0x0260#1
4#227#@ 0x0468#9
4#227#@ 0x046E#12
4#227#@ 0x047E#1078
4#253##156
4#253#@ 0x04CC#31
4#253#@ 0x04D8#99
4#253#@ 0x0554#20
4#261#@ 0x047E#19
4#266#@ 0x0388#101
4#266#@ 0x0394#2
4#266#@ 0x0398#615
4#267#@ 0x019E#5
4#267#@ 0x0260#3
4#267#@ 0x038C#1
4#267#@ 0x0394#1
4#267#@ 0x0398#406
4#267#@ 0x03A0#1
4#267#@ 0x03A2#1
4#268##146
4#268#@ 0x0312#4
4#268#@ 0x031E#2
4#268#@ 0x039C#2
4#268#@ 0x03B2#25
4#268#@ 0x03CA#1
4#268#@ 0x0486#2
4#268#@ 0x0496#12
4#268#@ 0x04DA#822
4#269#@ 0x0218#1
4#269#@ 0x023E#5
4#269#@ 0x0254#1
4#269#@ 0x045A#19
4#269#@ 0x0460#31
4#269#@ 0x0470#2555
4#269#@ 0x047C#153
4#269#@ 0x12DC#1
4#309##25
4#309#@ 0x02B0#37
4#309#@ 0x02EC#8
4#309#@ 0x030C#21
4#309#@ 0x044A#1
4#309#@ 0x045A#942
4#309#@ 0x0460#1
4#309#@ 0x046C#10
4#309#@ 0x0470#2893
4#309#@ 0x047C#85
4#309#@ 0x04F8#12
4#309#@ 0x052A#4
4#310##68
4#310#@ 0x0254#53
4#310#@ 0x02EE#3
4#310#@ 0x02FA#41
4#310#@ 0x0384#17
4#310#@ 0x0462#59
4#310#@ 0x046E#21
4#310#@ 0x0471#7
4#310#@ 0x0472#19
4#310#@ 0x0478#1114
4#310#@ 0x0484#3104
4#310#@ 0x0492#36
4#310#@ 0x049E#137
4#327##2
4#327#@ 0x031C#2
4#327#@ 0x0388#10
4#327#@ 0x0394#1
4#327#@ 0x0398#270
4#327#@ 0x039C#3
4#328#@ 0x034C#1
4#328#@ 0x0398#85
4#334##9
4#334#@ 0x023E#1
4#334#@ 0x0306#1
4#334#@ 0x0312#8
4#334#@ 0x04CE#94
4#334#@ 0x04DA#634
4#376#@ 0x0310#1
4#376#@ 0x031C#1
4#376#@ 0x0384#42
4#376#@ 0x038A#36
4#376#@ 0x0396#9
4#376#@ 0x039A#782
4#387##1
4#387#@ 0x04CC#433
4#399#@ 0x04CC#2
4#400##4
4#400#@ 0x023E#18
4#400#@ 0x0478#416
4#400#@ 0x0484#391
4#407#@ 0x0382#1
4#407#@ 0x047C#227
4#428#@ 0x02FA#67
4#428#@ 0x047E#34
4#429#@ 0x02D4#5
4#429#@ 0x0376#32
4#429#@ 0x0382#1
4#429#@ 0x0388#7
4#429#@ 0x038C#7
4#429#@ 0x0398#1096
4#429#@ 0x1304#1
4#453#@ 0x023E#2
4#453#@ 0x02BC#6
4#453#@ 0x02C8#2
4#453#@ 0x02D4#106
4#453#@ 0x0388#6
4#453#@ 0x0394#1
4#453#@ 0x0398#246
4#453#@ 0x03B0#1
4#454#@ 0x0382#302
4#454#@ 0x0388#23
4#454#@ 0x0394#5
4#454#@ 0x0398#1215
4#454#@ 0x039C#2
4#454#@ 0x03A4#2
4#482##2
4#482#@ 0x0232#19
4#482#@ 0x02F8#6
4#482#@ 0x03A4#8
4#482#@ 0x03CA#1
4#482#@ 0x03D4#3
4#482#@ 0x0424#167
4#482#@ 0x0430#1
4#482#@ 0x045A#15
4#482#@ 0x0460#20
4#482#@ 0x0464#2
4#482#@ 0x046C#17
4#482#@ 0x0470#766
4#482#@ 0x0472#1
4#482#@ 0x047C#2
4#482#@ 0x047E#1
4#482#@ 0x04AA#935
4#482#@ 0x04B4#3
4#482#@ 0x04C0#1311
4#482#@ 0x0CC0#36
4#482#@ 0x124E#1
4#482#@ 0x1330#1
4#482#@ 0x1802#1
4#482#@ 0x1884#1
4#482#@ 0x1902#1
4#482#@ 0x198A#1
4#482#@ 0x19CC#1
4#482#@ 0x1AEC#1
4#482#@ 0x1B48#1
4#482#@ 0x1D20#1
4#482#@ 0x1D82#1
4#482#@ 0x1DCE#1
4#482#@ 0x1DFE#1
4#482#@ 0x1EAA#1
4#482#@ 0x1F2E#1
4#482#@ 0x1F4A#1
4#482#@ 0x1F4C#1
4#482#@ 0x1FC0#1
4#482#@ 0x2002#1
4#482#@ 0x2022#1
4#482#@ 0x2160#1
4#482#@ 0x22C8#1
4#482#@ 0x243E#1
4#504#@ 0x045A#191
4#504#@ 0x0470#7
4#506#@ 0x047E#50
4#507#@ 0x047C#95
4#508#@ 0x03C4#8
4#516##1
4#516#@ 0x01EA#11
4#516#@ 0x0232#403
4#516#@ 0x034C#1
4#516#@ 0x0388#45
4#516#@ 0x0394#6
4#516#@ 0x0398#1877
4#523#@ 0x0462#1
4#523#@ 0x0472#102
4#535#@ 0x0254#1
4#535#@ 0x0472#220
4#536#@ 0x046E#6
4#536#@ 0x047A#57
4#536#@ 0x047E#342
4#537#@ 0x04CE#15
4#538##2
4#538#@ 0x0254#1
4#538#@ 0x0464#1
4#538#@ 0x0470#443
4#539#@ 0x0464#2
4#539#@ 0x047C#1207
4#557#@ 0x029A#1
4#557#@ 0x02EE#20
4#557#@ 0x0466#1
4#557#@ 0x0472#583
4#558#@ 0x03C6#7
4#558#@ 0x03D6#232
4#559#@ 0x038A#34
4#559#@ 0x039A#377
4#560#@ 0x0008#1
4#560#@ 0x045A#4
4#560#@ 0x0470#307
4#560#@ 0x1D75#1
4#585#@ 0x0310#1
4#585#@ 0x034C#4
4#585#@ 0x0382#6
4#585#@ 0x0388#70
4#585#@ 0x0398#1231
4#585#@ 0x039C#26
4#592##2
4#592#@ 0x0372#2
4#592#@ 0x0382#121
4#625#@ 0x0410#1
4#625#@ 0x0426#1
4#625#@ 0x045C#1
4#625#@ 0x0462#88
4#625#@ 0x0466#1
4#625#@ 0x0469#2
4#625#@ 0x046D#1
4#625#@ 0x046E#52
4#625#@ 0x0472#2672
4#625#@ 0x0479#148
4#631#@ 0x0460#1
4#631#@ 0x0470#794
4#631#@ 0x049A#2
4#632##29
4#636#@ 0x0556#2
4#636#@ 0x05FE#68
4#636#@ 0x0622#7
4#636#@ 0x06BE#2
4#636#@ 0x0D5E#150
4#639#@ 0x03D6#2
4#639#@ 0x03E6#383
4#647#@ 0x0502#31
4#681##2
4#681#@ 0x02D8#1
4#681#@ 0x034C#2
4#681#@ 0x0370#1
4#681#@ 0x0382#6
4#681#@ 0x0388#44
4#681#@ 0x0394#5
4#681#@ 0x0398#793
4#681#@ 0x039C#1
4#692#@ 0x023E#1
4#692#@ 0x0424#24
4#692#@ 0x045A#57
4#692#@ 0x0460#27
4#692#@ 0x0464#1
4#692#@ 0x0470#799
4#692#@ 0x049A#1
4#692#@ 0x04E2#30
4#693#@ 0x0254#4
4#693#@ 0x0388#7
4#693#@ 0x0398#104
4#705##95
4#705#@ 0x02BD#5
4#705#@ 0x0360#4
4#705#@ 0x0374#28
4#705#@ 0x0378#1
4#705#@ 0x037E#1
4#705#@ 0x0384#67
4#705#@ 0x0386#32
4#705#@ 0x038A#24
4#705#@ 0x0396#17
4#705#@ 0x039A#870
4#705#@ 0x039C#5
4#705#@ 0x03A0#27
4#705#@ 0x03A1#31
4#705#@ 0x03A6#40
4#705#@ 0x03A8#1
4#705#@ 0x05A8#5
4#705#@ 0x12DA#1
4#705#@ 0x12E6#3
4#707#@ 0x04DA#368
4#726##1
4#726#@ 0x02EE#4
4#726#@ 0x0462#6
4#726#@ 0x0472#1366
4#774#@ 0x02BD#1
4#774#@ 0x038A#15
4#774#@ 0x038E#2
4#774#@ 0x039A#237
4#774#@ 0x0590#1
4#780#@ 0x0384#1
4#780#@ 0x0432#2
4#780#@ 0x043E#11
4#780#@ 0x0458#1
4#780#@ 0x0468#16
4#780#@ 0x047E#607
4#780#@ 0x048A#920
4#830#@ 0x03C8#8
4#830#@ 0x03D4#1
4#830#@ 0x03D7#10
4#830#@ 0x03D8#37
4#865##1
4#865#@ 0x0260#16
4#865#@ 0x02D0#8
4#865#@ 0x02F8#101
4#865#@ 0x0466#641
4#865#@ 0x047C#942
4#865#@ 0x0504#7
4#868#@ 0x04CE#85
4#884##88
4#884#@ 0x0460#49
4#884#@ 0x0464#5
4#884#@ 0x0470#396
4#899#@ 0x023E#1
4#899#@ 0x02B1#1
4#899#@ 0x02CE#1
4#899#@ 0x0344#3
4#899#@ 0x034E#3
4#899#@ 0x0350#2
4#899#@ 0x0352#1
4#899#@ 0x0384#14
4#899#@ 0x038A#6
4#899#@ 0x0396#2
4#899#@ 0x039A#383
4#899#@ 0x039C#1
4#899#@ 0x03A0#9
4#901#@ 0x039A#1
4#901#@ 0x03DA#4
4#901#@ 0x03E6#781
4#907#@ 0x03D4#22
4#907#@ 0x03E0#1
4#907#@ 0x03E4#584
4#912#@ 0x0460#20
4#912#@ 0x0470#191
4#917#@ 0x047E#7
4#921#@ 0x02FA#2
4#921#@ 0x046E#1
4#921#@ 0x047E#284
4#936#@ 0x0470#74
4#971##3
4#971#@ 0x0432#2
4#971#@ 0x046E#4
4#971#@ 0x047A#114
4#971#@ 0x047E#747
4#971#@ 0x132A#1
4#984##11
4#984#@ 0x01EA#2
4#984#@ 0x0232#2
4#984#@ 0x023E#1
4#984#@ 0x0338#7
4#984#@ 0x034C#4
4#984#@ 0x0374#3
4#984#@ 0x0380#2
4#984#@ 0x0383#3
4#984#@ 0x0384#69
4#984#@ 0x0388#25
4#984#@ 0x038B#7
4#984#@ 0x0394#17
4#984#@ 0x0398#774
4#984#@ 0x039C#9
4#984#@ 0x03A4#1
4#985#@ 0x04A0#150
4#988#@ 0x047E#151
4#998#@ 0x02D6#5
4#998#@ 0x02EE#25
4#998#@ 0x02FA#4
4#998#@ 0x0472#559
4#999#@ 0x0304#41
4#999#@ 0x0310#1
4#999#@ 0x0328#1
4#999#@ 0x04CC#138
4#1007#@ 0x0462#2
4#1007#@ 0x0472#78
4#1013#@ 0x026E#7
4#1013#@ 0x02F6#2
4#1013#@ 0x0306#16
4#1013#@ 0x04CE#1
4#1019#@ 0x023E#1
4#1019#@ 0x03C8#34
4#1019#@ 0x03D4#26
4#1019#@ 0x03D8#352
4#1030##100
4#1030#@ 0x04CC#63
4#1030#@ 0x04D8#235
4#1044#@ 0x023E#1
4#1044#@ 0x0388#31
4#1044#@ 0x0394#1
4#1044#@ 0x0398#390
4#1044#@ 0x039C#2
4#1044#@ 0x12DC#2
4#1060##3
4#1060#@ 0x0260#1
4#1060#@ 0x02CC#1
4#1060#@ 0x0382#45
4#1060#@ 0x0388#81
4#1060#@ 0x0394#2
4#1060#@ 0x0398#852
4#1060#@ 0x03C2#7
4#1066#@ 0x0336#2
4#1066#@ 0x034C#71
4#1066#@ 0x0372#8
4#1066#@ 0x0376#1
4#1066#@ 0x0382#193
4#1066#@ 0x0388#98
4#1066#@ 0x038C#8
4#1066#@ 0x0394#7
4#1066#@ 0x0398#1693
4#1066#@ 0x039C#10
4#1086#@ 0x03E6#125
4#1113#@ 0x04CC#242
4#1114##1
4#1114#@ 0x047E#41
4#1117#@ 0x02AE#1
4#1117#@ 0x0336#5
4#1117#@ 0x0372#4
4#1117#@ 0x0382#41
4#1117#@ 0x0384#8
4#1117#@ 0x0386#40
4#1117#@ 0x0392#2
4#1117#@ 0x0396#530
4#1117#@ 0x0398#18
4#1117#@ 0x0BB4#1
4#1141#@ 0x04DA#147
4#1172#@ 0x02FE#4
4#1172#@ 0x03C8#1
4#1172#@ 0x03D4#1
4#1172#@ 0x03D7#3
4#1172#@ 0x03D8#87
4#1196#@ 0x0460#1
4#1196#@ 0x0470#645
4#1260##1
4#1260#@ 0x023E#7
4#1260#@ 0x02D4#28
4#1260#@ 0x0336#3
4#1260#@ 0x0372#2
4#1260#@ 0x0382#43
4#1260#@ 0x0388#27
4#1260#@ 0x0398#523
4#1260#@ 0x039C#6
4#1264##7
4#1264#@ 0x03CE#8
4#1264#@ 0x03D4#3
4#1264#@ 0x03E4#103
4#1266#@ 0x02EC#6
4#1266#@ 0x0460#20
4#1266#@ 0x046C#4
4#1266#@ 0x0470#363
4#1295#@ 0x034E#1
4#1295#@ 0x0389#1
4#1295#@ 0x038A#2
4#1295#@ 0x039A#329
4#1296##6
4#1296#@ 0x039A#1
4#1296#@ 0x03D0#183
4#1296#@ 0x03E6#654
4#1296#@ 0x1D48#41
4#1308##4
4#1308#@ 0x0456#3
4#1308#@ 0x0466#938
4#1308#@ 0x047C#460
4#1308#@ 0x0504#8
4#1369##9
4#1423##9
4#1423#@ 0x03C6#3
4#1423#@ 0x03D6#58
4#1423#@ 0x042A#1
4#1424#@ 0x03D0#404
4#1424#@ 0x03D6#27
4#1424#@ 0x03E6#841
4#1426#@ 0x03D0#1
4#1426#@ 0x03E6#547
4#1437#@ 0x0470#230
4#1437#@ 0x04B2#1
4#1441#@ 0x023E#1
4#1441#@ 0x045C#214
4#1441#@ 0x0462#2
4#1441#@ 0x0472#94
4#1441#@ 0x0484#14
4#1450#@ 0x031C#2
4#1450#@ 0x0328#1
4#1450#@ 0x037C#1
4#1450#@ 0x03D4#3
4#1450#@ 0x03E4#292
4#1457#@ 0x047E#8
4#1467##1
4#1467#@ 0x02D4#1
4#1467#@ 0x03D4#4
4#1467#@ 0x03D8#1
4#1467#@ 0x03E4#575
4#1470#@ 0x0424#1
4#1470#@ 0x0470#169
4#1495##5
4#1495#@ 0x0466#185
4#1495#@ 0x047C#935
4#1495#@ 0x04EE#2
4#1495#@ 0x0504#21
4#1499#@ 0x048A#18
4#1499#@ 0x0496#16
4#1526#@ 0x0470#7
4#1553#@ 0x0470#177
4#1553#@ 0x0478#149
4#1556#@ 0x047E#177
4#1556#@ 0x048A#79
4#1563#@ 0x02CA#3
4#1563#@ 0x0384#330
4#1563#@ 0x038A#6
4#1563#@ 0x039A#208
4#1568#@ 0x047C#223
4#1599#@ 0x047E#24
4#1638#@ 0x047C#93
4#1692#@ 0x045C#6
4#1692#@ 0x0472#160
4#1693#@ 0x02B2#9
4#1694#@ 0x0494#1
4#1694#@ 0x04D8#174
4#1694#@ 0x05CC#1
4#1723#@ 0x0388#38
4#1723#@ 0x0394#5
4#1723#@ 0x0398#647
4#1726#@ 0x023E#7
4#1726#@ 0x0254#1
4#1726#@ 0x0328#1
4#1726#@ 0x0334#1
4#1726#@ 0x0462#46
4#1726#@ 0x0472#969
4#1726#@ 0x047E#2
4#1769##1
4#1769#@ 0x03C6#6
4#1769#@ 0x03D2#2
4#1769#@ 0x03D6#105
4#1769#@ 0x042E#1
4#1787#@ 0x04A2#201
4#1821#@ 0x0466#6
4#1821#@ 0x047C#271
4#1843#@ 0x0472#44
4#1850#@ 0x04CE#211
4#1851#@ 0x0472#173
4#1855#@ 0x0472#257
4#1867#@ 0x0462#1
4#1867#@ 0x0472#190
4#1868#@ 0x047E#379
4#1868#@ 0x048A#144
4#1869#@ 0x02B2#83
4#1883#@ 0x04CE#14
4#1884#@ 0x045C#2
4#1884#@ 0x0472#86
4#1903#@ 0x02BF#2
4#1903#@ 0x03D4#24
4#1903#@ 0x03E4#290
4#1936#@ 0x0470#35
4#1955#@ 0x0424#28
4#1955#@ 0x0470#290
4#1962#@ 0x047E#160
4#1988#@ 0x039A#1
4#1988#@ 0x03D6#14
4#1988#@ 0x03E6#146
4#2039#@ 0x0470#151
4#2084#@ 0x0460#7
4#2084#@ 0x0470#14
4#2096#@ 0x0470#148
4#2096#@ 0x0478#59
4#2096#@ 0x04B0#1
4#2100##1
4#2100#@ 0x03D6#1
4#2100#@ 0x03E6#190
4#2104#@ 0x047C#16
4#2106#@ 0x03C8#1
4#2106#@ 0x03D8#263
4#2107#@ 0x047E#40
4#2108#@ 0x0472#36
4#2109##10
4#2109#@ 0x0472#264
4#2123#@ 0x0494#1
4#2123#@ 0x04CC#24
4#2123#@ 0x04D8#199
4#2159#@ 0x02D8#7
4#2159#@ 0x0384#4
4#2159#@ 0x0398#3
4#2165#@ 0x047A#1
4#2165#@ 0x04CE#10
4#2165#@ 0x04DA#150
4#2168#@ 0x042E#24
4#2183#@ 0x047C#53
4#2230#@ 0x03D0#1
4#2230#@ 0x03D6#1
4#2230#@ 0x03D9#4
4#2230#@ 0x03E6#232
4#2247#@ 0x0472#83
4#2248#@ 0x02B2#14
4#2251##1
4#2251#@ 0x03B4#4
4#2251#@ 0x03C3#1
4#2251#@ 0x03C4#19
4#2258#@ 0x045C#82
4#2258#@ 0x0472#52
4#2298#@ 0x02E2#4
4#2298#@ 0x03A2#1
4#2298#@ 0x03A6#1
4#2298#@ 0x03E2#174
4#2298#@ 0x03E6#22
4#2302#@ 0x034C#6
4#2302#@ 0x0372#1
4#2302#@ 0x0382#366
4#2302#@ 0x0388#11
4#2302#@ 0x0398#410
4#2306##2
4#2306#@ 0x0298#2
4#2306#@ 0x02CC#1
4#2306#@ 0x02D8#1
4#2306#@ 0x02EC#14
4#2306#@ 0x038C#5
4#2306#@ 0x0466#1
4#2306#@ 0x046C#1
4#2306#@ 0x047C#1004
4#2306#@ 0x0504#6
4#2345#@ 0x0430#5
4#2368#@ 0x0464#1
4#2368#@ 0x0470#94
4#2412##122
