ifd0_make#ifd0_model#ifdi_bit#Count
1#1#00000#32
1#1#11000#1393
1#2#00000#55
1#2#11000#1975
1#169#00000#7
1#1339#10000#121
1#1998#10000#16
1#2318#11000#150
2#3#11000#9
3#4#00000#23182
3#13#00000#3452
3#15#00000#25807
3#15#11011#10
3#31#00000#20315
3#31#11011#1
3#32#00000#1960
3#34#00000#8554
3#63#00000#2199
3#87#00000#1361
3#95#00000#7875
3#137#00000#2834
3#176#00000#6747
3#460#00000#1404
3#598#00000#79
3#1082#00000#700
3#1433#00000#19
3#1636#00000#113
3#2173#00000#104
3#3617#00000#122
3#3796#00000#2
3#4037#00000#14
3#4150#00000#1
3#4177#00000#16
4#5#00000#1
4#5#11000#164
4#6#00000#18
4#6#11000#2321
4#45#00000#220
4#45#11000#2127
4#45#11011#6
4#46#00000#4
4#46#10000#37
4#46#11000#1807
4#46#11011#1
4#64#00000#11
4#64#01000#1
4#64#11000#1132
4#94#01000#4
4#94#11000#741
4#94#11011#1
4#103#00000#113
4#103#11000#2768
4#103#11011#4
4#107#11000#63
4#109#11000#277
4#131#00000#75
4#131#11000#1354
4#131#11011#1
4#141#00000#15
4#141#01000#1
4#141#11000#416
4#175#00000#91
4#175#01000#2
4#175#11000#1768
4#187#11000#78
4#188#00000#5
4#188#11000#232
4#203#00000#13
4#203#11000#63
4#227#00000#13
4#227#11000#1094
4#227#11011#5
4#253#00000#155
4#253#11000#151
4#261#11000#19
4#266#00000#103
4#266#11000#615
4#267#00000#12
4#267#11000#406
4#268#00000#150
4#268#11000#866
4#269#00000#32
4#269#11000#2727
4#269#11011#7
4#309#00000#74
4#309#10000#2
4#309#11000#3963
4#310#00000#273
4#310#11000#4353
4#310#11011#53
4#327#00000#13
4#327#11000#275
4#328#00000#1
4#328#11000#85
4#334#00000#9
4#334#11000#737
4#334#11011#1
4#376#00000#47
4#376#11000#824
4#387#11000#434
4#399#11000#2
4#400#11000#811
4#400#11011#18
4#407#00000#1
4#407#11000#227
4#428#11000#101
4#429#00000#39
4#429#11000#1110
4#453#00000#16
4#453#11000#352
4#453#11011#2
4#454#00000#28
4#454#11000#1521
4#482#00000#207
4#482#01000#37
4#482#10000#1
4#482#11000#3075
4#482#11011#19
4#504#11000#198
4#506#11000#50
4#507#11000#95
4#508#11000#8
4#516#00000#52
4#516#11000#1878
4#516#11011#414
4#523#00000#1
4#523#11000#102
4#535#11000#220
4#535#11011#1
4#536#00000#63
4#536#11000#342
4#537#11000#15
4#538#11000#446
4#538#11011#1
4#539#11000#1209
4#557#00000#1
4#557#11000#604
4#558#00000#7
4#558#11000#232
4#559#00000#34
4#559#11000#377
4#560#11000#313
4#585#00000#75
4#585#11000#1263
4#592#00000#2
4#592#11000#123
4#625#00000#144
4#625#11000#2823
4#631#00000#1
4#631#11000#796
4#632#11000#29
4#636#00000#159
4#636#11000#70
4#639#00000#2
4#639#11000#383
4#647#01000#2
4#647#11000#29
4#681#00000#53
4#681#10000#1
4#681#11000#801
4#692#00000#51
4#692#11000#888
4#692#11011#1
4#693#00000#7
4#693#11000#104
4#693#11011#4
4#705#00000#203
4#705#11000#1054
4#707#11000#368
4#726#00000#6
4#726#01000#4
4#726#11000#1367
4#774#00000#16
4#774#11000#240
4#780#00000#15
4#780#11000#1543
4#830#00000#19
4#830#11000#37
4#865#00000#25
4#865#11000#1691
4#868#11000#85
4#884#00000#137
4#884#11000#401
4#899#00000#19
4#899#11000#407
4#899#11011#1
4#901#00000#1
4#901#11000#785
4#907#00000#23
4#907#11000#584
4#912#00000#20
4#912#11000#191
4#917#11000#7
4#921#00000#1
4#921#11000#286
4#936#11000#74
4#971#00000#120
4#971#01000#1
4#971#11000#750
4#984#00000#52
4#984#11000#880
4#984#11011#5
4#985#11000#150
4#988#11000#151
4#998#00000#8
4#998#01000#4
4#998#11000#581
4#999#01000#1
4#999#11000#180
