ifd0_make#ifd0_model#width#Count
1#1#1080#15
1#1#1200#3
1#1#1224#4
1#1#1254#2
1#1#1600#4
1#1#1632#12
1#1#1672#44
1#1#1920#67
1#1#1944#20
1#1#2048#10
1#1#2176#7
1#1#2448#447
1#1#2592#15
1#1#3264#775
1#2#1824#11
1#2#1836#39
1#2#1936#4
1#2#1944#11
1#2#2368#1
1#2#2448#663
1#2#2582#4
1#2#2592#13
1#2#3200#34
1#2#3264#1250
1#169#3264#7
1#1339#1200#19
1#1339#1600#3
1#1339#1944#41
1#1339#2592#58
1#1998#1944#4
1#1998#2592#12
1#2318#2592#150
2#3#4208#9
3#4#320#1
3#4#480#2
3#4#482#1
3#4#640#23
3#4#771#1
3#4#852#1
3#4#1080#1
3#4#1088#5
3#4#1200#1
3#4#1224#17
3#4#1280#18
3#4#1315#1
3#4#1413#1
3#4#1440#81
3#4#1536#637
3#4#1600#2
3#4#1618#10
3#4#1620#8
3#4#1621#7
3#4#1623#7
3#4#1632#146
3#4#1672#113
3#4#1709#1
3#4#1836#14
3#4#1875#300
3#4#1920#179
3#4#2000#4
3#4#2048#881
3#4#2443#10
3#4#2448#2053
3#4#2500#534
3#4#2505#1
3#4#2530#21
3#4#2592#1
3#4#3072#1
3#4#3128#1
3#4#3264#17952
3#4#3346#26
3#4#3438#1
3#4#4096#10
3#4#4336#1
3#4#4432#1
3#4#4544#1
3#4#5400#2
3#4#5408#1
3#4#5664#1
3#4#5888#1
3#4#5936#1
3#4#6256#1
3#4#6928#1
3#4#7104#1
3#4#7936#1
3#4#8096#2
3#4#8112#1
3#4#8288#1
3#4#8448#1
3#4#8464#1
3#4#10000#1
3#4#10032#1
3#4#10768#1
3#4#10800#86
3#13#1536#103
3#13#1875#118
3#13#2048#148
3#13#2448#210
3#13#2500#135
3#13#2720#4
3#13#3264#2734
3#15#320#9
3#15#478#3
3#15#480#32
3#15#537#1
3#15#640#125
3#15#708#2
3#15#765#1
3#15#800#2
3#15#956#1
3#15#968#2
3#15#1188#1
3#15#1196#9
3#15#1203#1
3#15#1224#1
3#15#1246#1
3#15#1280#9
3#15#1296#161
3#15#1384#1
3#15#1529#34
3#15#1530#26
3#15#1532#7
3#15#1536#200
3#15#1591#1
3#15#1600#56
3#15#1602#1
3#15#1607#107
3#15#1662#1
3#15#1675#65
3#15#1730#1
3#15#1771#1
3#15#1868#154
3#15#1920#1
3#15#1934#14
3#15#1936#1179
3#15#1937#13
3#15#2010#1
3#15#2048#303
3#15#2056#232
3#15#2057#159
3#15#2104#3
3#15#2118#1
3#15#2296#1
3#15#2414#6
3#15#2500#343
3#15#2591#3
3#15#2592#22535
3#15#2774#2
3#15#2952#3
3#15#3016#2
3#31#240#3
3#31#246#1
3#31#320#14
3#31#386#1
