ifd0_make#ifd0_model#quality#Count
1#1#74.745#46
1#1#84.93#3
1#1#89.995#30
1#1#94.975#1325
1#1#100#21
1#2#84.93#30
1#2#89.995#376
1#2#94.975#1607
1#2#100#17
1#169#100#7
1#1339#94.72#121
1#1998#94.72#16
1#2318#95.10499999999999#150
2#3#94.975#9
3#4#74.745#286
3#4#79.905#9
3#4#83.325#1
3#4#86.72999999999999#2
3#4#87.95#16
3#4#88.91#3
3#4#91.985#225
3#4#93.035#7092
3#4#94.975#10
3#4#95.045#5
3#4#95.37#889
3#4#95.52#901
3#4#95.595#13077
3#4#95.975#81
3#4#96.44#24
3#4#96.445#1
3#4#96.78#4
3#4#97.405#20
3#4#100#536
3#13#88.91#6
3#13#91.985#1146
3#13#93.035#122
3#13#95.37#2151
3#13#100#27
3#15#74.745#364
3#15#79.59#3
3#15#79.905#84
3#15#87.95#43
3#15#89.995#12
3#15#91.525#1
3#15#93.035#5678
3#15#93.975#9
3#15#94.975#2
3#15#95.52#691
3#15#95.595#18388
3#15#95.975#189
3#15#96.445#25
3#15#96.815#2
3#15#97.405#4
3#15#98.57499999999999#1
3#15#100#321
3#31#70.095#4
3#31#71.15#4
3#31#72.05000000000001#3
3#31#73.05#3
3#31#74.745#88
3#31#75.80000000000001#6
3#31#76.95#11
3#31#78.85#11
3#31#79.905#15
3#31#80.975#8
3#31#81.935#19
3#31#82.995#5
3#31#83.96000000000001#1
3#31#84.93#7
3#31#85.99000000000001#1
3#31#86.92#6
3#31#87.95#9
3#31#88#1
3#31#88.91#27
3#31#89.24000000000001#1
3#31#89.995#20
3#31#91.525#39
3#31#91.88#13
3#31#91.985#64
3#31#93.035#7278
3#31#93.98#1
3#31#94.975#26
3#31#95.035#1
3#31#95.37#337
3#31#95.52#549
3#31#95.595#11246
3#31#95.975#283
3#31#96.445#40
3#31#97.405#27
3#31#97.805#2
3#31#100#160
3#32#91.985#104
3#32#95.37#1856
3#34#74.745#1
3#34#79.905#6
3#34#87.95#5
3#34#88.91#1
3#34#91.985#692
3#34#93.035#487
3#34#95.37#2230
3#34#95.46#34
3#34#95.52#71
3#34#95.595#3485
3#34#95.61#1402
3#34#100#140
3#63#87.95#1
3#63#91.985#1
3#63#93.035#606
3#63#95.37#153
3#63#95.52#144
3#63#95.595#1224
3#63#95.975#51
3#63#96.035#1
3#63#100#18
3#87#87.95#1
3#87#91.985#75
3#87#95.37#298
3#87#95.52#5
3#87#95.595#982
3#95#74.745#15
3#95#79.905#1808
3#95#84.93#2
3#95#87.75#567
3#95#87.95#2897
3#95#88#39
3#95#91.88#13
3#95#92.92#1
3#95#93.035#97
3#95#94.975#4
3#95#95.52#236
3#95#95.595#2165
3#95#96.445#30
3#95#100#1
3#137#84.93#2
3#137#93.035#57
3#137#95.52#367
3#137#95.595#2400
3#137#100#8
3#176#74.745#6
3#176#79.59#22
3#176#79.905#36
3#176#84.93#1
3#176#86.84#12
3#176#87.95#21
3#176#89.995#8
3#176#91.525#6
3#176#93.035#820
3#176#94.975#57
3#176#95.055#7
3#176#95.52#317
3#176#95.595#5364
3#176#95.975#28
3#176#96.445#5
3#176#100#37
3#460#41.965#15
3#460#73.05#12
3#460#91.985#34
3#460#93.035#510
3#460#95.37#90
3#460#95.52#25
3#460#95.595#634
3#460#95.975#84
3#598#91.985#12
3#598#95.37#19
