ifd0_make#ifd0_model#ifd_size#Count
1#1#0:20:126:174:30:6#8
1#1#0:20:126:206:30#8
1#1#0:20:126:206:30:146#1
1#1#0:20:126:206:30:150#1
1#1#0:20:126:206:30:158#3
1#1#0:20:126:206:30:162#1
1#1#0:20:126:206:30:182#3
1#1#0:20:126:206:30:186#5
1#1#0:20:126:206:30:218#187
1#1#0:20:126:206:30:222#193
1#1#0:20:126:206:30:6#6
1#1#0:20:126:206:30:66#16
1#1#0:20:126:206:30:82#1
1#1#0:20:126:226:30#4
1#1#0:20:126:226:30:218#112
1#1#0:20:126:226:30:222#5
1#1#0:20:126:226:30:249#220
1#1#0:20:126:226:30:251#132
1#1#0:20:126:226:30:253#199
1#1#0:20:126:226:30:6#11
1#1#0:20:126:226:30:66#4
1#1#0:20:126:226:30:97#152
1#1#0:20:126:327:30:219#15
1#1#0:20:126:327:30:251#11
1#1#0:20:138:226:30:249#1
1#1#0:20:138:226:30:97#2
1#1#0:20:140:208:32:8#1
1#1#0:20:170:226:30:249#17
1#1#0:20:170:226:30:253#4
1#1#0:20:170:226:30:97#4
1#1#0:20:226:205#1
1#1#0:20:354:205#28
1#1#0:20:354:65#3
1#1#0:20:64:184:32#9
1#1#0:20:76:184:32#7
1#1#0:38:126:206:34:196#1
1#1#0:38:126:226:30:238#45
1#1#0:38:126:226:30:98#1
1#1#0:38:126:226:34:228#3
1#2#0:20:126:278:30#2
1#2#0:20:126:278:30:249#34
1#2#0:20:126:278:30:253#34
1#2#0:20:126:278:30:38#9
1#2#0:20:126:298:30#25
1#2#0:20:126:298:30:218#1
1#2#0:20:126:298:30:220#1
1#2#0:20:126:298:30:222#1
1#2#0:20:126:298:30:249#143
1#2#0:20:126:298:30:251#483
1#2#0:20:126:298:30:253#171
1#2#0:20:126:298:30:38#373
1#2#0:20:126:298:30:6#164
1#2#0:20:138:298:30:38#1
1#2#0:20:158:298:30:251#4
1#2#0:20:158:347:30#17
1#2#0:20:158:347:30:251#420
1#2#0:20:158:347:30:38#68
1#2#0:20:200:434:263#4
1#2#0:20:200:462:1000:263#1
1#2#0:20:200:462:1001:263#2
1#2#0:20:200:462:1002:263#1
1#2#0:20:200:462:1004:263#1
1#2#0:20:200:462:1006:263#1
1#2#0:20:200:462:875:263#1
1#2#0:20:200:462:876:263#1
1#2#0:20:200:462:879:263#1
1#2#0:20:200:462:882:263#3
1#2#0:20:200:462:883:263#6
1#2#0:20:200:462:884:263#1
1#2#0:20:200:462:887:263#1
1#2#0:20:200:462:888:263#1
1#2#0:20:200:462:889:263#2
1#2#0:20:200:462:973:263#3
1#2#0:20:200:462:974:263#2
1#2#0:20:200:462:976:263#1
1#2#0:20:200:462:977:263#1
1#2#0:20:200:462:978:263#1
1#2#0:20:200:462:979:263#1
1#2#0:20:200:462:982:263#1
1#2#0:20:200:462:983:263#1
1#2#0:20:200:462:984:263#1
1#2#0:20:200:462:985:263#1
1#2#0:20:200:462:989:263#1
1#2#0:20:200:462:992:263#2
1#2#0:20:200:462:993:263#1
1#2#0:20:200:462:994:263#1
1#2#0:20:200:462:995:263#1
1#2#0:20:238:122#1
1#2#0:20:394#1
1#2#0:20:406:205#1
1#2#0:38:114:298:34#8
1#2#0:38:126:298:34:228#2
1#2#0:38:146:54:332#3
1#2#0:38:158:338:264#4
1#2#0:38:158:338:50#1
1#2#0:38:158:347:30:251#1
1#2#0:38:158:347:30:38#8
1#2#0:38:170:298:34:228#2
1#2#0:38:342:102#1
1#169#0:20:198#1
1#169#0:20:238:54:32#1
1#169#0:20:324#5
1#1339#0:20:146:422:18#22
1#1339#0:20:146:434:18#99
1#1998#0:20:148:434:18#16
1#2318#20:238:527:2041:62:257#141
1#2318#20:238:527:2041:62:77#9
2#3#0:20:132:278:30:251#9
3#4#0:20:114#1
3#4#0:20:120#6
3#4#0:20:134:90#1
3#4#0:20:166:474#1
3#4#0:20:166:494:304#4
3#4#0:20:166:506:312#2
3#4#0:20:166:518:324#1
3#4#0:20:172#3
3#4#0:20:172:390#11
3#4#0:20:172:474:268#5
3#4#0:20:172:486:276#1
3#4#0:20:172:494#15
3#4#0:20:172:494:304#18
3#4#0:20:172:506#2
3#4#0:20:172:506:312#8
3#4#0:20:178#2
3#4#0:20:178:382#119
3#4#0:20:178:382:202#1
3#4#0:20:178:390#124
3#4#0:20:178:390:170#3
3#4#0:20:178:390:202#17
3#4#0:20:178:402#11
