ifd0_make#ifd0_model#ifd1_unknown#Count
1#1#0#1425
1#2#0#2030
1#169#0#7
1#1339#0#121
1#1998#0#16
1#2318#1#150
2#3#0#9
3#4#0#23172
3#4#2#10
3#13#0#3452
3#15#0#25817
3#31#0#20314
3#31#1#2
3#32#0#1960
3#34#0#8554
3#63#0#2199
3#87#0#1361
3#95#0#1992
3#95#1#5883
3#137#0#869
3#137#1#1965
3#176#0#4412
3#176#1#2335
3#460#0#1404
3#598#0#79
3#1082#0#700
3#1433#0#19
3#1636#0#113
3#2173#1#104
3#3617#0#122
3#3796#0#2
3#4037#0#14
3#4150#0#1
3#4177#0#16
4#5#1#165
4#6#0#24
4#6#1#2315
4#45#0#9
4#45#1#2344
4#46#0#39
4#46#1#1810
4#64#0#25
4#64#1#1119
4#94#0#1
4#94#1#745
4#103#0#4
4#103#1#2881
4#107#1#63
4#109#1#277
4#131#0#9
4#131#1#1421
4#141#0#11
4#141#1#421
4#175#0#36
4#175#1#1825
4#187#1#78
4#188#1#237
4#203#0#76
4#227#0#13
4#227#1#1099
4#253#0#156
4#253#1#150
4#261#1#19
4#266#1#718
4#267#0#12
4#267#1#406
4#268#0#147
4#268#1#869
4#269#0#8
4#269#1#2758
4#309#0#68
4#309#1#3950
4#309#2#21
4#310#0#121
4#310#1#4558
4#327#0#2
4#327#1#285
4#327#7#1
4#328#0#1
4#328#1#85
4#334#0#10
4#334#1#737
4#376#0#2
4#376#1#868
4#376#7#1
4#387#1#434
4#399#1#2
4#400#0#22
4#400#1#807
4#407#1#228
4#428#1#101
4#429#0#1
4#429#1#1148
4#453#0#3
4#453#1#343
4#453#7#24
4#454#0#2
4#454#1#1542
4#454#7#5
4#482#0#217
4#482#1#3122
4#504#1#198
4#506#1#50
4#507#1#95
4#508#1#8
4#516#0#416
4#516#1#1928
4#523#1#103
4#535#0#1
4#535#1#220
4#536#1#405
4#537#1#15
4#538#0#3
4#538#1#444
4#539#1#1209
4#557#0#1
4#557#1#604
4#558#1#239
4#559#1#411
4#560#1#313
4#585#0#5
4#585#1#1333
4#592#1#125
4#625#0#2
4#625#1#2965
4#631#0#2
4#631#1#795
4#632#1#29
4#636#0#150
4#636#1#79
4#639#1#385
4#647#1#31
4#681#0#6
4#681#1#849
4#692#0#26
4#692#1#914
4#693#0#4
4#693#1#111
4#705#0#140
4#705#1#1117
4#707#1#368
4#726#0#1
4#726#1#1376
4#774#1#256
4#780#0#14
4#780#1#1544
4#830#0#56
4#865#0#25
4#865#1#1691
4#868#1#85
4#884#0#88
4#884#1#450
4#899#0#12
4#899#1#415
4#901#0#1
4#901#1#785
4#907#1#607
4#912#1#211
4#917#1#7
4#921#1#287
4#936#1#74
4#971#0#5
4#971#1#866
4#984#0#34
4#984#1#902
4#984#3#1
4#985#1#150
4#988#1#151
4#998#1#593
4#999#1#181
4#1007#1#80
4#1013#0#9
4#1013#1#17
4#1019#0#1
4#1019#1#412
4#1030#0#100
4#1030#1#298
4#1044#0#4
4#1044#1#423
4#1060#0#12
4#1060#1#980
4#1066#0#81
4#1066#1#2010
4#1086#1#125
4#1113#1#242
4#1114#0#1
4#1114#1#41
4#1117#0#6
4#1117#1#643
4#1117#7#1
4#1141#1#147
4#1172#0#96
4#1196#1#646
4#1260#0#10
4#1260#1#629
4#1260#2#1
4#1264#1#121
4#1266#1#393
4#1295#0#1
4#1295#1#332
4#1296#0#48
4#1296#1#837
4#1308#0#4
4#1308#1#1409
4#1369#0#9
4#1423#0#71
4#1424#1#1272
4#1426#1#548
4#1437#1#231
4#1441#0#1
4#1441#1#324
4#1450#0#4
4#1450#1#295
4#1457#1#8
4#1467#0#2
4#1467#1#580
4#1470#0#1
4#1470#1#169
4#1495#0#5
4#1495#1#1143
4#1499#1#34
4#1526#1#7
4#1553#1#326
4#1556#1#256
4#1563#0#14
4#1563#1#533
4#1568#1#223
4#1599#1#24
4#1638#1#93
4#1692#1#166
4#1693#1#9
4#1694#1#176
4#1723#1#690
4#1726#0#10
4#1726#1#1017
4#1769#0#107
4#1769#6#8
4#1787#1#201
4#1821#1#277
4#1843#1#44
4#1850#1#211
4#1851#1#173
4#1855#1#257
4#1867#1#191
4#1868#1#523
4#1869#1#83
4#1883#1#14
4#1884#1#88
4#1903#0#2
4#1903#1#314
4#1936#1#35
4#1955#0#28
4#1955#1#290
4#1962#1#160
4#1988#0#1
4#1988#1#160
4#2039#1#151
4#2084#1#21
4#2096#0#1
4#2096#1#207
4#2100#0#1
4#2100#1#191
4#2104#1#16
4#2106#0#239
4#2106#6#25
4#2107#1#40
4#2108#0#1
4#2108#1#35
4#2109#0#10
4#2109#1#264
4#2123#1#224
4#2159#0#7
4#2159#1#7
4#2165#1#161
4#2168#1#24
4#2183#1#53
4#2230#0#4
4#2230#1#234
4#2247#1#83
4#2248#1#14
4#2251#0#1
4#2251#1#24
4#2258#1#134
4#2298#0#2
4#2298#1#200
4#2302#0#6
4#2302#1#788
4#2306#0#6
4#2306#1#1031
4#2345#0#5
4#2368#1#95
4#2412#1#122
4#2531#1#52
4#2534#1#140
4#2545#1#163
4#2574#1#161
4#2577#0#26
4#2577#1#94
4#2590#0#1723
4#2590#6#2
4#2601#0#21
4#2601#1#34
4#2686#1#7
4#2715#4#33
4#2725#1#3
4#2750#0#1
4#2751#1#14
4#2761#0#345
4#2780#0#13
4#2819#1#33
4#2849#5#7
4#2852#1#14
4#2906#1#43
4#2970#1#35
4#2975#4#1
4#2993#1#60
