ifd0_make#ifd0_model#height#Count
1#1#1080#67
1#1#1200#4
1#1#1224#12
1#1#1254#44
1#1#1536#10
1#1#1600#3
1#1#1632#4
1#1#1672#2
1#1#1920#15
1#1#1944#15
1#1#2176#1
1#1#2448#785
1#1#2592#20
1#1#3264#443
1#2#1824#31
1#2#1836#111
1#2#1936#4
1#2#1944#13
1#2#2368#3
1#2#2448#1139
1#2#2582#4
1#2#2592#11
1#2#3200#12
1#2#3264#702
1#169#2448#7
1#1339#1200#3
1#1339#1600#19
1#1339#1944#58
1#1339#2592#41
1#1998#1944#12
1#1998#2592#4
1#2318#1944#150
2#3#3120#9
3#4#240#1
3#4#474#1
3#4#480#20
3#4#483#1
3#4#518#1
3#4#555#1
3#4#564#1
3#4#640#7
3#4#839#1
3#4#868#1
3#4#884#1
3#4#900#1
3#4#912#1
3#4#920#1
3#4#928#1
3#4#956#1
3#4#960#8
3#4#966#1
3#4#1040#1
3#4#1050#1
3#4#1060#1
3#4#1080#292
3#4#1166#1
3#4#1186#1
3#4#1200#2
3#4#1224#146
3#4#1254#113
3#4#1280#8
3#4#1368#1
3#4#1385#1
3#4#1442#1
3#4#1500#4
3#4#1536#913
3#4#1632#17
3#4#1836#53
3#4#1875#532
3#4#1881#1
3#4#1920#1
3#4#1996#1
3#4#2047#1
3#4#2048#602
3#4#2157#1
3#4#2176#1
3#4#2185#1
3#4#2332#87
3#4#2338#1
3#4#2374#1
3#4#2376#1
3#4#2396#1
3#4#2406#1
3#4#2430#3
3#4#2434#1
3#4#2438#1
3#4#2443#10
3#4#2446#1
3#4#2448#18509
3#4#2449#18
3#4#2452#1
3#4#2456#2
3#4#2468#1
3#4#2472#1
3#4#2500#301
3#4#2505#1
3#4#2506#1
3#4#2510#1
3#4#2530#26
3#4#2590#5
3#4#3001#1
3#4#3264#1438
3#4#3346#21
3#13#1532#4
3#13#1536#148
3#13#1836#5
3#13#1875#135
3#13#1958#4
3#13#2048#103
3#13#2448#2804
3#13#2500#118
3#13#3264#131
3#15#240#9
3#15#464#1
3#15#478#86
3#15#480#38
3#15#504#1
3#15#533#1
3#15#598#1
3#15#640#35
3#15#689#1
3#15#720#1
3#15#800#1
3#15#892#1
3#15#956#8
3#15#960#1
3#15#968#161
3#15#977#1
3#15#1024#1
3#15#1121#1
3#15#1188#1
3#15#1195#38
3#15#1196#17
3#15#1200#107
3#15#1251#65
3#15#1280#4
3#15#1296#2
3#15#1501#1
3#15#1529#5
3#15#1530#298
3#15#1535#2
3#15#1536#412
3#15#1591#6
3#15#1600#10
3#15#1602#5
3#15#1728#10
3#15#1730#1
3#15#1868#343
3#15#1934#9
3#15#1935#2
3#15#1936#22545
3#15#1937#13
3#15#1938#47
3#15#2048#60
3#15#2056#181
3#15#2057#3
3#15#2118#2
3#15#2296#3
3#15#2360#2
3#15#2370#1
3#15#2454#3
3#15#2500#154
3#15#2592#1114
3#15#2774#1
3#15#2952#1
3#31#240#14
3#31#320#3
3#31#358#1
3#31#380#1
3#31#408#1
3#31#480#35
3#31#585#1
3#31#603#1
3#31#605#7
3#31#614#1
3#31#622#1
3#31#640#17
3#31#768#2
3#31#788#1
3#31#960#10
3#31#970#1
3#31#975#1
3#31#994#1
3#31#1122#1
3#31#1128#1
3#31#1152#11
3#31#1200#20
3#31#1224#355
3#31#1254#77
3#31#1259#1
3#31#1280#11
3#31#1296#6
3#31#1311#1
3#31#1339#1
3#31#1348#1
3#31#1408#2
3#31#1417#2
3#31#1438#1
3#31#1440#3
3#31#1445#1
3#31#1449#1
3#31#1461#1
3#31#1536#613
3#31#1600#16
3#31#1632#26
3#31#1700#1
3#31#1781#1
3#31#1787#1
3#31#1800#6
3#31#1823#1
3#31#1836#111
3#31#1875#502
3#31#1920#6
3#31#1922#8
3#31#2016#1
3#31#2048#618
3#31#2176#2
3#31#2264#1
3#31#2276#1
3#31#2332#19
3#31#2366#1
3#31#2410#1
3#31#2412#1
3#31#2434#1
3#31#2443#20
3#31#2444#1
3#31#2446#9
3#31#2448#16268
3#31#2450#1
3#31#2472#1
3#31#2496#1
3#31#2500#280
3#31#2504#1
3#31#2530#3
3#31#2542#1
3#31#2676#4
3#31#2774#3
3#31#2880#1
3#31#2996#3
3#31#3264#1170
3#31#3287#1
3#31#3346#3
3#31#3492#7
3#31#3590#4
3#32#1875#2
3#32#2448#1940
3#32#2500#11
3#32#2936#7
3#34#1080#95
3#34#1500#6
3#34#1536#335
3#34#1875#71
3#34#2048#286
3#34#2224#17
3#34#2332#12
3#34#2448#7381
3#34#2500#116
3#34#3264#235
3#63#640#1
3#63#968#1
3#63#1496#1
3#63#1536#8
3#63#1736#1
3#63#1804#1
3#63#1813#1
3#63#1867#1
3#63#1868#113
3#63#1936#1797
3#63#2056#9
3#63#2118#1
3#63#2500#84
3#63#2592#180
3#87#1536#16
3#87#2048#5
3#87#2448#1335
3#87#3264#5
3#95#480#2
3#95#600#1
3#95#1200#4155
3#95#1536#909
3#95#1600#1031
3#95#1936#1210
3#95#2048#328
3#95#2196#3
3#95#2415#1
3#95#2432#1
3#95#2436#1
3#95#2441#2
3#95#2444#1
3#95#2448#2
3#95#2592#223
3#95#2852#4
3#95#3264#1
3#137#240#3
3#137#375#1
3#137#480#7
3#137#640#1
3#137#800#1
3#137#960#3
3#137#1200#2439
3#137#1600#379
3#176#472#2
3#176#480#5
3#176#600#2
3#176#640#1
3#176#650#1
3#176#663#1
3#176#720#1
3#176#767#1
3#176#768#27
3#176#769#5
3#176#865#1
3#176#960#11
3#176#970#1
3#176#1098#1
3#176#1200#6
3#176#1325#1
3#176#1363#1
3#176#1536#6164
3#176#1852#1
3#176#2048#514
3#460#960#1
3#460#987#1
3#460#1536#121
3#460#1868#225
3#460#1936#807
3#460#2056#43
3#460#2500#89
3#460#2592#117
3#598#1536#26
3#598#1936#47
3#598#2056#4
3#598#2592#2
3#1082#480#5
3#1082#490#1
3#1082#556#1
3#1082#570#1
3#1082#640#3
3#1082#679#1
3#1082#720#176
3#1082#960#4
3#1082#968#1
3#1082#1936#455
3#1082#2056#22
3#1082#2332#2
3#1082#2352#1
3#1082#2356#1
3#1082#2382#1
3#1082#2438#1
3#1082#2592#24
3#1433#1936#14
3#1433#1962#1
3#1433#2048#1
3#1433#2448#1
3#1433#2592#2
3#1636#2448#113
3#2173#1200#72
3#2173#1600#32
3#3617#480#1
3#3617#617#1
3#3617#640#1
3#3617#720#105
3#3617#960#14
3#3796#1200#2
3#4037#1188#1
3#4037#1536#2
3#4037#2048#4
3#4037#2500#5
3#4037#2592#2
3#4150#1937#1
3#4177#640#1
3#4177#1996#4
3#4177#2652#11
4#5#480#1
4#5#1920#1
4#5#3000#162
4#5#4000#1
4#6#1044#23
4#6#1080#2
4#6#1152#12
