ifd0_make#ifd0_model#ifds_ExposureProgram#Count
1#1##1425
1#2##1984
4#639#Landscape mode#68
4#639#Manual#1
4#639#Normal program#283
4#639#Portrait mode#26
4#647#Landscape mode#1
4#647#Normal program#30
4#681#8000#1
4#681#Aperture priority#62
4#681#Landscape mode#15
4#681#Manual#41
4#681#Normal program#650
4#681#Portrait mode#3
4#681#Shutter priority#83
4#692##1
4#692#Aperture priority#159
4#692#Landscape mode#67
4#692#Manual#46
4#692#Normal program#580
4#692#Portrait mode#77
4#692#Shutter priority#10
4#693##4
4#693#Landscape mode#17
4#693#Normal program#92
4#693#Portrait mode#2
4#705#Landscape mode#7
4#705#Normal program#1223
4#705#Portrait mode#27
4#707#Aperture priority#77
4#707#Landscape mode#64
4#707#Normal program#224
4#707#Portrait mode#3
4#726#Aperture priority#45
4#726#Landscape mode#443
4#726#Manual#104
4#726#Normal program#741
4#726#Portrait mode#33
4#726#Shutter priority#11
4#774#Landscape mode#4
4#774#Normal program#245
4#774#Portrait mode#7
4#780#Aperture priority#54
4#780#Landscape mode#361
4#780#Manual#6
4#780#Normal program#1009
4#780#Portrait mode#116
4#780#Shutter priority#12
4#830#Landscape mode#5
4#830#Normal program#47
4#830#Portrait mode#4
4#865#Aperture priority#252
4#865#Landscape mode#282
4#865#Manual#39
4#865#Normal program#731
4#865#Portrait mode#209
4#865#Shutter priority#203
4#868#Aperture priority#3
4#868#Landscape mode#3
4#868#Normal program#77
4#868#Portrait mode#2
4#884##88
4#884#Aperture priority#2
4#884#Landscape mode#119
4#884#Normal program#303
4#884#Portrait mode#25
4#884#Shutter priority#1
4#899##1
4#899#Aperture priority#169
4#899#Landscape mode#28
4#899#Manual#40
4#899#Normal program#185
4#899#Portrait mode#1
4#899#Shutter priority#3
4#901#Landscape mode#92
4#901#Normal program#554
4#901#Not defined#19
4#901#Portrait mode#121
4#907#Landscape mode#77
4#907#Normal program#491
4#907#Portrait mode#39
4#912#Landscape mode#114
4#912#Normal program#97
4#917#Landscape mode#4
4#917#Normal program#3
4#921#Landscape mode#21
4#921#Normal program#259
4#921#Portrait mode#7
4#936#Landscape mode#3
4#936#Normal program#63
4#936#Portrait mode#8
4#971#Aperture priority#51
4#971#Landscape mode#214
4#971#Manual#53
4#971#Normal program#416
4#971#Portrait mode#84
4#971#Shutter priority#53
4#984##5
4#984#Aperture priority#53
4#984#Landscape mode#11
4#984#Manual#19
4#984#Normal program#813
4#984#Portrait mode#4
4#984#Shutter priority#32
4#985#Landscape mode#28
4#985#Normal program#114
4#985#Portrait mode#8
4#988#Landscape mode#22
4#988#Normal program#113
4#988#Portrait mode#16
4#998#Landscape mode#57
4#998#Normal program#514
4#998#Portrait mode#22
4#999#Landscape mode#33
4#999#Normal program#135
4#999#Portrait mode#13
4#1007#Landscape mode#8
4#1007#Normal program#72
4#1013#Normal program#26
4#1019##1
4#1019#Action program (fast shutter #4
4#1019#Aperture priority#30
4#1019#Manual#43
4#1019#Normal program#326
4#1019#Portrait mode#8
4#1019#Shutter priority#1
4#1030##100
4#1030#Landscape mode#58
4#1030#Normal program#193
4#1030#Portrait mode#47
4#1044##1
4#1044#Landscape mode#18
4#1044#Normal program#408
4#1060#3760#1
4#1060#Aperture priority#23
4#1060#Landscape mode#327
4#1060#Manual#17
4#1060#Normal program#538
4#1060#Portrait mode#76
4#1060#Shutter priority#10
4#1066#Aperture priority#167
4#1066#Landscape mode#15
4#1066#Manual#33
4#1066#Normal program#1835
4#1066#Portrait mode#2
4#1066#Shutter priority#39
4#1086#Landscape mode#18
4#1086#Normal program#95
4#1086#Portrait mode#12
4#1113#Landscape mode#3
4#1113#Normal program#234
4#1113#Portrait mode#5
4#1114#Landscape mode#11
4#1114#Manual#1
4#1114#Normal program#30
4#1117#Landscape mode#1
4#1117#Normal program#649
4#1141#Landscape mode#39
4#1141#Normal program#102
4#1141#Portrait mode#6
4#1172#Landscape mode#56
4#1172#Normal program#38
4#1172#Portrait mode#2
4#1196#Landscape mode#58
4#1196#Normal program#556
4#1196#Portrait mode#32
4#1260##7
4#1260#Landscape mode#51
4#1260#Normal program#573
4#1260#Portrait mode#9
4#1264#Aperture priority#51
4#1264#Manual#36
4#1264#Normal program#27
4#1264#Portrait mode#1
4#1264#Shutter priority#6
4#1266#Landscape mode#170
4#1266#Normal program#220
4#1266#Portrait mode#3
4#1295#Landscape mode#8
4#1295#Normal program#325
4#1296#Landscape mode#159
4#1296#Normal program#638
4#1296#Portrait mode#88
4#1308#Aperture priority#419
4#1308#Landscape mode#82
4#1308#Manual#179
4#1308#Normal program#602
4#1308#Portrait mode#117
4#1308#Shutter priority#14
4#1369##9
4#1423#Action program (fast shutter #1
4#1423#Aperture priority#7
4#1423#Normal program#50
4#1423#Portrait mode#13
4#1424#Landscape mode#156
4#1424#Normal program#1108
4#1424#Portrait mode#8
4#1426#Aperture priority#2
4#1426#Landscape mode#136
4#1426#Manual#42
4#1426#Normal program#357
4#1426#Portrait mode#6
4#1426#Shutter priority#5
4#1437#Landscape mode#28
4#1437#Normal program#180
4#1437#Portrait mode#23
4#1441##1
4#1441#Landscape mode#9
4#1441#Normal program#314
4#1441#Portrait mode#1
4#1450#2992#1
4#1450#Aperture priority#3
4#1450#Landscape mode#59
4#1450#Manual#12
4#1450#Normal program#141
4#1450#Portrait mode#75
4#1450#Shutter priority#8
4#1457#Normal program#5
4#1457#Portrait mode#3
4#1467#Landscape mode#128
4#1467#Normal program#420
4#1467#Portrait mode#34
4#1470#Landscape mode#37
4#1470#Normal program#126
4#1470#Portrait mode#7
4#1495#Aperture priority#734
4#1495#Landscape mode#45
4#1495#Manual#35
4#1495#Normal program#309
4#1495#Portrait mode#23
4#1495#Shutter priority#2
4#1499#Normal program#34
4#1526#Aperture priority#1
4#1526#Normal program#6
4#1553#Landscape mode#117
4#1553#Normal program#161
4#1553#Portrait mode#48
4#1556#Landscape mode#48
4#1556#Normal program#195
4#1556#Portrait mode#13
4#1563#Landscape mode#1
4#1563#Normal program#546
4#1568#Aperture priority#35
4#1568#Landscape mode#18
4#1568#Manual#1
4#1568#Normal program#155
4#1568#Portrait mode#4
4#1568#Shutter priority#10
4#1599#Normal program#24
4#1638#Normal program#75
4#1638#Portrait mode#18
4#1692#Normal program#166
4#1693#Normal program#9
4#1694#Landscape mode#63
4#1694#Normal program#104
4#1694#Portrait mode#9
4#1723#Landscape mode#23
4#1723#Normal program#661
4#1723#Portrait mode#6
4#1726##8
4#1726#Aperture priority#107
4#1726#Landscape mode#35
4#1726#Manual#39
4#1726#Normal program#801
4#1726#Portrait mode#2
4#1726#Shutter priority#35
4#1769#Normal program#114
4#1769#Portrait mode#1
4#1787#Aperture priority#4
4#1787#Landscape mode#23
4#1787#Manual#2
4#1787#Normal program#159
4#1787#Portrait mode#13
4#1821#Aperture priority#22
4#1821#Landscape mode#13
4#1821#Manual#8
4#1821#Normal program#228
4#1821#Portrait mode#5
4#1821#Shutter priority#1
4#1843#Landscape mode#18
4#1843#Normal program#25
4#1843#Portrait mode#1
4#1850#Landscape mode#92
4#1850#Manual#2
4#1850#Normal program#110
4#1850#Portrait mode#7
4#1851#Normal program#173
4#1855#Landscape mode#8
4#1855#Manual#1
4#1855#Normal program#207
4#1855#Portrait mode#41
4#1867#Landscape mode#39
4#1867#Normal program#132
4#1867#Portrait mode#20
4#1868#Aperture priority#4
4#1868#Landscape mode#137
4#1868#Normal program#284
4#1868#Portrait mode#97
4#1868#Shutter priority#1
4#1869#Aperture priority#14
4#1869#Landscape mode#1
4#1869#Normal program#68
4#1883#Normal program#14
4#1884#Landscape mode#1
4#1884#Normal program#87
4#1903#Landscape mode#11
