ifd0_make#ifd0_model#ifds_ExposureBiasValue#Count
1#1##1425
1#2##572
1#2#-1.00 eV#2
1#2#0.00 eV#1455
1#2#1.00 eV#1
1#169##7
1#1339#0.00 eV#121
1#1998#0.00 eV#16
1#2318#0.00 eV#150
2#3##9
3#4##21800
3#4#0.00 eV#1378
3#4#0.28 eV#1
3#4#0.74 eV#1
3#4#0.97 eV#1
3#4#1.52 eV#1
3#13#-0.02 eV#1
3#13#-0.27 eV#1
3#13#-0.47 eV#1
3#13#-0.57 eV#1
3#13#-0.81 eV#1
3#13#-1.00 eV#1
3#13#-1.25 eV#1
3#13#0.00 eV#3421
3#13#0.01 eV#1
3#13#0.04 eV#1
3#13#0.16 eV#7
3#13#0.22 eV#1
3#13#0.46 eV#2
3#13#0.50 eV#1
3#13#0.52 eV#1
3#13#0.55 eV#2
3#13#0.66 eV#1
3#13#0.96 eV#1
3#13#0.98 eV#1
3#13#1.05 eV#1
3#13#1.07 eV#1
3#13#1.10 eV#1
3#13#1.36 eV#1
3#13#1.89 eV#1
3#15##25817
3#31##19916
3#31#0.00 eV#400
3#32#-1.37 eV#1
3#32#0.00 eV#1954
3#32#0.29 eV#1
3#32#0.52 eV#1
3#32#0.64 eV#1
3#32#0.94 eV#1
3#32#0.99 eV#1
3#34##5697
3#34#-0.18 eV#2
3#34#-0.56 eV#1
3#34#-3.36 eV#1
3#34#0.00 eV#2848
3#34#1.01 eV#1
3#34#1.08 eV#2
3#34#1.32 eV#2
3#63##2044
3#63#0.00 eV#155
3#87##987
3#87#0.00 eV#373
3#87#0.76 eV#1
3#95##7874
3#95#0.00 eV#1
3#137##2834
3#176##6747
3#460##1253
3#460#0.00 eV#150
3#460#0.19 eV#1
3#598##48
3#598#0.00 eV#30
3#598#3.21 eV#1
3#1082##700
3#1433##19
3#1636#0.00 eV#113
3#2173##104
3#3617##122
3#3796##2
3#4037##14
3#4150##1
3#4177##16
4#5#-0.33 eV#1
4#5#-0.66 eV#1
4#5#0.00 eV#163
4#6#-0.33 eV#83
4#6#-0.66 eV#10
4#6#-1.00 eV#11
4#6#-1.33 eV#13
4#6#0.00 eV#2129
4#6#0.33 eV#50
4#6#0.66 eV#32
4#6#1.00 eV#8
4#6#1.33 eV#3
4#45#-0.33 eV#13
4#45#-0.66 eV#8
4#45#-1.00 eV#9
4#45#-1.33 eV#7
4#45#-1.66 eV#8
4#45#-2.00 eV#3
4#45#0.00 eV#2074
4#45#0.33 eV#195
4#45#0.66 eV#13
4#45#1.00 eV#14
4#45#1.33 eV#1
4#45#1.66 eV#2
4#45#2.00 eV#6
4#46#-0.33 eV#51
4#46#-0.66 eV#7
4#46#-1.00 eV#5
4#46#0.00 eV#1749
4#46#0.33 eV#8
4#46#0.66 eV#15
4#46#1.00 eV#2
4#46#1.66 eV#2
4#46#2.33 eV#1
4#46#3.00 eV#9
4#64#-0.33 eV#39
4#64#-0.66 eV#5
4#64#-1.00 eV#3
4#64#-1.66 eV#1
4#64#0.00 eV#938
4#64#0.33 eV#31
4#64#0.66 eV#43
4#64#1.00 eV#46
4#64#1.33 eV#15
4#64#1.66 eV#5
4#64#2.00 eV#6
4#64#2.66 eV#12
4#94#-0.33 eV#34
4#94#-0.66 eV#141
4#94#0.00 eV#562
4#94#0.33 eV#4
4#94#1.00 eV#1
4#94#1.33 eV#4
4#103#-0.33 eV#154
4#103#-0.66 eV#7
4#103#-1.00 eV#20
4#103#-1.33 eV#5
4#103#-2.00 eV#2
4#103#0.00 eV#2540
4#103#0.33 eV#44
4#103#0.66 eV#66
4#103#1.00 eV#22
4#103#1.33 eV#16
4#103#1.66 eV#2
4#103#2.00 eV#7
4#107#-0.33 eV#1
4#107#0.00 eV#62
4#109#0.00 eV#277
4#131#-0.33 eV#10
4#131#-0.66 eV#70
4#131#-1.00 eV#30
4#131#-2.00 eV#2
4#131#0.00 eV#1245
4#131#0.33 eV#9
4#131#0.66 eV#13
4#131#1.00 eV#39
4#131#1.33 eV#1
4#131#1.66 eV#9
4#131#2.00 eV#2
4#141#-0.33 eV#53
4#141#-0.66 eV#12
4#141#-1.00 eV#1
4#141#-1.33 eV#1
4#141#-2.00 eV#1
4#141#0.00 eV#315
4#141#0.33 eV#36
4#141#0.66 eV#5
4#141#1.00 eV#7
4#141#2.00 eV#1
4#175#-0.33 eV#22
4#175#-0.66 eV#14
4#175#-1.00 eV#4
4#175#-1.33 eV#2
4#175#-1.66 eV#1
4#175#-2.00 eV#2
4#175#-2.33 eV#1
4#175#0.00 eV#1761
4#175#0.33 eV#35
4#175#0.66 eV#11
4#175#1.00 eV#3
4#175#1.33 eV#5
4#187#0.00 eV#43
4#187#0.33 eV#35
4#188#0.00 eV#235
4#188#0.33 eV#2
4#203##1
4#203#-2.00 eV#2
4#203#0.00 eV#68
4#203#0.66 eV#1
