ifd0_make#ifd0_model#ifds_FocalLength#Count
1#1##40
1#1#5 mm#1385
4#94#29 mm#1
4#94#30 mm#2
4#94#31 mm#5
4#94#33 mm#3
4#94#35 mm#1
4#94#36 mm#1
4#94#38 mm#3
4#94#39 mm#3
4#94#40 mm#3
4#94#41 mm#2
4#94#42 mm#3
4#94#44 mm#1
4#94#45 mm#1
4#94#47 mm#1
4#94#49 mm#1
4#94#5 mm#433
4#94#50 mm#2
4#94#52 mm#2
4#94#54 mm#1
4#94#55 mm#3
4#94#56 mm#1
4#94#6 mm#17
4#94#62 mm#3
4#94#64 mm#1
4#94#69 mm#1
4#94#7 mm#27
4#94#72 mm#2
4#94#74 mm#1
4#94#78 mm#4
4#94#79 mm#1
4#94#8 mm#30
4#94#83 mm#2
4#94#84 mm#3
4#94#85 mm#1
4#94#87 mm#1
4#94#9 mm#33
4#94#94 mm#1
4#94#97 mm#1
4#103##4
4#103#10 mm#92
4#103#11 mm#43
4#103#12 mm#36
4#103#13 mm#42
4#103#14 mm#34
4#103#15 mm#33
4#103#16 mm#33
4#103#17 mm#30
4#103#18 mm#43
4#103#20 mm#35
4#103#21 mm#26
4#103#23 mm#33
4#103#24 mm#25
4#103#26 mm#17
4#103#28 mm#22
4#103#29 mm#11
4#103#31 mm#15
4#103#33 mm#8
4#103#35 mm#9
4#103#38 mm#12
4#103#39 mm#14
4#103#42 mm#9
4#103#43 mm#10
4#103#46 mm#171
4#103#5 mm#1660
4#103#6 mm#113
4#103#7 mm#148
4#103#8 mm#102
4#103#9 mm#55
4#107#14 mm#22
4#107#16 mm#1
4#107#17 mm#3
4#107#18 mm#1
4#107#19 mm#1
4#107#20 mm#4
4#107#23 mm#1
4#107#24 mm#1
4#107#25 mm#3
4#107#26 mm#2
4#107#27 mm#3
4#107#28 mm#1
4#107#29 mm#4
4#107#30 mm#1
4#107#31 mm#2
4#107#36 mm#1
4#107#37 mm#1
4#107#41 mm#2
4#107#42 mm#9
4#109#10 mm#6
4#109#11 mm#3
4#109#13 mm#1
4#109#14 mm#1
4#109#18 mm#3
4#109#20 mm#10
4#109#5 mm#228
4#109#6 mm#9
4#109#7 mm#7
4#109#9 mm#9
4#131##9
4#131#10 mm#48
4#131#11 mm#18
4#131#12 mm#16
4#131#13 mm#10
4#131#14 mm#23
4#131#16 mm#13
4#131#17 mm#91
4#131#5 mm#1052
4#131#6 mm#48
4#131#7 mm#27
4#131#8 mm#53
4#131#9 mm#22
4#141#0 mm#32
4#141#14 mm#115
4#141#15 mm#1
4#141#16 mm#9
4#141#17 mm#15
4#141#18 mm#17
4#141#180 mm#2
4#141#19 mm#6
4#141#20 mm#16
4#141#200 mm#6
4#141#21 mm#5
4#141#22 mm#9
4#141#23 mm#13
4#141#24 mm#7
4#141#25 mm#10
4#141#26 mm#15
4#141#28 mm#10
4#141#29 mm#6
4#141#30 mm#7
4#141#31 mm#6
4#141#33 mm#8
4#141#34 mm#7
4#141#36 mm#3
4#141#37 mm#2
4#141#38 mm#1
4#141#39 mm#5
4#141#40 mm#2
4#141#41 mm#1
4#141#42 mm#20
4#141#45 mm#68
4#141#67 mm#2
4#141#84 mm#2
4#141#9 mm#1
4#141#97 mm#3
4#175#10 mm#80
4#175#11 mm#84
4#175#12 mm#73
4#175#13 mm#61
4#175#14 mm#49
4#175#15 mm#42
4#175#16 mm#39
4#175#17 mm#28
4#175#18 mm#34
4#175#19 mm#29
4#175#20 mm#20
4#175#21 mm#18
4#175#22 mm#25
4#175#23 mm#15
4#175#24 mm#15
4#175#25 mm#19
4#175#26 mm#22
4#175#27 mm#31
4#175#28 mm#18
4#175#29 mm#20
4#175#30 mm#14
4#175#31 mm#15
4#175#32 mm#9
4#175#33 mm#16
4#175#34 mm#9
4#175#35 mm#11
4#175#36 mm#10
4#175#37 mm#1
4#175#38 mm#7
4#175#39 mm#7
4#175#40 mm#11
4#175#41 mm#6
4#175#42 mm#10
4#175#43 mm#2
4#175#44 mm#6
4#175#45 mm#7
4#175#46 mm#1
4#175#47 mm#3
4#175#48 mm#5
4#175#49 mm#5
4#175#50 mm#6
4#175#51 mm#5
4#175#52 mm#4
4#175#53 mm#8
4#175#54 mm#2
4#175#55 mm#5
4#175#56 mm#5
4#175#57 mm#3
4#175#58 mm#5
4#175#59 mm#6
4#175#60 mm#1
4#175#61 mm#9
4#175#62 mm#4
4#175#63 mm#3
4#175#64 mm#4
4#175#66 mm#1
4#175#67 mm#1
4#175#68 mm#8
4#175#7 mm#543
4#175#70 mm#3
4#175#71 mm#2
4#175#72 mm#2
4#175#73 mm#1
4#175#74 mm#1
