ifd0_make#ifd0_model#ifds_SceneType#Count
1#1##1425
1#2##1984
1#2#A directly photographed image#46
1#169##7
1#1339#A directly photographed image#121
1#1998#A directly photographed image#16
1#2318##150
2#3##9
3#4##13230
3#4#A directly photographed image#9952
3#13#A directly photographed image#3452
3#15##23908
3#15#A directly photographed image#1909
3#31##16307
3#31#A directly photographed image#4009
3#32#A directly photographed image#1960
3#34##139
3#34#A directly photographed image#8415
3#63##1506
3#63#A directly photographed image#693
3#87#A directly photographed image#1361
3#95##7875
3#137##2834
3#176##6743
3#176#A directly photographed image#4
3#460##826
3#460#A directly photographed image#578
3#598#A directly photographed image#79
3#1082##652
3#1082#A directly photographed image#48
3#1433##19
3#1636#A directly photographed image#113
3#2173##104
3#3617##122
3#3796##2
3#4037##14
3#4150##1
3#4177##16
4#5#A directly photographed image#165
4#6#A directly photographed image#2339
4#45##6
4#45#A directly photographed image#2347
4#46##2
4#46#A directly photographed image#1847
4#64#A directly photographed image#1144
4#94#A directly photographed image#746
4#103##4
4#103#A directly photographed image#2881
4#107#A directly photographed image#63
4#109#A directly photographed image#277
4#131##9
4#131#A directly photographed image#1421
4#141#A directly photographed image#432
4#175##1
4#175#A directly photographed image#1860
4#187#A directly photographed image#78
4#188#A directly photographed image#237
4#203#0x[00]#1
4#203#A directly photographed image#75
4#227##6
4#227#A directly photographed image#1106
4#253##155
4#253#A directly photographed image#151
4#261#A directly photographed image#19
4#266#A directly photographed image#718
4#267#A directly photographed image#418
4#268#A directly photographed image#1016
4#269##7
4#269#A directly photographed image#2759
4#309##8
4#309#A directly photographed image#4031
4#310##82
4#310#A directly photographed image#4597
4#327#A directly photographed image#288
4#328#A directly photographed image#86
4#334##10
4#334#A directly photographed image#737
4#376#A directly photographed image#871
4#387#A directly photographed image#434
4#399#A directly photographed image#2
4#400##18
4#400#A directly photographed image#811
4#407#A directly photographed image#228
4#428#A directly photographed image#101
4#429#A directly photographed image#1149
4#453##2
4#453#A directly photographed image#368
4#454#A directly photographed image#1549
4#482##21
4#482#A directly photographed image#3318
4#504#A directly photographed image#198
4#506#A directly photographed image#50
4#507#A directly photographed image#95
4#508#A directly photographed image#8
4#516##414
4#516#A directly photographed image#1930
4#523#A directly photographed image#103
4#535##1
4#535#A directly photographed image#220
4#536#A directly photographed image#405
4#537#A directly photographed image#15
4#538##1
4#538#A directly photographed image#446
4#539#A directly photographed image#1209
4#557#A directly photographed image#605
4#558#A directly photographed image#239
4#559#A directly photographed image#411
4#560#A directly photographed image#313
4#585#A directly photographed image#1338
4#592#A directly photographed image#125
4#625#A directly photographed image#2967
4#631#A directly photographed image#797
4#632##29
4#636#A directly photographed image#229
4#639#A directly photographed image#385
4#647##31
4#681#0x[80]#1
4#681#A directly photographed image#854
4#692##1
4#692#A directly photographed image#939
4#693##4
4#693#A directly photographed image#111
4#705##95
4#705#A directly photographed image#1162
4#707#A directly photographed image#368
4#726#A directly photographed image#1377
4#774#A directly photographed image#256
4#780#A directly photographed image#1558
4#830#A directly photographed image#56
4#865##1
4#865#A directly photographed image#1715
4#868#A directly photographed image#85
4#884##88
4#884#A directly photographed image#450
4#899##1
4#899#A directly photographed image#426
4#901#A directly photographed image#786
4#907#A directly photographed image#607
4#912#A directly photographed image#211
4#917#A directly photographed image#7
4#921#A directly photographed image#287
4#936#A directly photographed image#74
4#971#A directly photographed image#871
4#984##5
4#984#A directly photographed image#932
4#985#A directly photographed image#150
4#988#A directly photographed image#151
4#998#A directly photographed image#593
4#999#A directly photographed image#181
4#1007#A directly photographed image#80
4#1013#A directly photographed image#26
4#1019##1
4#1019#A directly photographed image#412
4#1030##100
4#1030#A directly photographed image#298
4#1044##1
4#1044#A directly photographed image#426
4#1060#0x[F0]#1
4#1060#A directly photographed image#991
4#1066#A directly photographed image#2091
4#1086#A directly photographed image#125
4#1113#A directly photographed image#242
4#1114#A directly photographed image#42
4#1117#A directly photographed image#650
4#1141#A directly photographed image#147
4#1172#A directly photographed image#96
4#1196#A directly photographed image#646
4#1260##7
4#1260#A directly photographed image#633
4#1264#A directly photographed image#121
4#1266#A directly photographed image#393
4#1295#A directly photographed image#333
4#1296#A directly photographed image#885
4#1308##4
4#1308#A directly photographed image#1409
4#1369##9
4#1423#A directly photographed image#71
4#1424#A directly photographed image#1272
4#1426#A directly photographed image#548
4#1437#A directly photographed image#231
4#1441##1
4#1441#A directly photographed image#324
4#1450#0x[F0]#1
4#1450#A directly photographed image#298
4#1457#A directly photographed image#8
4#1467#A directly photographed image#582
4#1470#A directly photographed image#170
4#1495##5
4#1495#A directly photographed image#1143
4#1499#A directly photographed image#34
4#1526#A directly photographed image#7
4#1553#A directly photographed image#326
4#1556#A directly photographed image#256
4#1563#A directly photographed image#547
4#1568#A directly photographed image#223
4#1599#A directly photographed image#24
4#1638#A directly photographed image#93
4#1692#A directly photographed image#166
4#1693#A directly photographed image#9
4#1694#A directly photographed image#176
4#1723#A directly photographed image#690
4#1726##8
4#1726#A directly photographed image#1019
4#1769#A directly photographed image#115
4#1787#A directly photographed image#201
4#1821#A directly photographed image#277
4#1843#A directly photographed image#44
4#1850#A directly photographed image#211
4#1851#A directly photographed image#173
4#1855#A directly photographed image#257
4#1867#A directly photographed image#191
4#1868#A directly photographed image#523
4#1869#A directly photographed image#83
4#1883#A directly photographed image#14
4#1884#A directly photographed image#88
4#1903#A directly photographed image#316
4#1936#A directly photographed image#35
4#1955#A directly photographed image#318
4#1962#A directly photographed image#160
4#1988#A directly photographed image#161
4#2039#A directly photographed image#151
4#2084#A directly photographed image#21
4#2096#A directly photographed image#208
4#2100##1
4#2100#A directly photographed image#191
