ifd0_make#ifd0_model#ifd0_Software#Count
1#1#1#1425
1#2#1#1984
1#2#421#4
1#2#1674#42
1#169#1#7
1#1339#1#121
1#1998#1#16
1#2318#1#150
2#3#1#9
3#4#1#111
3#4#2#874
3#4#3#5014
3#4#4#1696
3#4#8#672
3#4#9#1467
3#4#10#1542
3#4#14#1315
3#4#15#258
3#4#16#256
3#4#32#175
3#4#33#1920
3#4#35#1226
3#4#37#14
3#4#40#1189
3#4#41#1577
3#4#42#506
3#4#103#1005
3#4#121#405
3#4#128#241
3#4#162#1272
3#4#286#33
3#4#313#378
3#4#405#2
3#4#1166#4
3#4#1756#1
3#4#1757#3
3#4#1758#4
3#4#2598#18
3#4#4533#1
3#4#4817#3
3#13#15#728
3#13#16#1059
3#13#32#790
3#13#37#232
3#13#121#156
3#13#128#290
3#13#286#197
3#15#1#105
3#15#2#1339
3#15#4#487
3#15#8#196
3#15#10#2596
3#15#14#395
3#15#18#2726
3#15#33#696
3#15#35#234
3#15#36#952
3#15#40#79
3#15#41#471
3#15#42#1
3#15#45#64
3#15#95#2599
3#15#96#565
3#15#97#2637
3#15#98#188
3#15#99#1512
3#15#100#839
3#15#101#1572
3#15#102#1060
3#15#103#1402
3#15#123#1464
3#15#162#83
3#15#170#825
3#15#271#11
3#15#313#308
3#15#709#2
3#15#710#18
3#15#1061#21
3#15#1098#12
3#15#1363#136
3#15#1457#88
3#15#1520#33
3#15#1815#83
3#15#1817#2
3#15#1818#1
3#15#4313#2
3#15#4674#4
3#15#4821#2
3#15#4860#2
3#15#4959#4
3#15#5013#1
3#31#1#96
3#31#2#1461
3#31#4#910
3#31#8#439
3#31#10#3612
3#31#14#364
3#31#15#40
3#31#16#27
3#31#18#4262
3#31#32#79
3#31#33#718
3#31#35#452
3#31#36#1750
3#31#37#19
3#31#40#217
3#31#41#688
3#31#42#196
3#31#64#487
3#31#100#247
3#31#101#2263
3#31#103#1068
3#31#121#114
3#31#128#46
3#31#162#199
3#31#286#75
3#31#313#471
3#31#410#1
3#31#863#2
3#31#1465#3
3#31#4533#9
3#31#4817#1
3#32#15#387
3#32#16#708
3#32#32#220
3#32#37#54
3#32#121#382
3#32#128#185
3#32#286#24
3#34#4#1643
3#34#8#334
3#34#15#660
3#34#16#632
3#34#32#744
3#34#35#1768
3#34#37#74
3#34#40#507
3#34#41#792
3#34#42#151
3#34#121#319
3#34#128#334
3#34#162#3
3#34#286#91
3#34#313#202
3#34#480#153
3#34#1172#139
3#34#1486#1
3#34#1994#7
3#63#1#52
3#63#2#113
3#63#4#4
3#63#8#12
3#63#10#798
3#63#14#47
3#63#15#4
3#63#18#355
3#63#32#77
3#63#33#16
3#63#35#6
3#63#36#43
3#63#40#5
3#63#41#429
3#63#42#1
3#63#103#83
3#63#121#10
3#63#128#64
3#63#162#55
3#63#313#25
3#87#4#232
3#87#8#4
3#87#15#20
3#87#16#76
3#87#32#134
3#87#35#202
3#87#37#3
3#87#40#140
3#87#41#331
3#87#42#33
3#87#121#55
3#87#128#2
3#87#162#3
3#87#286#84
3#87#480#42
3#95#1#6654
3#95#93#87
3#95#94#402
3#95#131#186
3#95#365#3
3#95#366#333
3#95#367#200
3#95#4533#1
3#95#5080#1
3#95#5118#8
3#137#93#591
3#137#94#62
3#137#95#718
3#137#123#119
3#137#131#909
3#137#365#208
3#137#366#34
3#137#367#193
3#176#1#16
3#176#2#47
3#176#10#182
3#176#14#4
3#176#18#241
3#176#33#14
3#176#36#93
3#176#93#924
3#176#94#126
3#176#95#724
3#176#96#142
3#176#97#732
3#176#98#33
3#176#99#402
3#176#100#134
3#176#101#462
3#176#102#156
3#176#103#63
3#176#123#567
3#176#131#551
3#176#170#112
3#176#292#267
3#176#365#56
3#176#366#404
3#176#367#279
3#176#1465#1
