ifd0_make#ifd0_model#ifds_ExifInteroperabilityOffset#Count
1#1##32
1#1#@ 0x0100#9
1#1#@ 0x010C#7
1#1#@ 0x0134#8
1#1#@ 0x0154#426
1#1#@ 0x0164#1
1#1#@ 0x0168#888
1#1#@ 0x0174#3
1#1#@ 0x0194#25
1#1#@ 0x01CD#26
1#2##55
1#2#@ 0x019C#79
1#2#@ 0x01A4#8
1#2#@ 0x01B0#1364
1#2#@ 0x01BC#1
1#2#@ 0x01D0#4
1#2#@ 0x01DC#2
1#2#@ 0x0201#514
1#2#@ 0x021C#3
1#169##7
1#1339#@ 0x0240#22
1#1339#@ 0x024C#99
1#1998#@ 0x024E#16
1#2318#@ 0x0AFE#150
2#3#@ 0x01A2#9
3#4##23182
3#13##3452
3#15##25807
3#15#@ 0x0496#10
3#31##20315
3#31#@ 0x0496#1
3#32##1960
3#34##8554
3#63##2199
3#87##1361
3#95##7875
3#137##2834
3#176##6747
3#460##1404
3#598##79
3#1082##700
3#1433##19
3#1636##113
3#2173##104
3#3617##122
3#3796##2
3#4037##14
3#4150##1
3#4177##16
4#5##1
4#5#@ 0x2712#3
4#5#@ 0x289E#161
4#6##18
4#6#@ 0x133A#1
4#6#@ 0x13EC#1
4#6#@ 0x16B6#1
4#6#@ 0x16F6#1
4#6#@ 0x1790#1
4#6#@ 0x1E3E#1
4#6#@ 0x2048#1
4#6#@ 0x22AA#1
4#6#@ 0x244A#1
4#6#@ 0x25E4#17
4#6#@ 0x25F0#1
4#6#@ 0x26DA#15
4#6#@ 0x26F0#836
4#6#@ 0x26FC#1436
4#6#@ 0x2700#1
4#6#@ 0x2722#5
4#6#@ 0x2808#1
4#45##219
4#45#@ 0x02BC#1
4#45#@ 0x03F5#21
4#45#@ 0x04B2#1
4#45#@ 0x04C6#5
4#45#@ 0x1EC4#1
4#45#@ 0x1ECF#1
4#45#@ 0x1ED0#2103
4#45#@ 0x1ED8#1
4#46##3
4#46#@ 0x049A#1
4#46#@ 0x28D0#3
4#46#@ 0x2A5C#1
4#46#@ 0x2A8A#41
4#46#@ 0x2AA0#1800
4#64##11
4#64#@ 0x02BD#23
4#64#@ 0x28C2#84
4#64#@ 0x2A4E#1025
4#64#@ 0x38F2#1
4#94#@ 0x2A2E#741
4#94#@ 0x2A54#1
4#94#@ 0x38D2#3
4#94#@ 0x38DE#1
4#103##112
4#103#@ 0x049A#3
4#103#@ 0x04C6#1
4#103#@ 0x1E00#276
4#103#@ 0x1E16#2371
4#103#@ 0x1E26#122
4#107#@ 0x2A40#1
4#107#@ 0x2BCC#62
4#109#@ 0x290A#277
4#131##75
4#131#@ 0x04BA#1
4#131#@ 0x04BC#1
4#131#@ 0x04C4#5
4#131#@ 0x04D0#2
4#131#@ 0x1AFC#1346
4#141##15
4#141#@ 0x209E#7
4#141#@ 0x20B4#314
4#141#@ 0x2144#95
4#141#@ 0x2F8E#1
4#175##90
4#175#@ 0x02BC#1
4#175#@ 0x1D36#3
4#175#@ 0x1D40#10
4#175#@ 0x1DD4#1
4#175#@ 0x1DF5#1
4#175#@ 0x1DF6#244
4#175#@ 0x1E0B#2
4#175#@ 0x1E0C#1509
4#187#@ 0x2A42#78
4#188##5
4#188#@ 0x2870#232
4#203##13
4#203#@ 0x04E9#1
4#203#@ 0x04EA#62
4#227##13
4#227#@ 0x02BD#7
4#227#@ 0x0474#3
4#227#@ 0x0480#1
4#227#@ 0x04B0#1
4#227#@ 0x2A44#9
4#227#@ 0x2A5A#1078
4#253##155
4#253#@ 0x02BB#1
4#253#@ 0x2F58#31
4#253#@ 0x2FB6#10
4#253#@ 0x31C4#89
4#253#@ 0x3584#2
4#253#@ 0x35CA#1
4#253#@ 0x35CC#4
4#253#@ 0x35D2#11
4#253#@ 0x35D6#2
4#261#@ 0x331E#19
4#266##103
4#266#@ 0x19E6#615
4#267##12
4#267#@ 0x19FC#406
4#268##150
4#268#@ 0x11DA#1
4#268#@ 0x3132#4
4#268#@ 0x3142#2
4#268#@ 0x31D6#25
4#268#@ 0x3310#6
4#268#@ 0x3354#177
4#268#@ 0x351E#6
4#268#@ 0x3542#6
4#268#@ 0x3562#639
4#269##32
4#269#@ 0x04A0#1
4#269#@ 0x04A6#2
4#269#@ 0x04B2#3
4#269#@ 0x04DC#1
4#269#@ 0x284E#19
4#269#@ 0x2864#2555
4#269#@ 0x2874#153
4#309##74
4#309#@ 0x2034#8
4#309#@ 0x2058#21
4#309#@ 0x21AA#942
4#309#@ 0x21C0#2893
4#309#@ 0x21D0#85
4#309#@ 0x2250#12
4#309#@ 0x2276#4
4#310##266
4#310#@ 0x02BC#39
4#310#@ 0x04B0#30
4#310#@ 0x04DC#23
4#310#@ 0x2A56#3
4#310#@ 0x2A62#41
4#310#@ 0x2BD2#21
4#310#@ 0x2BE1#7
4#310#@ 0x2BE2#19
4#310#@ 0x2BE8#1114
4#310#@ 0x2CE6#12
4#310#@ 0x2CFC#3104
4#327##13
4#327#@ 0x02DC#2
4#327#@ 0x1AFC#270
4#327#@ 0x1B00#3
4#328##1
4#328#@ 0x1AFC#85
4#334##9
4#334#@ 0x04BA#1
4#334#@ 0x2D5A#1
4#334#@ 0x2D66#8
4#334#@ 0x2F2A#94
4#334#@ 0x3156#634
4#376##47
4#376#@ 0x1DD2#42
4#376#@ 0x1DE8#782
4#387#@ 0x048A#1
4#387#@ 0x2BC4#433
4#399#@ 0x2E0C#2
4#400#@ 0x02BB#4
4#400#@ 0x04BA#7
4#400#@ 0x04C6#11
4#400#@ 0x0CFC#1
4#400#@ 0x29A4#1
4#400#@ 0x2BE8#415
4#400#@ 0x2CFC#390
4#407##1
4#407#@ 0x347C#227
4#428#@ 0x2872#67
4#428#@ 0x29FE#34
4#429##39
4#429#@ 0x1D4A#5
4#429#@ 0x1E00#1
4#429#@ 0x1E0A#7
4#429#@ 0x1E16#1096
4#429#@ 0x2D7A#1
4#453##16
4#453#@ 0x04BA#2
4#453#@ 0x1930#106
4#453#@ 0x19FC#246
4#454##28
4#454#@ 0x1AF4#3
4#454#@ 0x1AFC#1514
4#454#@ 0x1B00#2
4#454#@ 0x1B08#2
4#482##207
4#482#@ 0x01AC#1
4#482#@ 0x01B6#3
4#482#@ 0x049A#19
4#482#@ 0x103A#1
4#482#@ 0x15EE#1
4#482#@ 0x1670#1
4#482#@ 0x16EE#1
4#482#@ 0x1776#1
4#482#@ 0x17B8#1
4#482#@ 0x18D8#1
4#482#@ 0x1934#1
4#482#@ 0x1B0C#1
4#482#@ 0x1B6E#1
4#482#@ 0x1BBA#1
4#482#@ 0x1BEA#1
4#482#@ 0x1C96#1
4#482#@ 0x1D1A#1
4#482#@ 0x1D36#1
4#482#@ 0x1D38#1
4#482#@ 0x1DAC#1
4#482#@ 0x1DEE#1
4#482#@ 0x1E0E#1
4#482#@ 0x1F4C#1
4#482#@ 0x20B4#1
4#482#@ 0x222A#1
4#482#@ 0x26A4#6
4#482#@ 0x2758#8
