ifd0_make#ifd0_model#ifds_SubjectLocation1#Count
1#1##1425
1#2##2030
1#169##7
1#1339##121
1#1998##16
1#2318##150
2#3##9
3#4##2901
3#4#1000, 1099, 610, 612#1
3#4#1000, 1351, 610, 612#1
3#4#1003, 1184, 610, 612#2
3#4#1003, 1493, 610, 612#1
3#4#1006, 1493, 610, 612#1
3#4#1006, 935, 610, 612#1
3#4#1010, 1471, 610, 612#1
3#4#1010, 1782, 610, 612#1
3#4#1010, 993, 610, 612#1
3#4#1011, 818, 609, 609#1
3#4#1013, 1904, 610, 612#1
3#4#1014, 1863, 221, 222#1
3#4#1015, 1548, 629, 631#1
3#4#1016, 1326, 610, 612#1
3#4#1019, 839, 610, 612#1
3#4#1021, 1776, 254, 254#1
3#4#1023, 1208, 486, 484#2
3#4#1026, 969, 610, 612#1
3#4#1027, 629, 221, 222#1
3#4#1029, 1133, 610, 612#1
3#4#1029, 1361, 610, 612#1
3#4#1029, 984, 610, 612#1
3#4#1032, 1369, 231, 232#1
3#4#1032, 1906, 610, 612#1
3#4#1035, 1701, 609, 612#1
3#4#1036, 1118, 610, 612#1
3#4#1036, 1321, 610, 612#1
3#4#1039, 1381, 610, 609#1
3#4#1040, 1154, 293, 293#1
3#4#1041, 1465, 603, 607#1
3#4#1042, 1488, 610, 612#1
3#4#1046, 1293, 221, 222#1
3#4#1048, 429, 359, 270#1
3#4#1051, 1309, 603, 612#1
3#4#1052, 1270, 610, 612#1
3#4#1052, 1828, 610, 612#1
3#4#1055, 1209, 610, 612#1
3#4#1055, 1253, 610, 612#1
3#4#1055, 1554, 610, 612#1
3#4#1056, 1000, 607, 607#1
3#4#1058, 1184, 610, 612#1
3#4#1061, 1521, 251, 252#1
3#4#1061, 593, 231, 232#1
3#4#1061, 635, 375, 376#1
3#4#1062, 1035, 610, 612#2
3#4#1062, 1184, 610, 612#1
3#4#1062, 815, 610, 612#1
3#4#1063, 825, 600, 609#1
3#4#1065, 1184, 610, 612#1
3#4#1068, 1317, 610, 612#1
3#4#1072, 1368, 610, 612#1
3#4#1075, 1018, 610, 612#1
3#4#1075, 864, 610, 612#1
3#4#1076, 1822, 221, 222#1
