ifds_FocalPlaneXResolution ,Count
1944000/213, 53
1944000/214, 53
194758/51, 24
195065/44, 1
1960784/243, 1
1960784/244, 1
1960784/291, 5
1960784/293, 2
19634/1, 1
1963636/244, 3
1966079/131, 2
1966079/156, 4
1988/1, 3
1992/1, 1
2000000/173, 9
2000000/206, 5
2000000/244, 1
2006/1, 30
2014399/347, 2
2014814/225, 4
2016000/126, 2
2016492288/262144, 1
2017/1, 32
2025/100000000, 100
2025000/225, 5
20253/1, 2
2025600/283, 4
2029/1, 2
202953/35, 20
202979/43, 20
2043/1, 5
2047999/175, 2
2047999/207, 1
2047999/208, 11
2047999/224, 2
2048000/166, 125
2048000/175, 392
2048000/179, 446
2048000/181, 2
2048000/194, 103
2048000/206, 4
2048000/207, 831
2048000/208, 5334
2048000/215, 35
2048000/219, 7
2048000/224, 1203
2048000/225, 4452
2048000/278, 712
2048000/283, 1084
2048000/284, 1361
2048000/286, 239
2048000/595, 557
2048000/892, 1321
2050/100000000, 186
2056/1, 5
20566/1, 1
2066/1, 1
207302/39, 29
2080/1, 176
2083/1, 41
2092/1, 2724
2097/1, 2
2097152/610, 3
2097152/914, 4
2097230/158, 1
2100000/146, 32
2101/1, 7
2105/1, 8
2112000/169, 705
2112000/170, 2
2112000/181, 58
2112000/215, 52
2112000/220, 8
211917/14, 3
2129999/210, 3
2130000/168, 1
2144000/243, 3
2147/1, 1
214841/38, 1
2151/1, 3
2160000/181, 1
2160000/183, 5
2160000/243, 1
2160000/892, 215
2162/1, 3
2167/1, 19
2174/1, 239
2182/1, 27
2185/1, 6
2186/1, 3
2187/1, 1
219/3648, 4
2200/100000000, 146
2200000/225, 5
2222/1, 10
2227/1, 6
2234482/244, 2
2245/1, 1
22458/1, 1
2251851/226, 2
2251851/241, 29
2251851/287, 1
2251851/292, 13
2256000/878, 944
2271999/224, 6
2271999/280, 9
2272000/188, 954
2272000/210, 947
2272000/224, 4083
2272000/225, 2892
2272000/226, 28
2272000/229, 22
2272000/241, 1505
2272000/280, 8021
2272000/287, 475
2272000/292, 496
2272000/347, 218
2272256/280, 2
2280000/241, 1
2286/39062500, 2
2297/1, 8
2304/1, 1
2304000/146, 1
2304000/159, 7
2304000/168, 90
2304000/169, 1033
2304000/200, 104
2304000/213, 451
2304000/242, 40
2304000/582, 1399
2304000/593, 33
2304000/595, 118
2304000/597, 21
2326528/286, 16
2327/1, 1
2330/1, 1
2336000/590, 217
2336000/754, 38
2336000/756, 66
2342000/756, 20
2352000/894, 1072
2370/1, 6
2381/1, 216
23889/1, 1
2392/1, 32
2392064/907, 5
2397/1, 9
2398222/219, 1
2400000/131, 2
2400000/155, 1
2400000/156, 1
2400000/224, 2
2400000/225, 16
2400000/284, 5
2405/1, 243
2408/1, 2
2409/1, 43
2415/1, 59
2419679/158, 1
2419679/210, 1
2424242/244, 1
2427/1, 202
2427259/225, 10
2427259/284, 4
242746/85, 4
2439/1, 27
2440/1, 1
2442/1, 36
2443/1, 5
2448/1, 9
2448000/1290, 198
2448000/169, 792
2448000/182, 17
2448000/183, 12
2448000/214, 87
2448000/219, 59
2448000/260, 61
2453/1, 75
2457600/156, 9
2457600/168, 1
2460375/212, 1
2462/1, 50
2466/1, 5
2469135/244, 1
2469135/291, 2
2496000/1415, 16
2496000/874, 2572
249863/20, 27
249863/5, 14
2500/100000000, 338
2500000/173, 7
2500000/206, 9
2500799/206, 1
2505/1, 1
2530/100000000, 114
2531/1, 1
2532/1, 7
25352/1, 2
2540/39062500, 8
2544000/1131, 55
2544000/1136, 37
2544000/885, 478
2550000/225, 9
2550000/286, 2
2557/1, 1
2560000/175, 1
2560000/206, 2
2560000/207, 1
2560000/208, 18
2560000/225, 2
2560000/241, 3
2568/1, 141
2570/1, 1
2574/1, 1
257877/53, 12
2578963/225, 16
2589/1, 1
2591/1, 1
2592000/171, 58
2592000/182, 4
2592000/194, 427
2592000/219, 3
2592000/224, 225
2592000/225, 10797
2592000/243, 268
2592000/244, 1286
2592000/283, 4639
2592000/284, 1402
2592000/286, 334
2592000/291, 485
2592000/292, 420
2592000/582, 1065
2592000/583, 577
2592000/905, 1424
2592000/907, 321
2599/1, 4
2611/1, 6
2618182/242, 3
261863/59, 18
2621439/207, 2
2621439/208, 32
2621439/224, 1
2621439/278, 3
2621440/208, 3
2622/1, 10
2631/1, 111
263100000/100000, 4
2654208/286, 7
2662/1, 78
2662500/168, 3
2662800/210, 4
2672/1, 1
2674/1, 17
267541/20, 1
2678/1, 1028
2688/1, 29
2693/1, 159
2700/100000000, 996
2704000/937, 126
2718/1, 11
2720000/958, 14
2725926/292, 3
2730666/169, 5
2730666/213, 1
2736000/170, 24
2736000/178, 23
2736000/181, 325
2736000/215, 244
2736000/219, 24
2740/1, 2
2741/1, 28
27546/1, 1
2775/100000000, 219
277536/47, 3
2777/1, 19
2783/1, 1
2784000/1419, 2
2784000/1459, 924
2796543/280, 3
2800/1, 49
2801/1, 39
2805/1, 192
2816000/1107, 2
2816000/225, 10737
2816000/226, 98
2816000/229, 17
2816000/241, 2647
2816000/244, 15
2816000/287, 634
2816000/292, 756
2816000/293, 141
2816000/876, 1016
2816000/877, 2082
2822/1, 12
2830/1, 1
2836/1, 2
2839999/224, 3
2839999/280, 18
2840000/188, 1
2840000/224, 12
2848000/584, 484
2848000/595, 16
2850000/241, 21
2850000/287, 1
2850000/292, 4
285583524/100000, 9
2860447/347, 14
2873/1, 1
2876/1, 1
28836/10, 1
2904000/169, 2
2912000/942, 208
2916000/169, 1
2928/1, 1
2933/1, 7
2944/1, 2
2949120/168, 1
2960/1, 1
2961/1, 17
2963/1, 3
296484864/262144, 561
2972444/219, 1
2977/1, 2
2986/1, 31
2996/1, 21
299929/22, 1
3000000/155, 3
3000000/182, 1
3000000/183, 109
3000000/219, 2
3000000/220, 2
3001/1, 5
3007/1, 61
30099/1, 1
3019/1, 29
3024599/210, 5
3025/1, 674
3034/1, 78
3053/1, 401
3054/1, 1
3057/1, 1
3058/1, 3
3071999/284, 1
3072000/156, 5
3072000/224, 842
3072000/225, 9884
