ifdg_GPSLatitude ,Count
0 deg 52 22.550, 1
0 deg 52 23.650, 1
0 deg 52 29.885, 1
0 deg 52 3.560, 1
0 deg 52 40.390, 1
0 deg 53 16.512, 2
0 deg 53 26.745, 1
0 deg 53 27.522, 1
0 deg 53 31.010, 1
0 deg 53 31.380, 1
0 deg 53 32.267, 1
0 deg 53 32.342, 1
0 deg 54 30.600, 2
0 deg 54 31.200, 1
0 deg 54 32.400, 3
0 deg 54 33.000, 12
0 deg 54 33.600, 3
0 deg 54 34.800, 1
0 deg 54 35.400, 2
0 deg 54 36.000, 1
0 deg 54 37.200, 1
0 deg 54 38.400, 3
0 deg 57 16.200, 1
0 deg 6 29.400, 1
0 deg 6 31.200, 1
0 deg 6 5.470, 1
0 deg 7 51.600, 1
0 deg 8 12.600, 1
0 deg 8 16.800, 1
0 deg 8 18.000, 1
0 deg 8 25.200, 1
0 deg 8 25.800, 1
0 deg 8 40.620, 11
0 deg 8 41.400, 1
0 deg 8 42.000, 1
0 deg 9 52.200, 1
1 deg 0 0.000, 4
1 deg 1 11.950, 1
1 deg 11 26.730, 1
1 deg 11 30.080, 1
1 deg 11 31.970, 1
1 deg 11 32.450, 1
1 deg 11 33.920, 1
1 deg 13 27.000, 1
1 deg 13 27.820, 2
1 deg 13 27.850, 1
1 deg 13 33.100, 1
1 deg 13 58.580, 1
1 deg 14 10.000, 2
1 deg 14 10.404, 1
1 deg 14 11.478, 1
1 deg 14 43.800, 2
1 deg 14 44.400, 1
1 deg 14 45.600, 1
1 deg 14 46.200, 5
1 deg 14 48.000, 1
1 deg 14 51.000, 1
1 deg 14 8.760, 9
1 deg 14 9.252, 1
1 deg 15 10.200, 1
1 deg 15 10.220, 1
1 deg 15 12.950, 1
1 deg 15 13.060, 1
1 deg 15 13.080, 1
1 deg 15 13.330, 3
1 deg 15 13.340, 2
1 deg 15 13.360, 2
1 deg 15 13.370, 1
1 deg 15 13.400, 2
1 deg 15 13.410, 4
1 deg 15 13.420, 1
1 deg 15 13.430, 1
1 deg 15 13.450, 1
1 deg 15 13.920, 1
1 deg 15 14.260, 4
1 deg 15 14.270, 4
1 deg 15 15.600, 1
1 deg 15 15.650, 1
1 deg 15 16.000, 5
1 deg 15 16.200, 1
1 deg 15 16.430, 2
1 deg 15 16.460, 2
1 deg 15 16.570, 1
1 deg 15 16.690, 1
1 deg 15 16.740, 2
