ifdg_GPSLatitude ,Count
13 deg 54 48.600, 3
13 deg 54 49.200, 2
13 deg 54 50.400, 3
13 deg 54 56.400, 3
13 deg 54 57.000, 2
13 deg 54 57.600, 1
13 deg 55 0.000, 1
13 deg 55 0.600, 1
13 deg 55 10.950, 1
13 deg 55 11.400, 1
13 deg 55 11.570, 1
13 deg 55 13.800, 2
13 deg 55 15.600, 1
13 deg 55 18.000, 2
13 deg 55 21.890, 1
13 deg 55 22.540, 1
13 deg 55 23.570, 1
13 deg 55 24.060, 1
13 deg 55 26.700, 1
13 deg 55 28.970, 1
13 deg 56 10.330, 1
13 deg 56 19.800, 1
13 deg 56 19.820, 1
13 deg 56 19.880, 1
13 deg 56 20.000, 2
13 deg 56 20.020, 2
13 deg 56 20.030, 1
13 deg 56 20.050, 1
13 deg 56 20.060, 2
13 deg 56 20.080, 1
13 deg 56 20.140, 1
13 deg 56 20.180, 1
13 deg 56 20.240, 1
13 deg 56 39.000, 1
13 deg 56 39.600, 6
13 deg 56 51.600, 3
13 deg 56 52.200, 5
13 deg 56 52.800, 5
13 deg 56 53.400, 3
13 deg 56 54.870, 1
13 deg 57 21.348, 1
13 deg 57 43.800, 1
13 deg 57 50.050, 2
13 deg 57 50.400, 1
13 deg 58 39.110, 3
13 deg 58 53.990, 1
13 deg 58 54.100, 1
13 deg 59 0.510, 1
13 deg 59 0.550, 1
13 deg 59 0.620, 1
13 deg 59 1.200, 2
13 deg 59 12.000, 2
13 deg 59 2.710, 1
13 deg 59 5.930, 1
13 deg 59 55.790, 1
13 deg 6 0.800, 1
13 deg 6 18.600, 2
13 deg 6 19.800, 2
13 deg 6 2.400, 1
13 deg 6 24.113, 1
13 deg 6 24.500, 1
13 deg 6 5.000, 1
13 deg 6 56.550, 1
13 deg 7 13.800, 2
13 deg 7 15.000, 3
13 deg 7 15.600, 19
13 deg 7 18.600, 4
13 deg 7 19.510, 1
13 deg 7 21.000, 1
13 deg 7 21.020, 1
13 deg 7 21.070, 1
13 deg 7 22.650, 1
13 deg 7 23.230, 1
13 deg 7 24.400, 1
13 deg 7 27.404, 1
13 deg 8 39.000, 1
13 deg 8 4.090, 2
13 deg 9 13.800, 1
13 deg 9 15.510, 1
13 deg 9 15.688, 1
13 deg 9 15.840, 1
13 deg 9 15.890, 1
13 deg 9 15.970, 3
13 deg 9 18.000, 2
13 deg 9 21.302, 1
13 deg 9 21.600, 1
13 deg 9 40.200, 1
13 deg 9 42.001, 2
13 deg 9 44.874, 1
13 deg 9 44.933, 1
13 deg 9 44.969, 1
13 deg 9 45.059, 1
13 deg 9 45.527, 1
13 deg 9 45.653, 1
13 deg 9 45.677, 1
13 deg 9 48.925, 1
13 deg 9 50.075, 1
13 deg 9 50.168, 2
13 deg 9 50.513, 1
13 deg 9 50.649, 1
13 deg 9 50.759, 1
13 deg 9 50.838, 1
13 deg 9 51.768, 1
13 deg 9 52.187, 2
13 deg 9 53.118, 1
13 deg 9 53.183, 1
13 deg 9 53.573, 1
13 deg 9 53.597, 1
13 deg 9 53.975, 2
13 deg 9 54.000, 2
13 deg 9 54.329, 2
13 deg 9 54.353, 1
13 deg 9 54.371, 1
13 deg 9 54.581, 1
13 deg 9 55.019, 2
13 deg 9 55.200, 1
13 deg 9 55.206, 1
13 deg 9 55.370, 1
13 deg 9 55.397, 2
13 deg 9 55.562, 1
13 deg 9 56.000, 2
13 deg 9 6.600, 3
14 deg 0 12.130, 1
14 deg 0 35.441, 1
14 deg 0 37.079, 1
14 deg 0 40.700, 2
14 deg 0 41.100, 1
14 deg 0 41.900, 1
14 deg 0 42.400, 1
14 deg 0 49.600, 1
14 deg 1 2.400, 1
14 deg 1 2.700, 1
14 deg 1 52.800, 1
14 deg 1 53.316, 1
14 deg 1 53.454, 1
14 deg 1 54.000, 1
14 deg 1 54.198, 1
14 deg 1 54.294, 2
14 deg 1 54.299, 1
14 deg 1 54.306, 1
14 deg 1 54.312, 1
14 deg 1 54.780, 1
14 deg 1 54.846, 1
14 deg 1 54.990, 1
14 deg 1 55.602, 3
14 deg 1 56.358, 1
14 deg 10 18.159, 4
14 deg 10 2.400, 1
14 deg 10 31.200, 1
14 deg 10 4.800, 2
14 deg 11 43.841, 1
14 deg 12 56.147, 1
14 deg 13 16.938, 1
14 deg 13 17.910, 1
14 deg 13 25.100, 1
14 deg 13 25.200, 1
14 deg 13 25.240, 1
14 deg 13 39.600, 1
14 deg 13 43.800, 1
14 deg 13 46.848, 2
14 deg 13 51.000, 1
14 deg 13 7.800, 1
14 deg 14 18.000, 1
14 deg 14 18.173, 1
14 deg 14 5.627, 1
14 deg 14 5.717, 1
14 deg 14 8.363, 1
14 deg 16 22.800, 1
14 deg 18 33.832, 1
14 deg 19 17.313, 1
14 deg 19 18.412, 1
14 deg 19 56.346, 2
14 deg 19 57.711, 1
14 deg 19 58.398, 1
14 deg 19 58.928, 2
14 deg 2 2.704, 1
14 deg 2 2.731, 1
14 deg 2 2.865, 1
14 deg 2 2.995, 1
14 deg 2 23.958, 1
14 deg 2 26.784, 1
14 deg 2 27.816, 1
14 deg 2 27.936, 1
14 deg 2 29.034, 1
14 deg 2 29.088, 1
14 deg 2 29.527, 1
14 deg 2 29.541, 1
14 deg 2 29.814, 1
14 deg 2 3.013, 1
14 deg 2 3.109, 1
14 deg 2 3.126, 1
14 deg 2 3.966, 2
14 deg 2 31.169, 1
14 deg 2 31.223, 1
14 deg 2 44.826, 1
14 deg 2 9.600, 1
14 deg 20 18.134, 1
14 deg 20 4.374, 5
14 deg 20 4.902, 3
14 deg 20 4.976, 5
14 deg 20 44.867, 1
14 deg 20 44.993, 1
14 deg 20 5.015, 1
14 deg 20 5.029, 2
14 deg 20 5.074, 3
14 deg 20 5.141, 1
14 deg 20 5.175, 1
14 deg 20 5.205, 2
14 deg 20 5.227, 2
14 deg 20 5.265, 1
14 deg 20 5.318, 1
14 deg 20 5.333, 5
14 deg 20 5.641, 1
14 deg 20 5.713, 1
14 deg 20 6.449, 1
14 deg 21 10.800, 1
14 deg 21 14.400, 2
14 deg 21 17.903, 1
14 deg 21 22.613, 1
14 deg 21 23.454, 1
14 deg 21 24.000, 3
14 deg 21 24.120, 1
14 deg 21 24.600, 1
14 deg 21 25.499, 1
14 deg 21 30.000, 1
14 deg 21 33.000, 1
14 deg 21 44.400, 1
14 deg 21 58.385, 1
14 deg 22 0.306, 2
14 deg 22 15.000, 1
14 deg 22 16.200, 1
14 deg 22 24.000, 1
14 deg 22 28.200, 2
14 deg 22 36.600, 1
14 deg 22 37.200, 1
14 deg 22 40.180, 1
14 deg 22 44.680, 1
14 deg 22 5.987, 5
14 deg 22 50.380, 1
14 deg 22 8.400, 1
14 deg 23 54.600, 1
14 deg 23 55.200, 1
14 deg 23 57.090, 2
14 deg 24 31.800, 1
14 deg 26 1.800, 1
14 deg 26 17.960, 2
14 deg 26 27.953, 1
14 deg 26 28.175, 1
14 deg 26 28.194, 1
14 deg 26 31.697, 1
14 deg 26 31.727, 1
14 deg 26 31.925, 1
14 deg 28 12.000, 1
14 deg 28 14.400, 1
14 deg 28 22.800, 1
14 deg 28 31.343, 1
14 deg 28 31.421, 1
14 deg 29 28.800, 1
14 deg 29 33.000, 1
14 deg 29 40.800, 2
14 deg 29 43.337, 1
14 deg 3 50.340, 1
14 deg 3 50.580, 1
14 deg 3 51.000, 1
14 deg 3 51.060, 1
14 deg 3 51.360, 3
14 deg 30 0.600, 7
14 deg 30 13.630, 1
14 deg 30 13.960, 1
14 deg 30 14.110, 1
14 deg 30 14.670, 1
14 deg 31 21.830, 1
14 deg 31 23.040, 1
14 deg 31 24.110, 1
14 deg 31 25.360, 1
14 deg 31 25.520, 1
14 deg 31 25.530, 1
14 deg 31 25.540, 1
14 deg 31 25.550, 1
14 deg 31 54.600, 1
14 deg 31 55.200, 1
14 deg 31 59.740, 1
14 deg 31 59.940, 1
14 deg 31 7.620, 2
14 deg 31 7.630, 1
14 deg 32 0.750, 1
14 deg 32 1.240, 1
14 deg 32 10.330, 1
14 deg 32 10.370, 1
14 deg 32 11.594, 1
14 deg 32 11.805, 1
14 deg 32 12.220, 1
14 deg 32 12.778, 1
14 deg 32 13.200, 2
14 deg 32 13.800, 2
14 deg 32 14.400, 1
14 deg 32 17.400, 2
14 deg 32 2.400, 1
14 deg 32 24.000, 2
14 deg 32 28.800, 7
14 deg 32 29.400, 11
14 deg 32 3.000, 2
14 deg 32 40.800, 1
14 deg 32 59.400, 1
14 deg 32 59.843, 1
14 deg 32 8.439, 1
14 deg 32 9.180, 1
14 deg 32 9.490, 1
14 deg 33 0.041, 1
14 deg 33 0.144, 1
14 deg 33 0.605, 1
14 deg 33 0.713, 1
14 deg 33 12.000, 2
14 deg 33 12.312, 1
14 deg 33 13.200, 11
14 deg 33 13.800, 2
14 deg 33 13.985, 3
14 deg 33 16.800, 1
14 deg 33 21.000, 1
14 deg 33 21.600, 8
14 deg 33 22.773, 1
14 deg 33 23.400, 2
14 deg 33 24.000, 1
14 deg 33 24.600, 1
14 deg 33 25.200, 1
14 deg 33 25.800, 1
14 deg 33 28.706, 1
14 deg 33 3.200, 1
14 deg 33 3.600, 1
14 deg 33 31.800, 1
14 deg 33 32.400, 1
14 deg 33 33.600, 1
14 deg 33 34.200, 1
14 deg 33 34.697, 2
14 deg 33 35.400, 1
14 deg 33 35.610, 1
14 deg 33 36.600, 4
14 deg 33 36.810, 1
14 deg 33 37.200, 2
14 deg 33 37.467, 1
14 deg 33 37.800, 1
14 deg 33 38.357, 1
14 deg 33 39.054, 1
14 deg 33 40.200, 2
14 deg 33 40.800, 2
14 deg 33 40.887, 1
14 deg 33 41.400, 1
14 deg 33 42.000, 3
14 deg 33 42.600, 1
14 deg 33 43.800, 1
14 deg 33 44.400, 1
14 deg 33 45.000, 1
14 deg 33 45.792, 1
14 deg 33 45.923, 1
14 deg 33 5.070, 2
14 deg 33 5.180, 1
14 deg 33 5.400, 1
14 deg 33 51.000, 1
14 deg 33 51.600, 2
14 deg 33 52.200, 7
14 deg 33 52.800, 6
14 deg 33 53.236, 1
14 deg 33 53.400, 8
14 deg 33 54.000, 3
14 deg 33 55.200, 1
14 deg 33 57.000, 1
14 deg 33 57.179, 1
14 deg 33 58.800, 1
14 deg 33 7.540, 1
14 deg 33 7.670, 2
14 deg 33 7.750, 1
14 deg 33 7.800, 1
14 deg 33 7.980, 1
14 deg 33 8.100, 1
14 deg 33 8.130, 1
14 deg 33 8.170, 1
14 deg 33 8.400, 6
14 deg 33 8.760, 1
14 deg 33 8.950, 1
14 deg 33 9.200, 1
14 deg 34 0.480, 13
14 deg 34 1.095, 1
14 deg 34 11.400, 1
14 deg 34 12.112, 1
14 deg 34 12.497, 1
14 deg 34 12.799, 1
14 deg 34 12.943, 1
14 deg 34 12.946, 1
14 deg 34 13.032, 2
14 deg 34 17.400, 1
14 deg 34 18.300, 1
14 deg 34 18.636, 1
14 deg 34 18.852, 1
14 deg 34 19.200, 2
14 deg 34 20.640, 1
14 deg 34 27.522, 1
14 deg 34 27.918, 7
14 deg 34 28.206, 5
14 deg 34 28.937, 4
14 deg 34 29.040, 7
14 deg 34 29.412, 1
14 deg 34 29.562, 1
14 deg 34 3.600, 1
14 deg 34 30.108, 1
14 deg 34 32.897, 6
14 deg 34 35.412, 3
14 deg 34 37.800, 1
14 deg 34 38.651, 1
14 deg 34 39.000, 1
14 deg 34 43.800, 2
14 deg 34 45.305, 1
14 deg 34 45.600, 2
14 deg 34 46.200, 1
14 deg 34 47.898, 2
14 deg 34 49.200, 1
14 deg 34 49.800, 1
14 deg 34 50.358, 1
14 deg 34 51.066, 2
14 deg 34 51.138, 1
14 deg 34 51.149, 2
14 deg 34 51.221, 2
14 deg 34 52.700, 1
14 deg 34 52.895, 1
14 deg 34 52.938, 1
14 deg 34 53.040, 1
14 deg 34 53.327, 1
14 deg 34 53.660, 1
14 deg 34 54.000, 1
14 deg 34 56.628, 1
14 deg 34 57.600, 1
14 deg 34 6.600, 1
14 deg 35 0.600, 1
14 deg 35 1.800, 1
14 deg 35 10.800, 1
14 deg 35 12.647, 1
14 deg 35 13.859, 1
14 deg 35 14.099, 1
14 deg 35 14.400, 1
14 deg 35 15.000, 1
14 deg 35 15.600, 1
14 deg 35 18.000, 4
14 deg 35 18.490, 2
14 deg 35 2.400, 1
14 deg 35 2.417, 2
14 deg 35 21.401, 1
14 deg 35 22.200, 1
14 deg 35 24.440, 1
14 deg 35 33.000, 1
14 deg 35 35.763, 1
14 deg 35 36.660, 1
14 deg 35 4.200, 1
14 deg 35 4.510, 1
14 deg 35 4.800, 3
14 deg 35 40.727, 1
14 deg 35 40.979, 1
14 deg 35 43.800, 1
14 deg 35 45.600, 1
14 deg 35 59.430, 1
14 deg 35 6.000, 1
14 deg 35 6.735, 1
14 deg 35 6.875, 1
14 deg 35 7.973, 17
14 deg 35 8.609, 1
14 deg 35 9.000, 3
14 deg 35 9.578, 1
14 deg 35 9.600, 1
14 deg 35 9.931, 1
14 deg 36 0.240, 1
14 deg 36 10.157, 1
14 deg 36 10.177, 2
14 deg 36 10.200, 3
14 deg 36 12.600, 3
14 deg 36 12.800, 1
14 deg 36 12.810, 1
14 deg 36 12.850, 1
14 deg 36 13.200, 8
14 deg 36 14.070, 1
14 deg 36 14.400, 3
14 deg 36 15.380, 1
14 deg 36 2.490, 1
14 deg 36 3.000, 2
14 deg 36 35.820, 1
14 deg 36 37.056, 1
14 deg 36 37.180, 1
14 deg 36 4.900, 1
14 deg 36 43.200, 2
14 deg 36 54.000, 1
14 deg 36 58.800, 1
14 deg 36 6.420, 1
14 deg 36 9.250, 1
14 deg 36 9.600, 2
14 deg 37 10.200, 1
14 deg 37 37.191, 1
14 deg 37 45.140, 1
14 deg 37 52.134, 2
14 deg 37 52.151, 1
14 deg 37 7.800, 6
14 deg 37 8.400, 2
14 deg 37 9.000, 4
14 deg 37 9.540, 1
14 deg 37 9.600, 5
14 deg 38 25.200, 5
14 deg 38 27.600, 1
14 deg 38 28.800, 4
14 deg 38 32.890, 1
14 deg 38 37.200, 1
14 deg 38 57.582, 1
14 deg 38 57.636, 1
14 deg 38 57.642, 2
14 deg 38 59.141, 1
14 deg 38 59.159, 1
14 deg 38 6.840, 1
14 deg 38 7.200, 1
14 deg 38 7.320, 1
14 deg 39 10.925, 1
14 deg 39 11.027, 1
14 deg 39 11.039, 1
14 deg 39 11.207, 2
14 deg 39 19.800, 1
14 deg 39 23.163, 1
14 deg 39 59.090, 1
14 deg 39 59.160, 1
14 deg 4 56.261, 1
14 deg 4 56.921, 1
14 deg 4 59.009, 1
14 deg 40 18.994, 1
14 deg 40 2.060, 1
14 deg 40 2.260, 1
14 deg 40 2.440, 1
14 deg 40 20.510, 1
14 deg 41 2.934, 1
14 deg 41 40.200, 5
14 deg 41 41.400, 1
14 deg 41 43.800, 1
14 deg 41 52.200, 1
14 deg 42 52.800, 1
14 deg 43 50.400, 1
14 deg 44 13.267, 1
14 deg 44 32.867, 1
14 deg 44 58.300, 1
14 deg 45 54.527, 1
14 deg 46 15.819, 2
14 deg 46 15.830, 2
14 deg 5 1.385, 1
14 deg 5 1.464, 1
14 deg 5 1.643, 1
14 deg 5 10.580, 1
14 deg 5 10.600, 1
14 deg 5 11.405, 1
14 deg 5 11.417, 1
14 deg 5 11.940, 1
14 deg 5 13.655, 1
14 deg 5 13.745, 1
14 deg 5 13.769, 1
14 deg 5 13.823, 2
14 deg 5 13.860, 1
14 deg 5 13.902, 1
14 deg 5 14.160, 1
14 deg 5 17.327, 1
14 deg 5 17.910, 1
14 deg 5 18.923, 1
14 deg 5 18.935, 1
14 deg 5 19.247, 1
14 deg 5 19.475, 1
14 deg 5 19.577, 1
14 deg 5 19.595, 1
14 deg 5 2.063, 1
14 deg 5 20.586, 1
14 deg 5 21.030, 1
14 deg 5 21.089, 1
14 deg 5 21.857, 1
14 deg 5 22.060, 1
14 deg 5 22.457, 1
14 deg 5 22.481, 1
14 deg 5 22.488, 1
14 deg 5 22.535, 1
14 deg 5 22.640, 1
14 deg 5 22.650, 1
14 deg 5 22.700, 1
14 deg 5 27.995, 1
14 deg 5 28.451, 1
14 deg 5 3.287, 1
14 deg 5 36.790, 3
14 deg 5 36.820, 1
14 deg 5 36.830, 1
14 deg 5 36.900, 1
14 deg 5 36.930, 2
14 deg 5 37.060, 1
14 deg 5 37.120, 1
14 deg 5 37.180, 1
14 deg 5 4.313, 1
14 deg 5 4.349, 1
14 deg 5 40.895, 1
14 deg 5 40.913, 1
14 deg 5 41.244, 1
14 deg 5 54.490, 4
14 deg 5 8.915, 1
14 deg 51 13.964, 15
14 deg 52 1.200, 1
14 deg 58 55.310, 1
14 deg 58 55.360, 1
14 deg 58 56.310, 2
14 deg 58 56.390, 1
14 deg 58 56.500, 2
14 deg 58 56.510, 1
14 deg 58 57.060, 1
14 deg 58 57.120, 2
14 deg 58 57.190, 1
14 deg 58 57.580, 1
14 deg 58 57.660, 1
14 deg 58 57.850, 1
14 deg 58 58.080, 1
14 deg 58 58.100, 1
14 deg 58 58.180, 2
14 deg 58 58.190, 1
14 deg 58 58.280, 1
14 deg 58 58.370, 1
14 deg 58 58.470, 1
14 deg 58 58.780, 1
14 deg 58 59.360, 2
14 deg 58 59.440, 1
14 deg 58 59.470, 1
14 deg 59 16.010, 1
14 deg 59 17.039, 1
14 deg 59 17.285, 1
14 deg 59 20.117, 1
14 deg 59 21.438, 1
14 deg 59 36.983, 1
14 deg 59 38.160, 1
14 deg 59 38.280, 1
14 deg 59 39.755, 1
14 deg 59 49.440, 1
14 deg 59 8.015, 1
14 deg 59 8.435, 1
14 deg 6 18.600, 1
14 deg 6 38.720, 1
14 deg 6 45.600, 1
14 deg 6 49.200, 2
14 deg 7 0.666, 1
14 deg 7 19.331, 1
14 deg 7 2.500, 1
14 deg 7 2.540, 1
14 deg 7 2.580, 2
14 deg 7 2.630, 1
14 deg 7 2.730, 1
14 deg 7 22.697, 2
14 deg 7 22.764, 1
14 deg 7 23.393, 1
14 deg 7 27.318, 1
14 deg 7 30.893, 1
14 deg 7 30.911, 1
14 deg 7 43.180, 1
14 deg 7 43.210, 1
14 deg 7 43.240, 1
14 deg 8 14.118, 5
14 deg 8 16.830, 1
14 deg 8 17.320, 2
14 deg 8 25.800, 1
14 deg 8 43.800, 1
14 deg 8 44.400, 1
14 deg 8 45.000, 2
15 deg 0 36.820, 1
15 deg 0 40.300, 2
15 deg 0 40.370, 1
15 deg 0 44.190, 1
15 deg 0 44.330, 1
15 deg 1 27.840, 2
15 deg 14 18.000, 2
15 deg 15 56.184, 1
15 deg 17 41.486, 1
15 deg 18 7.200, 1
15 deg 19 26.870, 1
15 deg 19 27.070, 1
15 deg 19 27.150, 1
15 deg 19 27.690, 1
15 deg 19 38.361, 1
15 deg 19 43.310, 1
15 deg 19 53.180, 1
15 deg 2 45.000, 1
15 deg 20 24.540, 1
15 deg 20 40.320, 1
15 deg 21 0.200, 1
15 deg 21 13.800, 1
15 deg 21 20.056, 1
15 deg 21 22.758, 1
15 deg 21 23.400, 1
15 deg 21 36.074, 1
15 deg 21 55.100, 2
15 deg 21 55.630, 7
15 deg 22 28.050, 3
15 deg 22 31.690, 2
15 deg 22 35.170, 1
15 deg 23 11.360, 1
15 deg 23 11.770, 1
15 deg 23 14.240, 5
15 deg 23 14.410, 1
15 deg 24 55.200, 2
15 deg 25 52.200, 1
15 deg 25 54.600, 2
15 deg 26 10.903, 1
15 deg 27 22.630, 1
15 deg 28 26.400, 1
15 deg 29 12.600, 1
15 deg 29 30.148, 4
15 deg 29 30.843, 2
15 deg 29 30.864, 1
15 deg 29 30.884, 3
15 deg 29 30.928, 1
15 deg 29 30.968, 1
15 deg 29 31.101, 1
15 deg 29 31.151, 2
15 deg 29 31.264, 1
15 deg 29 31.484, 1
15 deg 29 31.678, 1
15 deg 29 31.860, 1
15 deg 29 32.184, 1
15 deg 29 33.742, 1
15 deg 29 33.757, 1
15 deg 29 33.764, 1
15 deg 29 34.478, 2
15 deg 29 34.516, 1
15 deg 29 50.213, 1
15 deg 29 51.006, 3
15 deg 30 1.800, 1
15 deg 30 13.306, 1
15 deg 30 13.630, 1
15 deg 30 13.800, 1
15 deg 30 14.120, 1
15 deg 30 14.458, 2
15 deg 30 14.975, 1
15 deg 30 15.285, 3
15 deg 30 17.143, 1
15 deg 30 17.444, 2
15 deg 30 17.895, 1
15 deg 30 17.903, 1
15 deg 30 18.663, 1
15 deg 30 18.911, 3
15 deg 30 2.779, 1
15 deg 30 20.487, 2
15 deg 30 21.093, 1
15 deg 30 21.356, 2
15 deg 30 22.222, 4
15 deg 30 35.979, 1
15 deg 30 4.038, 2
15 deg 30 4.122, 1
15 deg 30 4.171, 1
15 deg 30 4.268, 1
15 deg 30 4.390, 1
15 deg 30 4.440, 1
15 deg 30 5.317, 2
15 deg 30 5.749, 1
15 deg 30 5.905, 1
15 deg 30 6.055, 4
15 deg 30 6.574, 2
15 deg 30 6.822, 1
15 deg 30 6.997, 3
15 deg 30 7.457, 1
15 deg 30 7.800, 1
15 deg 30 7.891, 4
15 deg 30 9.029, 1
15 deg 30 9.877, 1
15 deg 31 45.850, 1
15 deg 32 34.700, 3
15 deg 32 58.200, 1
15 deg 33 11.400, 1
15 deg 33 3.880, 2
15 deg 33 30.000, 1
15 deg 33 30.600, 1
15 deg 33 31.200, 1
15 deg 33 37.470, 2
15 deg 33 38.454, 1
15 deg 33 39.451, 1
15 deg 33 39.913, 2
15 deg 33 41.476, 1
15 deg 33 41.717, 1
15 deg 33 41.962, 2
15 deg 33 42.022, 1
15 deg 33 42.475, 1
15 deg 33 42.524, 1
15 deg 33 42.566, 2
15 deg 33 42.583, 1
15 deg 33 42.717, 6
15 deg 33 42.855, 1
15 deg 33 42.971, 1
15 deg 33 43.200, 1
15 deg 33 43.610, 2
15 deg 33 7.800, 1
15 deg 33 8.390, 1
15 deg 34 11.380, 2
15 deg 34 11.430, 1
15 deg 34 15.130, 1
15 deg 34 16.860, 1
15 deg 34 17.100, 1
15 deg 34 18.080, 5
15 deg 34 20.690, 1
15 deg 34 21.000, 1
15 deg 34 24.000, 1
15 deg 34 25.200, 1
15 deg 34 35.100, 1
15 deg 34 35.280, 1
15 deg 34 35.400, 1
15 deg 34 36.000, 1
15 deg 34 39.600, 1
15 deg 34 51.390, 1
15 deg 34 55.620, 4
15 deg 34 9.270, 1
15 deg 35 1.650, 1
15 deg 35 1.940, 2
15 deg 35 2.000, 1
15 deg 35 2.530, 2
15 deg 35 22.800, 1
15 deg 35 3.360, 1
15 deg 35 36.000, 2
15 deg 35 36.600, 2
15 deg 35 37.200, 1
15 deg 35 4.200, 1
15 deg 35 55.430, 1
15 deg 35 57.530, 2
15 deg 35 58.010, 1
15 deg 36 2.651, 1
15 deg 36 24.780, 1
15 deg 36 27.750, 1
15 deg 36 28.220, 1
15 deg 36 58.991, 1
15 deg 36 59.015, 1
15 deg 37 19.817, 1
15 deg 37 3.600, 2
15 deg 37 50.680, 1
15 deg 38 53.602, 1
15 deg 38 53.640, 1
15 deg 38 53.651, 1
15 deg 38 53.874, 1
15 deg 38 6.150, 4
15 deg 38 7.670, 3
15 deg 38 7.750, 2
15 deg 38 8.520, 3
15 deg 39 42.700, 1
15 deg 39 53.957, 1
15 deg 39 54.131, 1
15 deg 39 54.221, 1
15 deg 39 54.558, 1
15 deg 39 54.599, 1
15 deg 39 55.200, 1
15 deg 39 56.400, 1
15 deg 39 57.000, 1
15 deg 39 57.600, 2
15 deg 39 58.200, 3
15 deg 40 0.090, 2
15 deg 40 13.530, 1
15 deg 40 14.400, 1
15 deg 40 15.000, 2
15 deg 40 15.600, 1
15 deg 40 16.200, 1
15 deg 40 29.060, 1
15 deg 40 29.170, 1
15 deg 40 29.970, 7
15 deg 40 30.100, 2
15 deg 40 30.200, 1
15 deg 40 30.370, 2
15 deg 40 30.400, 2
15 deg 40 30.440, 1
15 deg 40 30.480, 1
15 deg 40 30.680, 2
15 deg 40 30.850, 3
15 deg 40 30.890, 2
15 deg 40 30.990, 1
15 deg 40 31.010, 1
15 deg 40 31.090, 1
15 deg 40 31.180, 1
15 deg 40 31.190, 1
15 deg 40 31.300, 1
15 deg 40 31.430, 1
15 deg 41 14.687, 1
15 deg 41 14.720, 1
15 deg 41 14.830, 1
15 deg 41 16.188, 1
15 deg 41 19.200, 1
15 deg 41 19.800, 1
15 deg 41 20.400, 1
15 deg 41 22.200, 1
15 deg 41 22.800, 1
15 deg 41 28.800, 1
15 deg 41 35.754, 1
15 deg 43 0.600, 2
15 deg 43 16.800, 3
15 deg 43 22.200, 1
15 deg 43 5.052, 1
15 deg 43 7.367, 1
15 deg 43 8.225, 1
15 deg 44 11.141, 1
15 deg 44 11.165, 1
15 deg 44 11.201, 1
15 deg 44 11.255, 1
15 deg 44 9.359, 1
15 deg 44 9.377, 1
15 deg 45 15.377, 1
15 deg 45 4.649, 1
15 deg 45 45.989, 1
15 deg 45 47.052, 1
15 deg 45 52.540, 1
15 deg 45 52.800, 1
15 deg 46 10.632, 1
15 deg 46 11.813, 1
15 deg 46 19.550, 1
15 deg 46 2.453, 1
15 deg 46 2.717, 1
15 deg 46 25.200, 1
15 deg 46 30.600, 1
15 deg 46 31.200, 3
15 deg 46 31.800, 1
15 deg 46 4.661, 1
15 deg 46 4.691, 1
15 deg 46 4.865, 1
15 deg 46 4.931, 1
15 deg 46 57.260, 1
15 deg 46 57.870, 1
15 deg 46 58.310, 1
15 deg 46 58.540, 1
15 deg 46 59.020, 1
15 deg 46 59.610, 1
15 deg 46 7.121, 1
15 deg 46 7.181, 1
15 deg 46 7.187, 1
15 deg 46 7.193, 2
15 deg 46 7.212, 1
15 deg 46 7.229, 1
15 deg 46 8.495, 1
15 deg 46 8.585, 1
15 deg 46 9.317, 1
15 deg 47 0.036, 2
15 deg 47 1.800, 1
15 deg 47 2.300, 1
15 deg 47 2.450, 1
15 deg 47 2.500, 1
15 deg 47 2.540, 1
15 deg 47 2.580, 1
15 deg 47 2.780, 1
15 deg 47 2.910, 1
15 deg 47 2.920, 1
15 deg 47 28.391, 1
15 deg 47 3.000, 3
15 deg 47 3.680, 1
15 deg 47 30.000, 1
15 deg 47 4.190, 1
15 deg 47 50.400, 1
15 deg 47 54.000, 1
15 deg 47 6.470, 1
15 deg 48 1.800, 1
15 deg 48 22.570, 1
15 deg 48 7.470, 1
15 deg 49 13.190, 1
15 deg 49 14.070, 1
15 deg 49 15.500, 1
15 deg 49 17.690, 1
15 deg 49 17.850, 1
15 deg 49 18.060, 1
15 deg 49 18.120, 1
15 deg 49 18.260, 1
15 deg 49 18.350, 1
15 deg 49 18.440, 1
15 deg 49 18.460, 1
15 deg 49 19.200, 1
15 deg 49 2.070, 1
15 deg 49 2.450, 2
15 deg 49 20.802, 1
15 deg 49 21.350, 1
15 deg 49 23.400, 1
15 deg 49 26.400, 1
15 deg 49 26.940, 1
15 deg 49 27.000, 1
15 deg 49 27.600, 1
15 deg 49 28.020, 1
15 deg 49 3.310, 2
15 deg 49 3.330, 1
15 deg 49 30.970, 1
15 deg 49 31.310, 1
15 deg 49 33.270, 1
15 deg 49 4.600, 1
15 deg 49 4.820, 1
15 deg 49 50.290, 2
15 deg 49 52.919, 1
15 deg 49 6.410, 1
15 deg 49 7.250, 1
15 deg 50 15.630, 1
15 deg 50 15.940, 1
15 deg 50 19.480, 2
15 deg 50 19.920, 1
15 deg 50 20.740, 1
15 deg 50 26.380, 1
15 deg 50 26.510, 1
15 deg 50 26.670, 1
15 deg 50 26.680, 1
15 deg 50 28.110, 1
15 deg 50 59.932, 1
15 deg 50 6.150, 1
15 deg 50 6.480, 1
15 deg 50 8.210, 1
15 deg 52 29.297, 1
