ifds_MakerNote ,Count
@ 0x02CA, 8514
@ 0x02CB, 202
@ 0x02CC, 1461
@ 0x02CD, 16
@ 0x02CE, 3062
@ 0x02D0, 1613
@ 0x02D1, 4
@ 0x02D2, 1146
@ 0x02D3, 16
@ 0x02D4, 4986
@ 0x02D5, 1
@ 0x02D6, 2746
@ 0x02D7, 18
@ 0x02D8, 1549
@ 0x02D9, 121
@ 0x02DA, 1643
@ 0x02DB, 9
@ 0x02DC, 835
@ 0x02DD, 7
@ 0x02DE, 37625
@ 0x02DF, 2
@ 0x02E0, 1287
@ 0x02E1, 14
@ 0x02E2, 1721
@ 0x02E3, 21
@ 0x02E4, 266
@ 0x02E5, 10
@ 0x02E6, 1212
@ 0x02E7, 29
@ 0x02E8, 2163
@ 0x02E9, 6
@ 0x02EA, 1147
@ 0x02EC, 2497
@ 0x02ED, 26
@ 0x02EE, 5330
@ 0x02F0, 4239
@ 0x02F1, 49
@ 0x02F2, 2351
@ 0x02F4, 9738
@ 0x02F5, 3
@ 0x02F6, 6129
@ 0x02F8, 736
@ 0x02F9, 6
@ 0x02FA, 4824
@ 0x02FB, 4
@ 0x02FC, 1551
@ 0x02FE, 1624
@ 0x0300, 10614
@ 0x0302, 827
@ 0x0303, 130
@ 0x0304, 376
@ 0x0305, 208
@ 0x0306, 325
@ 0x0307, 1
@ 0x0308, 468
@ 0x0309, 1
@ 0x030A, 666
@ 0x030C, 1210
@ 0x030D, 20
@ 0x030E, 912
@ 0x030F, 21
@ 0x0310, 1040
@ 0x0312, 742
@ 0x0313, 82
@ 0x0314, 6008
@ 0x0315, 1
@ 0x0316, 293
@ 0x0317, 1
@ 0x0318, 860
@ 0x0319, 2
@ 0x031A, 3489
@ 0x031B, 4
@ 0x031C, 1074
@ 0x031D, 7
@ 0x031E, 811
@ 0x031F, 3
@ 0x0320, 447
@ 0x0321, 7
@ 0x0322, 572
@ 0x0324, 959
@ 0x0325, 129
@ 0x0326, 4009
@ 0x0328, 1871
@ 0x0329, 2
@ 0x032A, 1820
@ 0x032B, 1
@ 0x032C, 2535
@ 0x032E, 14874
@ 0x0330, 1422
@ 0x0331, 34
@ 0x0332, 6997
@ 0x0333, 13
@ 0x0334, 9804
@ 0x0335, 47
@ 0x0336, 28
@ 0x0337, 3
@ 0x0338, 2593
@ 0x0339, 14
@ 0x033A, 31582
@ 0x033B, 9
@ 0x033C, 4995
@ 0x033D, 65
@ 0x033E, 507
@ 0x0340, 12836
@ 0x0341, 3
@ 0x0342, 525
@ 0x0343, 1
@ 0x0344, 4960
@ 0x0345, 1
