ifds_MakerNote ,Count
@ 0x4376, 334
@ 0x439C, 124
@ 0x44FA, 1
@ 0x44FE, 10
@ 0x4D39DE7A, 1
@ 0x50B2B2, 9
@ 0x51733DC7, 1
@ 0x5431, 1
@ 0x565A5F65, 1
@ 0x5A595A5B, 1
@ 0x5E5E5E5C, 1
@ 0x6040508, 3
@ 0x61616161, 1
@ 0x625A534D, 2
@ 0x62646563, 1
@ 0x630E, 1
@ 0x635A5996, 1
@ 0x642E92D6, 2
@ 0x683A, 1
@ 0x6C5C, 1
@ 0x6D341F97, 1
@ 0x6D6D6C6C, 1
@ 0x6E6E6D6C, 1
@ 0x6E6E6F6F, 1
@ 0x6F6E7070, 1
@ 0x6F6F6F6F, 5
@ 0x70707070, 1
@ 0x71717171, 1
@ 0x72727272, 1
@ 0x75757575, 5
@ 0x78787878, 6
@ 0x79797979, 1
@ 0x7A7B7A7A, 1
@ 0x7B7B7B7B, 1
@ 0x7E7E7E7D, 1
@ 0x800B7, 1
@ 0x800D3, 1
@ 0x8017E, 1
@ 0x801A6, 1
@ 0x801B7, 1
@ 0x807F7F7E, 5
@ 0x807F8080, 1
@ 0x80807F80, 1
@ 0x81818100, 1
@ 0x827D756F, 13
@ 0x84848484, 2
@ 0x8581A4A0, 1
@ 0x86878786, 1
@ 0x8889898A, 1
@ 0x908F8D8C, 7
@ 0x9200, 6
@ 0x9B00, 1
@ 0x9C00, 1
@ 0xA000, 2
@ 0xA82436C, 1
@ 0xB0A0908, 6
@ 0xB28C, 1
@ 0xB7349E5, 1
@ 0xB7547E5, 1
@ 0xBB8D57BD, 1
@ 0xC1B80001, 1
@ 0xD753F46F, 4
@ 0xF0BE49EB, 1
@ 0xF504402A, 1
@ 0xFBF4008A, 1
@ 0xFFFFFFFF, 190
