ifdg_GPSDestBearing ,Count
18401/817, 1
1841/1186, 1
18411/278, 1
18413/75, 1
184143/616, 1
18415/126, 1
18415/154, 1
18415/289, 1
18416/93, 1
18422/329, 1
18436/91, 1
1845/128, 1
18451/714, 1
18461/248, 1
18467/52, 1
18468/77, 1
18469/355, 1
184729/653, 1
18477/80, 1
18481/184, 1
18482/99, 1
184883/1154, 1
18507/2462, 2
18523/62, 1
18527/387, 1
18547/350, 1
185520/553, 1
185659/585, 1
18586/341, 1
185915/8179, 1
18595/274, 1
18599/409, 1
18618/139, 1
18629/775, 1
18648/121, 1
18650/161, 1
18653/285, 1
18658/139, 1
18668/165, 1
18671/337, 2
18676/267, 1
18677/261, 1
18686/243, 1
18687/133, 1
18691/511, 1
18695/54, 1
18695/74, 1
18697/162, 2
18711/556, 1
18719/103, 1
18724/145, 1
187277/647, 1
18731/108, 2
18735/53, 1
18737/166, 1
18740/77, 1
18749/176, 1
18775/488, 1
1879/26, 1
18790/100, 1
18790/73, 1
18799/190, 1
18801/517, 1
18802/633, 1
18808/81, 1
18817/666, 2
18827/595, 1
18831/125, 1
18831/163, 2
188353/2171, 1
18845/444, 1
188692/1327, 1
18871/87, 1
18881/104, 1
18884/355, 1
18893/1959, 1
18896/243, 1
1891/15, 1
18911/229, 1
189113/1188, 1
18919/84, 1
18921/319, 1
18925/58, 1
18928/59, 1
18931/180, 1
18937/140, 1
18941/60, 1
18950/73, 1
18951/241, 1
18953/325, 1
189550/713, 1
18961/158, 1
18962/121, 1
18965/823, 1
18966/97, 1
18971/385, 1
189711/746, 1
18973/208, 1
18973/71, 1
189745/571, 1
189747/583, 1
189754/605, 1
18987/3413, 1
18989/179, 1
18993/86, 1
18999/433, 1
19003/56, 1
19021/109, 1
190263/779, 1
19027/143, 1
19031/82, 1
19037/130, 1
19037/541, 1
19040/319, 1
19041/133, 1
19042/189, 1
19047/437, 1
19052/483, 1
19059/88, 1
19063/199, 1
19064/627, 1
19067/251, 1
19067/474, 1
19077/638, 1
19082/55, 1
19085/54, 1
19091/100, 1
19093/1787, 1
19115/59, 1
1912/55, 1
191260/593, 1
191276/789, 1
19133/75, 1
19135/512, 1
19147/466, 1
19151/72, 1
191527/645, 1
19156/81, 1
19158/359, 1
19183/510, 1
19189/126, 1
19189/214, 1
1919/20, 1
19196/137, 1
19196/961, 1
19203/181, 1
19206/131, 1
19207/530, 1
19211/387, 1
19216/129, 1
19220/83, 2
19223/340, 1
19234/145, 1
19238/633, 1
1924/83, 1
19253/140, 1
19254/197, 1
19263/266, 1
192730/863, 1
19276/85, 1
19289/111, 1
19289/154, 1
19299/197, 1
19299/701, 1
19307/6498, 1
19309/126, 1
19309/318, 1
193186/653, 1
19326/113, 1
19338/221, 1
1934/91, 1
19341/73, 1
193417/1347, 1
19345/687, 1
19346/173, 1
19350/79, 1
19352/1871, 1
19365/199, 1
19370/79, 1
19370/811, 1
19378/241, 1
19387/611, 1
193911/721, 1
19393/122, 1
1939837/13107, 1
19411/207, 1
19415/274, 1
19423/586, 1
19427/474, 1
19429/1451, 1
1943/132, 2
194323/990, 1
19435/101, 1
19439/85, 1
19441/214, 1
19441/244, 1
19447/55, 1
194665/603, 1
19467/139, 1
194707/740, 1
194751/860, 1
1948/165, 1
194810/909, 1
19493/123, 1
19499/219, 1
19501/137, 1
19507/324, 1
19513/450, 1
19521/55, 1
19526/111, 1
19527/119, 1
19531/487, 1
19535/678, 1
19539/212, 1
19543/308, 1
19563/272, 1
19565/73, 1
19571/168, 1
19572/265, 1
19579/264, 1
19583/130, 1
19583/84, 1
19589/282, 1
19589/659, 1
19596/1039, 1
19601/149, 1
19603/503, 1
19615/737, 1
19618/137, 1
196225/553, 2
19636/475, 1
19638/1549, 1
19639/58, 1
19643/101, 1
19647/125, 1
19649/472, 1
19651/1024, 1
19651/118, 1
19661/166, 1
19672/63, 1
19684/143, 2
196927/580, 1
19694/131, 1
19696/195, 1
19698/95, 1
19707/62, 1
19730/71, 1
19748/211, 1
19760/71, 1
19767/157, 1
19769/868, 1
1977/115, 1
19772/147, 1
19777/128, 1
197871/887, 1
19795/94, 1
198102/1123, 1
19814/401, 1
198174/553, 1
19819/414, 2
19821/8578, 1
19828/179, 1
19849/94, 1
19855/161, 1
19870/247, 1
19873/110, 1
19883/315, 1
19899/227, 1
19900/533, 1
19903/385, 1
19909/102, 1
199097/1818, 1
19912/121, 1
19940/8251, 1
19945/77, 1
19961/564, 3
19969/652, 1
19972/105, 1
19982/59, 1
20009/180, 1
20015/143, 1
20017/276, 1
20029/220, 1
20031/76, 1
20039/439, 1
20050/79, 1
20054/119, 1
20057/74, 1
20063/58, 1
20069/89, 1
20073/224, 1
20084/99, 1
20089/780, 1
20091/130, 1
20095/913, 1
201005/573, 3
20103/1007, 1
20107/193, 1
20123/56, 1
20135/372, 1
20145/107, 1
20152/1387, 1
20167/71, 1
20171/143, 1
20179/69, 1
20181/272, 1
20182/99, 1
20197/373, 1
20197/83, 1
20210/163, 1
20212/103, 1
20215/126, 1
20225/214, 1
20232/125, 1
20233/143, 1
20242/199, 1
20243/123, 2
20245/139, 1
20247/76, 1
20249/516, 1
20253/74, 1
20255/657, 1
20263/296, 1
20271/85, 1
202731/566, 1
20283/1360, 1
20289/119, 1
20297/204, 1
20301/2617, 1
20303/1244, 1
20305/226, 1
20311/141, 1
203114/849, 1
20312/75, 1
203293/2516, 1
20330/100, 1
20331/1700, 1
20340/139, 1
203607/1210, 1
20363/433, 1
20377/95, 1
203968/679, 1
20400/691, 1
20403/127, 1
20413/104, 1
20414/127, 1
20419/191, 1
20419/390, 2
2043/10339, 1
20438/215, 1
20447/135, 1
2045/3309, 1
20453/71, 1
20454/179, 1
20456/145, 1
20458/251, 1
20459/341, 1
20463/88, 1
20467/420, 1
2047/2048, 1
20479/4096, 1
20486/269, 1
205/16384, 1
2051/573, 1
20514/271, 1
20515/114, 1
20517/221, 1
20525/841, 1
20534/79, 1
20541/137, 1
20547/68, 1
20548/373, 1
20557/114, 1
205669/673, 1
20579/693, 1
20582/267, 1
20584/79, 1
20585/58, 1
205897/595, 1
205978/605, 1
20599/114, 1
20621/65, 1
20622/59, 1
20626/87, 2
20635/68, 1
206377/787, 1
206409/773, 1
20644/77, 1
206471/636, 1
20650/179, 1
20651/111, 1
20678/149, 1
20681/105, 1
206837/743, 1
20693/81, 1
20695/417, 1
20717/718, 1
20723/89, 1
20724/197, 1
207287/834, 1
20732/115, 1
20733/431, 1
20737/381, 1
20742/469, 2
20746/71, 1
20764/177, 1
207661/630, 1
207799/655, 1
20813/202, 1
20817/325, 1
208171/1542, 1
20820/469, 1
20827/425, 1
20833/88, 1
20840/187, 1
20849/70, 1
2085/166, 1
20867/107, 1
20879/182, 1
20881/100, 1
208849/1054, 1
20890/331, 1
208945/697, 1
20901/173, 1
20910/1621, 1
20915/302, 1
20924/1339, 1
20924/307, 1
20925/92, 1
20927/59, 1
20946/199, 1
20955/71, 1
209625/658, 1
20963/733, 1
20978/223, 1
20981/308, 1
21010/59, 1
21011/94, 1
21015/148, 1
21017/82, 1
21019/186, 1
21028/1443, 1
21029/1206, 1
21029/157, 1
21031/118, 1
21051/319, 1
210516/1249, 1
210661/592, 1
21071/246, 1
21074/153, 1
21075/89, 1
21091/110, 1
21097/148, 1
210998/629, 1
21100/113, 1
21103/93, 1
21105/74, 1
21111/133, 1
21122/687, 1
21137/164, 1
21149/62, 1
2116/67, 1
21169/146, 1
21194/1111, 1
212043/697, 1
21206/269, 1
21206/87, 1
21215/263, 1
21221/186, 1
21239/176, 1
21239/2091, 1
21248/229, 1
21251/1186, 1
21262/307, 1
21264/67, 1
21265/283, 1
21284/73, 1
21287/212, 1
21293/359, 1
21295/234, 1
21297/284, 1
21306/2659, 1
21307/476, 1
21314/321, 1
21329/387, 1
21336/241, 1
21338/217, 1
21342/275, 1
21347/170, 1
21351/64, 1
21355/224, 1
21357/1342, 1
2136/751, 1
21361/144, 1
21366/221, 1
21369/854, 1
21377/130, 1
213842/1095, 1
21388/917, 1
21401/92, 1
21409/106, 1
21412/81, 1
21415/68, 1
21433/70, 1
21441/74, 1
21448/13479, 1
21449/189, 1
214501/687, 1
21458/1217, 3
21466/73, 1
21475/288, 1
21476/915, 1
21491/2300, 1
21493/541, 1
21495/94, 2
21497/76, 1
21501/100, 1
21507/203, 1
2151/1337, 1
21511/165, 1
21512/97, 1
21517/174, 1
21520/63, 1
21529/167, 1
21538/399, 1
21541/75, 1
21547/297, 1
21549/92, 1
21560/93, 1
21569/317, 1
21569/96, 1
21582/131, 1
21591/73, 1
21593/80, 1
21603/74, 1
21607/189, 1
2161/35, 1
21616/421, 1
21625/376, 1
21625/789, 1
21636/83, 1
21647/336, 1
21661/168, 1
21667/160, 1
21668/357, 1
21677/171, 1
21685/62, 1
21692/79, 1
21695/119, 1
21699/1024, 1
21701/263, 1
217101/692, 1
21721/85, 1
21731/292, 1
21734/107, 1
21736/265, 2
217374/1571, 1
21740/577, 1
217471/866, 1
21757/87, 1
21758/103, 1
21791/524, 1
21800/100, 1
21805/314, 1
218083/861, 1
21813/592, 1
21813/68, 1
21820/187, 1
218297/655, 1
21831/302, 1
21849/64, 1
21854/121, 1
21856/129, 1
21857/316, 1
218791/704, 1
21883/71, 1
218848/891, 1
21899/142, 1
21899/162, 1
21899/65, 1
21903/257, 1
21909/65, 1
21911/61, 1
21917/82, 1
21917/94, 1
21927/302, 1
21928/351, 1
219341/702, 1
21937/238, 1
21943/76, 1
21949/69, 1
21961/3269, 1
21971/154, 1
21971/73, 1
21974/141, 1
21979/78, 1
2198/849, 1
21983/307, 1
21985/242, 1
21992/367, 1
21997/152, 1
22014/125, 1
220183/694, 1
22041/149, 1
22051/174, 1
22064/247, 1
22072/407, 1
22074/227, 1
22079/152, 1
22081/200, 1
220821/736, 1
22085/103, 1
22085/171, 1
221003/621, 1
22106/267, 1
221075/689, 1
22112/117, 1
22122/91, 1
22123/181, 2
221276/1911, 1
22135/101, 1
22135/91, 1
22139/69, 1
22140/100, 1
221441/813, 1
22145/141, 1
22146/95, 1
22153/420, 1
22184/71, 1
221947/654, 1
221962/1787, 1
22201/99, 1
22205/94, 1
22206/179, 1
22209/713, 1
22228/159, 1
22232/201, 1
22234/293, 1
22235/286, 1
22241/538, 1
22242/313, 1
22246/181, 1
22249/592, 1
22262/109, 1
222658/1253, 1
22268/121, 1
22277/5589, 1
22291/139, 1
22291/64, 1
22299/208, 1
22301/233, 1
22304/411, 1
22309/335, 1
223393/1079, 1
22340/299, 1
22349/92, 1
22353/109, 1
22357/98, 1
22371/85, 2
22378/369, 1
22379/444, 1
223823/798, 1
22383/107, 1
22385/156, 1
22388/97, 1
22391/145, 1
224027/750, 1
22417/457, 1
22421/69, 1
22425/196, 1
22427/68, 1
22441/81, 1
22453/200, 1
22453/202, 1
22454/381, 1
22456/157, 1
224574/629, 1
22459/173, 1
22466/115, 1
22467/256, 1
22467/97, 1
22468/141, 1
22468/63, 1
224743/927, 1
22477/363, 1
22478/303, 1
22487/1270, 1
22499/116, 1
22505/138, 1
22505/263, 1
22506/925, 1
22514/109, 1
22516/73, 3
22527/104, 1
22535/149, 1
22540/227, 1
22543/93, 1
22557/97, 1
22569/205, 1
225856/1671, 1
22586/169, 1
226123/1089, 1
22617/380, 1
22631/253, 1
22640/123, 1
226429/671, 1
22661/185, 1
22661/295, 1
22664/63, 1
22665/278, 1
22670/161, 1
22671/104, 1
22682/145, 1
22682/149, 1
22687/178, 1
22689/533, 1
22690/69, 1
22691/186, 1
22691/75, 1
22693/133, 1
22702/105, 1
22707/110, 2
22709/388, 1
22711/75, 1
227113/681, 1
22723/132, 1
22723/149, 1
22727/101, 1
22729/110, 1
22732/113, 1
22732/95, 2
22733/79, 1
227370/761, 1
227377/697, 1
22748/161, 1
22749/232, 1
22757/120, 1
22787/93, 1
22789/82, 1
22797/67, 1
2281/15, 1
22815/274, 1
22817/361, 1
22818/65, 1
22829/253, 1
22829/72, 1
22834/223, 1
22836/89, 1
22837/331, 1
228402/959, 1
22843/414, 1
22843/421, 1
22851/134, 1
22862/87, 1
22864/181, 1
22872/103, 1
22877/69, 1
22886/243, 1
22889/225, 1
2290/81, 1
22900/100, 1
22901/469, 1
22907/493, 1
22908/1315, 1
22921/70, 1
229265/712, 1
22936/143, 2
22937/290, 1
22937/383, 1
22942/97, 1
22943/133, 1
22947/476, 1
22951/904, 1
229526/863, 1
22957/131, 1
22959/107, 1
22961/135, 1
22963/141, 1
22973/186, 1
22985/219, 1
22997/310, 1
22997/349, 1
22999/258, 2
23020/351, 1
23021/99, 1
23022/101, 1
23023/309, 2
23047/144, 1
23049/202, 1
23050/281, 1
23052/223, 1
23059/159, 1
23062/67, 1
23069/140, 1
230735/1117, 1
230816/1043, 1
23083/65, 1
23087/66, 1
23108/77, 1
23125/246, 1
23127/67, 1
23131/302, 1
23144/91, 1
23161/156, 1
23162/183, 1
23177/219, 1
23184/209, 1
23189/65, 1
23191/106, 1
23192/207, 1
2321/199, 1
23213/78, 2
23218/203, 1
23220/67, 1
232284/877, 1
23232/481, 2
23234/81, 1
23237/71, 1
23243/72, 1
23251/558, 1
23252/69, 1
232697/1899, 1
23271/154, 1
232728/1043, 1
23284/97, 1
23307/112, 1
23312/119, 1
23312/193, 1
23317/320, 1
23327/453, 1
23329/121, 1
23331/1369, 1
23331/262, 1
23351/140, 1
23358/569, 1
23367/191, 1
23376/107, 1
23377/172, 1
233840/2727, 2
23387/174, 1
23400/100, 1
23418/247, 1
2342/717, 1
23430/89, 1
23433/205, 1
23437/259, 1
23437/66, 1
23446/271, 1
23455/207, 1
23459/410, 1
23462/1791, 1
2347/158, 1
23470/100, 1
23487/287, 1
23488/89, 1
234889/934, 1
23489/252, 1
235/32, 1
23501/149, 1
23501/189, 1
23505/74, 1
23517/307, 1
23519/107, 1
23524/357, 1
23535/793, 1
23545/207, 1
23545/491, 1
23548/103, 1
23553/94, 1
23554/165, 1
23554/871, 1
23559/97, 1
23568/179, 1
23580/97, 1
23581/74, 1
23590/261, 1
23591/150, 1
235979/721, 1
23599/211, 1
23613/77, 1
23633/95, 1
23648/287, 1
23653/512, 1
23658/191, 1
236591/744, 1
23665/491, 1
23673/116, 1
23674/299, 1
23680/149, 1
236881/1008, 1
23691/421, 1
23693/71, 1
23705/142, 1
23707/661, 1
23710/313, 1
23714/799, 1
237230/701, 1
23728/109, 1
23728/131, 1
23731/93, 1
23733/143, 2
23743/73, 1
23747/72, 1
23753/203, 1
23753/211, 1
23763/134, 1
23769/343, 1
237709/1142, 1
237792/1015, 2
23787/1759, 1
23789/351, 1
23791/263, 1
23794/73, 1
23798/221, 1
23809/400, 1
23825/82, 1
23831/131, 1
238445/1084, 1
23849/148, 1
23851/91, 1
23853/70, 1
23869/640, 1
23878/93, 1
23879/106, 2
23888/331, 1
2389/28, 1
23890/100, 1
23909/298, 1
23911/616, 1
23917/185, 1
23917/86, 1
23918/421, 1
23926/919, 1
23930/67, 1
23930/89, 1
23937/148, 1
23938/89, 1
23943/79, 1
23958/1031, 2
239581/719, 1
23960/237, 2
23963/100, 1
2397/3139, 1
23985/214, 1
23999/160, 1
23999/213, 1
24007/324, 1
24016/71, 1
24019/131, 1
24028/89, 1
24031/235, 1
24033/259, 1
24074/257, 1
24089/292, 1
24089/90, 1
24091/76, 1
24093/142, 1
24094/67, 1
24099/2170, 1
241099/684, 1
2411/110, 1
24130/93, 1
24131/143, 1
241338/929, 1
24143/78, 1
24145/101, 1
24146/143, 1
24160/100, 1
24163/960, 1
24169/208, 1
2417/22, 1
24175/462, 1
24182/629, 1
24194/533, 1
24204/103, 1
24211/147, 1
24212/635, 1
24218/249, 1
24220/131, 1
24226/99, 1
24240/653, 1
24241/80, 1
24242/4089, 1
24257/154, 1
24257/207, 1
24265/163, 1
24267/530, 1
24275/161, 1
24275/231, 1
24277/149, 1
24277/280, 1
24278/113, 1
242781/8192, 1
24297/160, 1
24298/111, 1
24299/120, 1
24305/192, 1
24311/79, 1
243135/758, 1
24328/261, 1
24334/113, 1
24352/93, 1
24353/72, 1
24355/87, 1
24357/401, 1
24366/163, 1
24380/99, 1
24381/136, 1
243913/1198, 1
24407/82, 1
24414/259, 1
24419/213, 1
24421/160, 1
24422/229, 1
24425/443, 1
24429/146, 1
24434/169, 1
244433/1023, 1
244477/707, 1
2445/131, 1
244543/804, 1
24455/371, 1
24460/77, 1
24467/776, 1
24467/95, 1
2447/1886, 1
24471/130, 1
24472/327, 1
24476/69, 1
24478/105, 1
24481/74, 1
24493/163, 1
24507/257, 1
24511/394, 1
24525/326, 1
24538/327, 1
24539/248, 1
24547/164, 1
24565/367, 1
24586/843, 1
24589/92, 1
24590/177, 1
24598/255, 1
24601/129, 1
24601/296, 1
246029/883, 1
2461/19, 1
2462/119, 1
2462329/7943, 1
24631/551, 1
24640/507, 1
24642/179, 1
24642/287, 1
24645/103, 1
24651/193, 1
24676/197, 1
24677/202, 1
24693/109, 2
24710/251, 1
24721/182, 1
24725/206, 1
24743/213, 1
24752/71, 1
24788/195, 1
24791/642, 1
24799/173, 1
24800/100, 1
248089/1365, 1
2481/7, 1
24816/389, 1
24818/199, 1
24819/74, 1
24827/893, 1
24835/78, 1
24846/539, 1
24857/125, 1
24859/239, 1
24877/208, 1
24881/70, 1
248812/743, 1
24883/95, 1
24889/198, 1
24892/89, 1
24898/147, 1
24899/80, 1
24905/118, 1
24914/379, 1
24920/191, 1
24930/103, 1
24940/887, 1
24949/259, 1
24956/137, 1
24959/780, 1
24960/83, 1
24977/82, 1
24981/125, 1
24988/199, 1
249973/8192, 1
2500/111, 1
250012/2719, 1
25012/93, 1
25013/72, 1
25014/293, 1
25021/2004, 1
25024/99, 1
25031/198, 1
25031/85, 1
25038/103, 1
25048/195, 1
25061/1090, 1
25063/214, 1
25067/89, 1
25089/179, 1
25089/406, 1
25091/426, 1
25091/95, 1
25097/81, 1
25099/80, 1
25106/249, 1
25127/79, 1
25136/71, 1
25143/77, 1
25148/151, 1
25148/405, 1
25150/169, 1
25154/297, 1
25155/461, 1
25166/89, 1
25177/410, 1
25181/822, 1
25184/447, 1
25189/856, 1
25201/4096, 1
252188/817, 1
25232/343, 1
25237/73, 1
25239/178, 1
25239/224, 1
25245/112, 1
25251/248, 1
25263/146, 1
25267/265, 1
25285/96, 1
25290/71, 1
25291/309, 1
25310/661, 1
25317/181, 1
25319/493, 1
25322/91, 2
25349/158, 1
25354/123, 1
25357/75, 1
25357/94, 2
25360/719, 1
25367/128, 1
25391/174, 1
25391/239, 1
25393/349, 1
25400/100, 1
25404/793, 1
25412/355, 1
25413/1145, 1
25417/100, 1
25421/249, 1
25429/417, 1
25430/100, 1
25434/263, 1
25435/336, 1
25436/257, 1
25441/163, 1
25444/99, 1
25465/283, 1
25469/168, 1
25475/199, 1
25476/269, 1
25491/238, 1
25507/870, 1
25507/93, 1
25523/128, 1
25525/169, 1
25525/73, 1
25533/518, 1
25538/513, 1
25542/85, 1
25559/201, 1
25561/110, 1
255637/997, 1
25567/73, 1
25571/116, 1
25578/85, 1
25590/421, 1
25597/177, 1
25599/548, 1
25603/117, 1
25603/166, 1
25607/263, 1
25617/94, 1
25627/436, 1
25638/91, 1
25659/139, 1
25671/152, 1
25677/274, 1
25687/178, 1
25687/332, 1
25691/194, 1
25703/160, 1
25708/291, 1
25711/83, 2
25714/183, 1
25724/455, 1
25735/103, 1
257365/1032, 1
25743/85, 1
25744/73, 2
25746/85, 1
25768/287, 1
25771/243, 1
2579/167, 1
25794/241, 1
25812/281, 1
25813/121, 1
25825/131, 1
25825/282, 1
25846/183, 1
25851/106, 1
25854/115, 1
25861/80, 1
25865/72, 1
25877/93, 2
25880/823, 1
25887/202, 1
25897/730, 1
25913/1024, 1
25915/1733, 3
259177/831, 1
25927/118, 1
25933/132, 1
25937/138, 1
25946/295, 1
25954/103, 1
25961/314, 1
25973/385, 1
25976/639, 1
25991/82, 1
25998/109, 1
26011/199, 1
260177/1011, 1
26024/235, 1
26030/87, 1
26037/115, 1
260401/2164, 1
26048/107, 1
26067/100, 1
26070/149, 1
26087/292, 2
2609/346, 1
26093/256, 1
261083/1017, 1
26111/116, 1
26114/183, 1
26117/132, 1
26121/271, 1
26122/75, 1
26129/810, 1
26141/121, 1
26143/313, 1
26144/227, 1
26148/569, 1
26153/149, 1
26153/936, 1
26162/163, 1
26164/365, 1
26173/103, 1
26173/298, 1
26197/133, 1
26199/98, 1
26203/1181, 1
26209/205, 1
26219/121, 1
26224/95, 1
26225/98, 1
26237/943, 1
26238/497, 1
26273/267, 1
26286/127, 1
262885/1674, 1
26293/79, 1
262941/1051, 1
26295/109, 1
26297/255, 1
26311/1855, 1
26311/281, 1
26312/111, 1
26317/193, 1
26319/85, 1
26321/149, 1
26321/334, 1
26329/136, 1
26329/266, 1
26330/193, 1
26339/126, 1
26345/158, 2
2635/1894, 1
26351/495, 1
26356/133, 1
26360/149, 1
26369/3092, 1
26389/104, 1
26404/85, 1
26407/515, 1
2641/26, 1
26419/121, 1
26423/107, 1
26423/254, 1
26428/157, 1
26429/184, 1
26435/253, 1
26443/362, 1
26444/405, 1
26459/83, 1
26463/314, 1
26483/194, 1
26483/200, 1
26484/235, 1
264909/1156, 1
26491/255, 1
26507/283, 1
26514/205, 1
26524/163, 1
26528/111, 1
26538/2333, 1
26543/217, 1
26549/206, 1
26551/318, 1
26555/129, 1
26557/145, 1
26559/1906, 1
26567/128, 1
26569/304, 1
26571/197, 1
26573/187, 1
26587/229, 1
26589/101, 1
26601/313, 1
26633/108, 1
26635/184, 1
26645/89, 1
26647/363, 1
26659/189, 1
26661/167, 1
26667/269, 1
26672/215, 1
26683/78, 1
26684/79, 1
267133/1870, 1
26717/2511, 1
2673/530, 1
26737/229, 1
26739/221, 1
2674/37, 1
26740/261, 1
26744/531, 1
267539/1092, 1
267580/783, 1
26768/285, 1
2677/79, 1
267703/2048, 1
26783/268, 1
26785/93, 1
26788/101, 1
2679/1556, 1
26797/246, 1
26801/78, 1
26806/141, 1
26809/111, 1
26819/133, 1
26819/350, 1
26820/1537, 1
26821/258, 1
26824/83, 1
26840/1209, 1
26845/92, 1
26855/86, 1
26860/201, 1
26861/127, 1
26877/106, 1
26880/199, 1
26881/231, 1
26887/88, 1
26902/129, 1
269124/761, 1
26920/403, 1
26920/97, 1
26929/330, 1
26934/283, 1
26938/111, 1
26939/122, 1
26947/118, 1
26947/854, 1
26950/169, 1
26954/277, 1
26962/151, 2
26994/83, 1
27002/109, 1
27011/101, 1
27012/191, 1
27014/113, 1
27031/186, 1
27039/100, 1
27048/725, 1
27071/101, 1
27077/201, 1
27087/202, 1
27095/87, 1
27107/279, 1
27116/331, 1
27123/101, 1
27123/197, 1
27138/917, 1
27140/153, 1
27156/271, 1
27158/103, 1
27159/127, 1
27164/195, 1
27166/213, 1
27183/94, 1
27184/111, 1
27185/459, 1
27188/157, 1
27190/141, 1
27197/89, 1
27201/254, 1
27207/331, 1
27213/881, 1
272199/2284, 1
27226/203, 1
27228/157, 1
27234/79, 1
27247/270, 1
27259/211, 1
27261/82, 1
27263/84, 1
27267/197, 1
27276/365, 1
27278/197, 1
27279/367, 1
27306/119, 1
27309/319, 1
27313/131, 1
27330/113, 1
27340/181, 1
273405/806, 1
27343/98, 1
27354/197, 1
27356/213, 1
27357/182, 1
27359/541, 1
2737/15, 1
2739/41, 1
27393/178, 1
27402/77, 1
27407/90, 1
2741/110, 1
27418/455, 1
2743/2111, 1
27437/449, 1
27441/160, 1
27447/880, 1
27448/211, 1
274672/819, 1
27478/173, 1
27478/79, 1
27480/137, 1
27484/389, 1
27489/304, 1
27502/2537, 1
27508/81, 1
27512/193, 1
27512/215, 1
27517/90, 1
275292/1771, 1
2753/28, 1
27536/225, 1
27544/267, 1
27553/320, 1
27555/91, 1
275572/815, 1
27562/225, 1
27567/140, 1
27571/369, 1
27572/147, 1
275726/1253, 1
27578/225, 1
27581/254, 1
27583/202, 1
27583/92, 1
27589/396, 1
27593/168, 1
27593/213, 1
27595/457, 1
27606/95, 1
27608/409, 1
27611/316, 1
27624/85, 1
27629/249, 1
2764/681, 1
27646/1459, 1
27655/193, 1
27666/251, 1
27673/108, 1
27685/172, 1
27695/157, 1
27700/379, 1
27702/113, 1
27717/185, 1
27731/292, 1
27736/83, 1
27751/277, 1
277570/1233, 1
277580/1127, 1
2776/107, 1
27770/261, 1
27771/104, 1
27781/96, 1
27782/257, 1
27787/273, 1
27791/193, 1
27795/428, 1
27799/120, 1
27800/173, 1
27805/2297, 1
27805/282, 1
27815/87, 1
278229/1048, 1
27827/95, 1
2783/3580, 1
27833/334, 1
27835/269, 1
27847/413, 1
27851/131, 1
27854/91, 1
278543/1821, 1
27860/349, 1
27872/357, 1
27873/290, 1
27873/655, 1
27877/96, 1
27882/277, 1
27884/345, 1
27889/87, 1
27892/105, 1
27899/144, 1
27904/93, 1
2791/2430, 1
27920/223, 1
27933/103, 1
27954/649, 1
27956/89, 1
27959/697, 1
27964/153, 1
27969/433, 2
27971/81, 1
27972/281, 1
27972/79, 1
27983/96, 1
27999/290, 1
28006/421, 1
2801/2259, 1
28012/275, 1
28018/109, 1
28019/141, 1
28031/237, 1
28033/417, 1
28039/2566, 1
28039/381, 1
28042/361, 1
28057/240, 1
28075/232, 1
28077/964, 1
28097/92, 1
28105/408, 1
28108/119, 1
28109/317, 1
28113/238, 1
28115/231, 1
28117/210, 1
281225/907, 1
28126/101, 1
28128/163, 1
28135/103, 1
28151/228, 1
28156/443, 1
28169/108, 1
2817/11, 1
28178/309, 1
28192/107, 1
28205/111, 1
28208/365, 1
28210/461, 1
28220/283, 1
28252/223, 1
28255/151, 1
28262/97, 1
28271/194, 1
28295/471, 1
28297/551, 1
28298/1065, 1
28301/237, 1
28325/83, 1
28331/176, 1
28337/137, 1
28338/109, 1
28339/84, 1
28341/316, 1
28353/259, 1
2838/25, 1
283921/1680, 1
28395/358, 1
28409/189, 1
2841/1024, 1
28410/217, 1
28419/364, 1
28421/1188, 1
28423/228, 1
2843/28, 1
28432/205, 1
28437/152, 1
28444/213, 1
28446/199, 1
28449/161, 1
28454/149, 1
28461/194, 1
28465/89, 1
284743/3275, 1
28478/97, 1
28495/121, 1
28500/107, 1
28507/782, 1
28509/248, 1
28515/221, 1
28519/571, 1
28527/337, 1
28528/213, 1
285373/812, 1
28541/119, 1
28551/266, 1
28553/110, 1
28562/189, 1
28564/149, 1
28569/215, 1
28572/553, 1
28575/277, 1
28579/313, 1
28579/81, 1
28585/179, 1
28592/287, 1
28599/163, 1
28607/124, 1
28610/223, 1
28621/374, 1
2863/219, 1
28632/211, 1
28633/197, 1
28639/330, 1
28670/121, 1
28671/88, 1
28672/263, 1
28678/317, 1
28681/239, 1
28688/195, 1
28703/99, 1
28705/81, 1
28710/257, 1
28710/89, 1
28713/80, 1
28714/87, 1
28721/158, 1
28730/181, 1
28742/271, 1
28743/95, 1
28746/133, 1
28746/2027, 1
28752/551, 1
28756/111, 3
28756/157, 1
28756/253, 2
28777/122, 1
28782/115, 1
28796/109, 1
28799/117, 1
28799/165, 1
28801/244, 1
28805/113, 1
28809/1214, 1
28814/213, 1
28837/105, 1
28849/125, 1
28860/131, 1
28861/1373, 1
28862/161, 1
28867/82, 1
28873/249, 1
28877/196, 1
28879/180, 1
28881/154, 1
28885/1057, 1
28885/241, 1
28897/287, 1
289086/841, 1
289123/813, 1
28923/173, 1
28926/191, 1
28931/134, 1
28948/305, 1
28949/374, 1
28954/173, 1
28955/429, 1
28959/94, 2
28961/377, 1
28966/1787, 1
28972/213, 1
28973/125, 1
28984/435, 1
28991/259, 1
28997/302, 1
28999/124, 1
28999/159, 1
29009/401, 1
29020/109, 1
29021/191, 1
