ifds_FocalPlaneYResolution ,Count
1944000/213, 1402
1944000/214, 334
1944000/219, 905
19634/1, 1
1963636/182, 3
1966079/156, 34
1966079/168, 1
1966079/209, 3
1966080/156, 3
196613/568459264, 77
1988/1, 3
1990656/215, 7
1992/1, 1
2/1, 10
2006/1, 30
2014814/225, 1
2014814/286, 1
2016492288/262144, 1
2017/1, 32
2025/100000000, 100
2025000/283, 1
20253/1, 2
2029/1, 2
2043/1, 5
2044444/219, 3
2047999/175, 1
2048000/170, 46
2048000/175, 59
2048000/179, 54
2048000/181, 543
2048000/194, 1
2048000/206, 1
2048000/207, 168
2048000/208, 647
2048000/215, 197
2048000/219, 479
2048000/224, 108
2048000/225, 640
2048000/278, 36
2048000/283, 256
2048000/284, 150
2048000/286, 10
2048000/595, 6030
2048000/892, 143
2050/100000000, 186
2056/1, 5
2056000/584, 1286
2056000/595, 6
20566/1, 1
2064/1, 1
2072000/754, 14
2080/1, 176
2083/1, 41
2092/1, 2724
2097/1, 2
2097152/610, 20
2097407/210, 3
2101/1, 7
2105/1, 8
2112000/169, 10085
2112000/170, 98
2112000/171, 17
2112000/181, 2647
2112000/183, 2
2112000/215, 634
2112000/219, 756
2112000/220, 138
2112000/942, 69
2113879/183, 13
2113879/220, 3
2129999/168, 3
2129999/210, 18
2130000/141, 1
2130000/168, 12
2137500/181, 21
2137500/215, 1
2137500/219, 4
2145335/260, 14
2147/1, 1
2151/1, 3
2160000/181, 251
2160000/183, 72
2160000/892, 1
2162/1, 3
2167/1, 19
2174/1, 239
2182/1, 27
2185/1, 6
2186/1, 3
2187/1, 1
2200/100000000, 146
2200000/225, 2
2222/1, 10
2227/1, 6
2245/1, 1
22458/1, 1
2248000/182, 11
2248000/183, 1194
2248000/219, 175
2256000/878, 62
2271999/280, 3
2272000/188, 17
2272000/210, 43
2272000/224, 145
2272000/225, 11
2272000/229, 4
2272000/280, 486
2272000/347, 12
2272256/280, 1
2286/39062500, 2
2297/1, 8
2303999/213, 1
2304/1, 1
2304000/168, 782
2304000/169, 9154
2304000/182, 163
2304000/213, 4728
2304000/582, 12195
2304000/593, 2033
2304000/595, 3770
2304000/597, 568
2326528/215, 2
2326528/286, 1
2327/1, 1
2330/1, 1
2336000/590, 4042
2336000/754, 138
2336000/756, 90
2342000/756, 207
2343000/169, 6
2343750/182, 1
2343750/219, 3
2343750/220, 3
2352000/894, 38
2359296/215, 5
2368000/836, 27
2370/1, 6
2381/1, 216
2382353/182, 6
2382353/183, 4
23889/1, 1
2392/1, 32
2392064/605, 23
2397/1, 9
2398222/181, 37
2398222/215, 18
2398222/219, 16
240000/31, 2
2400000/130, 9
2400000/155, 22
2400000/156, 10
2400000/184, 2
2405/1, 243
2408/1, 2
2409/1, 43
2415/1, 59
2419679/168, 4
2419679/210, 37
2419680/168, 4
2427/1, 202
2427259/225, 3
2430000/168, 2
2430000/212, 3
2432000/182, 159
2432000/956, 5
2439/1, 27
2440/1, 1
2442/1, 36
2443/1, 5
2448/1, 9
2448000/169, 10352
2448000/182, 216
2448000/183, 617
2448000/214, 1814
2448000/219, 849
2448000/260, 709
2453/1, 75
2456000/166, 1
2457600/131, 2
2457600/156, 41
2457600/168, 1
2457600/209, 3
2460375/145, 1
2460375/168, 28
2460375/212, 6
2461104/212, 10
2462/1, 50
2466/1, 5
2469135/291, 1
2480000/219, 220
2484000/219, 10
2488320/168, 6
2488320/212, 6
2496000/1415, 9
2496000/874, 187
249863/20, 27
249863/5, 14
2500/100000000, 338
2500000/206, 1
2505/1, 1
2506752/215, 9
2525316/183, 1
2530/100000000, 114
2531/1, 1
2532/1, 7
25352/1, 2
2540/39062500, 8
2542373/182, 1
2544000/885, 8
2557/1, 1
25600/9, 1
2560000/175, 2
2560000/225, 1
2568/1, 141
2570/1, 1
2574/1, 1
2578963/225, 4
2587500/219, 2
2588235/183, 1
2588235/220, 2
2589/1, 1
2591/1, 1
2592000/171, 919
2592000/182, 52
2592000/194, 1
2592000/219, 449
2592000/225, 186
2592000/244, 3
2592000/283, 297
2592000/284, 53
2592000/286, 53
2592000/582, 14497
2592000/583, 14202
2592000/736, 340
2592000/905, 8
259442/67, 3
2599/1, 4
2611/1, 6
2621439/175, 2
2621439/207, 1
2621439/208, 3
2622/1, 10
2631/1, 111
263100000/100000, 4
2640000/169, 3
2645802/219, 1
2662/1, 78
2662500/168, 8
2662800/168, 3
2662800/210, 5
2672/1, 1
2674/1, 1028
267541/20, 1
2678/1, 17
2688/1, 29
2693/1, 159
2700/100000000, 996
2700000/183, 2
2704000/937, 505
2716175/260, 5
2718/1, 11
2720000/945, 10
2720000/958, 1000
2726399/168, 1
2726399/210, 1
2730666/168, 3
2730666/169, 44
2730666/213, 12
2732142/183, 1
2736000/170, 1117
2736000/181, 8025
2736000/215, 2668
2736000/219, 4257
2740/1, 2
2741/1, 28
27546/1, 1
2775/100000000, 219
2777/1, 19
277801/52, 21
2783/1, 1
2784000/1459, 1
279452/25, 2
2796307/210, 1
2800/1, 49
2801/1, 39
2805/1, 192
2816000/225, 708
2816000/226, 2
2816000/241, 58
2816000/287, 52
2816000/293, 8
2816000/877, 10
2822/1, 12
2830/1, 1
2836/1, 2
2839999/280, 3
2840000/224, 1
2848000/584, 11198
2848000/595, 298
285910652/100000, 9
2873/1, 1
2876/1, 1
2880000/169, 2
2880000/182, 1
2880000/213, 7
2880000/836, 2
28836/10, 1
288988/65, 18
2904000/169, 24
2912000/597, 2
2912000/942, 1716
2916000/169, 9
2916000/213, 12
2928/1, 1
2933/1, 7
2944/1, 2
2949120/169, 4
2949120/213, 12
2953199/156, 4
2953846/156, 1
2960/1, 1
2961/1, 17
2963/1, 3
296484864/262144, 561
2972444/181, 17
2972444/215, 1
2972444/219, 5
2974921/1, 1
2977/1, 2
2981888/978, 1
2986/1, 31
2996/1, 21
2999040/169, 5
299929/22, 107
300000/53, 1
3000000/130, 9
3000000/155, 37
3000000/182, 3619
3000000/183, 6812
3000000/219, 3619
3000000/220, 30
3001/1, 5
3007/1, 61
30099/1, 1
3019/1, 29
3024599/158, 1
3024599/168, 10
3024599/210, 33
3024600/168, 9
3025/1, 674
3034/1, 78
3035250/181, 4
3035250/215, 1
3037199/212, 1
3037500/168, 3
3053/1, 401
3054/1, 1
3056/1, 1
3058/1, 3
3072000/131, 5
3072000/135, 2
3072000/156, 18
3072000/224, 90
3072000/225, 1052
3072000/284, 451
3072000/892, 557
3077/1, 47
3082/1, 1
3082031/260, 2
3082666/169, 70
3082666/214, 8
30840/118, 22
3085/1, 1
309129512/100000, 7
3092/1, 51
3092210/182, 1
3098250/169, 11
3098250/214, 2
3105/1, 2
3110400/168, 2
3110400/212, 3
3118/1, 1
3125/1, 13
3131/1, 118
3133440/169, 4
3141/1, 1
3145728/914, 3
3149280/145, 1
3149280/168, 20
3149280/212, 26
3168000/593, 11391
3168000/597, 3763
3186/1, 7
3197629/292, 1
3200/1, 1
3200000/175, 2
3200000/206, 1
3200000/208, 1
3205/1, 62
3208/1, 1
3220/1, 1
32247/10, 4
322580/100, 1
3226/1, 3
3226239/210, 1
3226239/280, 1
3240/1, 1
324000/73, 2
3240000/182, 568
3259259/183, 1
3259259/220, 1
3264000/225, 792
3264000/243, 17
3264000/244, 12
3264000/286, 87
3264000/291, 59
3264000/347, 61
3264000/553, 3
3264000/836, 223
3269/1, 4
3276800/207, 1
3276800/208, 8
3276800/224, 1
3276922/210, 1
3276923/168, 3
3277199/168, 2
3277199/210, 5
3280500/283, 1
3292/1, 3
3300000/169, 1
3303/1, 1
331079/57, 169
3312000/219, 2344
332361152/32768, 1
3324/1, 8
3326/1, 9
3328000/945, 75
3329/1, 3
3331/1, 132
3334000/945, 129
3339/1, 116
3340/1, 50
3362/1, 1
3368/1, 1
33686018/33686017, 1
33686018/33686274, 1
33751554/50529026, 1
33801/1, 1
3402/1, 1
3410526/181, 3
3410526/183, 1
3420000/181, 1
3420000/215, 1
3420000/219, 1
3441/1, 460
3456000/168, 3
3456000/169, 67
3456000/182, 963
3456000/213, 17
3456000/229, 61
3456000/243, 4
3456000/292, 3
3456000/595, 19064
3456000/597, 74
