ifd1_bit ,Count
0000000000000000000, 61071
0000000000000000010, 122
0000000000000110000, 398
0000000000001110000, 207
0000000001101000000, 189
0000000001101000010, 147
0001000000000000000, 4
0001000000000110000, 3816
0001000000000110010, 1
0001000000001110000, 3807
0001000000101110000, 1048
0001000001001110000, 5
0001000001101000000, 352
0001000001101000010, 25
0001000001101110000, 923348
0001000001101110010, 342445
0001000001101111010, 365
0001010011101000000, 1
1001000000000110000, 20
1100000000000000000, 10
1101000000000000000, 4
1101000000000110000, 3951
1101000000000111110, 97
1101000001100110000, 13
1101000001101000000, 67
1101000001101110000, 37568
1101000001101110010, 477
1111000001101110000, 2
1111111111101000000, 53
1111111111101000110, 2
1111111111101110100, 37
1111111111111000000, 1342
