ifdg_GPSImgDirection ,Count
15717/85, 1
15718/127, 1
15718/151, 1
15719/59, 1
1572/25, 1
157207/467, 1
15721/1804, 1
15721/189, 1
15722/185, 1
15722/191, 1
15723/952, 1
15724/49, 1
157241/1770, 1
157245/647, 1
15725/100, 7
157263/473, 1
15727/111, 1
15727/170, 1
15728/355, 1
15729/142, 1
15729/155, 1
15729/50, 1
157293/5926, 1
15731/522, 1
157329/533, 1
15733/195, 1
15734/283, 1
15735/139, 2
15735/278, 1
15735/607, 1
15737/444, 1
15739/47, 1
15739/817, 1
15739/95, 1
15740/113, 1
15740/1583, 1
15740/203, 2
15742/109, 1
15742/129, 1
157424/639, 1
15744/121, 1
15745/46, 2
15745/711, 1
15745/97, 1
157459/978, 1
157462/789, 1
15747/214, 1
15747/2891, 1
15748/100, 1
15749/259, 1
15749/319, 1
15749/475, 1
157497/626, 1
1575/100, 9
15750/100, 85
15750/67, 1
15751/166, 1
15751/84, 1
15752/337, 2
15753/100, 1
15754/281, 1
157546/2759, 1
157548/673, 1
157548/725, 1
15755/127, 1
15755/157, 1
157563/493, 1
157565/1668, 1
15757/1965, 1
15757/272, 1
15757/398, 1
15757/549, 1
15759/104, 1
15759/215, 1
15761/69, 1
15762/53, 1
157631/882, 1
15766/169, 1
15767/273, 1
15767/420, 1
15769/349, 1
157697/638, 1
15770/829, 1
15771/682, 1
15772/273, 1
15772/335, 1
15772/65, 1
15772/99, 1
15773/1012, 1
15773/506, 1
15773/66, 1
157744/627, 1
15775/100, 10
15777/110, 1
157773/526, 1
157791/697, 1
157801/765, 1
15781/148, 1
15781/56, 1
15782/123, 1
15782/167, 1
157828/545, 1
157839/491, 1
15784/89, 1
15786/353, 1
15786/859, 1
157867/596, 1
15787/202, 1
15787/483, 1
15787/73, 1
157877/662, 1
157879/458, 1
15792/313, 1
157939/2048, 1
157963/1188, 1
15797/93, 1
15799/100, 1
15799/58, 1
15799/87, 1
15799/95, 2
157999/571, 1
158/1, 12
15800/100, 22
15800/319, 1
15802/253, 1
15802/85, 1
158029/543, 1
15803/238, 1
15803/554, 1
15804/157, 1
15805/56, 1
15806/69, 1
15807/302, 1
15807/83, 1
15808/287, 1
15808/73, 1
158082/899, 1
15809/101, 1
158111/1212, 1
15812/621, 1
158125/441, 1
15814/339, 1
158147/1290, 1
15817/302, 1
15817/47, 1
158177/442, 1
15818/173, 1
15819/32768, 1
15819/65, 2
15821/160, 1
15821/178, 1
15821/293, 1
158216/487, 1
158229/583, 1
15823/47, 1
15823/63, 1
158245/886, 1
15825/100, 13
15827/60, 1
158273/628, 1
15828/275, 1
15829/240, 1
158297/502, 1
15831/100, 1
15832/49, 1
158326/615, 1
15833/144, 1
15833/68, 1
158335/912, 1
15835/107, 1
158356/819, 1
15836/2005, 1
15839/1574, 1
15839/262, 1
15841/102, 1
15841/431, 1
15841/60, 1
158410/453, 1
15842/100, 1
158420/467, 1
15843/1178, 1
15843/418, 1
15843/68, 2
15844/135, 1
15844/573, 1
15845/596, 1
15848/389, 1
158481/1015, 1
15849/235, 1
15849/512, 1
158497/508, 1
15850/100, 6
15851/79, 1
15851/86, 2
158517/1042, 1
15853/133, 1
15853/344, 1
15854/1219, 1
158542/449, 1
158542/515, 1
158549/643, 1
15855/53, 1
15856/103, 1
15857/104, 1
15857/260, 1
15857/333, 1
15857/993, 1
15858/67, 1
15859/100, 1
15859/101, 1
15859/55, 1
158601/520, 2
15861/142, 1
15861/61, 1
15862/100, 1
15862/281, 1
15863/205, 1
15867/367, 1
158670/907, 1
15868/2925, 1
158683/568, 1
15871/129, 1
15871/2007, 1
15871/711, 1
15873/113, 1
15873/431, 1
15873/64, 1
158733/695, 1
15875/100, 12
15875/356, 1
15875/74, 1
158755/599, 1
158760/611, 1
15877/311, 1
158772/809, 1
15879/310, 1
1588/127, 1
1588/507, 1
15880/53, 1
15881/170, 1
15881/46, 1
15883/125, 1
158831/660, 1
158833/871, 1
15886/603, 1
15886/81, 1
15886/89, 1
15889/115, 1
15889/239, 1
15889/425, 1
15890/61, 1
15891/137, 1
15891/353, 1
15891/386, 1
15891/767, 1
158929/490, 1
15894/100, 2
15894/187, 1
15897/391, 1
15897/478, 1
158989/3637, 1
15899/69, 1
159/1, 14
159/4, 1
1590/100, 1
15900/100, 25
15900/151, 1
15901/7345, 1
15903/482, 1
15905/100, 1
159053/2517, 1
15906/355, 1
15906/89, 1
15907/210, 1
15907/287, 1
15908/577, 1
15908/651, 1
15908/67, 1
15909/490, 1
15909/788, 1
15911/100, 1
15911/187, 1
159116/567, 1
15914/509, 1
159144/707, 1
159147/602, 1
15915/184, 1
15915/406, 1
15916/111, 1
159167/1114, 1
159171/2308, 1
159179/448, 1
15919/195, 1
15919/519, 1
15920/91, 1
15923/109, 1
15923/268, 1
15923/94, 1
159231/461, 1
159239/866, 1
15925/100, 7
15925/152, 1
15925/223, 2
15927/55, 1
159295/1144, 1
1593/1118, 1
1593/203, 1
1593/2639, 2
15930/100, 1
15930/197, 1
15931/84, 1
159319/443, 1
15932/137, 1
15932/241, 1
15933/103, 1
159333/536, 1
15934/69, 1
15935/417, 1
15936/463, 1
159365/831, 1
15937/160, 1
15937/450, 1
15937/562, 1
15937/65, 1
15938/849, 1
15939/298, 1
15939/62, 1
15939/73, 1
159391/508, 1
1594/100, 2
15941/100, 1
15941/506, 1
15941/89, 1
15941/98, 1
15942/283, 1
15943/153, 1
15943/188, 1
15943/51, 1
15943/53, 1
159447/445, 1
159451/593, 1
15946/89, 1
15948/49, 1
15950/100, 13
15950/49, 1
15951/1123, 1
15951/335, 1
15952/337, 1
15952/57, 1
15953/227, 1
15954/355, 1
15954/77, 1
159540/623, 1
15955/86, 1
15956/99, 1
15958/365, 1
159583/446, 1
15959/280, 1
15959/594, 1
15961/81, 1
15963/145, 1
15963/161, 1
159637/469, 1
15964/385, 1
15966/89, 1
15967/71, 1
15969/215, 1
1597/580, 1
15971/88, 1
159713/979, 1
159717/514, 1
15973/1193, 1
15973/149, 1
15973/303, 1
15973/634, 1
159746/671, 1
15975/100, 9
15975/343, 1
159753/3046, 1
159756/1909, 1
15976/79, 1
15977/107, 1
15977/401, 1
15977/511, 1
15977/56, 1
15979/1639, 1
15979/443, 1
15979/54, 1
15980/100, 1
15980/299, 1
15980/507, 1
159801/487, 1
159807/646, 1
15982/235, 1
15983/303, 1
15983/53, 1
15983/645, 1
159831/841, 1
15984/100, 1
159866/1487, 1
15987/952, 1
159875/657, 1
15988/1675, 1
15989/137, 1
15990/317, 1
159907/949, 1
15991/403, 1
15991/74, 1
159912/637, 1
159913/1200, 1
15992/111, 2
15992/89, 1
159926/503, 1
15993/106, 1
15993/295, 1
159949/977, 1
159951/650, 1
15996/115, 1
15996/257, 1
15996/73, 1
15998/185, 1
15999/100, 1
15999/197, 1
15999/46, 1
16/1, 8
160/1, 10
160/100, 1
1600/10, 1
1600/100, 21
16000/100, 17
160006/579, 1
16001/129, 1
160017/560, 1
160017/641, 1
160029/446, 1
16004/145, 1
16005/58, 1
16006/231, 1
16007/100, 1
16007/45, 1
16008/73, 1
160093/481, 1
16011/112, 1
16011/1964, 1
16012/187, 1
16012/251, 2
16012/63, 1
160137/724, 1
16014/577, 1
16015/58, 1
16016/163, 1
160165/642, 1
16017/53, 1
16018/85, 1
16019/55, 1
16019/844, 1
1602/7, 1
160223/782, 1
16023/158, 1
16023/59, 1
160232/1455, 1
16024/103, 1
16025/100, 5
16025/54, 1
16026/100, 1
160261/612, 1
16027/1204, 1
16029/400, 1
160294/537, 1
1603/180, 2
16031/62, 1
16032/79, 1
16033/47, 1
16033/54, 1
16033/63, 1
16033/90, 1
16034/407, 1
16035/52, 1
16037/107, 1
16037/115, 1
16037/157, 1
16037/338, 1
160373/543, 1
16039/187, 1
16039/83, 1
16040/100, 1
16041/68, 2
160421/621, 1
16043/124, 1
16043/500, 1
16043/57, 1
16044/121, 1
16044/341, 1
16045/67, 1
16047/134, 1
160473/497, 1
160473/746, 1
160481/803, 1
160489/780, 1
16049/45, 1
1605/100, 1
1605/628, 1
16050/100, 8
16050/181, 1
16051/333, 1
16051/66, 1
160517/537, 1
160523/468, 1
16053/109, 1
16053/251, 1
160535/648, 1
16055/517, 1
160558/987, 1
160559/720, 1
1605633/8192, 1
16057/479, 1
16057/86, 1
16058/339, 1
160583/538, 1
16059/100, 1
16059/127, 1
16059/205, 1
16059/95, 1
160599/964, 1
16061/1153, 1
16061/136, 1
16061/57, 1
16061/819, 1
160618/453, 1
16063/100, 1
16064/1519, 1
16067/154, 1
16069/246, 1
1607/107, 1
16070/221, 1
16071/269, 1
16072/199, 1
16072/997, 1
16073/53, 1
16073/998, 1
16075/100, 9
16075/1568, 1
16075/387, 1
16075/48, 1
16076/100, 1
16076/69, 1
16078/567, 1
16078/649, 1
16079/55, 1
1608/427, 1
160805/1153, 1
160806/529, 1
16081/432, 1
16083/260, 1
16083/52, 1
16085/100, 2
16085/263, 1
16085/542, 1
16085/96, 1
16087/168, 1
16087/47, 1
16088/805, 1
160882/489, 1
160891/451, 1
16090/267, 1
16091/312, 1
160912/1361, 1
160912/467, 1
160916/485, 1
16092/97, 1
16093/51, 1
16093/64, 1
16096/375, 1
16096/529, 1
160963/673, 1
16097/48, 1
16099/71, 1
161/1, 13
16100/100, 15
16100/303, 1
16101/533, 1
16102/100, 1
16103/544, 1
16103/782, 1
16104/100, 1
161057/1088, 1
16106/209, 1
161061/671, 1
16107/421, 1
16108/47, 1
16109/106, 2
16109/322, 1
161095/687, 1
161096/639, 1
1611/340, 1
16111/66, 1
16111/71, 1
16111/85, 1
16111/855, 1
161115/484, 1
16112/85, 1
16114/295, 1
16114/587, 1
161159/545, 1
16116/835, 1
16117/297, 1
16117/46, 1
16119/91, 1
161207/1094, 1
16121/106, 1
16121/153, 1
16121/193, 1
16121/59, 1
16122/65, 1
16122/83, 1
16123/100, 1
16123/175, 1
16123/990, 1
16124/143, 1
161249/1420, 1
161249/1559, 1
16125/100, 7
16125/46, 1
16125/61, 1
16127/185, 2
16127/208, 1
161276/491, 1
16129/100, 1
1613/39, 1
1613/7, 1
16130/69, 1
16131/158, 1
16131/176, 1
16131/320, 1
16131/80, 1
16132/271, 1
16132/63, 1
16133/193, 2
161337/587, 1
16134/181, 1
16134/857, 1
16135/100, 1
161352/545, 1
161363/681, 1
16137/100, 1
16138/100, 2
16138/47, 1
16138/495, 1
16140/100, 1
16141/399, 1
16141/419, 1
16141/508, 1
16141/66, 1
16142/193, 1
16142/471, 1
16143/208, 1
16143/235, 1
16143/319, 1
16143/67, 1
161459/518, 2
16147/112, 1
16147/166, 1
16147/461, 1
16147/48, 1
16147/65, 1
16147/771, 1
161474/1127, 1
161477/536, 1
16148/353, 1
16148/421, 1
16148/461, 1
16149/206, 1
16149/583, 1
16150/100, 14
16151/58, 1
16151/83, 1
16152/127, 1
16153/100, 1
16153/141, 1
16153/68, 1
16155/143, 1
16155/166, 1
16155/254, 1
16155/47, 1
16155/56, 1
161557/675, 1
16156/283, 1
16157/100, 1
161577/1003, 1
161578/453, 1
16159/458, 1
161602/743, 1
16161/95, 1
16162/163, 1
16163/111, 1
16163/152, 1
16163/52, 1
16164/287, 1
161641/4616, 1
161645/763, 1
16165/503, 1
16166/347, 1
161669/1062, 1
16167/100, 1
16167/139, 1
16168/523, 1
16169/261, 1
16169/638, 1
16171/75, 1
16173/140, 1
16173/53, 1
161737/474, 1
161741/496, 1
161749/528, 1
16175/100, 16
16175/76, 1
16175/79, 1
16176/100, 1
16176/97, 1
16179/110, 1
16180/279, 1
16180/59, 1
16182/173, 1
16182/67, 1
16183/2177, 1
16183/396, 1
16183/64, 1
161845/459, 1
16185/136, 1
16185/179, 1
161860/609, 1
161867/574, 1
16187/211, 1
16187/68, 1
16188/479, 1
16189/155, 1
16189/248, 1
16189/385, 2
16190/100, 1
16190/319, 1
16192/389, 1
161924/605, 1
16194/53, 1
161966/839, 1
16197/347, 1
161989/587, 2
16199/139, 1
16199/59, 1
161993/681, 1
162/1, 18
1620/10, 1
16200/100, 20
16201/146, 1
16201/163, 1
16201/395, 1
16201/46, 1
16201/511, 1
16205/100, 1
162052/739, 1
16207/103, 1
16207/118, 1
16207/178, 1
16207/854, 1
16208/191, 1
16208/491, 1
16209/269, 1
162097/612, 1
1621/11, 1
16210/71, 1
16210/83, 1
16210/89, 1
16211/178, 1
16211/271, 1
16211/326, 1
16212/47, 1
16213/100, 1
16214/155, 1
16215/112, 1
16216/257, 1
16216/51, 1
16216/609, 1
16217/138, 1
162177/1055, 1
16218/191, 2
16219/58, 1
16219/67, 1
16220/1249, 1
16220/189, 1
16221/61, 1
16222/205, 1
16223/196, 1
16223/215, 1
16223/92, 1
16225/100, 11
16225/426, 1
162267/976, 1
162287/1497, 1
16229/137, 1
16229/171, 1
162299/592, 1
16230/47, 1
16231/171, 2
16232/195, 1
16232/487, 1
16233/131, 1
16233/296, 1
16233/418, 1
162340/609, 1
16235/137, 1
162362/525, 1
16237/318, 1
16239/100, 2
16240/109, 2
16242/100, 1
162425/2048, 1
16244/321, 1
162451/679, 3
16246/311, 1
16247/157, 1
16247/79, 1
16249/86, 1
1625/100, 6
1625/122, 1
1625/629, 2
16250/100, 13
16251/56, 1
162515/4091, 1
162527/711, 1
16253/100, 1
16253/94, 2
162548/667, 1
16255/2187, 1
16255/689, 1
16255/8192, 1
162551/455, 1
16258/525, 3
16259/80, 1
16262/359, 1
16263/140, 1
16264/111, 1
16264/429, 1
16264/519, 1
16265/189, 1
162654/491, 1
16266/245, 1
162667/488, 1
16267/361, 1
16267/48, 1
16267/749, 1
16268/163, 1
16268/73, 1
16269/257, 1
1627/5, 1
16270/53, 1
16271/193, 1
16271/233, 1
16272/431, 1
162720/703, 1
16273/97, 2
16274/165, 1
16275/100, 7
16275/167, 1
16275/67, 2
162767/1086, 1
16277/1685, 1
16277/303, 1
162775/2048, 1
16278/1237, 1
16279/89, 1
1628/100, 1
1628/13, 2
1628/19, 1
16281/106, 1
16281/107, 1
16281/527, 1
162825/536, 1
16283/122, 1
16283/126, 1
16283/132, 1
16283/347, 1
16283/60, 1
16283/74, 1
16283/99, 1
16285/53, 1
162851/547, 1
162868/797, 1
16290/100, 1
16291/69, 1
162917/597, 1
16292/67, 1
16293/47, 1
16293/49, 1
162938/677, 1
16294/161, 1
16298/77, 1
162985/497, 1
16299/79, 1
163/1, 15
163/2048, 1
1630/13, 1
1630/617, 1
16300/100, 17
16301/881, 1
163049/4089, 1
16305/236, 1
16305/46, 1
163062/475, 1
16309/119, 1
16309/194, 1
16309/99, 1
163095/499, 1
16310/701, 1
16310/81, 1
163101/1151, 1
16312/63, 1
163124/505, 1
163125/557, 1
16313/101, 1
16313/180, 1
16313/230, 1
16313/663, 1
16314/67, 1
163145/508, 1
163147/518, 1
16315/342, 1
163153/702, 1
16316/295, 1
163168/455, 1
16319/176, 1
16319/82, 1
163209/1022, 1
16321/100, 1
16321/108, 1
16321/155, 1
16321/187, 1
16321/334, 1
16321/83, 1
16322/105, 1
16323/56, 2
16323/85, 1
163231/1009, 1
16324/2295, 1
163241/657, 1
163247/661, 1
16325/100, 13
16325/131, 1
16327/156, 1
16327/63, 1
16328/2011, 1
16328/95, 1
16329/103, 1
16329/107, 1
16329/170, 1
16329/88, 1
16331/46, 1
16331/83, 1
16332/47, 1
163333/515, 1
163340/1229, 1
16335/118, 2
16336/100, 1
1633668/4681, 1
16337/579, 1
16339/190, 1
16339/252, 1
16339/48, 1
16340/141, 1
16341/103, 1
16341/149, 1
16343/47, 1
16344/89, 1
16345/384, 1
163451/495, 1
16347/143, 1
163484/1773, 1
16349/371, 1
16349/56, 1
16350/100, 12
16350/59, 1
163532/545, 1
16354/475, 1
16354/83, 1
16357/475, 1
16357/92, 1
16357/93, 1
16358/47, 1
16359/172, 1
163591/669, 1
1636/100, 1
16361/184, 1
163617/490, 1
16362/203, 1
16363/200, 1
16363/286, 1
16363/56, 1
163631/1024, 1
163631/2048, 1
16364/163, 1
16364/85, 2
16365/907, 1
16367/1087, 1
16367/193, 1
16367/236, 1
16368/131, 1
16368/61, 1
163693/643, 1
16370/303, 1
163701/997, 1
16372/255, 1
16372/77, 1
16373/100, 1
163737/719, 1
16375/100, 10
16375/457, 1
16375/69, 1
16377/89, 1
16378/61, 1
16379/299, 1
16379/312, 1
16379/423, 1
16380/89, 1
16381/1031, 1
16381/168, 1
16381/186, 1
16381/254, 1
16381/365, 1
16383/782, 1
16386/1295, 1
163861/962, 1
16388/111, 1
163895/487, 1
1639/5050, 1
1639/607, 1
16391/100, 1
163912/603, 1
163917/505, 1
16393/100, 1
16393/599, 1
16395/506, 1
16396/105, 1
163987/867, 1
16399/221, 1
16399/336, 1
16399/4096, 1
16399/55, 1
164/1, 17
16400/100, 16
16400/79, 1
164003/487, 1
164017/844, 1
16402/1137, 1
164023/490, 1
16403/119, 1
16403/73, 1
164039/630, 1
16405/126, 1
16405/243, 1
16405/421, 1
16405/56, 1
164053/1177, 1
164053/749, 1
16406/100, 1
164073/977, 1
164086/1003, 1
16409/104, 1
16409/203, 1
16409/453, 1
16409/59, 1
164097/490, 1
1641/341, 1
164104/841, 1
16411/150, 1
16411/270, 1
16411/438, 1
164129/736, 1
16413/292, 1
16415/118, 1
16415/132, 1
16415/164, 1
16415/237, 1
16416/317, 2
16417/512, 1
16417/772, 1
16418/895, 1
16419/124, 1
16419/127, 1
1642/2721, 1
16421/684, 1
164220/883, 1
16423/106, 1
16423/148, 1
16423/560, 1
164231/555, 1
16425/100, 8
16425/746, 1
164260/459, 1
16428/175, 2
16429/202, 1
16429/258, 1
16429/830, 2
16429/864, 1
16431/175, 1
16433/112, 1
16433/137, 1
16435/582, 1
16436/73, 1
164363/495, 1
16437/100, 1
16437/514, 1
16440/1367, 1
16440/1993, 1
16442/67, 1
16443/61, 1
16443/76, 1
16444/257, 1
16445/1024, 1
16445/73, 1
16447/202, 1
16447/385, 1
16447/70, 1
16447/91, 1
164476/1649, 1
164488/533, 1
16449/100, 1
16449/118, 1
16449/157, 1
16449/340, 1
16449/49, 1
16450/100, 9
16450/107, 1
164501/484, 1
16451/65, 1
164517/778, 1
16453/155, 1
16454/100, 1
16454/225, 1
16454/407, 1
16456/125, 1
16456/61, 2
16459/134, 1
16459/85, 1
164599/953, 1
16460/171, 1
16463/138, 1
16463/77, 1
16463/85, 1
16465/381, 1
164672/751, 1
16468/183, 1
16469/102, 1
16469/391, 1
16469/52, 1
16469/59, 1
16469/93, 1
1647/2071, 1
16470/179, 1
16470/71, 1
164701/675, 1
16471/205, 1
16471/239, 1
16471/303, 1
16471/46, 1
16472/100, 1
16472/449, 1
16473/179, 1
164737/913, 1
16475/100, 10
16475/328, 2
164769/460, 1
16477/182, 1
16477/314, 1
16477/53, 1
16477/57, 1
164771/609, 1
16478/2215, 1
16478/863, 1
164794/527, 1
1648/19, 1
1648/377, 1
164811/1621, 1
164814/583, 1
164828/995, 1
16484/211, 1
16484/49, 1
16485/191, 1
16486/53, 1
16486/67, 1
16487/414, 1
16488/209, 1
16489/100, 1
16489/454, 1
16489/70, 1
164899/683, 1
1649/5214, 1
1649/6752, 1
1649/89, 1
16491/221, 1
16491/91, 1
164910/1613, 1
16492/100, 1
16493/100, 2
16494/97, 1
16496/159, 1
16496/59, 1
164986/597, 1
165/1, 18
1650/100, 8
16500/100, 12
165001/991, 1
16501/88, 1
16501/92, 1
16502/169, 1
165024/581, 1
165029/466, 1
16503/73, 2
16505/233, 1
16505/99, 1
16506/355, 1
16507/1027, 1
16507/414, 1
16507/55, 1
16509/380, 1
16509/55, 1
16513/152, 1
16513/222, 1
165138/1201, 1
16514/103, 1
16514/159, 1
16514/89, 1
165149/801, 1
16515/61, 1
16516/243, 1
16516/693, 1
16517/237, 1
16517/66, 1
1652/131, 1
16522/159, 1
16522/307, 1
16523/1067, 1
16523/177, 1
16523/395, 1
16523/417, 1
16524/97, 1
16525/100, 10
16526/159, 1
16526/95, 1
165271/512, 1
16528/171, 1
16528/379, 1
16528/55, 1
16529/16384, 1
16529/444, 1
16529/598, 1
16529/79, 1
165294/593, 1
1653/3419, 1
16531/276, 1
16533/328, 1
16533/50, 1
16535/153, 1
165359/780, 1
165364/769, 1
16538/129, 1
16539/100, 1
16539/58, 1
16540/100, 1
16540/1703, 1
16540/273, 1
165407/658, 1
16541/50, 1
165428/563, 1
165428/581, 1
16544/719, 1
16545/269, 1
16549/506, 1
16550/100, 11
16550/51, 1
16550/57, 1
16551/56, 1
16555/146, 1
16555/93, 1
165569/1702, 1
16557/113, 1
16557/497, 1
165585/727, 1
16559/141, 1
16559/181, 1
16559/284, 1
16559/749, 1
16562/100, 1
16563/1969, 1
16565/143, 1
165657/470, 1
16567/257, 1
16567/279, 2
1657/43, 1
165737/518, 1
16574/265, 1
16575/100, 10
16576/100, 1
16577/100, 1
16577/60, 1
16577/75, 1
16579/195, 1
165795/1024, 1
16580/649, 1
16580/93, 1
16581/178, 1
16581/371, 1
16581/67, 1
16582/100, 1
16584/283, 1
16584/73, 1
16585/601, 1
16586/163, 1
16586/59, 1
16588/251, 1
165883/610, 1
16589/69, 1
16590/100, 1
16590/53, 1
16591/388, 1
16591/582, 1
16591/95, 1
16594/100, 1
16594/101, 1
16597/166, 1
16598/89, 1
16598/95, 1
16599/205, 1
16599/305, 1
165998/697, 1
166/1, 10
16600/100, 19
16600/341, 1
16601/1178, 1
16601/511, 1
16601/89, 1
166016/1015, 1
16602/85, 1
16603/342, 1
16603/96, 1
16605/373, 2
16605/472, 1
16607/61, 1
16607/634, 1
16608/271, 1
16608/79, 1
16609/100, 1
16609/386, 1
16609/50, 1
166096/2643, 1
166109/1336, 1
16611/269, 1
166114/497, 1
166127/512, 1
16613/272, 1
16613/95, 1
16614/107, 1
16617/100, 1
16617/104, 1
16618/111, 1
16618/1565, 1
16618/311, 1
16618/375, 1
16619/278, 1
16619/428, 1
16621/581, 1
16622/111, 1
16623/118, 1
16623/68, 1
16624/123, 1
16625/100, 10
16625/62, 1
166250/1111, 1
166262/543, 1
16627/142, 1
16627/190, 2
16628/115, 1
16628/363, 1
16628/93, 1
16629/308, 1
16630/49, 1
166312/775, 1
16632/355, 1
16633/225, 1
16633/523, 1
16636/81, 1
166365/1088, 1
16637/1232, 1
166373/961, 1
166388/1169, 1
16639/205, 1
16639/92, 1
16641/79, 1
16643/125, 1
16645/100, 1
16645/49, 1
16646/100, 1
16646/157, 1
16646/215, 1
16647/137, 1
16648/685, 1
166483/499, 1
16649/100, 1
16649/138, 1
16649/248, 1
16649/94, 1
166496/509, 1
1665/14, 1
16650/100, 3
16650/197, 1
16651/116, 1
166516/1649, 1
16652/683, 1
16655/602, 1
166563/491, 1
16657/100, 1
16657/57, 1
16658/213, 1
16661/188, 1
16661/76, 1
16661/96, 1
166613/2615, 2
16662/403, 1
16662/703, 1
16663/100, 1
16663/237, 1
16663/248, 1
16664/107, 1
16666/139, 1
16666/55, 1
16667/220, 1
16667/262, 1
16667/327, 1
16667/54, 1
16669/93, 1
166696/605, 1
16671/85, 1
16672/155, 1
166720/1109, 1
16673/282, 1
16674/281, 1
166749/752, 1
16675/100, 8
16675/84, 1
16675/98, 1
166753/605, 1
16676/65, 1
16678/171, 1
16678/679, 1
16679/217, 1
16680/199, 1
16681/1056, 1
16681/170, 1
16681/74, 1
16682/49, 1
16682/69, 1
166829/594, 1
16683/190, 1
16683/197, 1
16683/239, 1
16683/58, 1
16684/359, 1
16684/507, 1
16685/304, 1
16685/48, 1
16687/261, 1
166879/512, 1
166884/4679, 2
16689/173, 1
16689/442, 1
16690/169, 1
16690/237, 1
16692/409, 1
166921/544, 1
166929/1468, 1
16693/116, 1
16693/189, 1
16693/253, 1
16693/80, 1
166945/546, 1
16695/247, 1
16695/512, 1
16696/445, 1
16696/551, 1
16697/100, 1
16697/209, 1
16699/125, 1
166992/535, 1
167/1, 19
167/2048, 1
167/4, 1
1670/111, 1
16700/100, 15
16700/197, 1
16701/68, 1
167016/2015, 1
16703/100, 1
16703/193, 1
167035/552, 1
16705/100, 1
167053/1443, 1
16706/1145, 1
16707/125, 1
16707/235, 1
167082/655, 1
167097/698, 1
16710/121, 1
16712/1713, 1
16714/105, 1
16715/189, 1
16715/256, 2
16717/238, 1
16717/781, 1
167178/827, 1
16719/145, 1
16719/269, 1
16721/122, 1
16721/126, 1
16721/638, 1
16722/107, 1
16722/307, 1
16723/142, 1
16723/59, 1
16724/109, 1
16725/100, 5
16725/76, 1
16725/887, 1
167258/503, 1
16726/77, 1
16727/161, 1
16729/318, 1
16730/697, 1
16731/56, 1
167339/647, 1
167342/479, 1
16735/126, 1
167359/1266, 1
16737/73, 1
16738/479, 1
167381/2513, 1
16739/134, 1
16739/322, 1
16739/52, 1
16739/88, 1
16741/280, 1
16742/1095, 1
16743/344, 1
16743/47, 1
16743/935, 1
16744/837, 1
16745/177, 1
16745/292, 1
16745/81, 2
16747/891, 1
16748/233, 1
167489/606, 1
16749/100, 1
16749/1225, 1
16749/406, 1
1675/100, 13
16750/100, 10
16750/107, 1
16750/181, 1
16751/47, 1
16752/85, 1
16753/184, 1
16754/243, 1
16756/107, 1
16757/99, 1
16758/125, 1
16759/100, 1
16760/47, 1
167608/10917, 1
16762/231, 1
16762/585, 1
167621/8192, 1
167624/489, 1
167631/514, 1
16764/307, 1
16765/337, 1
16766/121, 1
16767/439, 1
16769/142, 1
16769/290, 1
16769/387, 1
16771/227, 1
16771/934, 1
167729/525, 1
16773/100, 1
16773/199, 1
16774/421, 1
16775/100, 13
16778/187, 1
167781/584, 1
16779/157, 1
16779/401, 1
16780/100, 1
16781/73, 1
16783/101, 1
16783/352, 1
16785/259, 1
16787/126, 1
16787/193, 1
16787/240, 1
16787/275, 1
16787/892, 1
16788/47, 1
167888/775, 1
16789/148, 1
16789/467, 1
16790/513, 1
167902/1283, 2
16791/166, 1
16791/47, 1
16792/455, 1
16792/57, 1
167927/1633, 1
16793/141, 1
16793/186, 1
16793/298, 1
16793/303, 1
167936/495, 1
16795/137, 1
16795/156, 1
16796/203, 1
16797/61, 1
167983/604, 1
167984/879, 2
16799/105, 1
16799/145, 1
16799/183, 1
16799/367, 1
16799/59, 1
168/1, 9
16800/100, 20
16800/151, 1
168009/1904, 1
16801/100, 1
16801/157, 1
16801/334, 1
16801/336, 2
168027/2048, 1
16803/104, 1
16803/85, 1
16804/765, 1
16805/153, 1
16805/76, 1
16806/635, 1
16807/632, 1
16807/971, 2
168079/574, 2
16808/403, 1
16811/114, 1
16812/353, 1
16813/201, 1
16813/98, 1
168145/496, 1
16815/157, 1
16815/521, 1
16817/108, 1
16817/273, 1
16817/280, 1
16819/166, 1
16819/356, 1
1682/2529, 1
168202/553, 1
168214/851, 1
168228/739, 1
16823/155, 1
16825/100, 8
16825/689, 1
16827/154, 1
16827/203, 1
16827/617, 1
168285/1148, 1
16829/316, 1
16829/61, 1
168290/1613, 1
16831/49, 1
168317/2950, 1
16832/135, 1
16833/1250, 1
16835/368, 1
16835/712, 1
16836/361, 1
16836/59, 1
16837/225, 1
16837/51, 1
16838/71, 1
16839/100, 1
16843/48, 1
16843/515, 1
16843009/16908545, 1
16845/253, 1
16845/712, 1
16847/100, 1
16847/188, 1
16847/420, 1
16849/296, 1
16850/100, 7
16850/131, 1
16850/1883, 1
16852/255, 1
16853/497, 1
16854/263, 1
16855/100, 1
16855/113, 1
16858/393, 1
16858/61, 1
16859/292, 1
168599/1284, 1
168607/505, 1
16861/181, 1
16861/2048, 1
16861/215, 1
168610/609, 1
16863/158, 1
168639/892, 1
16864/83, 1
16865/232, 1
16865/286, 1
168653/512, 1
16869/229, 1
16870/123, 1
16870/81, 1
16870/93, 1
168717/563, 1
16873/110, 1
16873/190, 1
