ifdg_GPSImgDirection ,Count
10170/89, 1
101707/308, 1
10171/141, 1
10171/221, 1
101714/557, 1
10172/105, 1
10173/173, 1
10173/89, 1
101733/932, 1
10175/100, 12
10175/172, 1
10175/42, 1
101772/2723, 1
101783/331, 1
10179/751, 1
10179/968, 1
101798/375, 1
101798/497, 1
101801/587, 1
101823/394, 1
10183/69, 1
101843/297, 1
101849/338, 1
101855/394, 1
10186/49, 1
10187/443, 1
101889/358, 1
10189/37, 2
10189/77, 1
101917/419, 1
101917/697, 1
10193/103, 1
10193/177, 1
10193/82, 1
101949/344, 1
10195/242, 2
10196/45, 1
10199/389, 1
10199/45, 1
101993/564, 1
102/1, 12
10200/100, 17
10201/1226, 1
10201/35, 1
10201/88, 1
102010/297, 1
102023/287, 1
10203/35, 1
102033/430, 1
102042/313, 1
102044/399, 1
102054/521, 1
102061/315, 1
102067/309, 1
10207/139, 1
10207/520, 1
10207/748, 1
10207/89, 1
102073/433, 1
102075/656, 1
10208/159, 1
10209/29, 1
10209/799, 1
102091/403, 1
1021/4, 1
10210/543, 1
102108/347, 1
10211/74, 1
102110/317, 1
102124/405, 1
10213/113, 1
10213/367, 1
10213/68, 1
102136/463, 1
10214/57, 1
102141/328, 1
102146/617, 1
10215/41, 1
10217/763, 1
10217/777, 1
10217/82, 1
102180/353, 1
10219/64, 1
102193/1262, 1
102193/320, 1
10220/39, 1
102208/395, 1
10221/544, 1
102211/331, 1
10222/143, 1
10222/487, 1
102220/383, 1
102223/474, 1
102241/353, 1
102245/1361, 1
102249/545, 1
10225/100, 10
10225/789, 1
10225/81, 1
102258/491, 1
10226/241, 1
102260/471, 1
10227/1559, 1
102280/343, 1
102283/1618, 1
102287/565, 1
10229/1148, 1
10229/363, 1
10229/425, 1
102295/489, 1
1023/4, 1
10231/113, 1
10231/136, 1
10232/100, 1
102325/369, 1
10233/92, 1
102333/302, 1
10235/829, 1
102352/483, 1
102355/1153, 1
102357/298, 1
10236/161, 1
10236/173, 1
10236/287, 1
102360/391, 1
102376/509, 1
10238/517, 1
102380/331, 1
10239/457, 1
10239/49, 1
10240/107, 1
10240/723, 1
102401/339, 1
102402/395, 1
10241/1115, 1
10241/232, 1
10241/78, 1
102432/389, 1
102433/298, 1
10244/41, 1
10244/45, 1
10244/99, 1
102440/1041, 1
102443/607, 1
102457/298, 1
102458/287, 1
102464/355, 1
102467/406, 1
10247/120, 1
10247/44, 1
10247/660, 1
102474/575, 2
10248/493, 1
10249/269, 1
102499/444, 1
1025/100, 8
10250/100, 9
10252/267, 1
102523/722, 1
102527/682, 1
10253/1360, 1
10253/365, 1
10253/37, 1
10255/37, 1
102550/341, 1
102555/536, 1
102556/1035, 1
102566/663, 1
10257/287, 1
102577/479, 1
102589/341, 1
