ifds_CompressedBitsPerPixel ,Count
10051832/4915200, 1
10051920/5038848, 1
10051936/3145728, 1
10052160/4915200, 1
10052256/4915200, 1
10052384/4915200, 1
10052440/4915200, 1
10052488/7990272, 1
10052760/5038848, 1
10052920/5038848, 1
10053080/5038848, 1
10053264/3145728, 1
10053336/5038848, 1
10053552/5038848, 1
10053560/4915200, 1
10053584/5038848, 1
10054080/5038848, 1
10054304/5038848, 1
10054360/5038848, 1
10054512/5038848, 1
10054520/5038848, 1
10054696/5038848, 1
10054960/5038848, 1
10055104/5038848, 1
10055440/5038848, 1
10055528/5038848, 1
10055544/5038848, 2
10055784/5038848, 1
10056096/5038848, 1
10056496/4915200, 1
10056680/5038848, 1
10056976/4085760, 1
10057224/5038848, 1
10057512/5038848, 1
10057544/5038848, 1
10057576/5038848, 1
10057592/4915200, 1
10058048/5038848, 1
10058368/5038848, 1
10058488/4915200, 1
10058680/5038848, 1
10059144/3981312, 1
10059392/5038848, 1
1005946/393216, 1
10059512/5038848, 1
10059576/4085760, 1
10059616/5038848, 1
10059728/4915200, 1
10059776/5038848, 1
10059784/5038848, 1
10059944/5038848, 1
10059992/5038848, 1
10060016/5038848, 1
10060400/4915200, 1
1006072/307200, 1
10061080/5038848, 1
10061456/5038848, 1
10061520/5038848, 1
10061608/5038848, 1
10061952/5038848, 1
10062152/5038848, 1
10062256/4085760, 1
10062264/4915200, 1
10062376/5038848, 1
10062440/5038848, 1
10062688/5038848, 1
10063608/5038848, 1
10063728/5038848, 1
10063912/5038848, 1
10064080/7077888, 1
1006424/786432, 1
10064256/5038848, 1
10064960/4915200, 1
10065192/5038848, 1
10065248/5038848, 1
10065288/5038848, 1
10065504/5038848, 1
10065616/3981312, 1
10065832/5038848, 1
10065920/5038848, 1
10066544/5038848, 1
1006661/843750, 1
10066816/5038848, 1
10067032/5038848, 1
10067152/4915200, 1
10067288/5038848, 1
10067320/5038848, 1
10067336/5038848, 1
10067472/5038848, 1
10067552/5038848, 1
10067944/3981312, 1
10068136/5038848, 1
10068192/5038848, 1
10068240/5038848, 1
10068800/3981312, 1
10069112/5038848, 1
10070344/7990272, 1
10070504/4915200, 1
10070688/4085760, 1
10071184/5038848, 1
10071320/5038848, 1
10071536/5038848, 1
10071696/5038848, 1
10071856/5038848, 1
10071944/5038848, 1
10071960/5038848, 1
10071976/2601440, 1
10072256/7485696, 1
10072448/5038848, 1
10072528/5038848, 1
10072536/5038848, 1
10072656/5038848, 1
10072808/4915200, 1
10072944/4085760, 1
10073128/5038848, 1
10073232/5038848, 1
10073312/4085760, 1
10073352/5038848, 2
1007337/629856, 1
10073432/4915200, 1
100735/28800, 1
10073688/5038848, 1
10073736/4915200, 1
10073792/4915200, 1
10073880/5038848, 1
10074128/5038848, 1
10074232/5038848, 1
10074488/5038848, 1
10074632/5038848, 1
10075120/5038848, 1
10075208/4915200, 1
1007525/663552, 1
10075272/4915200, 1
10075304/5038848, 1
10075536/5038848, 1
10075952/7485696, 1
10076056/5038848, 1
10076104/5038848, 1
10076160/3145728, 1034
10076160/4147200, 2
10076400/5038848, 1
10076704/5038848, 1
10076736/5038848, 1
10076872/5038848, 1
1007696/307200, 1
10077288/4915200, 1
10077712/4085760, 1
1007824/307200, 1
10078240/5038848, 1
10078248/5038848, 1
10078384/5038848, 1
10078424/5038848, 1
10078616/5038848, 1
10078712/5038848, 1
10078904/5038848, 1
10078944/5038848, 1
10079088/5038848, 1
10079096/4085760, 1
10079104/5038848, 1
10079384/5038848, 1
10079464/4085760, 1
10079736/5038848, 1
10080000/4085760, 1
10080032/5038848, 1
10080080/5038848, 1
10080208/5038848, 1
10080480/5038848, 1
10080504/4085760, 1
10080640/5038848, 1
10080704/5038848, 2
10080792/5038848, 1
10080800/4915200, 1
10080960/5038848, 1
10080976/5038848, 1
10081008/5038848, 1
10081104/5038848, 1
10081144/5038848, 1
10081280/4915200, 1
10081336/5038848, 1
10081520/5038848, 1
10081704/5038848, 1
10081752/5038848, 1
10081888/5038848, 1
10082304/4915200, 1
10082592/5038848, 1
10082632/5038848, 1
1008310/393216, 1
10083112/5038848, 1
10083816/7990272, 1
10083888/5038848, 1
10084000/5038848, 1
10084032/5038848, 1
10084184/5038848, 1
10084304/5038848, 1
10084336/5038848, 1
10084816/5038848, 1
10084880/4915200, 1
10084896/5038848, 1
10085088/5038848, 1
10085168/5038848, 1
10085192/5038848, 2
10085296/5038848, 1
10085368/4085760, 1
10085928/5038848, 1
10086016/5038848, 1
10086208/5038848, 1
10086944/3981312, 1
10087032/5038848, 1
10087184/4915200, 1
10087264/5038848, 1
10087344/5038848, 1
10087416/5038848, 1
10087456/5038848, 1
10087816/5038848, 1
10087848/5038848, 1
1008840/307200, 1
1008848/307200, 1
10088560/5038848, 1
10088672/5038848, 1
10088688/5038848, 1
10088824/5038848, 1
10088928/5038848, 1
10089120/5038848, 1
1008976/307200, 1
10089840/3145728, 1
1008992/307200, 1
10090088/5038848, 1
1009016/307200, 1
10090320/5038848, 1
10090392/5038848, 1
10090792/4915200, 1
10090936/5038848, 1
10091080/5038848, 1
10091208/5038848, 1
10091584/5038848, 1
10091952/5038848, 1
10092024/5038848, 1
10092104/5038848, 1
10092128/5038848, 1
10092232/7485696, 1
10092520/5038848, 1
10092792/5038848, 1
10093/3078, 1
10093040/5038848, 1
10093240/4085760, 1
10093392/5038848, 1
10093856/5038848, 1
10093864/5038848, 1
10094296/7485696, 1
10094304/7603200, 1
10094480/5038848, 1
10094504/4915200, 1
10094952/5038848, 1
1009496/786432, 1
10095112/5038848, 1
10095184/5038848, 1
10095272/5038848, 1
10095440/9980928, 1
10095552/5038848, 1
10095688/5038848, 1
10095824/5038848, 1
10096136/5038848, 1
10096264/5038848, 1
10096296/4085760, 1
10096344/5038848, 1
10096464/5038848, 1
10096480/5038848, 1
10096600/5038848, 1
10096712/5038848, 2
10096792/5038848, 1
10097128/5038848, 1
10097240/5038848, 1
10097512/4085760, 1
10097664/2556928, 1
10097680/5038848, 1
10097768/5038848, 1
10098064/5038848, 1
10098248/3981312, 1
10098272/5038848, 1
10098296/5038848, 1
10098400/5038848, 1
10098488/4085760, 1
10098536/5038848, 1
10098584/4915200, 1
1009872/786432, 1
10098768/5038848, 1
10099120/5038848, 1
10099272/5038848, 1
10099328/5038848, 1
10099504/5038848, 1
10099808/5038848, 1
10099888/7485696, 1
10099912/5038848, 1
10100080/4085760, 1
10100320/5038848, 1
10100416/5038848, 1
10100480/5038848, 2
10100568/4085760, 1
10100648/4085760, 1
10100720/5038848, 1
1010080/786432, 1
10101088/5038848, 1
10101456/5038848, 1
10101464/5038848, 1
10101512/4915200, 1
10101768/5038848, 1
10102024/5038848, 1
10102136/5038848, 1
10102160/5038848, 1
10102568/5038848, 1
10102776/5038848, 1
10102840/5038848, 1
10103056/5038848, 1
10103376/5038848, 1
1010352/307200, 1
10103632/3981312, 1
10104008/5038848, 1
10104248/5038848, 1
10104296/5038848, 1
10104464/5038848, 1
10104568/5038848, 1
10104704/5038848, 2
10104736/4915200, 1
10104840/5038848, 1
10105072/5038848, 1
10105144/5038848, 2
10105304/4085760, 1
10105784/5038848, 1
10105848/5038848, 1
10105904/5038848, 1
1010622/663552, 1
10106256/5038848, 1
10106440/5038848, 1
10106552/5038848, 1
10106584/5038848, 1
10106624/5038848, 1
10106832/5038848, 1
10107000/5038848, 1
10107056/5038848, 1
10107112/5038848, 1
10107128/5038848, 1
10107232/5038848, 1
10107288/5038848, 1
10107424/5038848, 1
10107592/5038848, 1
10107816/5038848, 1
10107960/4915200, 1
10108136/5038848, 1
10108536/5038848, 1
10108656/5038848, 1
10108704/5038848, 1
10108752/9980928, 1
10108904/5038848, 1
10108944/4915200, 1
10108968/5038848, 1
10109280/5038848, 1
10109296/5038848, 1
10109520/4915200, 1
10109864/4915200, 1
10110576/5038848, 1
10110664/5038848, 1
10110672/5038848, 1
10110824/4915200, 1
10110952/5038848, 1
10110984/5038848, 1
10111128/5038848, 1
10111408/4085760, 1
10111512/5038848, 1
10111608/5038848, 1
10111640/5038848, 1
1011200/786432, 1
10112040/5038848, 1
10112080/4915200, 1
10112280/5038848, 1
10112536/4085760, 1
10112768/5038848, 2
1011296/786432, 1
10112968/5038848, 1
10113048/5038848, 1
10113240/4915200, 1
10113400/5038848, 1
10113424/5038848, 1
10113520/5038848, 1
10113576/5038848, 1
10113624/4085760, 1
10113624/5038848, 1
10113648/5038848, 1
10113856/5038848, 1
10114376/5038848, 1
1011440/786432, 1
10114424/5038848, 1
1011454/843750, 1
1011456/786432, 1
10114600/5038848, 1
10114624/5038848, 1
10114856/5038848, 1
10115024/5038848, 1
10115224/5038848, 1
1011528/786432, 1
10115288/5038848, 1
10115472/5038848, 1
10115552/5038848, 1
1011560/307200, 1
10115720/7485696, 1
10115728/5038848, 1
10115864/5038848, 1
10116104/5038848, 1
10116136/5038848, 1
10116376/5038848, 1
10116416/5038848, 1
10116552/5038848, 1
10116576/5038848, 1
10116720/5038848, 1
10116824/5038848, 1
10116904/5038848, 1
10116960/5038848, 1
10117160/5038848, 1
10117296/5038848, 1
10117344/5947392, 1
10117464/5038848, 1
10117568/5038848, 1
10117592/5038848, 1
10117704/5038848, 1
10117720/5038848, 1
10117912/5038848, 1
10117944/5038848, 1
10118584/5038848, 1
10118616/4915200, 1
10118640/5038848, 1
10118920/5038848, 1
10119232/5038848, 1
10119520/5038848, 1
10119688/5038848, 1
10119736/5038848, 1
10119768/5038848, 1
10119776/5038848, 1
10119872/5038848, 1
10119888/7485696, 1
10119920/5038848, 2
10120064/5038848, 1
10120432/5038848, 1
10120568/5038848, 1
10120592/5038848, 1
10120624/4915200, 1
10120832/5038848, 1
10120840/5947392, 1
10120880/5038848, 1
10120920/5038848, 1
10120936/5038848, 1
10121064/5038848, 1
10121280/5038848, 1
10121408/5038848, 1
10121544/5038848, 1
10121600/5038848, 1
10121728/5038848, 1
10122104/5038848, 1
10122144/5038848, 1
10122480/5038848, 1
10122504/5038848, 1
10122888/4085760, 1
10122976/4915200, 1
10123024/4085760, 1
10123192/4915200, 1
10123232/5038848, 1
1012328/307200, 1
10123336/5038848, 1
10123456/5038848, 1
10123584/5038848, 1
10123792/5028352, 1
10123800/5038848, 2
10124032/5038848, 1
10124192/5038848, 1
10124344/5038848, 1
10124720/5038848, 1
10124800/5038848, 1
10124928/5038848, 1
10125024/5038848, 1
1012504/393216, 1
1012512/307200, 1
1012520/786432, 1
10125232/5038848, 1
10125320/5038848, 1
10125800/5038848, 1
10125832/4085760, 1
10125872/5038848, 1
10125920/5038848, 1
10126184/5947392, 1
10126352/5038848, 1
10126480/5038848, 1
10126600/5038848, 1
10126736/5038848, 1
10126864/5038848, 1
10127024/4915200, 1
10127080/5038848, 1
10127304/5038848, 1
1012736/307200, 1
10127392/5038848, 1
10127512/5038848, 1
10127552/5038848, 1
10127848/5038848, 1
10128016/5038848, 1
10128040/5038848, 1
10128224/5038848, 1
10128312/5038848, 1
10128320/5038848, 1
10128552/5038848, 1
10128976/5038848, 1
10129024/3871488, 1
10129056/5038848, 1
10129256/5038848, 1
10129336/5038848, 1
10129448/4085760, 1
10129768/5038848, 1
10129792/4085760, 1
10129864/5038848, 1
10129992/4085760, 1
10130040/5038848, 1
1013029/393216, 2
10130336/5038848, 1
10130512/5038848, 1
10130648/5038848, 1
10130728/4915200, 1
10131528/5038848, 1
10131736/5038848, 1
10131784/5038848, 1
10131824/5038848, 1
10132176/5038848, 1
10132288/5038848, 1
10132320/5038848, 1
10132416/5038848, 1
10132512/5038848, 1
10132568/5038848, 1
10132616/5038848, 1
1013264/307200, 1
10133080/5038848, 1
1013328/786432, 1
10133392/5038848, 1
10133792/5038848, 1
10134424/5038848, 1
10134632/4915200, 1
10134848/5038848, 1
10135128/4085760, 1
10135152/5038848, 1
10135160/5038848, 1
10135248/5038848, 1
10135320/5038848, 1
10135352/5038848, 1
10135360/5038848, 1
10135728/5038848, 1
10135840/4085760, 1
10135840/5038848, 1
10135880/5038848, 1
10135912/5038848, 1
10136144/5038848, 1
10136192/5038848, 1
10136240/5038848, 1
10136280/5038848, 1
10136288/5038848, 1
10136448/5038848, 1
10136584/5038848, 1
10136600/5038848, 1
10136744/5038848, 1
1013688/786432, 1
10136928/5038848, 1
10137152/5038848, 1
10137240/5038848, 1
1013736/786432, 1
10137376/5038848, 1
10137840/5038848, 1
10138064/5038848, 1
1013808/786432, 1
10138208/5038848, 1
10138496/5038848, 1
10138504/5038848, 1
10138512/7990272, 1
10138600/5038848, 1
10138656/5038848, 1
10138664/4085760, 1
10138760/5038848, 1
10139136/5038848, 1
10139280/5038848, 1
10139688/5038848, 1
10139776/5038848, 1
10139784/5038848, 1
10140000/5038848, 1
10140104/5038848, 1
10140144/4915200, 1
10140296/5038848, 1
10140336/5038848, 2
10140616/5038848, 1
10140872/5038848, 1
10140920/7485696, 1
10141272/5038848, 1
1014154/663552, 1
10141544/5038848, 1
10141864/5038848, 1
10141944/5038848, 1
10141976/4915200, 1
10142240/5038848, 1
10142344/5038848, 1
10142896/5947392, 1
10143280/5038848, 1
10143528/5038848, 1
10143712/5038848, 1
10143856/5038848, 1
10143976/5038848, 1
10144096/5028352, 1
10144096/5038848, 1
10144472/7990272, 1
10144736/5038848, 1
10144904/5038848, 1
10145328/5038848, 1
10145440/5947392, 1
10145488/5038848, 1
10145576/5038848, 1
10146192/5038848, 1
10146232/5038848, 1
10146272/5038848, 1
1014640/786432, 2
10146424/5038848, 2
10146592/5038848, 1
10146856/5038848, 1
10146928/5038848, 1
10146944/5038848, 1
10146952/5038848, 1
10147008/4085760, 1
10147048/4915200, 1
10147072/4915200, 1
10147176/5038848, 1
10147400/3981312, 1
10147848/5038848, 1
10147856/5038848, 1
1014816/786432, 1
10148224/7485696, 1
10148520/5038848, 1
10148728/5038848, 1
10148888/5038848, 1
10149088/5038848, 1
10149088/9980928, 1
10149216/5038848, 1
10149296/5038848, 1
10149552/5038848, 1
10149912/5038848, 1
10150144/5038848, 1
10150312/5038848, 1
10150368/5038848, 1
10150584/5038848, 1
10151/4012, 1
10151656/5038848, 1
10152176/5038848, 1
10152232/5038848, 1
10152360/5038848, 1
10152432/7485696, 1
10152464/5038848, 1
10152640/5038848, 1
10152776/5038848, 1
10152816/5038848, 1
10153024/5038848, 1
10153096/5038848, 1
10153120/7485696, 1
10153384/5038848, 1
10153520/5038848, 1
10153560/5038848, 1
10153616/5038848, 1
10153816/5038848, 1
10153968/5038848, 1
10154336/5038848, 2
10154464/5038848, 1
10154472/5038848, 1
10154712/5038848, 1
10154736/3981312, 1
10154768/5038848, 1
10155064/5038848, 1
10155272/5038848, 1
10155344/5038848, 1
10155408/5038848, 1
10155544/5038848, 1
1015560/307200, 1
10155616/5038848, 1
10155816/5038848, 1
10155848/5038848, 1
10155880/4915200, 1
10155976/5038848, 1
10156072/5038848, 1
10156632/5038848, 2
10157064/5038848, 1
10157304/5038848, 1
10157376/5038848, 1
10157456/5038848, 1
10157528/5038848, 1
10157544/5038848, 1
10157776/5038848, 1
10157824/5038848, 1
10158296/5038848, 1
10158360/5038848, 1
10158944/5038848, 1
1015934/614400, 1
10159440/3871488, 1
10160000/5038848, 1
10160176/5038848, 1
10160328/5038848, 1
10160720/5038848, 1
10160936/3981312, 1
10161016/5038848, 1
10161208/5038848, 1
10161560/5038848, 1
10161640/5038848, 1
10161712/5038848, 1
10161752/5038848, 1
1016184/307200, 1
10162344/5038848, 1
10162760/3871488, 1
10163160/5038848, 1
10164072/5038848, 1
10164112/5038848, 1
10164200/5038848, 1
10164248/5038848, 1
