ifds_CompressedBitsPerPixel ,Count
13759008/3871488, 1
13759536/7077888, 1
13762240/3871488, 1
13763544/7077888, 1
13763872/7077888, 1
13764328/12000000, 1
13764608/3871488, 1
13764872/3871488, 1
13765880/3871488, 1
13766144/7603200, 1
13766304/3871488, 1
13767048/7077888, 1
13768688/7077888, 1
13772280/7077888, 1
13772752/7077888, 1
13773152/3871488, 1
13773720/7077888, 1
13774184/7990272, 1
1377479/393216, 1
13774912/7077888, 1
13774920/7990272, 1
13775816/7077888, 2
13776016/7077888, 1
13776680/3871488, 1
1377669/614400, 1
13776768/7077888, 1
13778112/3871488, 1
13778776/3871488, 1
13780424/7077888, 1
13780968/3871488, 1
13780968/7990272, 1
13781056/7077888, 1
13782256/7077888, 1
13782416/3145728, 1
13782656/3871488, 1
13784024/7077888, 1
13785048/4085760, 1
13785736/3871488, 1
13786840/7077888, 1
13787840/3871488, 1
13788280/3871488, 1
13788288/4085760, 1
13789104/7077888, 1
13789448/3871488, 1
13789752/3145728, 1
13789992/3871488, 1
13789992/4085760, 1
13791904/4085760, 1
13792912/7077888, 1
13792952/7077888, 1
13793336/4085760, 1
13793584/4085760, 1
13793600/3871488, 1
13793648/7077888, 1
13793944/5038848, 1
13794376/3871488, 1
13794384/7077888, 1
13794416/3145728, 1
13794728/7077888, 1
13794768/10256768, 1
13794896/9980928, 1
13795048/7077888, 1
13795144/7077888, 1
13795872/7077888, 1
13796144/3417088, 1
13796720/3417088, 1
13796848/3871488, 1
13797904/5038848, 1
13798304/7077888, 1
13798328/4085760, 1
13799416/3871488, 1
138/100, 2
1380008/786432, 1
13800280/7077888, 1
13800768/7077888, 1
13801104/3871488, 1
13801616/7077888, 1
13801744/3871488, 1
13802048/3871488, 1
13802320/7077888, 1
1380280/691200, 1
13803672/3871488, 1
13803776/3871488, 1
13804712/4085760, 1
13806040/7077888, 1
13806232/3871488, 1
13806368/3871488, 1
13806384/3145728, 1
13806400/7077888, 1
13807320/7077888, 1
13807880/7603200, 1
13809600/7077888, 1
13809824/4915200, 1
13810104/8871936, 1
13810120/3871488, 1
13810320/3145728, 1
13811136/3871488, 1
13811160/3871488, 1
13811328/7077888, 1
13812912/5947392, 1
13812944/7077888, 1
13813408/7077888, 1
13813848/3871488, 1
13814680/5947392, 1
13815024/7077888, 1
13815248/7077888, 1
13815808/3871488, 1
13815984/7102464, 1
1381600/628704, 1
13816408/7077888, 1
13816848/7077888, 1
13817776/3871488, 1
1381913/1269600, 1
13819352/7077888, 1
13819952/7077888, 1
13820464/4085760, 1
13820888/3871488, 1
13821096/3871488, 1
13821296/4085760, 1
13822296/3871488, 1
1382264/786432, 1
13822776/3871488, 1
13822928/4085760, 1
13823200/5028352, 1
13823744/7077888, 1
13825776/7077888, 1
13826632/3871488, 1
13828832/7077888, 1
13829040/7077888, 1
13829408/7077888, 1
13829480/3871488, 1
13829992/7077888, 1
13830016/7077888, 1
13830176/4085760, 1
13830224/3871488, 1
13831016/7077888, 1
13831208/7077888, 1
13831280/3871488, 1
13831360/7077888, 1
13832160/3871488, 1
13832712/7990272, 1
13832720/4085760, 1
13834096/3871488, 1
13834560/3871488, 1
13834984/7262976, 1
13835048/7077888, 1
13835208/7077888, 1
13835320/7077888, 1
1383569/663552, 1
13835728/7077888, 1
13836288/3871488, 1
13837048/7102464, 1
13837264/3871488, 1
13837312/3871488, 1
13837520/7077888, 1
13837880/7077888, 1
13838472/7077888, 1
13838736/3871488, 1
13839160/7077888, 1
13839904/7077888, 1
13840008/7077888, 1
13840296/3871488, 1
13840800/4085760, 1
13841192/7077888, 1
13842344/7102464, 1
13842424/3145728, 1
13842448/7077888, 1
13842600/7077888, 1
13842992/7077888, 1
13844016/7077888, 1
13844136/9980928, 1
13844320/3871488, 1
13844560/4085760, 1
13845448/7077888, 1
13845816/7077888, 1
13845856/7077888, 1
13846816/4085760, 1
13847640/7990272, 1
13847912/7077888, 1
13848160/7990272, 1
13848176/7077888, 1
13848856/7077888, 1
13849288/7077888, 1
13849368/7077888, 1
13849920/4085760, 1
13850096/3871488, 1
13851168/7077888, 1
13851192/7077888, 1
13851248/3417088, 1
13851304/4085760, 1
13851936/3871488, 1
13852200/7077888, 1
13852280/7077888, 2
13852392/7077888, 1
13852912/7077888, 1
13853248/3871488, 1
13853792/3871488, 1
13854264/7077888, 1
13854352/9980928, 1
13854616/5038848, 1
13854936/7077888, 1
13854952/7990272, 1
13855064/7077888, 1
13855464/3871488, 1
13855496/7077888, 1
13855512/7077888, 1
13855968/7077888, 1
13856408/7077888, 1
13856488/5947392, 1
13856784/3871488, 1
13856840/7077888, 1
13856928/7077888, 1
1385701/663552, 1
13857384/7077888, 1
13857584/7077888, 1
13858952/4085760, 1
13859488/7990272, 1
13859720/7077888, 1
13860640/7077888, 1
13861248/3871488, 1
13861440/7077888, 1
13861488/7077888, 1
13861656/4085760, 1
13861664/3871488, 1
13862088/7077888, 2
13862376/3871488, 1
13862632/7077888, 1
13862832/7077888, 1
13863176/7077888, 1
13863208/3871488, 1
13863280/3145728, 1
13864064/7077888, 2
13865440/3871488, 1
13866136/7077888, 1
13866208/7077888, 1
13866800/3871488, 1
13867744/7077888, 1
13868576/3871488, 1
13868752/3145728, 1
13868832/3871488, 1
13869208/3871488, 1
13869224/3871488, 1
13869368/7990272, 1
13869512/7077888, 1
13869720/7077888, 1
13871080/4085760, 1
13871240/7077888, 1
13871728/7077888, 1
13871776/3871488, 1
13871808/7077888, 1
13872016/4085760, 1
13872304/7077888, 1
13872392/7077888, 1
13872832/9980928, 1
13873728/3871488, 1
13873824/7077888, 1
13874080/7077888, 1
13874160/3871488, 1
13875072/9980928, 1
13875104/4085760, 1
13875184/3871488, 1
13875392/7077888, 1
13875696/7990272, 1
13876200/7077888, 1
13877576/7990272, 1
1387780/393216, 1
13877832/7077888, 1
13878032/7077888, 1
13878616/9980928, 1
13878928/3871488, 1
13879040/7077888, 1
13879664/4085760, 1
13879712/3871488, 1
13879808/3871488, 1
13879984/7077888, 1
13880200/3871488, 1
13881312/7077888, 1
13881384/3871488, 1
13881600/3871488, 2
13881696/7077888, 1
13881784/7077888, 1
13881808/7077888, 1
13882792/7077888, 1
13882952/7077888, 1
13884152/7077888, 1
13885504/3871488, 1
13885584/7077888, 1
13885888/7077888, 1
13885976/7077888, 1
13886056/7077888, 1
13886408/7077888, 1
13886416/8871936, 1
13886432/7077888, 1
13886456/3871488, 1
13886528/7077888, 1
1388688/786432, 1
13887104/7077888, 1
13887312/7077888, 1
13887672/7077888, 1
13887952/7077888, 1
13888136/3871488, 1
13888952/3871488, 1
13889160/7077888, 1
13889360/3871488, 1
13889416/7077888, 1
13889576/7077888, 1
13889792/3871488, 1
13890448/3871488, 1
13890480/3871488, 1
13890504/5947392, 1
13890992/3871488, 1
13891832/7077888, 1
13892192/7077888, 1
13892296/7077888, 1
13892360/7102464, 1
1389248/519168, 2
13892528/3871488, 1
13892720/3871488, 1
13892936/7077888, 1
13893000/7077888, 1
13893576/7077888, 1
13893648/4085760, 1
13893680/7077888, 1
13893720/4085760, 1
13894328/7077888, 1
13894480/3871488, 1
13894576/7077888, 1
13894616/7077888, 1
13894752/7077888, 1
13895208/7077888, 1
13895624/7077888, 1
13895656/7077888, 1
13895792/7077888, 1
13896064/3871488, 1
13897424/7077888, 1
13898048/7077888, 1
13898352/3871488, 1
13898896/7990272, 1
13899736/4085760, 1
13899736/7077888, 1
139/100, 2
13900280/7077888, 1
13900352/7077888, 1
13900408/4085760, 1
13900552/3871488, 1
13900704/7077888, 1
13900736/7077888, 1
13900800/7077888, 1
13901664/7077888, 1
13902032/8871936, 1
13902096/3871488, 1
13902104/7077888, 1
13902656/3871488, 1
13902784/7077888, 1
13902888/3871488, 1
13903152/4085760, 1
13904064/7077888, 1
13904408/7077888, 1
13906424/7077888, 1
13906856/7077888, 1
13907272/7102464, 1
13907576/7077888, 1
13907744/7077888, 1
13907776/7077888, 1
13908304/3145728, 1
13908768/7077888, 2
13909008/7077888, 1
13909272/3871488, 1
13909408/5028352, 1
13909832/4085760, 1
13911144/3871488, 1
13911584/7077888, 1
13911752/7077888, 1
13912552/7077888, 1
13912720/3871488, 1
13912848/7077888, 1
13913408/3871488, 1
13913576/7077888, 1
13913760/7077888, 2
13914064/4085760, 1
13914104/7990272, 1
13915032/7077888, 1
13915592/7077888, 1
13916008/7077888, 1
13916056/7077888, 1
13916296/3871488, 1
13916456/6748800, 1
13916696/7077888, 1
13916824/7077888, 1
13917904/7077888, 1
13918136/7077888, 1
13918328/7077888, 1
13918352/4085760, 1
13918392/3871488, 1
13918472/7077888, 1
13918640/7077888, 1
13918760/7077888, 1
13919328/7077888, 1
13919480/3871488, 1
13919816/3871488, 1
13919848/7077888, 1
13920080/7077888, 1
13920728/3871488, 1
13920904/7077888, 1
13922328/7077888, 1
13922592/7102464, 1
13922760/7077888, 1
13923016/7077888, 1
13923104/7077888, 1
13923296/4085760, 1
13923472/3145728, 1
13923592/7077888, 1
13923744/3871488, 1
13923792/7077888, 1
1392392/687232, 1
13923920/7077888, 1
13924016/3145728, 1
13924080/5028352, 1
13924608/7077888, 1
13924656/7077888, 1
13925104/7077888, 1
13925336/7077888, 1
13925352/7077888, 1
13925856/7077888, 1
13926160/3417088, 1
13926320/7077888, 1
13926400/4915200, 80
13926560/7077888, 1
13927328/7077888, 1
13927480/3871488, 1
13927728/3145728, 1
13927936/7077888, 1
13927944/7077888, 1
13928408/7077888, 1
1392841/629856, 1
13928528/5947392, 1
13928800/7077888, 1
13929136/3871488, 1
13929200/7077888, 1
13929288/7077888, 1
13929504/3871488, 1
13929592/3871488, 1
13929712/3871488, 1
13930096/7077888, 1
13930192/7077888, 1
13930608/7077888, 1
13930744/7077888, 1
13931072/7077888, 1
13931344/4085760, 1
13931512/4085760, 1
13932008/7077888, 1
13932104/7077888, 1
13932144/7077888, 1
13932376/3871488, 1
13933168/7077888, 1
13933280/7102464, 1
13933392/3871488, 1
13933960/7077888, 1
13934168/4085760, 1
13934208/3871488, 1
13934280/7077888, 1
13934320/7077888, 1
13934344/7077888, 1
13934368/7077888, 1
13934800/7077888, 1
13934840/3871488, 1
13935400/7077888, 1
13935448/7077888, 1
13935576/7077888, 1
13936680/3871488, 1
13937496/7077888, 1
13937568/3871488, 1
13937840/3145728, 1
1393792/393216, 1
1393800/786432, 1
1393809/843750, 1
13938216/7077888, 1
13938400/7077888, 1
13939088/7077888, 1
13939648/7077888, 1
13939720/7077888, 1
13939856/7262976, 1
13940536/7077888, 1
13940832/9980928, 1
13940856/7077888, 1
13941192/7077888, 1
13941552/7990272, 1
13942168/7077888, 1
13942496/3871488, 1
13942552/7077888, 1
13942640/7077888, 1
13942672/3871488, 1
13942784/7077888, 1
13943088/3871488, 1
13943128/7077888, 1
13943152/4085760, 1
13943792/3871488, 1
13944560/7077888, 1
13945024/7102464, 1
13945320/3871488, 1
13945336/7077888, 1
13945376/3871488, 1
13946592/7077888, 1
13946872/7077888, 1
13947272/7077888, 1
13947376/7077888, 1
1394753/843750, 1
13947960/3871488, 1
13947992/9980928, 1
13948392/7077888, 1
13948648/7077888, 1
13948792/7077888, 1
13949032/7077888, 1
13949904/7077888, 1
13949912/3871488, 1
13949960/7077888, 1
13950024/3871488, 1
13950080/3871488, 1
13950144/7077888, 1
13950488/7077888, 1
13950568/7077888, 1
13950656/7077888, 1
13950752/7077888, 1
13950760/3871488, 1
13950768/7990272, 1
13951280/7077888, 1
13951672/3871488, 1
13951720/3871488, 1
13951808/7077888, 1
13953016/7077888, 1
13953200/7077888, 1
13953280/3871488, 1
13953400/3871488, 1
13954048/9980928, 1
13954120/7077888, 1
13954544/7077888, 1
13954864/7077888, 1
13955280/3871488, 1
13955616/7077888, 1
13955704/7077888, 1
13955928/3871488, 1
13955944/3871488, 1
13956056/7077888, 1
13956184/7077888, 1
13956512/7077888, 1
13956648/7077888, 1
13956696/7077888, 1
13957432/7077888, 1
13957520/7077888, 1
13957592/3871488, 1
13957640/3871488, 1
13957656/7102464, 1
13957664/7077888, 1
13958136/7077888, 1
13958880/7077888, 1
13959512/7077888, 1
13959560/3871488, 1
13959624/3871488, 1
13960112/7077888, 1
13960160/7077888, 1
13960176/7077888, 1
13960264/7077888, 1
13960920/7077888, 1
13961296/7077888, 1
13961488/3871488, 1
13962216/7077888, 1
13962432/7077888, 1
13962600/3871488, 1
13962912/7990272, 1
13963200/7077888, 1
13963568/7077888, 1
13963704/9980928, 1
13963848/7077888, 1
13963984/7077888, 1
13964104/7077888, 1
13964600/7077888, 1
13964760/7077888, 1
13965144/7077888, 1
13965192/7077888, 1
13965480/7077888, 1
13965512/7077888, 1
13965768/3871488, 1
13966088/7990272, 1
13966416/3871488, 1
13966488/7077888, 1
13966520/7077888, 1
13967112/7077888, 1
13967280/7077888, 1
13967656/7077888, 1
13967688/7077888, 1
13968288/7077888, 1
13968320/7077888, 1
13968488/7077888, 1
13968864/7077888, 1
13969512/3871488, 1
13969552/7077888, 1
13969560/7077888, 1
13969656/7077888, 1
13969824/7102464, 1
13970208/7990272, 1
1397072/307200, 1
13970776/7077888, 2
13970936/7077888, 1
13971176/3871488, 1
13971408/3871488, 1
13971496/7077888, 1
13971560/3871488, 1
13971760/7077888, 1
13972024/3871488, 1
13972152/7077888, 2
13972240/3871488, 1
13972248/7102464, 1
13972488/7077888, 1
13974000/13996800, 1
13974544/7077888, 1
13974760/7077888, 1
13974960/7077888, 1
13975032/7077888, 1
13975216/7077888, 1
13975272/7077888, 1
13975464/7077888, 1
13975936/7077888, 1
13976008/9980928, 1
13976544/10581504, 1
13976696/7077888, 1
13976712/7077888, 1
13976896/3871488, 1
13976960/7077888, 1
13977128/7077888, 2
13977272/7077888, 1
13977376/4085760, 1
13977424/3871488, 1
13977424/7077888, 1
13977472/7077888, 1
13977784/3871488, 1
13978088/7077888, 1
13978192/7077888, 1
13978408/7102464, 1
13978448/7077888, 1
13978528/7077888, 1
13978600/7077888, 1
13978864/7077888, 1
13978952/3871488, 1
13979016/7077888, 1
1397936/786432, 1
13979728/7077888, 1
13979936/3871488, 1
13980160/7077888, 1
13980184/3871488, 1
13980208/7077888, 1
13980448/7077888, 1
13980648/7077888, 1
13980784/3871488, 1
13981008/3871488, 1
13981072/7077888, 1
13981208/7077888, 1
13981296/7077888, 1
13981576/7077888, 1
13981584/7077888, 1
13981688/7077888, 1
13981712/3871488, 1
13981720/7077888, 1
1398181/629856, 1
13981848/3871488, 1
13982248/7077888, 1
13982824/3871488, 1
13982920/7077888, 1
13982960/3145728, 1
13983048/7077888, 1
13983080/7077888, 1
13983464/7077888, 1
13983784/7077888, 1
13983792/7077888, 1
13983976/7077888, 1
13984/7401, 1
13984024/7077888, 1
13984048/3871488, 1
13984368/7077888, 1
13984576/7077888, 1
13984672/7077888, 1
13984896/7077888, 1
13985456/3871488, 1
13985896/7077888, 1
13986376/3871488, 1
13986600/7077888, 1
13986744/5038848, 1
13987008/7077888, 1
13987016/7077888, 1
13987080/3871488, 1
13987224/3871488, 1
13987400/7077888, 1
13987592/3871488, 1
13987760/7077888, 1
13987872/7077888, 1
13987912/7077888, 1
13987920/7077888, 1
13987944/3871488, 1
13988088/9980928, 1
13988592/4085760, 1
13988720/4085760, 1
13988752/7077888, 1
13989008/3871488, 1
13989320/3871488, 1
13989680/7077888, 1
13989736/3871488, 1
13989744/6748800, 1
13989984/7990272, 1
13990368/7077888, 1
13990432/7077888, 1
13991312/7102464, 1
13991320/7077888, 1
13991424/7077888, 1
13991520/7077888, 1
13991560/7077888, 1
13991584/7990272, 1
13991848/7077888, 1
13991920/7077888, 1
13992032/7077888, 1
13992440/4085760, 1
13993024/3871488, 1
13993496/7077888, 1
13993752/7990272, 1
13994232/7077888, 1
13994624/7077888, 1
13994688/7077888, 1
13995088/7077888, 2
13995280/7077888, 1
13995312/5947392, 1
13995544/7077888, 1
13995864/7077888, 1
13995944/7077888, 1
13996776/12000000, 1
13996808/7077888, 1
13997192/4085760, 1
13997368/7077888, 1
13997392/7077888, 1
13998144/7077888, 1
13998528/7077888, 1
13998760/7077888, 1
13999000/7077888, 1
1399901/663552, 1
13999064/3871488, 1
13999112/4085760, 1
13999768/3871488, 1
13999872/7077888, 1
13999912/7077888, 1
14/10, 22
14/5, 10
140/100, 2
14000152/7077888, 1
14000416/7102464, 1
14000600/7077888, 1
14000984/3871488, 1
14001072/7077888, 1
14001280/3871488, 1
14001296/3871488, 1
14001432/3871488, 1
14001736/7077888, 1
14001872/7077888, 1
14001912/7077888, 1
14002200/7077888, 1
14002648/7077888, 1
14003040/12000000, 1
14003328/7077888, 1
14003936/7077888, 1
14004664/3871488, 1
14004728/7077888, 1
14004752/7077888, 1
14004888/7077888, 1
14005040/3871488, 1
14005056/7077888, 1
14005224/4085760, 1
14005432/7077888, 1
14005552/7077888, 1
14005720/8871936, 1
14006032/7077888, 1
14006872/3871488, 1
14006960/4085760, 1
14006960/7077888, 1
14007040/7077888, 1
14007072/4085760, 1
14007192/7077888, 1
14007288/7077888, 1
14007768/3871488, 1
14007888/7077888, 1
14007896/7077888, 1
14008064/3871488, 1
14008288/3871488, 1
14008312/7077888, 1
14008440/7077888, 1
14008680/3871488, 1
14008952/3871488, 1
14009416/3871488, 1
14009896/7077888, 1
14010080/7077888, 1
14010216/7077888, 1
14010616/7077888, 1
14010640/3871488, 1
14010712/3871488, 1
14010912/3871488, 1
14010944/3871488, 1
14011000/7990272, 1
14011256/7077888, 1
14011424/12000000, 1
14011424/7077888, 1
14011536/7077888, 1
14012056/7077888, 1
14012064/7990272, 1
14012256/7077888, 1
1401230/663552, 1
14012456/7077888, 1
14013056/3871488, 1
14013624/7077888, 1
14013688/7077888, 2
14014072/7077888, 1
14014384/3145728, 1
14014624/7077888, 1
14014936/7603200, 1
14014992/7077888, 1
14015376/7077888, 1
14016048/7077888, 1
14016248/7077888, 1
14016288/4085760, 1
14016328/7077888, 1
14016360/7077888, 1
14016552/7077888, 1
1401682/1269600, 1
14016944/7102464, 1
14017312/3871488, 1
14017624/4085760, 1
14017648/3871488, 1
14018752/7990272, 1
14018952/7990272, 1
14019144/7077888, 1
14019224/7077888, 1
14020768/3871488, 1
14021136/7077888, 1
14021512/3871488, 1
14021744/7077888, 1
14021992/4085760, 1
14022200/4085760, 1
14022432/7077888, 1
14022528/7077888, 1
14022640/7077888, 1
14022864/7077888, 1
14022920/3871488, 1
14023008/7077888, 1
14023344/7077888, 1
14023424/3871488, 1
14023440/3871488, 1
1402408/786432, 1
14024688/7077888, 1
14024776/7077888, 1
14025312/7077888, 1
14025336/7077888, 1
14025384/4915200, 1
14025424/7102464, 1
14025600/7077888, 1
14026216/7077888, 1
14026360/7077888, 1
14026800/7077888, 1
14026816/7077888, 1
14027120/7102464, 1
14027488/7077888, 1
14027840/5947392, 1
14028072/4085760, 1
14028072/7077888, 1
14028200/7077888, 1
14028264/7077888, 1
14028368/7077888, 1
14028568/7077888, 1
14028832/7077888, 1
14028840/7077888, 1
14029008/3871488, 1
14029200/7077888, 1
14029232/3871488, 1
14029272/7077888, 1
14029880/7077888, 1
14030000/7077888, 1
14030272/3871488, 1
14030480/7077888, 1
14030920/4821120, 1
14031592/7077888, 1
14031992/7077888, 1
14032024/7077888, 1
14032120/3871488, 1
14032192/7077888, 1
14033504/3871488, 1
14034056/7077888, 1
14034584/7077888, 1
14034856/7077888, 1
14035272/7077888, 1
14035448/3871488, 1
14035456/7077888, 1
14035632/7077888, 1
14035704/3871488, 1
14035712/3871488, 1
14035768/7077888, 1
14036280/7077888, 1
14036304/7077888, 1
14036456/7077888, 1
14036792/3871488, 1
14037200/7077888, 1
14037256/7077888, 1
14037488/7077888, 1
14037504/7077888, 1
14037664/4085760, 1
14037728/7077888, 1
14037736/3871488, 1
14037736/7077888, 1
14037888/3871488, 1
14037912/7077888, 1
14037920/7077888, 1
14037968/3145728, 1
14038176/7077888, 1
14038328/3871488, 2
14038672/8871936, 1
14038792/7077888, 1
14038968/3871488, 1
14038992/7077888, 1
14039176/7077888, 1
14039912/7077888, 1
14040968/7077888, 1
14041072/7077888, 1
14041336/3871488, 1
14041640/7077888, 1
14041680/7077888, 1
14041768/7102464, 1
14041816/7077888, 1
14041824/7077888, 1
14041840/7077888, 1
14041968/3871488, 1
14042008/6748800, 1
14042328/7077888, 1
14042416/7102464, 1
14042560/6748800, 1
14042704/7077888, 1
14042776/7077888, 1
14043016/7077888, 1
14043248/7077888, 1
14043256/7077888, 1
1404328/519168, 1
14043816/3871488, 1
14043928/3871488, 1
14044376/7077888, 1
14044384/7077888, 1
14044624/3871488, 1
14045528/7077888, 1
14045656/7077888, 1
14045848/3871488, 1
14045968/7077888, 1
14046000/3871488, 1
14046120/7077888, 1
14046440/7077888, 1
14046992/7077888, 1
14047320/7077888, 1
14047384/7077888, 1
1404744/843750, 1
14047504/7102464, 1
14047536/7077888, 1
14047640/7077888, 1
14047696/6748800, 1
14047792/7077888, 1
14047864/3871488, 1
14048304/3871488, 1
14048792/7077888, 1
14049000/7077888, 1
14049208/7990272, 1
14049392/7077888, 1
14050048/3871488, 1
14050584/7077888, 1
14050680/7077888, 1
14050696/7077888, 1
14051288/7077888, 1
14051568/7077888, 1
14051632/7077888, 1
14052496/7077888, 1
14052672/7603200, 1
14052880/7077888, 1
14052936/3871488, 1
14053168/3871488, 1
14053432/3871488, 1
14053512/7077888, 1
14054088/4915200, 1
14054232/7077888, 1
14054296/3871488, 1
14054840/3871488, 1
14054888/7077888, 2
14054952/7077888, 1
14055104/7077888, 1
14055424/3871488, 1
14055448/7077888, 1
14055464/3871488, 1
14055600/3871488, 1
14055616/3871488, 1
14055648/7102464, 1
14056016/7077888, 1
14056168/7077888, 1
14056392/7990272, 1
14056432/3145728, 1
14056944/7077888, 1
14057240/7077888, 2
14057648/9980928, 1
14057696/7077888, 1
14057744/7077888, 1
14057816/7077888, 1
14057928/7077888, 1
14058008/3871488, 1
14058032/7077888, 1
14058256/7077888, 1
14058520/3871488, 1
14058600/3871488, 1
14058688/7077888, 1
14058864/7077888, 1
14059320/7077888, 1
14059576/3871488, 1
14059576/7990272, 1
14059832/3871488, 1
14060248/7077888, 1
14061072/7077888, 1
14061144/7077888, 1
14061168/7077888, 1
14061264/7077888, 1
14061504/7077888, 1
14061584/7077888, 1
14061632/3871488, 1
14061784/7077888, 1
14061808/3871488, 1
14062096/7077888, 1
14062192/4085760, 1
14062264/7102464, 1
14063304/7077888, 1
14063504/7077888, 1
14063664/7077888, 1
14063952/7077888, 1
14063968/7077888, 1
14064024/5038848, 1
14064064/5038848, 1
14064336/7077888, 1
14064472/7102464, 1
14064488/7077888, 1
14064544/7077888, 1
14065072/7102464, 1
14065216/7077888, 1
14065592/7077888, 1
14065752/7088256, 1
14065760/7077888, 1
14065808/7077888, 1
14065840/7077888, 1
14065928/7077888, 1
14065968/7077888, 1
14066048/7077888, 1
14066432/7077888, 1
14066456/3871488, 1
14066656/7077888, 1
14066784/7077888, 1
14066840/7077888, 1
14067176/7077888, 1
14067600/4085760, 1
14067672/7077888, 1
14067992/4085760, 1
14068088/5947392, 1
14068104/7077888, 1
14068136/7077888, 1
14068488/3871488, 1
14068512/7077888, 1
14068680/3871488, 1
14068680/7077888, 1
14068904/7077888, 1
14068952/3871488, 1
14069080/4085760, 1
14069144/4085760, 1
14069208/7077888, 1
14069496/7990272, 1
14069616/7077888, 1
14069696/3871488, 1
14069728/3871488, 1
14069760/7077888, 1
14069840/3417088, 1
14070008/7077888, 1
14070224/3871488, 1
14070352/3871488, 1
14070624/3871488, 1
14070688/7077888, 1
14071128/7077888, 1
14071192/4085760, 1
14071728/7077888, 1
14072440/3871488, 1
14072560/7102464, 1
14072784/7077888, 1
14072824/7077888, 1
14073448/7077888, 1
14073544/7077888, 1
14073680/3871488, 1
14073808/7077888, 1
14073880/3871488, 1
14074440/7102464, 1
14074872/3871488, 1
14074944/7077888, 1
14075096/7077888, 1
14075296/7077888, 1
14075328/7077888, 1
14075352/7077888, 1
14075608/7077888, 1
14075832/7077888, 1
14076016/13996800, 1
14076128/7077888, 1
14076616/7077888, 1
14076952/7077888, 1
14077608/7077888, 1
14077768/7102464, 1
14078760/7077888, 1
14079224/7077888, 1
14080024/7077888, 1
14080104/7077888, 1
14080128/7077888, 2
14080648/7077888, 1
14080816/3871488, 1
14080864/5028352, 1
1408120/629856, 1
14081608/7077888, 1
14082136/7077888, 1
14082176/7077888, 1
14082192/7077888, 1
14082312/7077888, 1
14082336/7077888, 1
14082336/7990272, 1
14082736/7990272, 1
14082776/3871488, 1
14082840/7077888, 1
14082872/7077888, 1
14082976/7077888, 1
14083272/7077888, 1
14083408/7077888, 1
14083776/3871488, 1
14083784/3871488, 1
14083944/7077888, 1
14083984/7077888, 1
14084016/7077888, 1
14084040/7077888, 1
14084328/7077888, 1
14084360/7077888, 1
14085064/7077888, 1
14085112/7077888, 1
14085256/7077888, 1
14085600/7077888, 1
14086240/7077888, 1
14086320/7077888, 1
14086344/7077888, 1
14086432/7077888, 1
14086536/7077888, 1
14086944/3871488, 1
14087064/7077888, 1
14087488/7077888, 1
14087608/3871488, 1
14087728/7077888, 1
14088192/7077888, 1
14088456/7077888, 2
14088656/7077888, 1
14088664/7077888, 1
14088848/7077888, 1
14088856/7077888, 1
14089088/7077888, 1
14089440/3871488, 1
14089488/3871488, 1
14089528/3871488, 1
14089696/7077888, 1
14089912/3871488, 1
14090016/7077888, 1
14090240/4915200, 7
14090424/7077888, 1
14090432/7077888, 1
14090544/7077888, 1
14090560/7077888, 1
14090760/7077888, 1
14091216/7077888, 1
14092256/7077888, 1
14092512/7077888, 1
14092776/3871488, 1
14092968/7077888, 1
14093216/7077888, 1
14093304/7077888, 1
14093736/7077888, 1
14093808/7077888, 1
14094056/9980928, 1
14094152/7077888, 1
14094200/7077888, 1
14094400/3871488, 1
14094976/4085760, 1
14095040/3871488, 1
14095152/7077888, 1
14095176/7077888, 2
14095248/7077888, 1
14095256/7077888, 1
14095376/7077888, 1
14095632/7077888, 1
14095640/7077888, 1
14095960/7077888, 1
14096640/7077888, 1
14096840/7077888, 1
14096864/7077888, 1
14096968/7088256, 1
14097104/7077888, 1
14097192/7077888, 1
14097360/7077888, 1
14097408/4085760, 1
1409749/1269600, 1
14097656/7077888, 1
14097680/7077888, 1
1409777/629856, 1
14098080/7077888, 1
14098256/3871488, 1
14098264/6748800, 1
14098504/7077888, 1
14098560/7077888, 1
14098568/7603200, 1
14099216/3871488, 1
14099608/7077888, 1
14099816/3871488, 1
14099992/7077888, 1
141/100, 1
14100280/3871488, 1
14100288/7077888, 1
14100352/7077888, 1
14100456/7077888, 1
14100504/7077888, 1
14100728/7077888, 1
14100920/7077888, 1
14101032/7077888, 2
14101104/7077888, 1
1410112/687232, 1
14101768/7077888, 1
14101792/7077888, 1
14102016/4085760, 1
14102016/7990272, 1
14102128/7077888, 1
14102160/7077888, 1
14102488/7077888, 1
14102552/7077888, 1
14102560/7990272, 1
14102736/7077888, 1
14102816/7077888, 1
14102816/9980928, 2
14103648/7077888, 1
14103896/7077888, 1
14104096/7077888, 1
14104296/7077888, 1
14104328/3871488, 1
14104416/7077888, 1
14104632/3871488, 1
14104832/7077888, 2
14104888/7077888, 1
14104992/7077888, 1
14105424/3871488, 1
14106144/3871488, 1
14106152/7077888, 1
14106232/7077888, 1
14106256/7077888, 1
14106280/7077888, 1
14106512/4085760, 1
14106552/7077888, 1
14106712/7077888, 1
14107240/7077888, 1
14107416/7102464, 1
1410784/786432, 1
14107920/7077888, 1
14108184/4085760, 1
14108232/7077888, 1
14108272/3871488, 1
14108488/7077888, 1
14108552/7077888, 1
14108640/7077888, 1
14108728/7077888, 1
14108760/7077888, 1
14108904/7077888, 1
