ifdg_GPSAltitude ,Count
0:15:36.21, 1
0:15:37.75, 1
0:15:39.61, 1
0:15:39.68, 1
0:15:40.00, 1
0:15:41.20, 1
0:15:4206.00, 1
0:15:43.00, 1
0:15:45.40, 1
0:15:47.00, 1
0:15:5.59, 1
0:15:5080.00, 1
0:15:54.00, 1
0:15:55.64, 1
0:15:56.39, 1
0:15:56.55, 1
0:15:5632.00, 1
0:15:57.00, 1
0:15:6.16, 1
0:15:7.00, 1
0:16:1.00, 1
0:16:10.04, 1
0:16:10.39, 1
0:16:10.97, 1
0:16:11.56, 1
0:16:14.00, 1
0:16:15.99, 1
0:16:16.90, 2
0:16:1647.00, 1
0:16:19.00, 1
0:16:23.00, 1
0:16:25.07, 1
0:16:25.26, 1
0:16:27.80, 1
0:16:3.66, 1
0:16:31.56, 1
0:16:3284.00, 1
0:16:34.00, 1
0:16:35.36, 1
0:16:36.00, 1
0:16:38.03, 1
0:16:38.61, 1
0:16:39.54, 1
0:16:3920.00, 1
0:16:4.00, 1
0:16:4022.00, 4
0:16:42.83, 1
0:16:43.00, 1
0:16:44.00, 1
0:16:48.90, 1
0:16:49.64, 1
0:16:53.96, 1
0:16:5306.00, 1
0:16:56.00, 1
0:16:6.33, 1
0:16:6.55, 1
0:16:7.05, 1
0:17:0.00, 1
0:17:116.00, 1
0:17:16.00, 3
0:17:17.10, 1
0:17:18.00, 1
0:17:2.98, 1
0:17:20.06, 1
0:17:21.24, 1
0:17:21.44, 1
0:17:23.00, 1
0:17:26.00, 1
0:17:29.52, 1
0:17:3.61, 1
0:17:34.04, 1
0:17:3607.00, 1
0:17:38.00, 1
0:17:39.00, 1
0:17:4.23, 1
0:17:4000.00, 1
0:17:41.64, 1
0:17:44.09, 1
0:17:44.18, 1
0:17:45.61, 1
0:17:48.05, 1
0:17:53.00, 1
0:17:5310.00, 1
0:17:54.95, 1
0:17:56.00, 1
0:17:5698.00, 1
0:17:57.00, 1
0:17:59.00, 1
0:17:59.39, 1
0:17:6.18, 1
0:17:914.00, 1
0:18:0.00, 1
0:18:1.00, 1
0:18:12.00, 1
0:18:13.65, 1
0:18:14.00, 1
0:18:14.42, 2
0:18:18.44, 1
0:18:20.08, 1
0:18:24.04, 1
0:18:24.35, 2
0:18:26.00, 6
0:18:3.00, 1
0:18:33.07, 1
0:18:34.06, 1
0:18:35.99, 1
0:18:3695.00, 1
0:18:4.09, 1
0:18:4.78, 1
0:18:44.22, 3
0:18:46.57, 1
0:18:46.86, 1
0:18:4649.00, 1
0:18:49.13, 1
0:18:5.86, 1
0:18:55.00, 1
0:18:66.00, 1
0:19:1.14, 1
0:19:11.00, 1
0:19:13.43, 1
0:19:14.93, 1
0:19:16.00, 1
0:19:18.87, 1
0:19:2.63, 1
0:19:2.76, 1
0:19:21.00, 1
0:19:22.95, 1
0:19:26.49, 1
0:19:2762.00, 1
0:19:2800.00, 1
0:19:2832.00, 1
0:19:29.76, 2
0:19:3600.00, 1
0:19:37.00, 1
0:19:38.00, 1
0:19:40.74, 1
0:19:4104.00, 1
0:19:4305.00, 1
0:19:48.66, 1
0:19:51.06, 1
0:19:52.55, 1
0:19:54.67, 1
0:19:56.00, 1
0:19:6.00, 1
0:19:7.10, 1
0:1:13.00, 1
0:1:13.80, 1
0:1:14.00, 1
0:1:15.00, 1
0:1:17.00, 1
0:1:17.63, 1
0:1:17.80, 1
0:1:18.20, 1
0:1:19.80, 1
0:1:2.80, 1
0:1:20.80, 1
0:1:21.03, 1
0:1:21.80, 1
0:1:22.00, 1
0:1:23.60, 1
0:1:23.80, 1
0:1:23.93, 1
0:1:24.09, 1
0:1:2457.00, 1
0:1:27.45, 1
0:1:27.80, 1
0:1:28.80, 1
0:1:28.82, 1
0:1:3.02, 1
0:1:3.29, 1
0:1:3.63, 1
0:1:3.80, 1
0:1:3.87, 1
0:1:30.09, 1
0:1:31.00, 1
0:1:32.65, 1
0:1:33.09, 1
0:1:35.21, 1
0:1:35.80, 2
0:1:37.00, 2
0:1:3760.00, 1
0:1:4.37, 1
0:1:4.80, 3
0:1:40.09, 1
0:1:41.11, 1
0:1:41.75, 1
0:1:42.09, 1
0:1:42.20, 1
0:1:44.20, 1
0:1:4528.00, 1
0:1:46.00, 1
0:1:47.32, 1
0:1:48.68, 1
0:1:49.80, 1
0:1:50.00, 1
0:1:50.67, 1
0:1:51.00, 3
0:1:52.09, 1
0:1:52.72, 1
0:1:52.80, 1
0:1:52.84, 1
0:1:53.80, 1
0:1:54.95, 1
0:1:55.00, 4
0:1:55.30, 1
0:1:59.00, 1
0:1:5912.00, 1
0:1:6.00, 1
0:1:8.00, 1
0:1:8.80, 1
0:1:9.62, 1
0:1:9.80, 1
0:1:9.91, 1
0:1:9.97, 1
0:20:10.00, 1
0:20:11.92, 1
0:20:13.18, 1
0:20:1324.00, 1
0:20:15.00, 1
0:20:16.00, 2
0:20:17.00, 1
0:20:17.52, 1
0:20:18.35, 1
0:20:22.00, 1
0:20:23.00, 1
0:20:23.05, 1
0:20:24.00, 1
0:20:24.23, 1
0:20:27.00, 1
0:20:27.34, 1
0:20:28.00, 1
0:20:29.97, 1
0:20:35.00, 3
0:20:351.00, 1
0:20:38.00, 3
0:20:39.48, 1
0:20:40.00, 1
0:20:41.68, 1
0:20:4369.00, 1
0:20:44.00, 1
0:20:45.45, 1
0:20:48.00, 1
0:20:48.19, 1
0:20:50.00, 1
0:20:52.88, 1
0:20:53.10, 1
0:20:5358.00, 1
0:20:54.02, 1
0:20:5657.00, 1
0:20:57.98, 1
0:20:59.00, 1
0:20:7.00, 1
0:21:0.00, 1
0:21:10.00, 1
0:21:10.43, 1
0:21:1290.00, 1
0:21:13.11, 1
0:21:1471.00, 1
0:21:15.00, 1
0:21:17.30, 1
0:21:17.77, 1
0:21:19.46, 1
0:21:2.00, 1
0:21:2.76, 1
0:21:24.00, 1
0:21:3.00, 1
0:21:36.00, 2
0:21:37.00, 1
0:21:38.68, 1
0:21:4.00, 1
0:21:40.66, 1
0:21:42.36, 1
0:21:48.94, 1
0:21:49.07, 1
0:21:5.00, 1
0:21:5.13, 1
0:21:50.77, 1
0:21:52.00, 1
0:21:52.28, 1
0:21:52.44, 1
0:21:54.00, 1
0:21:54.74, 1
0:21:574.00, 1
0:21:8.00, 1
0:21:8.71, 1
0:21:9.19, 1
0:22:0.50, 1
0:22:10.00, 1
0:22:11.00, 1
0:22:11.47, 1
0:22:2270.00, 1
0:22:23.00, 1
0:22:23.96, 1
0:22:24.00, 1
0:22:25.06, 1
0:22:25.61, 1
0:22:27.00, 1
0:22:30.21, 2
0:22:32.00, 1
0:22:32.08, 1
0:22:33.01, 1
0:22:37.26, 2
0:22:3781.00, 1
0:22:40.00, 1
0:22:42.00, 1
0:22:42.03, 1
0:22:43.03, 1
0:22:43.53, 1
0:22:45.00, 1
0:22:45.59, 1
0:22:48.00, 1
0:22:5124.00, 1
0:22:53.00, 1
0:22:56.00, 2
0:22:5808.00, 1
0:22:59.00, 1
0:22:59.95, 2
0:22:6.00, 1
0:22:6.31, 1
0:22:8.55, 1
0:22:9.61, 1
0:23:1.00, 1
0:23:15.18, 1
0:23:19.59, 1
0:23:21.55, 1
0:23:22.06, 1
0:23:25.69, 1
0:23:30.24, 2
0:23:30.57, 1
0:23:32.00, 1
0:23:35.00, 1
0:23:36.03, 1
0:23:37.00, 1
0:23:39.00, 1
0:23:40.00, 3
0:23:42.40, 1
0:23:43.31, 1
0:23:44.00, 1
0:23:44.92, 1
0:23:46.00, 1
0:23:47.00, 1
0:23:48.00, 1
0:23:49.35, 1
0:23:50.00, 1
0:23:52.00, 1
0:23:52.91, 1
0:23:53.14, 1
0:23:55.17, 1
0:23:56.00, 1
0:23:59.30, 3
0:23:59.72, 4
0:24:0.00, 1
0:24:1.10, 1
0:24:10.36, 1
0:24:13.23, 1
0:24:15.18, 1
0:24:16.02, 1
0:24:16.75, 3
0:24:16.95, 1
0:24:2.00, 1
0:24:22.13, 1
0:24:24.90, 1
0:24:25.44, 1
0:24:27.00, 1
0:24:27.81, 1
0:24:28.11, 1
0:24:29.32, 1
0:24:29.55, 1
0:24:3.30, 1
0:24:31.95, 1
0:24:32.50, 1
0:24:33.00, 6
0:24:33.15, 1
0:24:34.00, 2
0:24:35.55, 1
0:24:37.14, 1
0:24:43.60, 1
0:24:45.00, 1
0:24:45.79, 1
0:24:46.78, 1
0:24:48.00, 1
0:24:48.31, 1
0:24:49.72, 1
0:24:5.00, 1
0:24:50.00, 1
0:24:51.00, 1
0:24:5185.00, 1
0:24:52.00, 1
0:24:5585.00, 1
0:24:58.75, 1
0:24:7.62, 1
0:24:9.56, 1
0:25:0.00, 1
0:25:10.00, 1
0:25:10.17, 1
0:25:1090.00, 1
0:25:18.07, 1
0:25:19.22, 1
0:25:19.63, 1
0:25:2.16, 1
0:25:21.80, 1
0:25:22.00, 1
0:25:24.72, 1
0:25:28.06, 1
0:25:28.15, 1
0:25:3.00, 1
0:25:3.24, 2
0:25:33.72, 1
0:25:37.00, 1
0:25:39.00, 1
0:25:4.71, 1
0:25:42.00, 2
0:25:42.58, 1
0:25:43.00, 2
0:25:43.81, 1
0:25:46.89, 1
0:25:47.00, 1
0:25:47.54, 1
0:25:48.92, 1
0:25:49.34, 1
0:25:5.78, 1
0:25:51.00, 1
0:25:51.75, 1
0:25:52.21, 1
0:25:56.00, 1
0:25:56.24, 1
0:25:6.00, 1
0:25:8.00, 1
0:25:8.64, 1
0:25:96.00, 1
0:26:0.49, 1
0:26:15.74, 1
0:26:16.00, 1
0:26:18.00, 1
0:26:18.14, 2
0:26:18.25, 1
0:26:19.03, 1
0:26:2.00, 157
0:26:21.00, 2
0:26:22.17, 1
0:26:2200.00, 1
0:26:23.00, 1
0:26:23.03, 1
0:26:24.62, 1
0:26:26.03, 1
0:26:26.56, 1
0:26:26.74, 1
0:26:29.00, 1
0:26:30.00, 1
0:26:30.06, 1
0:26:32.79, 1
0:26:36.08, 1
0:26:37.00, 1
0:26:39.00, 1
0:26:4183.00, 1
0:26:46.00, 1
0:26:4827.00, 1
0:26:49.08, 1
0:26:53.05, 1
0:26:56.27, 1
0:26:56.68, 1
0:26:58.00, 1
0:26:59.12, 1
0:26:9.00, 1
0:26:9.46, 1
0:27:0.91, 1
0:27:11.06, 1
0:27:11.41, 1
0:27:16.06, 1
0:27:17.07, 1
0:27:18.00, 2
0:27:2.00, 2
0:27:28.00, 1
0:27:28.85, 1
0:27:3.51, 1
0:27:32.06, 1
0:27:32.39, 1
0:27:327.00, 1
0:27:35.00, 1
0:27:38.77, 1
0:27:40.31, 1
0:27:43.00, 1
0:27:44.00, 1
0:27:44.01, 1
0:27:47.34, 1
0:27:47.45, 1
0:27:48.60, 1
0:27:4860.00, 1
0:27:5.22, 1
0:27:50.00, 1
0:27:53.00, 1
0:27:54.65, 2
0:27:54.82, 1
0:27:5955.00, 1
0:27:8.40, 1
0:28:0.00, 1
0:28:1.22, 1
0:28:10.63, 1
0:28:11.00, 2
0:28:11.86, 1
0:28:16.11, 1
0:28:18.94, 1
0:28:19.00, 1
0:28:2.00, 1
0:28:21.00, 1
0:28:21.77, 1
0:28:22.47, 1
0:28:23.97, 1
0:28:24.00, 1
0:28:26.00, 1
0:28:27.00, 2
0:28:28.31, 1
0:28:2864.00, 1
0:28:3.69, 1
0:28:30.00, 1
0:28:30.23, 1
0:28:30.75, 1
0:28:31.00, 1
0:28:32.00, 1
0:28:3272.00, 1
0:28:37.47, 1
0:28:3788.00, 1
0:28:39.00, 1
0:28:4.00, 2
0:28:439.00, 1
0:28:45.00, 1
0:28:45.60, 1
0:28:47.00, 3
0:28:49.00, 1
0:28:49.28, 1
0:28:49.98, 1
0:28:5421.00, 1
0:28:55.00, 7
0:28:8.00, 4
0:28:9.23, 1
0:29:0.20, 1
0:29:13.09, 1
0:29:16.78, 1
0:29:17.23, 1
0:29:20.58, 1
0:29:21.00, 1
0:29:23.00, 1
0:29:25.97, 1
0:29:26.00, 1
0:29:3.31, 1
0:29:30.00, 1
0:29:32.41, 1
0:29:3263.00, 1
0:29:34.82, 1
0:29:3587.00, 1
0:29:38.00, 1
0:29:38.09, 1
0:29:40.58, 1
0:29:41.25, 1
0:29:44.21, 1
0:29:45.44, 1
0:29:47.00, 1
0:29:49.61, 1
0:29:53.06, 1
0:29:54.22, 1
0:29:57.00, 1
0:29:5800.00, 1
0:29:59.00, 1
0:29:768.00, 1
0:2:0.80, 1
0:2:10.64, 1
0:2:10.80, 1
0:2:11.99, 1
0:2:1236.00, 1
0:2:1378.00, 1
0:2:14.55, 1
0:2:16.72, 1
0:2:17.61, 1
0:2:19.80, 1
0:2:20.80, 1
0:2:21.72, 1
0:2:22.00, 1
0:2:22.76, 1
0:2:2276.00, 1
0:2:23.00, 1
0:2:23.04, 1
0:2:25.10, 1
0:2:2676.00, 1
0:2:27.00, 2
0:2:28.27, 1
0:2:29.00, 2
0:2:29.06, 1
0:2:32.01, 1
0:2:32.80, 1
0:2:33.00, 2
0:2:35.80, 1
0:2:36.00, 1
0:2:3676.00, 1
0:2:37.00, 1
0:2:38.35, 1
0:2:4.80, 1
0:2:40.84, 1
0:2:41.00, 1
0:2:42.81, 1
0:2:4276.00, 1
0:2:43.09, 1
0:2:43.13, 1
0:2:46.05, 1
0:2:47.38, 1
0:2:48.00, 1
0:2:48.12, 1
0:2:50.05, 1
0:2:51.80, 1
0:2:5230.00, 1
0:2:54.93, 1
0:2:55.09, 1
0:2:56.60, 1
0:2:57.06, 1
0:2:5976.00, 1
0:2:6.00, 2
0:2:6.12, 1
0:2:6.61, 2
0:2:9.80, 1
0:30:0.00, 1
0:30:13.72, 1
0:30:14.00, 1
0:30:16.00, 1
0:30:17.00, 2
0:30:17.71, 1
0:30:2.11, 1
0:30:26.33, 1
0:30:27.08, 1
0:30:28.04, 1
0:30:3021.00, 1
0:30:31.00, 1
0:30:31.59, 1
0:30:32.00, 1
0:30:32.65, 1
0:30:33.00, 1
0:30:33.05, 1
0:30:34.71, 1
0:30:38.00, 1
0:30:39.83, 1
0:30:4.00, 1
0:30:4.26, 1
0:30:4.72, 1
0:30:41.62, 1
0:30:41.91, 1
0:30:42.33, 1
0:30:44.59, 1
0:30:45.82, 2
0:30:46.00, 1
0:30:47.00, 1
0:30:48.05, 1
0:30:48.33, 1
0:30:48.59, 1
0:30:5.00, 2
0:30:50.78, 1
0:30:51.14, 1
0:30:51.65, 4
0:30:52.00, 2
0:30:56.09, 1
0:30:7.00, 1
0:31:1.18, 1
0:31:11.39, 1
0:31:13.00, 1
0:31:13.86, 1
0:31:14.25, 1
0:31:15.63, 1
0:31:17.56, 1
0:31:17.77, 1
0:31:20.39, 1
0:31:20.98, 1
0:31:21.00, 1
0:31:22.56, 1
0:31:23.00, 1
0:31:25.63, 1
0:31:28.17, 1
0:31:29.61, 1
0:31:3.00, 1
0:31:30.60, 1
0:31:32.80, 1
0:31:3404.00, 1
0:31:36.00, 1
0:31:38.96, 1
0:31:39.33, 1
0:31:41.65, 1
0:31:43.29, 1
0:31:47.00, 1
0:31:49.09, 1
0:31:5.00, 1
0:31:51.00, 2
0:31:52.00, 1
0:31:54.66, 1
0:31:5475.00, 1
0:31:57.71, 1
0:31:59.00, 1
0:31:8.00, 1
0:32:13.00, 1
0:32:14.00, 1
0:32:16.51, 1
0:32:18.00, 1
0:32:2.28, 1
0:32:20.45, 1
0:32:23.00, 1
0:32:23.29, 1
0:32:2641.00, 1
0:32:28.00, 1
0:32:3.00, 1
0:32:3.67, 1
0:32:30.00, 2
0:32:31.00, 4
0:32:32.00, 2
0:32:32.29, 2
0:32:33.66, 1
0:32:34.67, 1
0:32:35.57, 1
0:32:39.45, 1
0:32:41.26, 1
0:32:46.33, 1
0:32:48.48, 1
0:32:49.07, 1
0:32:49.33, 1
0:32:5.00, 1
0:32:5013.00, 1
0:32:54.04, 1
0:32:54.35, 1
0:32:54.83, 1
0:32:5463.00, 1
0:32:55.00, 1
0:32:55.33, 1
0:32:56.00, 2
0:32:56.62, 1
0:32:57.32, 1
0:32:59.75, 1
0:32:8.00, 1
0:32:8.23, 1
0:32:8.66, 1
0:32:9.00, 1
0:33:0.00, 1
0:33:0.49, 1
0:33:14.48, 1
0:33:15.00, 1
0:33:20.59, 1
0:33:24.00, 1
0:33:24.73, 1
0:33:26.37, 1
0:33:27.28, 1
0:33:27.98, 1
0:33:29.00, 1
0:33:32.00, 4
0:33:33.00, 1
0:33:38.00, 1
0:33:4.40, 1
0:33:43.00, 1
0:33:44.00, 1
0:33:48.00, 2
0:33:48.01, 1
0:33:49.00, 1
0:33:49.81, 1
0:33:5.94, 1
0:33:50.89, 1
0:33:51.00, 1
0:33:51.14, 1
0:33:52.89, 1
0:33:55.77, 1
0:33:5563.00, 1
0:33:56.02, 1
0:33:57.81, 1
0:33:6.00, 1
0:33:7.74, 1
0:34:0.25, 1
0:34:1.00, 1
0:34:12.59, 5
0:34:13.80, 2
0:34:15.00, 1
0:34:15.32, 1
0:34:18.02, 2
0:34:18.30, 1
0:34:2.82, 1
0:34:2.96, 1
0:34:21.08, 1
0:34:22.00, 1
0:34:24.31, 1
0:34:25.37, 2
0:34:2600.00, 1
0:34:29.00, 1
0:34:3.00, 1
0:34:31.72, 1
0:34:33.32, 1
0:34:35.07, 1
0:34:36.76, 1
0:34:37.00, 1
0:34:38.00, 1
0:34:40.00, 1
0:34:40.82, 1
0:34:42.45, 1
0:34:46.20, 1
0:34:48.49, 1
0:34:51.00, 1
0:34:52.00, 1
0:34:55.00, 1
0:34:56.00, 1
0:34:57.45, 1
0:34:58.07, 1
0:34:59.00, 1
0:34:6.69, 1
0:34:7.00, 2
0:34:8.24, 1
0:35:0.45, 1
0:35:1.71, 1
0:35:1500.00, 1
0:35:16.47, 1
0:35:17.00, 2
0:35:18.27, 1
0:35:19.00, 1
0:35:2.00, 1
0:35:20.81, 1
0:35:2119.00, 1
0:35:22.49, 1
0:35:26.30, 1
0:35:31.18, 1
0:35:38.09, 1
0:35:39.34, 1
0:35:41.56, 1
0:35:43.52, 1
0:35:44.00, 1
0:35:46.82, 1
0:35:47.34, 1
0:35:49.08, 1
0:35:5.00, 2
0:35:5.45, 1
0:35:50.59, 1
0:35:50.69, 1
0:35:51.00, 1
0:35:51.42, 1
0:35:57.90, 1
0:35:58.35, 1
0:35:59.00, 2
0:35:59.02, 1
0:35:6.08, 1
0:35:880.00, 2
0:36:1.10, 1
0:36:11.19, 1
0:36:13.79, 1
0:36:16.05, 1
0:36:1639.00, 2
0:36:18.94, 1
0:36:2.00, 1
0:36:2.45, 1
0:36:21.09, 1
0:36:21.55, 1
0:36:25.29, 1
0:36:26.56, 1
0:36:26.58, 1
0:36:29.00, 1
0:36:30.00, 1
0:36:30.08, 3
0:36:32.00, 1
0:36:32.07, 1
0:36:35.00, 1
0:36:35.31, 1
0:36:35.38, 1
0:36:3737.00, 1
0:36:39.45, 1
0:36:4.69, 1
0:36:40.17, 1
0:36:42.00, 1
0:36:4232.00, 1
0:36:43.00, 1
0:36:43.53, 1
0:36:43.58, 1
0:36:44.00, 5
0:36:48.68, 1
0:36:52.00, 1
0:36:55.10, 2
0:36:56.00, 1
0:36:56.58, 1
0:36:57.00, 2
0:36:58.00, 1
0:36:58.03, 1
0:36:58.32, 1
0:36:58.41, 1
0:36:7.81, 1
0:36:9.00, 2
0:37:10.79, 1
0:37:1249.00, 1
0:37:13.00, 1
0:37:13.57, 1
0:37:14.34, 1
0:37:14.47, 1
0:37:14.64, 1
0:37:15.00, 1
