ifdg_GPSLongitude ,Count
120 deg 16 26.332, 1
120 deg 16 3.526, 1
120 deg 16 30.000, 1
120 deg 16 30.800, 1
120 deg 16 35.638, 2
120 deg 16 38.050, 1
120 deg 16 4.390, 1
120 deg 16 43.800, 1
120 deg 16 45.379, 1
120 deg 16 47.814, 1
120 deg 16 47.820, 1
120 deg 16 48.270, 1
120 deg 16 48.582, 1
120 deg 16 49.800, 1
120 deg 16 50.982, 1
120 deg 16 51.539, 1
120 deg 16 52.056, 2
120 deg 16 52.193, 1
120 deg 16 52.278, 1
120 deg 16 52.374, 1
120 deg 16 52.380, 1
120 deg 16 52.422, 1
120 deg 16 52.926, 1
120 deg 16 53.874, 1
120 deg 16 54.072, 1
120 deg 16 54.090, 2
120 deg 16 54.096, 1
120 deg 16 54.210, 4
120 deg 16 54.512, 3
120 deg 16 54.605, 1
120 deg 16 54.624, 1
120 deg 16 54.642, 10
120 deg 16 55.014, 2
120 deg 16 55.044, 1
120 deg 16 55.068, 1
120 deg 16 55.254, 28
120 deg 16 55.423, 7
120 deg 16 55.734, 1
120 deg 16 55.757, 1
120 deg 16 56.124, 1
120 deg 16 56.634, 1
120 deg 16 56.988, 1
120 deg 16 57.223, 17
120 deg 16 57.994, 13
120 deg 16 6.190, 1
120 deg 16 8.785, 5
120 deg 17 1.878, 1
120 deg 17 11.400, 2
120 deg 17 14.400, 2
120 deg 17 18.000, 1
120 deg 17 18.600, 1
120 deg 17 2.021, 1
120 deg 17 2.057, 1
120 deg 17 2.375, 1
120 deg 17 2.400, 1
120 deg 17 22.355, 2
120 deg 17 22.657, 1
120 deg 17 23.179, 1
120 deg 17 24.500, 1
120 deg 17 26.201, 1
120 deg 17 26.310, 1
120 deg 17 26.393, 1
120 deg 17 3.000, 1
120 deg 17 3.556, 8
120 deg 17 3.600, 1
120 deg 17 37.850, 1
120 deg 17 4.200, 1
120 deg 17 4.800, 5
120 deg 17 42.930, 1
120 deg 17 43.390, 1
120 deg 17 43.420, 1
120 deg 17 43.480, 1
120 deg 17 43.560, 2
120 deg 17 43.940, 1
120 deg 17 45.590, 1
120 deg 17 45.600, 1
120 deg 17 47.350, 1
120 deg 17 48.000, 1
120 deg 17 5.496, 1
120 deg 17 50.040, 1
120 deg 17 54.283, 4
120 deg 17 57.150, 1
120 deg 17 57.215, 9
120 deg 17 6.600, 1
120 deg 17 7.200, 3
120 deg 17 7.361, 1
120 deg 17 8.400, 1
120 deg 18 13.399, 1
120 deg 18 13.414, 1
120 deg 18 13.800, 1
120 deg 18 14.348, 1
120 deg 18 15.606, 5
120 deg 18 19.017, 1
120 deg 18 20.034, 1
120 deg 18 23.400, 1
120 deg 18 23.584, 9
120 deg 18 23.620, 7
120 deg 18 24.070, 1
120 deg 18 24.350, 1
120 deg 18 25.000, 1
120 deg 18 25.200, 1
120 deg 18 25.261, 2
120 deg 18 25.726, 1
120 deg 18 26.000, 1
120 deg 18 27.659, 2
120 deg 18 28.200, 1
120 deg 18 28.393, 1
120 deg 18 3.136, 1
120 deg 18 3.280, 1
120 deg 18 3.373, 1
120 deg 18 3.402, 2
120 deg 18 3.838, 1
120 deg 18 3.906, 2
120 deg 18 30.600, 1
120 deg 18 34.800, 1
120 deg 18 36.173, 6
120 deg 18 36.990, 1
120 deg 18 37.200, 1
120 deg 18 4.223, 4
120 deg 18 46.000, 1
120 deg 18 46.200, 1
120 deg 18 46.620, 2
120 deg 18 48.000, 1
120 deg 18 48.600, 1
120 deg 18 49.170, 1
120 deg 18 49.200, 4
120 deg 18 5.045, 3
120 deg 18 5.076, 2
120 deg 18 5.297, 1
120 deg 18 5.321, 4
120 deg 18 5.364, 1
120 deg 18 5.525, 2
120 deg 18 51.520, 1
120 deg 18 52.060, 1
120 deg 18 52.200, 1
120 deg 18 53.000, 1
120 deg 18 54.000, 1
120 deg 18 54.390, 1
120 deg 18 54.480, 1
120 deg 18 54.530, 1
120 deg 18 54.605, 1
120 deg 18 55.200, 1
120 deg 18 56.000, 1
120 deg 18 57.000, 1
120 deg 18 59.263, 1
120 deg 18 6.000, 1
120 deg 18 6.600, 1
120 deg 18 8.470, 1
120 deg 18 8.525, 1
120 deg 19 1.800, 1
120 deg 19 10.050, 1
120 deg 19 10.100, 1
120 deg 19 10.160, 1
120 deg 19 10.190, 1
120 deg 19 10.240, 2
120 deg 19 10.270, 1
120 deg 19 10.300, 2
120 deg 19 10.540, 1
120 deg 19 10.570, 1
120 deg 19 10.630, 1
120 deg 19 11.310, 1
120 deg 19 11.400, 1
120 deg 19 12.490, 1
120 deg 19 12.600, 1
120 deg 19 12.690, 1
120 deg 19 13.200, 3
120 deg 19 13.780, 1
120 deg 19 14.995, 1
120 deg 19 27.600, 1
120 deg 19 3.968, 1
120 deg 19 41.400, 1
120 deg 19 43.800, 1
120 deg 19 44.216, 1
120 deg 19 46.200, 1
120 deg 19 46.551, 1
120 deg 19 5.050, 2
120 deg 19 5.520, 1
120 deg 19 5.630, 1
120 deg 19 50.400, 1
120 deg 19 8.000, 1
120 deg 19 9.940, 1
120 deg 2 15.600, 1
120 deg 2 24.420, 1
120 deg 2 29.660, 1
120 deg 2 31.968, 1
120 deg 2 31.996, 1
120 deg 2 51.600, 2
120 deg 20 20.885, 2
120 deg 20 22.476, 1
120 deg 20 22.586, 1
120 deg 20 22.723, 1
120 deg 20 22.833, 1
120 deg 20 3.600, 2
120 deg 20 4.200, 1
120 deg 20 52.060, 1
120 deg 21 22.800, 2
120 deg 21 38.780, 1
120 deg 21 46.880, 1
120 deg 21 47.400, 1
120 deg 21 48.110, 1
120 deg 21 48.140, 1
120 deg 21 48.830, 3
120 deg 21 48.940, 1
120 deg 21 49.020, 1
120 deg 21 49.080, 1
120 deg 21 54.000, 1
120 deg 22 10.200, 1
120 deg 22 28.800, 1
120 deg 22 48.920, 1
120 deg 22 49.200, 1
120 deg 22 50.200, 1
120 deg 22 51.600, 1
120 deg 22 53.960, 1
120 deg 23 10.651, 1
120 deg 23 25.200, 1
120 deg 23 26.280, 1
120 deg 23 26.300, 2
120 deg 23 26.410, 1
120 deg 23 26.440, 1
120 deg 23 28.010, 1
120 deg 24 50.849, 1
120 deg 24 51.077, 1
120 deg 24 52.200, 1
120 deg 25 15.743, 1
120 deg 25 15.977, 1
120 deg 25 16.631, 1
120 deg 25 16.841, 1
120 deg 25 16.878, 1
120 deg 25 16.907, 1
120 deg 25 16.913, 1
120 deg 25 16.943, 1
120 deg 25 17.328, 1
120 deg 26 15.000, 1
120 deg 26 3.000, 2
120 deg 26 32.960, 1
120 deg 26 36.000, 1
120 deg 26 39.116, 1
120 deg 26 42.264, 1
120 deg 26 42.684, 10
120 deg 26 42.912, 1
120 deg 26 44.712, 1
120 deg 26 44.777, 1
120 deg 26 45.293, 1
120 deg 26 45.545, 1
120 deg 26 46.338, 1
120 deg 26 46.800, 1
120 deg 27 15.000, 1
120 deg 27 38.140, 2
120 deg 28 20.400, 1
120 deg 28 51.600, 1
120 deg 28 9.394, 1
120 deg 29 16.800, 1
120 deg 29 19.800, 1
120 deg 29 2.400, 4
120 deg 29 20.400, 2
120 deg 29 26.400, 1
120 deg 29 28.200, 1
120 deg 29 28.800, 4
120 deg 29 5.620, 1
120 deg 29 5.670, 1
120 deg 29 5.700, 1
120 deg 29 5.810, 1
120 deg 29 5.860, 1
120 deg 29 6.520, 1
120 deg 29 8.890, 1
120 deg 30 15.853, 2
120 deg 30 27.600, 3
120 deg 30 37.627, 1
120 deg 31 13.397, 1
120 deg 31 14.074, 2
120 deg 31 37.280, 1
120 deg 31 53.000, 1
120 deg 31 54.000, 2
120 deg 31 55.800, 2
120 deg 31 58.656, 1
120 deg 31 59.118, 1
120 deg 31 59.750, 1
120 deg 31 59.890, 1
120 deg 31 59.970, 1
120 deg 32 0.000, 2
120 deg 32 15.966, 1
120 deg 32 17.201, 2
120 deg 32 18.378, 3
120 deg 32 19.620, 1
120 deg 32 20.345, 1
120 deg 32 20.448, 1
120 deg 32 20.975, 1
120 deg 32 34.800, 1
120 deg 32 42.336, 1
120 deg 32 42.642, 2
120 deg 32 42.912, 1
120 deg 32 44.406, 1
120 deg 32 48.288, 1
120 deg 32 52.800, 1
120 deg 32 55.200, 1
120 deg 32 59.171, 1
120 deg 32 59.334, 1
120 deg 32 59.400, 1
120 deg 32 59.436, 1
120 deg 32 59.465, 1
120 deg 32 59.483, 1
120 deg 32 59.508, 1
120 deg 32 59.562, 1
120 deg 32 59.567, 1
120 deg 32 59.585, 1
120 deg 33 17.070, 1
120 deg 33 18.800, 1
120 deg 33 19.040, 1
120 deg 33 19.400, 1
120 deg 33 19.480, 2
120 deg 33 2.268, 1
120 deg 33 30.000, 2
120 deg 33 35.400, 1
120 deg 33 36.930, 1
120 deg 33 37.860, 1
120 deg 33 4.200, 1
120 deg 33 40.000, 2
120 deg 33 43.000, 1
120 deg 33 44.000, 2
120 deg 33 45.000, 2
120 deg 33 48.000, 1
120 deg 33 52.000, 1
120 deg 33 6.246, 1
120 deg 33 6.516, 1
120 deg 33 6.522, 1
120 deg 33 6.546, 1
120 deg 33 6.564, 1
120 deg 33 6.606, 1
120 deg 33 6.636, 1
120 deg 33 6.648, 1
120 deg 33 6.654, 1
120 deg 33 6.678, 1
120 deg 33 6.684, 1
120 deg 33 6.690, 1
120 deg 33 6.828, 1
120 deg 33 7.260, 1
120 deg 34 25.752, 1
120 deg 34 28.000, 1
120 deg 34 28.554, 1
120 deg 34 31.472, 1
120 deg 34 36.600, 1
120 deg 34 37.000, 1
120 deg 34 42.000, 4
120 deg 34 48.000, 1
120 deg 34 49.000, 1
120 deg 34 58.200, 1
120 deg 35 10.200, 1
120 deg 35 14.000, 1
120 deg 35 15.000, 2
120 deg 35 16.200, 1
120 deg 35 30.270, 5
120 deg 35 49.200, 2
120 deg 35 7.800, 1
120 deg 36 0.785, 1
120 deg 36 1.325, 2
120 deg 36 18.522, 1
120 deg 36 24.762, 1
120 deg 36 25.170, 1
120 deg 36 33.000, 1
120 deg 36 34.200, 1
120 deg 36 34.800, 2
120 deg 36 35.171, 1
120 deg 36 35.189, 1
120 deg 36 35.339, 1
120 deg 36 35.393, 1
120 deg 36 35.399, 1
120 deg 36 35.400, 2
120 deg 36 35.442, 1
120 deg 36 35.447, 1
120 deg 36 35.465, 1
120 deg 36 35.495, 2
120 deg 36 35.513, 1
120 deg 36 35.519, 1
120 deg 36 35.531, 1
120 deg 36 35.573, 2
120 deg 36 35.579, 1
120 deg 36 35.597, 1
120 deg 36 35.609, 1
120 deg 36 35.621, 1
120 deg 36 35.639, 1
120 deg 36 35.663, 1
120 deg 36 35.694, 1
120 deg 36 35.699, 1
120 deg 36 35.705, 3
120 deg 36 35.711, 1
120 deg 36 35.717, 1
120 deg 36 35.723, 1
120 deg 36 35.729, 2
120 deg 36 35.741, 1
120 deg 36 35.813, 1
120 deg 36 35.831, 2
120 deg 36 35.843, 1
120 deg 36 35.892, 1
120 deg 36 35.933, 1
120 deg 36 35.969, 1
120 deg 36 35.982, 1
120 deg 36 35.993, 3
120 deg 36 36.353, 1
120 deg 36 36.437, 2
120 deg 36 36.611, 1
120 deg 36 43.200, 2
120 deg 36 43.460, 1
120 deg 36 44.400, 1
120 deg 36 45.000, 2
120 deg 36 45.600, 1
120 deg 36 46.800, 1
120 deg 36 57.000, 1
120 deg 37 0.804, 1
120 deg 37 16.620, 1
120 deg 37 27.114, 1
120 deg 37 3.102, 1
120 deg 37 30.930, 1
120 deg 37 32.000, 1
120 deg 37 32.250, 1
120 deg 37 4.590, 1
120 deg 37 45.410, 1
120 deg 37 46.860, 1
120 deg 37 46.890, 1
120 deg 37 47.220, 1
120 deg 37 47.330, 6
120 deg 37 48.000, 2
120 deg 37 49.000, 1
120 deg 37 50.000, 1
120 deg 37 55.800, 1
120 deg 38 10.001, 1
120 deg 38 10.097, 1
120 deg 38 10.457, 1
120 deg 38 10.529, 1
120 deg 38 10.554, 1
120 deg 38 10.565, 1
120 deg 38 10.667, 1
120 deg 38 10.685, 1
120 deg 38 10.781, 1
120 deg 38 11.051, 1
120 deg 38 11.058, 1
120 deg 38 11.123, 1
120 deg 38 11.231, 1
120 deg 38 11.274, 1
120 deg 38 11.567, 1
120 deg 38 12.023, 1
120 deg 38 12.101, 1
120 deg 38 12.191, 1
120 deg 38 12.239, 1
120 deg 38 14.034, 5
120 deg 38 16.512, 1
120 deg 38 21.005, 1
120 deg 38 37.650, 2
120 deg 38 39.406, 1
120 deg 38 44.046, 2
120 deg 38 44.123, 1
120 deg 38 44.136, 7
120 deg 38 44.357, 1
120 deg 38 47.400, 1
120 deg 38 47.480, 1
120 deg 38 47.590, 1
120 deg 38 48.000, 2
120 deg 38 49.049, 1
120 deg 38 5.051, 1
120 deg 38 5.123, 1
120 deg 38 52.200, 2
120 deg 38 54.000, 1
120 deg 38 57.600, 1
120 deg 38 59.248, 2
120 deg 38 6.689, 1
120 deg 38 8.135, 1
120 deg 39 15.060, 1
120 deg 39 15.080, 1
120 deg 39 15.170, 1
120 deg 39 15.816, 1
120 deg 39 16.338, 2
120 deg 39 16.680, 1
120 deg 39 17.124, 1
120 deg 39 18.102, 1
120 deg 39 24.600, 1
120 deg 39 26.400, 1
120 deg 39 37.914, 1
120 deg 39 42.207, 1
120 deg 39 42.600, 2
120 deg 39 42.695, 1
120 deg 39 42.737, 1
120 deg 39 43.079, 1
120 deg 39 43.160, 2
120 deg 39 43.250, 1
120 deg 39 44.141, 1
120 deg 39 44.253, 1
120 deg 39 44.722, 1
120 deg 39 44.749, 2
120 deg 39 45.672, 2
120 deg 39 47.008, 1
120 deg 39 47.747, 1
120 deg 39 47.850, 1
120 deg 39 47.860, 1
120 deg 39 47.945, 1
120 deg 39 47.960, 1
120 deg 39 48.000, 1
120 deg 39 48.096, 1
120 deg 39 48.180, 1
120 deg 39 48.272, 1
120 deg 39 48.320, 1
120 deg 39 48.509, 1
120 deg 39 48.600, 1
120 deg 39 48.877, 1
120 deg 39 5.304, 1
120 deg 39 50.453, 1
120 deg 39 51.020, 1
120 deg 39 53.147, 1
120 deg 39 53.210, 1
120 deg 39 53.222, 1
120 deg 39 53.400, 1
120 deg 39 54.497, 1
120 deg 39 54.653, 1
120 deg 39 56.012, 2
120 deg 39 58.536, 1
120 deg 39 7.040, 1
120 deg 39 7.955, 1
120 deg 4 14.652, 1
120 deg 4 17.340, 1
120 deg 4 17.766, 1
120 deg 4 18.216, 1
120 deg 4 22.800, 2
120 deg 4 23.400, 1
120 deg 4 24.000, 1
120 deg 4 26.400, 1
120 deg 4 30.000, 1
120 deg 4 30.396, 1
120 deg 4 30.600, 1
120 deg 4 37.800, 1
120 deg 40 0.912, 1
120 deg 40 11.400, 1
120 deg 40 14.465, 1
120 deg 40 22.800, 1
120 deg 40 27.061, 1
120 deg 40 28.590, 1
120 deg 40 3.600, 3
120 deg 40 33.000, 1
120 deg 40 33.600, 1
120 deg 40 37.174, 1
120 deg 40 4.462, 6
120 deg 40 49.040, 1
120 deg 40 5.318, 2
120 deg 40 55.279, 1
120 deg 40 57.310, 1
120 deg 40 57.775, 1
120 deg 40 6.056, 7
120 deg 40 6.265, 3
120 deg 41 12.610, 4
120 deg 41 14.400, 3
120 deg 41 15.000, 10
120 deg 41 16.800, 1
120 deg 41 18.845, 2
120 deg 41 19.200, 1
120 deg 41 23.350, 1
120 deg 41 24.310, 1
120 deg 41 25.800, 1
120 deg 41 3.800, 3
120 deg 41 39.600, 2
120 deg 41 4.978, 2
120 deg 41 40.790, 1
120 deg 41 41.370, 1
120 deg 41 42.000, 2
120 deg 41 43.000, 3
120 deg 41 46.000, 13
120 deg 41 48.000, 24
120 deg 41 49.000, 39
120 deg 41 50.000, 49
120 deg 41 51.000, 53
120 deg 41 52.000, 3
120 deg 41 53.000, 2
120 deg 41 54.000, 2
120 deg 41 58.480, 7
120 deg 41 59.000, 1
120 deg 41 6.000, 1
120 deg 41 6.270, 1
120 deg 41 7.690, 1
120 deg 42 16.200, 2
120 deg 42 22.230, 1
120 deg 42 32.400, 3
120 deg 42 34.800, 1
120 deg 42 38.633, 23
120 deg 42 42.600, 1
120 deg 42 50.000, 1
120 deg 42 52.200, 1
120 deg 42 53.400, 3
120 deg 42 54.000, 1
120 deg 43 22.200, 2
120 deg 43 28.040, 1
120 deg 43 28.150, 2
120 deg 43 28.180, 2
120 deg 43 28.210, 4
120 deg 43 28.240, 4
120 deg 43 28.290, 2
120 deg 43 28.430, 1
120 deg 43 30.540, 1
120 deg 43 33.600, 1
120 deg 43 39.000, 1
120 deg 43 40.200, 1
120 deg 43 44.400, 1
120 deg 43 48.534, 1
120 deg 43 50.511, 1
120 deg 43 59.575, 1
120 deg 44 12.912, 2
120 deg 44 12.960, 1
120 deg 44 13.200, 1
120 deg 44 2.400, 1
120 deg 44 20.400, 1
120 deg 44 23.113, 10
120 deg 44 25.800, 1
120 deg 44 40.800, 1
120 deg 44 42.861, 1
120 deg 44 7.800, 1
120 deg 45 10.800, 1
120 deg 45 19.281, 1
120 deg 45 21.000, 1
120 deg 45 39.000, 1
120 deg 45 43.430, 1
120 deg 45 54.738, 2
120 deg 46 24.600, 1
120 deg 46 25.200, 1
120 deg 46 26.400, 1
120 deg 46 36.000, 1
120 deg 46 37.200, 1
120 deg 46 39.600, 1
120 deg 46 44.400, 1
120 deg 46 54.000, 1
120 deg 46 54.600, 3
120 deg 46 55.200, 1
120 deg 46 59.310, 1
120 deg 46 9.084, 1
120 deg 47 12.000, 2
120 deg 47 25.200, 1
120 deg 47 29.944, 1
120 deg 47 39.383, 1
120 deg 47 5.640, 1
120 deg 47 54.000, 2
120 deg 47 55.200, 2
120 deg 48 12.520, 1
120 deg 48 14.850, 1
120 deg 48 14.970, 1
120 deg 48 15.110, 1
120 deg 48 16.130, 4
120 deg 48 16.530, 1
120 deg 48 29.110, 1
120 deg 48 3.600, 1
120 deg 48 31.530, 1
120 deg 48 31.870, 1
120 deg 48 38.660, 1
120 deg 48 38.830, 1
120 deg 48 40.560, 1
120 deg 49 17.400, 1
120 deg 49 18.000, 1
120 deg 49 18.600, 1
120 deg 49 23.520, 1
120 deg 49 31.141, 1
120 deg 49 31.390, 1
120 deg 49 31.420, 1
120 deg 49 31.500, 1
120 deg 49 31.640, 1
120 deg 49 31.720, 1
120 deg 49 48.600, 1
120 deg 49 53.280, 1
120 deg 49 53.940, 1
120 deg 49 54.540, 2
120 deg 49 54.630, 1
120 deg 49 54.740, 2
120 deg 49 54.790, 1
120 deg 49 54.820, 1
120 deg 49 54.930, 1
120 deg 49 6.600, 1
120 deg 5 26.000, 2
120 deg 5 55.200, 1
120 deg 5 55.800, 1
120 deg 5 6.600, 1
120 deg 5 7.200, 1
120 deg 5 7.800, 1
120 deg 50 19.871, 1
120 deg 50 21.960, 2
120 deg 50 22.151, 1
120 deg 50 22.169, 1
120 deg 50 22.223, 2
120 deg 50 22.241, 1
120 deg 50 22.295, 1
120 deg 50 22.374, 1
120 deg 50 22.379, 2
120 deg 50 22.392, 1
120 deg 50 22.410, 1
120 deg 50 22.428, 1
120 deg 50 22.446, 2
120 deg 50 22.536, 1
120 deg 50 22.542, 1
120 deg 50 22.554, 1
120 deg 50 22.590, 1
120 deg 50 22.662, 2
120 deg 50 22.668, 1
120 deg 50 22.727, 2
120 deg 50 22.776, 1
120 deg 50 22.968, 1
120 deg 50 23.153, 1
120 deg 50 36.263, 1
120 deg 50 36.342, 1
120 deg 50 36.353, 1
120 deg 50 36.360, 1
120 deg 50 36.371, 1
120 deg 50 36.389, 1
120 deg 50 36.407, 10
120 deg 50 36.492, 1
120 deg 50 36.497, 1
120 deg 50 36.563, 2
120 deg 50 36.569, 1
120 deg 50 36.821, 1
120 deg 50 45.680, 1
120 deg 50 46.200, 2
120 deg 50 50.400, 2
120 deg 50 51.000, 1
120 deg 50 51.600, 1
120 deg 50 54.000, 1
120 deg 50 57.600, 1
120 deg 50 9.870, 1
120 deg 51 1.200, 1
120 deg 51 1.800, 2
120 deg 51 2.400, 2
120 deg 51 22.800, 1
120 deg 51 27.000, 1
120 deg 51 27.600, 1
120 deg 51 29.790, 3
120 deg 51 29.850, 1
120 deg 51 3.000, 1
120 deg 51 3.600, 1
120 deg 51 30.010, 2
120 deg 51 30.035, 1
120 deg 51 30.100, 1
120 deg 51 30.120, 4
120 deg 51 30.150, 1
120 deg 51 30.210, 1
120 deg 51 30.320, 2
120 deg 51 30.340, 2
120 deg 51 30.370, 5
120 deg 51 31.200, 2
120 deg 51 31.360, 1
120 deg 51 31.390, 1
120 deg 51 31.420, 1
120 deg 51 31.550, 1
120 deg 51 32.400, 3
120 deg 51 54.600, 1
120 deg 51 55.800, 1
120 deg 51 7.200, 1
120 deg 52 10.940, 1
120 deg 52 12.990, 1
120 deg 52 25.200, 1
120 deg 52 36.600, 1
120 deg 52 38.400, 1
120 deg 52 42.600, 2
120 deg 52 45.000, 1
120 deg 52 45.600, 1
120 deg 52 5.165, 1
120 deg 52 54.600, 1
120 deg 53 15.600, 1
120 deg 53 21.000, 1
120 deg 53 26.400, 1
120 deg 53 29.016, 1
120 deg 53 33.587, 1
120 deg 53 57.600, 1
120 deg 54 10.260, 1
120 deg 54 10.980, 1
120 deg 54 11.460, 1
120 deg 54 11.880, 1
120 deg 54 13.800, 1
120 deg 54 17.400, 1
120 deg 54 21.600, 1
120 deg 54 23.400, 2
120 deg 54 24.600, 1
120 deg 54 25.800, 1
120 deg 54 26.400, 2
120 deg 54 28.200, 4
120 deg 54 34.081, 1
120 deg 54 34.200, 1
120 deg 54 4.200, 1
120 deg 54 41.400, 1
120 deg 54 46.200, 2
120 deg 54 49.200, 1
120 deg 54 56.400, 1
120 deg 54 57.300, 1
120 deg 54 57.410, 1
120 deg 54 9.000, 1
120 deg 54 9.143, 1
120 deg 54 9.166, 1
120 deg 54 9.218, 1
120 deg 54 9.282, 1
120 deg 55 13.230, 1
120 deg 55 14.400, 1
120 deg 55 23.560, 1
120 deg 55 24.110, 1
120 deg 55 24.220, 1
120 deg 55 24.550, 1
120 deg 55 25.450, 1
120 deg 55 25.730, 1
120 deg 55 36.470, 1
120 deg 55 37.320, 1
120 deg 55 39.950, 1
120 deg 55 40.908, 1
120 deg 55 44.375, 1
120 deg 55 44.519, 1
120 deg 55 44.778, 1
120 deg 55 54.227, 2
120 deg 55 54.761, 1
120 deg 55 54.793, 2
120 deg 55 54.807, 1
120 deg 55 54.850, 1
120 deg 55 54.898, 1
120 deg 55 54.904, 1
120 deg 55 54.959, 1
120 deg 55 55.019, 1
120 deg 55 55.071, 1
120 deg 55 55.140, 1
120 deg 55 56.870, 5
120 deg 55 57.120, 2
120 deg 55 57.720, 2
120 deg 55 57.780, 2
120 deg 56 11.400, 2
120 deg 56 14.532, 1
120 deg 56 39.426, 1
120 deg 56 54.811, 1
120 deg 56 55.035, 1
120 deg 56 55.080, 1
120 deg 56 55.278, 1
120 deg 56 56.832, 1
120 deg 56 56.844, 2
120 deg 56 56.916, 1
120 deg 57 0.391, 1
120 deg 57 0.600, 1
120 deg 57 12.222, 1
120 deg 57 12.366, 1
120 deg 57 12.377, 1
120 deg 57 12.391, 1
120 deg 57 13.356, 1
120 deg 57 17.622, 1
120 deg 57 2.410, 10
120 deg 57 2.475, 2
120 deg 57 2.552, 5
120 deg 57 2.733, 2
120 deg 57 2.772, 1
120 deg 57 25.758, 1
120 deg 57 28.200, 3
120 deg 57 28.446, 1
120 deg 57 3.977, 4
120 deg 57 31.439, 1
120 deg 57 31.739, 1
120 deg 57 31.847, 1
120 deg 57 34.800, 1
120 deg 57 36.000, 1
120 deg 57 37.200, 3
120 deg 57 38.610, 1
120 deg 57 39.870, 1
120 deg 57 4.062, 1
120 deg 57 4.068, 3
120 deg 57 4.167, 1
120 deg 57 4.186, 1
120 deg 57 4.451, 1
120 deg 57 4.974, 3
120 deg 57 44.820, 1
120 deg 57 45.072, 1
120 deg 57 48.545, 2
120 deg 57 48.600, 1
120 deg 57 48.631, 2
120 deg 57 48.649, 2
120 deg 57 48.845, 1
120 deg 57 5.345, 1
120 deg 57 5.351, 1
120 deg 57 5.495, 3
120 deg 57 51.053, 3
120 deg 57 51.600, 1
120 deg 57 52.408, 1
120 deg 57 54.600, 1
120 deg 57 55.200, 4
120 deg 57 55.800, 4
120 deg 57 56.563, 1
120 deg 57 57.000, 2
120 deg 57 57.600, 3
120 deg 57 58.200, 11
120 deg 57 58.625, 1
120 deg 57 58.800, 22
120 deg 57 59.400, 4
120 deg 58 0.000, 5
120 deg 58 1.200, 1
120 deg 58 1.800, 3
120 deg 58 10.065, 2
120 deg 58 10.075, 2
120 deg 58 10.134, 4
120 deg 58 10.200, 1
120 deg 58 10.513, 1
120 deg 58 10.564, 1
120 deg 58 10.774, 1
120 deg 58 10.832, 1
120 deg 58 10.932, 1
120 deg 58 11.100, 1
120 deg 58 11.172, 2
120 deg 58 11.221, 1
120 deg 58 11.282, 2
120 deg 58 11.346, 2
120 deg 58 11.435, 1
120 deg 58 11.456, 3
120 deg 58 11.507, 3
120 deg 58 11.568, 2
120 deg 58 11.664, 1
120 deg 58 11.672, 2
120 deg 58 11.728, 1
120 deg 58 11.768, 1
120 deg 58 12.323, 2
120 deg 58 12.780, 1
120 deg 58 12.927, 2
120 deg 58 13.186, 4
120 deg 58 13.197, 1
120 deg 58 13.702, 2
120 deg 58 15.000, 2
120 deg 58 15.406, 1
120 deg 58 15.600, 2
120 deg 58 16.031, 1
120 deg 58 16.079, 1
120 deg 58 16.200, 6
120 deg 58 16.692, 1
120 deg 58 16.698, 1
120 deg 58 16.794, 1
120 deg 58 16.796, 1
120 deg 58 16.800, 2
120 deg 58 17.105, 2
120 deg 58 17.230, 1
120 deg 58 17.400, 4
120 deg 58 18.952, 1
120 deg 58 19.179, 1
120 deg 58 20.148, 1
120 deg 58 20.270, 1
120 deg 58 20.688, 1
120 deg 58 20.990, 1
120 deg 58 23.861, 2
120 deg 58 24.000, 4
120 deg 58 24.360, 1
120 deg 58 24.445, 3
120 deg 58 24.470, 1
120 deg 58 24.600, 3
120 deg 58 25.200, 2
120 deg 58 25.350, 1
120 deg 58 25.663, 1
120 deg 58 25.800, 1
120 deg 58 25.870, 1
120 deg 58 26.400, 3
120 deg 58 26.510, 1
120 deg 58 27.000, 2
120 deg 58 27.080, 1
120 deg 58 27.600, 1
120 deg 58 31.524, 1
120 deg 58 33.252, 2
120 deg 58 33.275, 2
120 deg 58 33.300, 2
120 deg 58 34.104, 1
120 deg 58 34.800, 2
120 deg 58 34.910, 1
120 deg 58 35.190, 1
120 deg 58 35.400, 1
120 deg 58 37.800, 1
120 deg 58 37.811, 1
120 deg 58 38.233, 1
120 deg 58 38.400, 2
120 deg 58 39.000, 3
120 deg 58 39.240, 1
120 deg 58 39.654, 1
120 deg 58 4.366, 1
120 deg 58 42.870, 1
120 deg 58 43.110, 1
120 deg 58 43.800, 9
120 deg 58 44.300, 1
120 deg 58 44.550, 2
120 deg 58 45.000, 1
120 deg 58 45.491, 1
120 deg 58 45.600, 1
120 deg 58 45.695, 2
120 deg 58 46.200, 11
120 deg 58 46.340, 1
120 deg 58 46.640, 1
120 deg 58 46.721, 2
120 deg 58 46.800, 2
120 deg 58 48.000, 3
120 deg 58 48.447, 1
120 deg 58 48.600, 1
120 deg 58 49.542, 3
120 deg 58 49.606, 1
120 deg 58 50.022, 6
120 deg 58 50.480, 1
120 deg 58 50.810, 1
120 deg 58 50.840, 1
120 deg 58 51.670, 1
120 deg 58 52.050, 1
120 deg 58 52.200, 1
120 deg 58 52.350, 1
120 deg 58 52.430, 1
120 deg 58 52.460, 1
120 deg 58 52.680, 1
120 deg 58 53.364, 7
120 deg 58 54.490, 1
120 deg 58 54.820, 1
