ifdg_GPSLongitude ,Count
0 deg 0 7.000, 2
0 deg 0 7.800, 1
0 deg 0 8.000, 4
0 deg 0 8.357, 1
0 deg 0 9.000, 2
0 deg 0 9.600, 2
0 deg 1 0.000, 4
0 deg 1 0.600, 1
0 deg 1 0.690, 1
0 deg 1 1.000, 5
0 deg 1 1.140, 1
0 deg 1 1.162, 2
0 deg 1 1.319, 1
0 deg 1 1.330, 1
0 deg 1 1.500, 1
0 deg 1 1.620, 1
0 deg 1 1.800, 3
0 deg 1 10.000, 1
0 deg 1 10.800, 3
0 deg 1 11.000, 2
0 deg 1 11.718, 1
0 deg 1 12.000, 1
0 deg 1 12.162, 1
0 deg 1 12.330, 1
0 deg 1 12.600, 2
0 deg 1 12.792, 1
0 deg 1 13.000, 5
0 deg 1 13.326, 1
0 deg 1 13.794, 1
0 deg 1 14.400, 1
0 deg 1 15.000, 2
0 deg 1 16.000, 2
0 deg 1 16.800, 2
0 deg 1 17.000, 4
0 deg 1 17.400, 1
0 deg 1 18.000, 12
0 deg 1 18.600, 1
0 deg 1 18.880, 1
0 deg 1 19.000, 11
0 deg 1 19.250, 1
0 deg 1 2.000, 1
0 deg 1 2.202, 1
0 deg 1 2.400, 1
0 deg 1 2.614, 1
0 deg 1 20.000, 4
0 deg 1 21.000, 5
0 deg 1 21.923, 1
0 deg 1 22.000, 5
0 deg 1 22.350, 1
0 deg 1 23.000, 2
0 deg 1 23.060, 1
0 deg 1 23.400, 1
0 deg 1 23.720, 1
0 deg 1 23.890, 1
0 deg 1 24.000, 5
0 deg 1 25.000, 3
0 deg 1 25.200, 2
0 deg 1 25.590, 1
0 deg 1 25.650, 1
0 deg 1 25.800, 2
0 deg 1 26.400, 4
0 deg 1 27.000, 2
0 deg 1 27.682, 1
0 deg 1 28.200, 2
0 deg 1 28.270, 1
0 deg 1 28.480, 1
0 deg 1 28.600, 1
0 deg 1 28.800, 1
0 deg 1 29.280, 1
0 deg 1 29.634, 1
0 deg 1 3.000, 8
0 deg 1 3.588, 1
0 deg 1 3.600, 2
0 deg 1 3.666, 1
0 deg 1 30.000, 2
0 deg 1 31.200, 1
0 deg 1 31.739, 1
0 deg 1 33.000, 1
0 deg 1 33.600, 1
0 deg 1 34.260, 1
0 deg 1 34.710, 1
0 deg 1 34.750, 1
0 deg 1 35.030, 1
0 deg 1 35.140, 1
0 deg 1 35.410, 1
0 deg 1 36.600, 2
0 deg 1 36.860, 1
0 deg 1 37.000, 1
0 deg 1 37.200, 2
0 deg 1 37.410, 1
0 deg 1 37.520, 1
0 deg 1 37.800, 4
0 deg 1 38.020, 1
0 deg 1 38.110, 8
0 deg 1 38.140, 1
0 deg 1 38.190, 1
0 deg 1 38.240, 1
0 deg 1 38.400, 1
0 deg 1 38.470, 1
0 deg 1 38.700, 2
0 deg 1 38.730, 2
0 deg 1 38.870, 1
0 deg 1 39.000, 1
0 deg 1 39.600, 1
0 deg 1 39.940, 2
0 deg 1 4.000, 8
0 deg 1 4.200, 3
0 deg 1 4.476, 6
0 deg 1 4.554, 3
0 deg 1 4.788, 1
0 deg 1 4.800, 1
0 deg 1 40.200, 1
0 deg 1 40.262, 1
0 deg 1 41.076, 1
0 deg 1 41.862, 1
0 deg 1 42.000, 2
0 deg 1 43.200, 2
0 deg 1 44.000, 1
0 deg 1 47.000, 1
0 deg 1 48.102, 1
0 deg 1 48.198, 1
0 deg 1 48.354, 1
0 deg 1 48.474, 1
0 deg 1 48.504, 1
0 deg 1 48.612, 1
0 deg 1 49.430, 1
0 deg 1 49.800, 1
0 deg 1 5.010, 5
0 deg 1 5.400, 1
0 deg 1 51.000, 1
0 deg 1 51.024, 1
0 deg 1 51.906, 1
0 deg 1 52.000, 2
0 deg 1 53.000, 1
0 deg 1 53.400, 1
0 deg 1 54.000, 3
0 deg 1 54.600, 6
0 deg 1 55.000, 1
0 deg 1 55.200, 2
0 deg 1 55.494, 1
0 deg 1 55.734, 1
0 deg 1 55.800, 2
0 deg 1 56.044, 2
0 deg 1 57.000, 3
0 deg 1 57.580, 1
0 deg 1 58.000, 1
0 deg 1 58.200, 1
0 deg 1 58.800, 1
0 deg 1 59.000, 1
0 deg 1 6.000, 3
0 deg 1 6.514, 1
0 deg 1 7.000, 1
0 deg 1 7.128, 1
0 deg 1 7.200, 3
0 deg 1 7.308, 1
0 deg 1 7.800, 3
0 deg 1 8.000, 3
0 deg 1 8.090, 1
0 deg 1 8.400, 2
0 deg 1 9.000, 12
0 deg 1 9.070, 1
0 deg 1 9.600, 1
0 deg 10 0.000, 3
0 deg 10 0.600, 3
0 deg 10 1.200, 4
0 deg 10 1.781, 1
0 deg 10 10.200, 1
0 deg 10 10.800, 5
0 deg 10 11.400, 1
0 deg 10 11.429, 1
0 deg 10 11.750, 1
0 deg 10 12.390, 1
0 deg 10 12.600, 2
0 deg 10 13.200, 1
0 deg 10 13.240, 1
0 deg 10 14.000, 1
0 deg 10 14.730, 1
0 deg 10 14.800, 2
0 deg 10 15.000, 1
0 deg 10 15.059, 2
0 deg 10 15.600, 1
0 deg 10 16.000, 1
0 deg 10 16.110, 1
0 deg 10 16.437, 1
0 deg 10 17.196, 1
0 deg 10 17.400, 1
0 deg 10 18.000, 2
0 deg 10 18.260, 1
0 deg 10 18.600, 2
0 deg 10 19.560, 1
0 deg 10 2.424, 1
0 deg 10 20.400, 1
0 deg 10 21.000, 4
0 deg 10 22.800, 2
0 deg 10 22.960, 1
0 deg 10 23.000, 1
0 deg 10 23.330, 1
0 deg 10 23.345, 1
0 deg 10 23.400, 4
0 deg 10 23.719, 1
0 deg 10 23.920, 1
0 deg 10 24.000, 2
0 deg 10 24.447, 1
0 deg 10 24.600, 1
0 deg 10 24.610, 1
0 deg 10 25.100, 1
0 deg 10 25.200, 8
0 deg 10 25.416, 1
0 deg 10 25.800, 15
0 deg 10 25.844, 1
0 deg 10 26.064, 1
0 deg 10 26.760, 1
0 deg 10 26.975, 1
0 deg 10 27.000, 3
0 deg 10 27.096, 1
0 deg 10 27.116, 1
0 deg 10 27.150, 1
0 deg 10 27.600, 21
0 deg 10 28.000, 2
0 deg 10 28.200, 2
0 deg 10 29.400, 2
0 deg 10 29.655, 4
0 deg 10 29.674, 1
0 deg 10 3.000, 3
0 deg 10 3.227, 1
0 deg 10 3.600, 3
0 deg 10 3.900, 1
0 deg 10 30.000, 4
0 deg 10 30.600, 2
0 deg 10 31.000, 4
0 deg 10 31.200, 1
0 deg 10 31.680, 1
0 deg 10 31.800, 2
0 deg 10 32.000, 2
0 deg 10 32.400, 1
0 deg 10 32.767, 1
0 deg 10 33.000, 4
0 deg 10 33.600, 1
0 deg 10 34.600, 1
0 deg 10 34.640, 2
0 deg 10 35.100, 2
0 deg 10 35.400, 1
0 deg 10 36.000, 5
0 deg 10 37.000, 1
0 deg 10 37.200, 3
0 deg 10 37.800, 4
0 deg 10 38.400, 2
0 deg 10 39.000, 6
0 deg 10 39.070, 1
0 deg 10 39.280, 1
0 deg 10 39.600, 1
0 deg 10 40.000, 2
0 deg 10 40.800, 1
0 deg 10 40.860, 1
0 deg 10 41.400, 2
0 deg 10 42.000, 3
0 deg 10 42.160, 1
0 deg 10 42.920, 1
0 deg 10 42.930, 2
0 deg 10 43.030, 1
0 deg 10 43.180, 1
0 deg 10 43.200, 1
0 deg 10 43.230, 1
0 deg 10 43.240, 1
0 deg 10 43.330, 2
0 deg 10 43.340, 3
0 deg 10 43.430, 2
0 deg 10 43.460, 2
0 deg 10 43.490, 2
0 deg 10 43.500, 1
0 deg 10 43.520, 6
0 deg 10 43.750, 1
0 deg 10 43.800, 1
0 deg 10 44.000, 4
0 deg 10 44.400, 1
0 deg 10 45.000, 3
0 deg 10 45.600, 5
0 deg 10 46.000, 2
0 deg 10 46.200, 1
0 deg 10 46.790, 1
0 deg 10 46.800, 1
0 deg 10 47.400, 2
0 deg 10 48.000, 2
0 deg 10 48.140, 2
0 deg 10 48.230, 2
0 deg 10 48.600, 5
0 deg 10 49.200, 3
0 deg 10 49.800, 3
0 deg 10 5.002, 1
0 deg 10 5.400, 1
0 deg 10 50.400, 2
0 deg 10 52.001, 1
0 deg 10 52.200, 2
0 deg 10 54.228, 8
0 deg 10 54.335, 1
0 deg 10 55.272, 2
0 deg 10 55.610, 1
0 deg 10 55.850, 3
0 deg 10 56.400, 1
0 deg 10 57.000, 1
0 deg 10 58.800, 1
0 deg 10 7.200, 1
0 deg 10 7.800, 2
0 deg 10 8.400, 1
0 deg 10 9.600, 3
0 deg 10 9.790, 1
0 deg 11 0.000, 5
0 deg 11 0.186, 1
0 deg 11 0.732, 1
0 deg 11 10.810, 1
0 deg 11 12.370, 1
0 deg 11 13.350, 5
0 deg 11 13.890, 1
0 deg 11 14.150, 1
0 deg 11 14.400, 2
0 deg 11 14.990, 1
0 deg 11 15.600, 1
0 deg 11 16.122, 1
0 deg 11 16.236, 1
0 deg 11 16.441, 2
0 deg 11 16.455, 1
0 deg 11 16.463, 1
0 deg 11 16.465, 1
0 deg 11 16.501, 2
0 deg 11 16.742, 1
0 deg 11 16.959, 1
0 deg 11 17.058, 1
0 deg 11 17.075, 1
0 deg 11 17.212, 1
0 deg 11 17.712, 1
0 deg 11 17.819, 1
0 deg 11 17.824, 1
0 deg 11 17.867, 1
0 deg 11 17.930, 1
0 deg 11 18.000, 1
0 deg 11 18.530, 1
0 deg 11 18.745, 1
0 deg 11 18.784, 1
0 deg 11 18.793, 1
0 deg 11 19.107, 1
0 deg 11 19.150, 1
0 deg 11 19.288, 1
0 deg 11 19.349, 1
0 deg 11 19.358, 1
0 deg 11 19.374, 1
0 deg 11 19.550, 1
0 deg 11 19.730, 1
0 deg 11 19.740, 4
0 deg 11 19.750, 2
0 deg 11 19.829, 1
0 deg 11 19.885, 1
0 deg 11 2.400, 1
0 deg 11 20.077, 1
0 deg 11 20.355, 1
0 deg 11 20.400, 1
0 deg 11 20.657, 1
0 deg 11 20.676, 1
0 deg 11 21.226, 1
0 deg 11 21.287, 1
0 deg 11 21.540, 3
0 deg 11 21.710, 1
0 deg 11 22.244, 1
0 deg 11 22.275, 1
0 deg 11 22.276, 2
0 deg 11 22.283, 1
0 deg 11 22.717, 1
0 deg 11 22.800, 1
0 deg 11 23.792, 1
0 deg 11 24.460, 1
0 deg 11 24.640, 3
0 deg 11 24.820, 1
0 deg 11 25.200, 2
0 deg 11 25.577, 4
0 deg 11 25.580, 1
0 deg 11 25.780, 2
0 deg 11 25.800, 4
0 deg 11 26.030, 8
0 deg 11 26.090, 1
0 deg 11 26.400, 5
0 deg 11 27.000, 2
0 deg 11 27.600, 1
0 deg 11 28.000, 1
0 deg 11 28.021, 1
0 deg 11 28.200, 2
0 deg 11 28.800, 1
0 deg 11 28.840, 1
0 deg 11 29.400, 3
0 deg 11 3.810, 1
0 deg 11 3.991, 1
0 deg 11 30.000, 1
0 deg 11 30.600, 2
0 deg 11 31.200, 1
0 deg 11 31.800, 1
0 deg 11 32.400, 1
0 deg 11 33.000, 1
0 deg 11 33.046, 6
0 deg 11 33.600, 1
0 deg 11 33.980, 5
0 deg 11 34.030, 2
0 deg 11 34.200, 1
0 deg 11 34.800, 1
