ifd0_ResolutionUnit ,Count
, 19830
0, 420
1096, 1
13848, 1
32240, 1
40968, 2
4104, 3
45064, 4
496, 1
504, 1
53256, 4
57352, 3
72, 3
Centimeter, 69
Inch, 1360647
None, 4
