ifd0_bit ,Count
011111101000000011000000111, 87
011111101000010010000000000, 231338
011111101000010010000000111, 4
011111101000010010000001111, 1515
011111101000010010000011111, 1
011111101000010010000100000, 640
011111101000010010000100111, 198
011111101000010010000101111, 9
011111101000010010001000000, 3
011111101000010010001001111, 73
011111101000010010010001111, 10
011111101000010010100000111, 2
011111101000010010100001111, 26
011111101000010010100101111, 2
011111101000010010101001111, 3
011111101000010010101011111, 3
011111101000010010101110000, 1
011111101000010010101110011, 2
011111101000010010101111111, 1
011111101000010010110001111, 2
011111101000010010110110011, 1
011111101000010010111011111, 2
011111101000010010111101111, 2
011111101000010010111110011, 2
011111101000010010111111111, 10
011111101000010011000000000, 20243
011111101000010011000001111, 199
011111101000010011111111111, 3
011111101000010110000000000, 83
011111101000010110101010111, 1
011111101000010110111000000, 1
011111101000010111000000000, 10
011111101000011010000001111, 2
011111101011010010000000000, 4
011111101011110010000000000, 3308
011111101011110010000001111, 58
011111101011110011000000000, 447
011111101011110011000001111, 5
011111101011110111001001111, 1
011111101011111010000000000, 8
011111101100000010000000000, 26
011111101100000110000000111, 8
011111101100010010000000000, 1496
011111101100010010000001111, 1
011111101100010011000000000, 3
011111101100010110000000000, 16074
011111101100010110000001111, 12
011111101100010110000100000, 2
011111101100010110000101111, 3
011111101100010110001000000, 4
011111101100010111000000000, 32486
011111101100010111000001111, 48
011111101100010111000100000, 18
011111101100010111001100000, 3
011111101111000010000000000, 1
011111101111010110000000000, 2
011111101111110110000000000, 224
011111101111110111000000000, 3277
011111101111111110000000000, 1
011111101111111111000000000, 1
011111110000000010000000000, 11
011111110000010010000000000, 7953
011111110000010011000000000, 6641
011111110000010110000000000, 1
011111110100010010000000000, 57
011111110100010011000000000, 563
011111110100010111000000000, 13
011111111000000010000000000, 461
011111111000000010000000101, 3
011111111000000010000000111, 190
011111111000000011000000000, 31
011111111000000011000000111, 137
011111111000000110000000111, 9
011111111000001010000000000, 26
011111111000001011000000000, 1
011111111000010010000000000, 248534
011111111000010010000000111, 13
011111111000010010000001111, 1241
011111111000010010000011111, 1
011111111000010010000100000, 38
011111111000010010000101111, 2
011111111000010010001000000, 1
011111111000010010001000111, 2
011111111000010010001001111, 7
011111111000010010010000000, 1
011111111000010010010001111, 13
011111111000010010100000000, 1
011111111000010010100001111, 3
011111111000010010100101111, 5
011111111000010010101001111, 5
011111111000010010101010000, 1
011111111000010010101011111, 1
011111111000010010101111111, 2
011111111000010010110001111, 1
011111111000010010110101111, 1
011111111000010010111110000, 1
011111111000010010111111111, 2
011111111000010011000000000, 126479
011111111000010011000000111, 53
011111111000010011000001111, 187
011111111000010011000100000, 29
011111111000010110000000000, 38801
011111111000010110000000010, 20
011111111000010110000000111, 15
011111111000010110000001111, 503
011111111000010110000100000, 8
011111111000010110010000000, 12
011111111000010110010000111, 5
011111111000010110100000000, 607
011111111000010110101001111, 1
011111111000010111000000000, 717
011111111000010111000001111, 67
011111111000011010000000000, 71
011111111000011011000000000, 24
011111111011010010000000000, 9
011111111011010011000000000, 1
011111111011110010000000000, 1447
011111111011110011000000000, 2306
011111111011110011000001111, 1
011111111011110011001001111, 1
011111111011110110000000000, 15
011111111011110111000000000, 9
011111111011111010000000000, 214
011111111011111110000000000, 7
011111111100000010000000000, 12
011111111100000110000000000, 27
011111111100010010000000000, 6166
011111111100010010001000000, 1
011111111100010011000000000, 4161
011111111100010011000000111, 7
011111111100010110000000000, 1919
011111111100010111000000000, 13997
011111111100010111000001111, 59
011111111100010111000100000, 2
011111111111010111000000000, 9
011111111111110110000000000, 84
011111111111110111000000000, 2393
111000000000000000000000000, 99
111000001000010010000000000, 1072
111000001000010010000001111, 76
111000001000010010000100000, 8
111000001000011011100010000, 1
111000001100010111000100000, 25
111000011000000010000000000, 19
111000011000000011000000000, 89
111000011000010010000000000, 1191
111000011000010010000001111, 3
111000011000010010000100000, 5
111000011000010011000000000, 13
111000011000010110000000000, 110
111000011000010110000000111, 1
111000011000010110001000000, 149
111000011011110010000000000, 4
111000011100010010000000000, 49
111000111000010010000000000, 292
111011100000010010000000000, 219
111011101000000010000000000, 1
111011101000000110000000000, 1
111011101000010010000000000, 658
111011101000010010000000011, 25
111011101000010010000001000, 10
111011101000010010000001111, 7332
111011101000010010000101111, 1
111011101000010010010001111, 1
111011101000010011000000000, 9
111011101000010011000000010, 1
111011101000010011000000011, 28
111011101000010011000000110, 1
111011101000010011000001111, 174
111011101000010110000000000, 44
111011101000010110000000111, 300
111011101000010110000001111, 10
111011101000011010000000000, 181
111011101000011010000001111, 4
111011101000011011000000000, 1
111011101011110010000001111, 1
111011101100000110000000000, 5
111011101111110110000000000, 1
111011110000010110000001111, 1
111011111000000010000000000, 10
111011111000010010000000000, 2468
111011111000010010000000111, 122
111011111000010010000001111, 6926
111011111000010010000101111, 1
111011111000010011000000000, 379
111011111000010011000000111, 11
111011111000010011000001111, 41
111011111000010110000000000, 847
111011111000010110000000001, 19
111011111000010110000000010, 1
111011111000010110000000111, 1602
111011111000010110000001111, 158
111011111000010111000000000, 6
111011111000010111000000111, 4
111011111000011010000000000, 318
111011111000011010000001111, 22
111011111000011011000000000, 5
111011111000011110000000000, 74
111011111000011111000000000, 2
111011111011010010000000000, 4
111011111011110010000001111, 31
111011111100010110000000000, 2
111011111100010110000001111, 204
111011111100010111000000000, 1
111011111100011010000000000, 134
111011111100011111000000000, 61
111100000000000000000000000, 479
111100001000010010000000000, 1
111100001000010010100010000, 4
111100011000000010000000000, 22
111100011000010010000000000, 3
111100011000010010100010000, 18
111100011000010110000000000, 3
111100011000010110100010000, 1
111100011100000110000000000, 11
111100101000010010000001111, 42
111100101000010010100000111, 19
111100101000010010100011111, 4
111100101000010010100110111, 1
111100101000010010100111111, 65
111100101000010010111111111, 29
111100101100010111000000000, 7
111100111000010010000000000, 16
111100111000010010000001111, 25
111100111000010010100000111, 1
111100111000010010100111111, 75
111110111000010010000000000, 5
111111011000010010000000000, 14
111111100000010010000000000, 7
111111100000010010000001111, 7
111111100000010011000000000, 20
111111101000000010000000000, 23
111111101000010010000000000, 164224
111111101000010010000001000, 1
111111101000010010000001011, 1
111111101000010010000001111, 1117
111111101000010010000100000, 36
111111101000010010001001111, 1
111111101000010010100000000, 7
111111101000010010100100111, 1
111111101000010011000000000, 10427
