ifd0_ExifOffset ,Count
@ 0x14E0, 1
@ 0x14E4, 1
@ 0x1518, 1
@ 0x151B, 1
@ 0x1523, 1
@ 0x1539, 1
@ 0x153C, 1
@ 0x1554, 1
@ 0x155A, 1
@ 0x155B, 1
@ 0x1581, 1
@ 0x1582, 1
@ 0x15C4, 1
@ 0x15DD, 1
@ 0x15E2, 1
@ 0x15F0, 1
@ 0x15F2, 1
@ 0x1604, 1
@ 0x160C, 1
@ 0x1611, 1
@ 0x1639, 1
@ 0x1642, 1
@ 0x165F, 2
@ 0x1660, 1
@ 0x1663, 1
@ 0x1678, 1
@ 0x1685, 1
@ 0x1688, 1
@ 0x168E, 1
@ 0x16BC, 1
@ 0x16D1, 1
@ 0x16D4, 2
@ 0x16D8, 1
@ 0x16D9, 1
@ 0x16E3, 1
@ 0x16E7, 1
@ 0x16EA, 1
@ 0x16EE, 1
@ 0x16F2, 1
@ 0x16FD, 1
@ 0x170C, 1
@ 0x170E, 1
@ 0x1714, 1
@ 0x1716, 1
@ 0x1727, 1
@ 0x1738, 1
@ 0x1739, 1
@ 0x173F, 1
@ 0x1747, 1
@ 0x1768, 1
@ 0x177C, 1
@ 0x178B, 1
@ 0x1790, 1
@ 0x1794, 1
@ 0x17A2, 1
@ 0x17AE, 1
@ 0x17B0, 1
@ 0x17BA, 1
@ 0x17C2, 1
@ 0x17CA, 1
@ 0x17D6, 1
@ 0x17E0, 1
@ 0x17E8, 1
@ 0x17FA, 1
@ 0x183A, 1
@ 0x184C, 1
@ 0x184D, 1
@ 0x1871, 1
@ 0x1874, 1
@ 0x1882, 1
@ 0x188E, 1
@ 0x189C, 1
@ 0x18A4, 1
@ 0x18CA, 2
@ 0x18D5, 1
@ 0x18DA, 1
@ 0x18F6, 1
@ 0x18FE, 1
@ 0x1940, 1
@ 0x1942, 1
@ 0x1952, 1
@ 0x195C, 1
@ 0x195F, 1
@ 0x1973, 1
@ 0x1980, 1
@ 0x1992, 1
@ 0x19DE, 1
@ 0x19F8, 1
@ 0x1A11, 1
@ 0x1A19, 1
@ 0x1A1B, 1
@ 0x1A1E, 1
@ 0x1A20, 1
@ 0x1A42, 1
@ 0x1A4E, 1
@ 0x1A54, 1
@ 0x1A63, 1
@ 0x1AA0, 1
@ 0x1AC1, 1
@ 0x1AC8, 1
@ 0x1B04, 1
@ 0x1B0C, 7
@ 0x1B18, 1
@ 0x1B2A, 1
@ 0x1B2E, 1
@ 0x1B37, 1
@ 0x1B38, 1
@ 0x1B41, 1
@ 0x1B50, 41
@ 0x1B5B, 1
@ 0x1B5F, 1
@ 0x1B78, 1
@ 0x1B8C, 1
@ 0x1BAC, 1
@ 0x1BCC, 1
@ 0x1BD7, 2
@ 0x1BD8, 1
@ 0x1BEE, 1
@ 0x1C08, 1
@ 0x1C19, 1
@ 0x1C2B, 1
@ 0x1C2E, 1
@ 0x1C38, 1
@ 0x1C49, 1
@ 0x1C51, 1
@ 0x1C63, 1
@ 0x1C6A, 1
@ 0x1C88, 1
@ 0x1C91, 1
@ 0x1C95, 1
@ 0x1CB3, 1
@ 0x1CB4, 1
@ 0x1CDC, 1
@ 0x1CF1, 1
@ 0x1CF3, 1
@ 0x1CFD, 1
@ 0x1D32, 1
@ 0x1D38, 1
@ 0x1D3E, 1
@ 0x1D54, 1
@ 0x1D56, 1
@ 0x1D63, 1
@ 0x1D94, 1
@ 0x1D97, 1
@ 0x1DA4, 1
@ 0x1DCA, 1
@ 0x1DFB, 1
@ 0x1E0C, 1
@ 0x1E2C, 1
@ 0x1E5C, 2
@ 0x1E6B, 1
@ 0x1E81, 1
@ 0x1E86, 1
@ 0x1EC0, 1
@ 0x1F4A, 1
@ 0x1F52, 1
@ 0x1F5E, 1
@ 0x1F6A, 1
@ 0x2018, 1
@ 0x2038, 1
@ 0x2042, 1
@ 0x2066, 1
@ 0x208A, 1
@ 0x2092, 7
@ 0x20AE, 1
@ 0x20BD, 1
@ 0x20C9, 1
@ 0x20D2, 1
@ 0x2171, 1
@ 0x218C, 1
@ 0x21CB, 1
@ 0x21D8, 1
@ 0x21F0, 1
@ 0x2225, 1
@ 0x2244, 1
@ 0x2248, 1
@ 0x224C, 1
@ 0x2258, 1
@ 0x2288, 1
@ 0x229C, 1
@ 0x22AC, 1
@ 0x22C8, 1
@ 0x22CC, 1
@ 0x22D4, 1
@ 0x22F1, 1
@ 0x230D, 1
@ 0x2310, 1
@ 0x2320, 2
@ 0x233C, 1
@ 0x2350, 1
@ 0x2354, 1
@ 0x2355, 1
@ 0x236C, 1
@ 0x2374, 1
@ 0x237C, 1
@ 0x23BF, 1
@ 0x23C4, 1
@ 0x23D4, 1
@ 0x23E0, 1
@ 0x23FA, 1
@ 0x2404, 1
@ 0x2412, 1
@ 0x2420, 1
@ 0x2434, 1
@ 0x2438, 2
@ 0x2443, 1
@ 0x2450, 1
@ 0x2468, 1
@ 0x2474, 1
@ 0x248C, 2
@ 0x24DD, 1
@ 0x24E4, 1
@ 0x24E8, 3
@ 0x2500, 1
@ 0x2541, 1
@ 0x2562, 1
@ 0x25A8, 1
@ 0x25A9, 1
@ 0x25C8, 1
@ 0x25E4, 1
@ 0x25F8, 1
@ 0x2628, 1
@ 0x262F, 1
@ 0x2638, 1
@ 0x2668, 1
@ 0x2678, 1
@ 0x2684, 1
@ 0x2688, 1
@ 0x2694, 1
@ 0x2698, 1
@ 0x26A8, 1
@ 0x26C8, 1
@ 0x26D8, 1
@ 0x26E8, 1
@ 0x26F8, 1
@ 0x2710, 1
@ 0x2718, 1
@ 0x272A, 1
@ 0x2748, 1
@ 0x2768, 1
@ 0x2788, 1
@ 0x27C8, 1
@ 0x2826, 1
@ 0x2828, 1
@ 0x2874, 1
@ 0x28C8, 1
@ 0x28DC, 1
@ 0x28E4, 1
@ 0x2929, 1
@ 0x2952, 1
@ 0x2AAC, 1
@ 0x2B68, 1
@ 0x2BA8, 1
@ 0x2BD8, 1
@ 0x2C0F, 1
@ 0x2C38, 1
@ 0x2C78, 1
@ 0x2CA8, 2
@ 0x2CAF, 1
@ 0x2CB8, 2
@ 0x2CC8, 1
@ 0x2CD8, 1
@ 0x2CE0, 1
@ 0x2D1A, 1
@ 0x2D28, 1
@ 0x2D48, 1
@ 0x2D58, 1
@ 0x2D6A, 1
@ 0x2D82, 1
@ 0x2D88, 1
@ 0x2D94, 1
@ 0x2D98, 1
@ 0x2DA8, 1
@ 0x2E08, 1
@ 0x2E18, 1
@ 0x2E28, 1
@ 0x2E52, 1
@ 0x2E78, 1
@ 0x2E98, 1
@ 0x2EA0, 1
@ 0x2EB5, 1
@ 0x2F98, 1
@ 0x2FAC, 1
@ 0x2FB0, 1
@ 0x3001, 1
@ 0x30A9, 1
@ 0x311C, 1
@ 0x3148, 1
@ 0x314F, 1
@ 0x31E0, 1
@ 0x3200, 1
@ 0x3270, 1
@ 0x3294, 1
@ 0x3385, 1
@ 0x338E, 14
@ 0x349D, 1
@ 0x34E5, 1
@ 0x354F, 1
@ 0x35EC, 2
@ 0x3648, 1
@ 0x3651, 1
@ 0x371F, 1
@ 0x3784, 1
@ 0x37A4, 247
@ 0x38C4, 1
@ 0x38D3, 1
@ 0x38E6, 1
@ 0x3944, 1
@ 0x3951, 1
@ 0x3971, 1
@ 0x39E8, 1
@ 0x39FD, 1
@ 0x3A19, 1
@ 0x3AC1, 1
@ 0x3C3B, 1
@ 0x3C3D, 137
@ 0x3CCC, 1
