ifdg_GPSDateStamp ,Count
2008:04:26, 1
2008:04:27, 2
2008:05:02, 16
2008:05:03, 3
2008:05:04, 1
2008:05:17, 4
2008:05:25, 17
2008:05:27, 3
2008:06:01, 2
2008:06:10, 2
2008:06:12, 2
2008:06:13, 1
2008:06:19, 1
2008:06:21, 4
2008:06:24, 1
2008:06:29, 2
2008:06:30, 1
2008:07:02, 8
2008:07:04, 1
2008:07:10, 1
2008:07:11, 4
2008:07:12, 1
2008:07:13, 2
2008:07:14, 2
2008:07:18, 3
2008:07:20, 5
2008:07:23, 1
2008:07:25, 2
2008:07:26, 6
2008:07:27, 1
2008:07:30, 1
2008:08:02, 2
2008:08:03, 2
2008:08:08, 2
2008:08:09, 2
2008:08:10, 1
2008:08:11, 1
2008:08:12, 1
2008:08:13, 2
2008:08:16, 2
2008:08:17, 2
2008:08:18, 3
2008:08:21, 1
2008:08:23, 1
2008:08:24, 6
2008:08:30, 1
2008:08:31, 1
2008:09:06, 1
2008:09:09, 1
2008:09:10, 1
2008:09:13, 1
2008:09:14, 3
2008:09:15, 48
2008:09:16, 38
2008:09:17, 29
2008:09:18, 35
2008:09:19, 1
2008:09:20, 1
2008:09:23, 3
2008:09:24, 3
2008:09:27, 2
2008:10:04, 2
2008:10:05, 1
2008:10:07, 1
2008:10:08, 2
2008:10:09, 1
2008:10:10, 2
2008:10:11, 1
2008:10:12, 2
2008:10:13, 1
2008:10:17, 5
2008:10:18, 1
2008:10:19, 1
2008:10:25, 3
2008:10:27, 1
2008:10:29, 1
2008:10:31, 1
2008:11:01, 2
2008:11:07, 2
2008:11:08, 3
2008:11:09, 2
2008:11:13, 1
2008:11:19, 1
2008:11:23, 1
2008:11:25, 1
2008:11:26, 1
2008:11:27, 1
2008:11:30, 1
2008:12:03, 1
2008:12:06, 11
2008:12:07, 2
2008:12:08, 1
2008:12:09, 12
2008:12:10, 4
2008:12:13, 1
2008:12:15, 1
2008:12:16, 9
2008:12:17, 1
2008:12:23, 2
2008:12:25, 1
2008:12:26, 1
2008:12:27, 1
2008:12:30, 2
2009/1, 1/1, 22/1, 5
2009/1, 1/1, 26/1, 7
2009/1, 2/1, 17/1, 2
2009/1, 2/1, 22/1, 4
2009/1, 2/1, 3/1, 3
2009/1, 3/1, 2/1, 11
2009/1, 3/1, 4/1, 27
2009/1, 3/1, 5/1, 21
2009/1, 6/1, 29/1, 27
2009/1, 6/1, 30/1, 28
2009/1, 7/1, 13/1, 21
2009/1, 7/1, 15/1, 4
2009/1, 7/1, 5/1, 20
2009:01:01, 1
2009:01:03, 11
2009:01:05, 2
2009:01:08, 1
2009:01:09, 1
2009:01:10, 1
2009:01:14, 1
2009:01:15, 1
2009:01:16, 2
2009:01:17, 1
2009:01:18, 2
2009:01:21, 3
2009:01:22, 2
2009:01:25, 6
2009:01:26, 1
2009:01:27, 3
2009:01:28, 1
2009:01:29, 1
2009:01:30, 1
2009:01:31, 1
2009:02:01, 1
2009:02:02, 2
2009:02:03, 1
2009:02:06, 1
2009:02:07, 3
2009:02:08, 2
2009:02:09, 2
2009:02:10, 1
2009:02:11, 2
2009:02:14, 2
2009:02:15, 1
2009:02:17, 1
2009:02:18, 1
2009:02:19, 2
2009:02:21, 1
2009:02:22, 2
2009:02:23, 1
2009:02:24, 4
2009:02:25, 1
2009:02:26, 1
2009:02:28, 1
2009:03:01, 3
2009:03:02, 2
2009:03:03, 1
2009:03:04, 1
2009:03:05, 2
2009:03:06, 2
2009:03:07, 41
2009:03:08, 2
2009:03:09, 1
2009:03:10, 4
2009:03:11, 3
2009:03:12, 1
2009:03:13, 4
2009:03:14, 2
2009:03:15, 9
2009:03:16, 1
2009:03:17, 2
2009:03:18, 1
2009:03:19, 2
2009:03:20, 1
2009:03:21, 1
2009:03:27, 1
2009:03:29, 2
2009:03:30, 1
2009:03:31, 1
2009:04:01, 1
2009:04:02, 3
2009:04:03, 2
2009:04:04, 3
2009:04:05, 4
2009:04:06, 1
2009:04:07, 2
2009:04:08, 2
2009:04:09, 1
2009:04:10, 2
2009:04:11, 4
2009:04:12, 3
2009:04:14, 2
2009:04:15, 1
2009:04:16, 2
2009:04:17, 1
2009:04:18, 5
2009:04:19, 1
2009:04:20, 2
2009:04:22, 2
2009:04:23, 2
2009:04:24, 1
2009:04:25, 4
2009:04:26, 2
2009:04:27, 2
2009:04:28, 2
2009:04:29, 2
2009:04:30, 2
2009:05:01, 1
2009:05:02, 15
2009:05:04, 2
2009:05:05, 1
2009:05:06, 1
2009:05:07, 2
2009:05:08, 2
2009:05:09, 38
2009:05:10, 16
2009:05:11, 1
2009:05:12, 2
2009:05:13, 2
2009:05:14, 2
2009:05:15, 1
2009:05:16, 3
2009:05:17, 4
2009:05:18, 2
2009:05:19, 1
2009:05:20, 1
2009:05:21, 1
2009:05:22, 28
2009:05:23, 2
2009:05:24, 2
2009:05:25, 1
2009:05:26, 3
2009:05:27, 2
2009:05:28, 1
2009:05:29, 1
2009:05:30, 14
2009:05:31, 7
2009:06:02, 4
2009:06:03, 1
2009:06:04, 7
2009:06:05, 5
2009:06:07, 10
2009:06:09, 5
2009:06:10, 3
2009:06:11, 4
2009:06:12, 10
2009:06:13, 5
2009:06:14, 5
2009:06:15, 6
2009:06:16, 4
2009:06:17, 2
2009:06:18, 5
2009:06:19, 1
2009:06:20, 3
2009:06:21, 3
2009:06:22, 2
2009:06:23, 3
2009:06:24, 3
2009:06:25, 5
2009:06:26, 2
2009:06:27, 1
2009:06:28, 2
2009:06:29, 1
2009:06:30, 7
2009:07:01, 2
2009:07:03, 1
2009:07:04, 7
2009:07:05, 1
2009:07:06, 2
2009:07:07, 1
2009:07:08, 2
2009:07:09, 1
2009:07:10, 1
2009:07:11, 1
2009:07:12, 2
2009:07:16, 3
2009:07:17, 2
2009:07:18, 4
2009:07:21, 1
2009:07:23, 1
2009:07:24, 1
2009:07:25, 5
2009:07:27, 3
2009:07:28, 7
2009:07:29, 3
2009:07:30, 1
2009:07:31, 3
2009:08:01, 5
2009:08:02, 4
2009:08:03, 2
2009:08:04, 1
2009:08:06, 3
2009:08:07, 2
2009:08:08, 2
2009:08:09, 1
2009:08:10, 1
2009:08:11, 2
2009:08:12, 1
2009:08:13, 2
2009:08:14, 4
2009:08:15, 6
2009:08:16, 5
2009:08:17, 5
2009:08:18, 2
2009:08:19, 1
2009:08:20, 2
2009:08:21, 1
2009:08:22, 4
2009:08:23, 2
2009:08:24, 2
2009:08:25, 3
2009:08:26, 1
2009:08:28, 7
2009:08:29, 1
2009:08:30, 3
2009:08:31, 9
2009:09:01, 8
2009:09:02, 27
2009:09:04, 1
2009:09:05, 1
2009:09:06, 1
2009:09:09, 7
2009:09:12, 2
2009:09:15, 2
2009:09:16, 1
2009:09:22, 1
2009:09:25, 1
2009:09:27, 1
2009:09:29, 1
2009:09:30, 2
2009:10:01, 2
2009:10:02, 1
2009:10:04, 1
2009:10:07, 1
2009:10:08, 1
2009:10:10, 1
2009:10:11, 1
2009:10:15, 1
2009:10:16, 3
2009:10:17, 7
2009:10:18, 5
2009:10:23, 3
2009:10:24, 1
2009:10:25, 3
2009:10:27, 4
2009:10:28, 1
2009:10:29, 1
2009:10:30, 8
2009:10:31, 10
2009:11:01, 1
2009:11:03, 1
2009:11:05, 10
2009:11:06, 2
2009:11:07, 2
2009:11:08, 2
2009:11:09, 3
2009:11:12, 1
2009:11:14, 30
2009:11:15, 2
2009:11:16, 1
2009:11:19, 1
2009:11:20, 2
2009:11:21, 1
2009:11:22, 4
2009:11:27, 1
2009:11:28, 17
2009:12:01, 1
2009:12:11, 2
2009:12:12, 1
2009:12:13, 1
2009:12:16, 1
2009:12:17, 5
2009:12:18, 1
2009:12:20, 1
2009:12:21, 1
2009:12:24, 9
2009:12:25, 1
2009:12:26, 54
2009:12:29, 1
2009:12:31, 5
2010:01:01, 1
2010:01:04, 7
2010:01:06, 13
2010:01:07, 40
2010:01:08, 35
2010:01:09, 5
2010:01:10, 1
2010:01:11, 2
2010:01:12, 1
2010:01:14, 1
2010:01:16, 1
2010:01:20, 1
2010:01:22, 1
2010:01:23, 45
2010:01:24, 1
2010:01:29, 1
2010:01:30, 1
2010:01:31, 1
2010:02:01, 1
2010:02:02, 1
2010:02:03, 1
2010:02:05, 1
2010:02:06, 1
2010:02:07, 3
2010:02:09, 2
2010:02:12, 3
2010:02:13, 1
2010:02:14, 5
2010:02:15, 1
2010:02:17, 2
2010:02:18, 3
2010:02:19, 4
2010:02:20, 1
2010:02:21, 43
2010:02:23, 1
2010:02:25, 1
2010:02:27, 3
2010:03:02, 1
2010:03:04, 8
2010:03:05, 2
2010:03:06, 2
2010:03:07, 9
2010:03:09, 3
2010:03:10, 2
2010:03:11, 2
2010:03:12, 5
2010:03:13, 9
2010:03:14, 9
2010:03:15, 3
2010:03:16, 4
2010:03:17, 6
2010:03:18, 3
2010:03:19, 26
2010:03:20, 20
2010:03:21, 16
2010:03:22, 1
2010:03:23, 1
2010:03:24, 9
2010:03:26, 2
2010:03:27, 3
2010:03:28, 1
