ifdg_GPSDateStamp ,Count
2011:12:14, 23
2011:12:15, 10
2011:12:16, 5
2011:12:17, 6
2011:12:18, 1
2011:12:19, 1
2011:12:20, 3
2011:12:21, 5
2011:12:22, 3
2011:12:23, 4
2011:12:24, 86
2011:12:25, 51
2011:12:26, 2
2011:12:27, 10
2011:12:29, 5
2011:12:30, 3
2011:12:31, 18
2012-03-08, 1
2012-06-26, 4
2012-07-20, 1
2012-11-13, 1
2012:01:01, 13
2012:01:01 0, 1
2012:01:02, 46
2012:01:03, 3
2012:01:04, 6
2012:01:05, 1
2012:01:06, 1
2012:01:07, 2
2012:01:09, 29
2012:01:10, 2
2012:01:11, 1
2012:01:12, 5
2012:01:13, 7
2012:01:14, 14
2012:01:15, 12
2012:01:16, 3
2012:01:17, 5
2012:01:18, 9
2012:01:19, 9
2012:01:20, 7
2012:01:21, 22
2012:01:22, 8
2012:01:23, 1
2012:01:24, 2
2012:01:25, 68
2012:01:26, 37
2012:01:27, 5
2012:01:28, 17
2012:01:29, 1
2012:01:30, 4
2012:01:31, 10
2012:02:01, 22
2012:02:02, 1
2012:02:03, 6
2012:02:04, 11
2012:02:05, 67
2012:02:06, 8
2012:02:07, 3
2012:02:08, 11
2012:02:09, 11
2012:02:10, 8
2012:02:11, 157
2012:02:12, 10
2012:02:13, 4
2012:02:14, 40
2012:02:15, 85
2012:02:16, 115
2012:02:17, 16
2012:02:18, 45
2012:02:19, 138
2012:02:20, 200
2012:02:21, 168
2012:02:22, 36
2012:02:23, 1
2012:02:24, 73
2012:02:25, 213
2012:02:26, 3
2012:02:27, 1
2012:02:28, 5
2012:02:29, 7
2012:03:01, 11
2012:03:02, 13
2012:03:03, 87
2012:03:04, 24
2012:03:05, 4
2012:03:06, 2
2012:03:07, 9
2012:03:08, 7
2012:03:09, 12
2012:03:10, 1
2012:03:11, 7
2012:03:12, 11
2012:03:13, 44
2012:03:14, 7
2012:03:15, 19
2012:03:16, 9
2012:03:17, 10
2012:03:18, 3
2012:03:20, 8
2012:03:21, 12
2012:03:22, 11
2012:03:23, 37
2012:03:24, 27
2012:03:25, 9
2012:03:26, 48
2012:03:27, 14
2012:03:28, 9
2012:03:29, 20
2012:03:30, 8
2012:03:31, 16
2012:04:01, 4
2012:04:02, 5
2012:04:03, 2
2012:04:04, 48
2012:04:05, 9
2012:04:06, 7
2012:04:07, 10
2012:04:08, 8
2012:04:09, 6
2012:04:10, 21
2012:04:11, 8
2012:04:12, 35
2012:04:13, 2
2012:04:14, 1
2012:04:15, 6
2012:04:16, 19
2012:04:17, 8
2012:04:18, 22
2012:04:19, 12
2012:04:20, 14
2012:04:21, 18
2012:04:22, 33
2012:04:23, 22
2012:04:24, 16
2012:04:25, 85
2012:04:26, 11
2012:04:27, 2
2012:04:28, 35
2012:04:29, 10
2012:04:30, 4
2012:05:01, 13
2012:05:02, 7
2012:05:03, 13
2012:05:04, 1
2012:05:05, 14
2012:05:06, 39
2012:05:07, 7
2012:05:08, 6
2012:05:09, 12
2012:05:10, 7
2012:05:11, 14
2012:05:12, 27
2012:05:13, 19
2012:05:14, 3
2012:05:15, 9
2012:05:16, 10
2012:05:17, 17
2012:05:18, 19
2012:05:19, 23
2012:05:20, 48
2012:05:21, 28
2012:05:22, 16
2012:05:23, 5
2012:05:24, 4
2012:05:25, 37
2012:05:26, 19
2012:05:27, 24
2012:05:28, 14
2012:05:29, 21
2012:05:30, 20
2012:05:31, 3
2012:06:01, 10
2012:06:02, 23
2012:06:03, 80
2012:06:04, 48
2012:06:05, 15
2012:06:06, 38
2012:06:07, 35
2012:06:08, 8
2012:06:09, 21
2012:06:10, 4
2012:06:11, 14
2012:06:12, 11
2012:06:13, 14
2012:06:14, 21
2012:06:15, 6
2012:06:16, 7
2012:06:17, 24
2012:06:18, 6
2012:06:19, 11
2012:06:20, 34
2012:06:21, 12
2012:06:22, 106
2012:06:23, 45
2012:06:24, 118
2012:06:25, 25
2012:06:26, 5
2012:06:27, 28
2012:06:28, 20
2012:06:29, 26
2012:06:30, 5
2012:07:01, 2
2012:07:02, 4
2012:07:03, 1
2012:07:04, 3
2012:07:05, 5
2012:07:06, 7
2012:07:07, 9
2012:07:08, 10
2012:07:09, 8
2012:07:10, 11
2012:07:11, 18
2012:07:12, 30
2012:07:13, 48
2012:07:14, 33
2012:07:15, 69
2012:07:16, 16
2012:07:17, 28
2012:07:18, 30
2012:07:19, 28
2012:07:20, 91
2012:07:21, 20
2012:07:22, 51
2012:07:23, 29
2012:07:24, 28
2012:07:25, 36
2012:07:26, 23
2012:07:27, 27
2012:07:28, 62
2012:07:29, 22
2012:07:30, 2
2012:07:31, 7
2012:08:01, 31
2012:08:02, 96
2012:08:03, 70
2012:08:04, 31
2012:08:05, 50
2012:08:06, 3
2012:08:08, 20
2012:08:09, 22
2012:08:10, 14
2012:08:11, 50
2012:08:12, 12
2012:08:13, 9
2012:08:14, 10
2012:08:15, 32
2012:08:16, 15
2012:08:17, 7
2012:08:18, 14
2012:08:19, 53
2012:08:20, 120
2012:08:21, 124
2012:08:22, 77
2012:08:23, 51
2012:08:24, 27
2012:08:25, 41
2012:08:26, 15
2012:08:27, 16
2012:08:28, 8
2012:08:29, 6
2012:08:30, 12
2012:08:31, 33
2012:09:01, 19
2012:09:02, 15
2012:09:03, 14
2012:09:04, 27
2012:09:05, 8
2012:09:06, 32
2012:09:07, 5
2012:09:08, 37
2012:09:09, 20
2012:09:10, 18
2012:09:11, 27
2012:09:12, 9
2012:09:13, 16
2012:09:14, 9
2012:09:15, 147
2012:09:16, 23
2012:09:17, 19
2012:09:18, 24
2012:09:19, 34
2012:09:20, 40
2012:09:21, 30
2012:09:22, 107
2012:09:23, 56
2012:09:24, 27
2012:09:25, 104
2012:09:26, 19
2012:09:27, 58
2012:09:28, 88
2012:09:29, 62
2012:09:30, 116
2012:10:01, 38
2012:10:02, 95
2012:10:03, 78
2012:10:04, 24
2012:10:05, 21
2012:10:06, 74
2012:10:07, 171
2012:10:08, 60
2012:10:09, 156
2012:10:10, 104
2012:10:11, 114
2012:10:12, 51
2012:10:13, 34
2012:10:14, 29
2012:10:15, 10
2012:10:16, 29
2012:10:17, 15
2012:10:18, 17
2012:10:19, 27
2012:10:20, 17
2012:10:21, 33
2012:10:22, 8
2012:10:23, 40
2012:10:24, 18
2012:10:25, 40
2012:10:26, 24
2012:10:27, 64
2012:10:28, 56
2012:10:29, 24
2012:10:30, 20
2012:10:31, 11
2012:11:01, 7
2012:11:02, 23
2012:11:03, 4
2012:11:04, 3
2012:11:05, 7
2012:11:06, 5
2012:11:07, 3
2012:11:08, 14
2012:11:09, 44
2012:11:10, 34
2012:11:11, 142
2012:11:12, 53
2012:11:13, 11
2012:11:14, 20
2012:11:15, 31
2012:11:16, 32
2012:11:17, 43
2012:11:18, 42
2012:11:19, 5
2012:11:20, 12
2012:11:21, 29
2012:11:22, 26
2012:11:23, 21
2012:11:24, 30
2012:11:25, 22
2012:11:26, 21
2012:11:27, 17
2012:11:28, 4
2012:11:29, 15
2012:11:30, 6
2012:12:01, 23
2012:12:02, 58
2012:12:03, 14
2012:12:04, 14
2012:12:05, 5
2012:12:06, 20
2012:12:07, 109
2012:12:08, 38
2012:12:09, 10
2012:12:10, 9
2012:12:11, 6
2012:12:12, 21
2012:12:13, 13
2012:12:14, 45
2012:12:15, 20
2012:12:16, 23
2012:12:17, 16
2012:12:18, 37
2012:12:19, 13
2012:12:20, 24
2012:12:21, 22
2012:12:22, 24
2012:12:23, 47
2012:12:24, 36
2012:12:25, 57
2012:12:26, 28
2012:12:27, 36
2012:12:28, 21
2012:12:29, 67
2012:12:30, 47
2012:12:31, 53
2013-04-20, 1
2013-08-21, 1
2013:01:01, 55
2013:01:02, 5
2013:01:03, 50
2013:01:04, 64
2013:01:05, 93
2013:01:06, 53
2013:01:07, 31
2013:01:08, 88
2013:01:09, 22
2013:01:10, 27
2013:01:11, 30
2013:01:12, 45
2013:01:13, 80
2013:01:14, 32
2013:01:15, 25
2013:01:16, 45
2013:01:17, 12
2013:01:18, 37
2013:01:19, 19
2013:01:20, 13
2013:01:21, 39
2013:01:22, 30
2013:01:23, 37
2013:01:24, 19
2013:01:25, 13
2013:01:26, 69
2013:01:27, 21
2013:01:28, 9
2013:01:29, 16
2013:01:30, 42
2013:01:31, 8
2013:02:01, 7
2013:02:02, 32
2013:02:03, 13
2013:02:04, 14
2013:02:05, 12
2013:02:06, 3
2013:02:07, 15
2013:02:08, 35
2013:02:09, 39
2013:02:10, 35
2013:02:11, 18
2013:02:12, 10
2013:02:13, 97
2013:02:14, 71
2013:02:15, 61
2013:02:16, 31
2013:02:17, 95
2013:02:18, 17
2013:02:19, 29
2013:02:20, 15
2013:02:21, 16
2013:02:22, 45
2013:02:23, 19
2013:02:24, 7
2013:02:25, 37
2013:02:26, 6
2013:02:27, 12
2013:02:28, 15
2013:03:01, 9
2013:03:02, 78
2013:03:03, 41
2013:03:04, 51
2013:03:05, 12
2013:03:06, 25
2013:03:07, 17
2013:03:08, 57
2013:03:09, 166
2013:03:10, 53
2013:03:11, 88
2013:03:12, 30
2013:03:13, 21
2013:03:14, 44
2013:03:15, 67
2013:03:16, 58
2013:03:17, 26
2013:03:18, 10
2013:03:19, 41
2013:03:20, 19
2013:03:21, 41
2013:03:22, 30
2013:03:23, 32
2013:03:24, 18
2013:03:25, 7
2013:03:26, 16
2013:03:27, 9
2013:03:28, 74
2013:03:29, 37
2013:03:30, 112
2013:03:31, 42
2013:04:01, 33
2013:04:02, 16
2013:04:03, 37
2013:04:04, 79
2013:04:05, 110
2013:04:06, 126
2013:04:07, 46
2013:04:08, 24
2013:04:09, 11
2013:04:10, 31
2013:04:11, 5
2013:04:12, 11
2013:04:13, 45
2013:04:14, 14
2013:04:15, 9
2013:04:16, 16
2013:04:17, 1
2013:04:18, 42
2013:04:19, 116
2013:04:20, 75
2013:04:21, 70
2013:04:22, 13
2013:04:23, 28
2013:04:24, 40
2013:04:25, 34
2013:04:26, 12
2013:04:27, 194
2013:04:28, 43
2013:04:29, 9
2013:04:30, 29
2013:05:01, 172
2013:05:02, 237
2013:05:03, 244
2013:05:04, 286
2013:05:05, 260
2013:05:06, 97
2013:05:07, 14
2013:05:08, 30
2013:05:09, 36
2013:05:10, 17
2013:05:11, 155
2013:05:12, 130
2013:05:13, 25
2013:05:14, 43
2013:05:15, 62
2013:05:16, 20
2013:05:17, 22
2013:05:18, 58
2013:05:19, 16
2013:05:20, 12
2013:05:21, 10
2013:05:22, 23
2013:05:23, 16
2013:05:24, 174
2013:05:25, 255
2013:05:26, 175
2013:05:27, 79
2013:05:28, 83
2013:05:29, 65
2013:05:30, 131
2013:05:31, 18
2013:06:01, 203
2013:06:02, 97
2013:06:03, 29
2013:06:04, 33
2013:06:05, 4
2013:06:06, 18
2013:06:07, 16
2013:06:08, 129
2013:06:09, 210
2013:06:10, 223
2013:06:11, 13
2013:06:12, 22
2013:06:13, 19
2013:06:14, 24
2013:06:15, 51
2013:06:16, 144
2013:06:17, 30
2013:06:18, 50
2013:06:19, 59
2013:06:20, 22
2013:06:21, 43
2013:06:22, 63
2013:06:23, 71
2013:06:24, 94
2013:06:25, 153
2013:06:26, 161
2013:06:27, 24
2013:06:28, 105
2013:06:29, 120
2013:06:30, 192
2013:07:01, 58
2013:07:02, 76
2013:07:03, 61
2013:07:04, 95
2013:07:05, 56
2013:07:06, 241
2013:07:07, 96
2013:07:08, 45
2013:07:09, 65
2013:07:10, 29
2013:07:11, 42
2013:07:12, 18
2013:07:13, 322
2013:07:14, 51
2013:07:15, 60
2013:07:16, 66
2013:07:17, 71
2013:07:18, 65
2013:07:19, 21
2013:07:20, 111
2013:07:21, 119
2013:07:22, 22
2013:07:23, 33
2013:07:24, 96
2013:07:25, 88
2013:07:26, 37
2013:07:27, 104
2013:07:28, 85
2013:07:29, 18
2013:07:30, 39
2013:07:31, 5
2013:08:01, 30
2013:08:02, 49
2013:08:03, 134
2013:08:04, 33
2013:08:05, 35
2013:08:06, 18
2013:08:07, 68
2013:08:08, 54
2013:08:09, 58
2013:08:10, 52
2013:08:11, 102
2013:08:12, 107
2013:08:13, 92
2013:08:14, 81
2013:08:15, 109
2013:08:16, 152
2013:08:17, 306
2013:08:18, 302
2013:08:19, 71
2013:08:20, 137
2013:08:21, 84
2013:08:22, 196
2013:08:23, 95
2013:08:24, 996
2013:08:25, 489
2013:08:26, 923
2013:08:27, 38
2013:08:28, 61
2013:08:29, 21
2013:08:30, 30
2013:08:31, 62
2013:09:01, 81
2013:09:02, 33
2013:09:03, 187
2013:09:04, 40
2013:09:05, 101
2013:09:06, 96
2013:09:07, 41
2013:09:08, 100
2013:09:09, 35
2013:09:10, 42
2013:09:11, 43
2013:09:12, 23
2013:09:13, 24
2013:09:14, 43
2013:09:15, 25
2013:09:16, 29
2013:09:17, 65
2013:09:18, 41
2013:09:19, 20
2013:09:20, 36
2013:09:21, 27
2013:09:22, 7
2013:09:23, 79
2013:09:24, 23
2013:09:25, 84
2013:09:26, 24
2013:09:27, 17
2013:09:28, 48
2013:09:29, 115
2013:09:30, 49
2013:10:01, 40
2013:10:02, 44
2013:10:03, 96
2013:10:04, 94
2013:10:05, 114
2013:10:06, 116
2013:10:07, 36
2013:10:08, 58
2013:10:09, 51
2013:10:10, 81
2013:10:11, 20
2013:10:12, 151
2013:10:13, 111
2013:10:14, 58
2013:10:15, 42
2013:10:16, 24
2013:10:17, 62
2013:10:18, 44
2013:10:19, 139
2013:10:20, 28
2013:10:21, 39
2013:10:22, 72
2013:10:23, 38
2013:10:24, 26
2013:10:25, 18
2013:10:26, 50
2013:10:27, 76
2013:10:28, 154
2013:10:29, 19
2013:10:30, 27
2013:10:31, 13
2013:11:01, 16
2013:11:02, 39
2013:11:03, 32
2013:11:04, 55
2013:11:05, 50
2013:11:06, 25
2013:11:07, 30
2013:11:08, 31
2013:11:09, 20
2013:11:10, 93
2013:11:11, 16
2013:11:12, 3
2013:11:13, 32
2013:11:14, 41
2013:11:15, 36
2013:11:16, 35
2013:11:17, 34
2013:11:18, 29
2013:11:19, 39
2013:11:20, 33
2013:11:21, 51
2013:11:22, 25
2013:11:23, 66
2013:11:24, 31
2013:11:25, 10
2013:11:26, 21
2013:11:27, 40
2013:11:28, 10
2013:11:29, 26
2013:11:30, 28
2013:12:01, 14
2013:12:02, 52
2013:12:03, 18
2013:12:04, 29
2013:12:05, 6
2013:12:06, 19
2013:12:07, 28
2013:12:08, 29
2013:12:09, 33
2013:12:10, 41
2013:12:11, 97
2013:12:12, 85
2013:12:13, 33
2013:12:14, 72
2013:12:15, 57
2013:12:16, 45
2013:12:17, 16
2013:12:18, 13
2013:12:19, 51
2013:12:20, 78
2013:12:21, 59
2013:12:22, 40
2013:12:23, 7
2013:12:24, 35
2013:12:25, 39
2013:12:26, 30
2013:12:27, 21
2013:12:28, 48
2013:12:29, 88
2013:12:30, 11
2013:12:31, 41
2014:01:01, 23
2014:01:02, 23
2014:01:03, 27
2014:01:04, 53
2014:01:05, 15
2014:01:06, 10
2014:01:07, 89
2014:01:08, 28
2014:01:09, 7
2014:01:10, 27
2014:01:11, 65
2014:01:12, 39
2014:01:13, 2
2014:01:14, 13
2014:01:15, 79
2014:01:16, 15
2014:01:17, 20
2014:01:18, 29
2014:01:19, 26
2014:01:20, 5
2014:01:21, 5
2014:01:22, 21
2014:01:23, 34
2014:01:24, 27
2014:01:25, 57
2014:01:26, 30
2014:01:27, 30
2014:01:28, 24
2014:01:29, 23
2014:01:30, 31
2014:01:31, 21
2014:02:01, 41
2014:02:02, 41
2014:02:03, 23
2014:02:04, 9
2014:02:05, 5
2014:02:06, 8
2014:02:07, 43
2014:02:08, 9
2014:02:09, 22
2014:02:10, 23
2014:02:11, 34
2014:02:12, 29
2014:02:13, 21
2014:02:14, 13
2014:02:15, 64
2014:02:16, 149
2014:02:17, 54
2014:02:18, 51
2014:02:19, 48
2014:02:20, 32
2014:02:21, 72
2014:02:22, 63
2014:02:23, 13
2014:02:24, 36
2014:02:25, 11
2014:02:26, 14
2014:02:27, 6
2014:02:28, 6
2014:03:01, 15
2014:03:02, 11
2014:03:03, 30
2014:03:04, 15
2014:03:05, 8
2014:03:06, 21
2014:03:07, 17
2014:03:08, 33
2014:03:09, 36
2014:03:10, 5
2014:03:11, 13
2014:03:12, 18
2014:03:13, 8
2014:03:14, 12
2014:03:15, 87
2014:03:16, 50
2014:03:17, 16
2014:03:18, 15
2014:03:19, 19
2014:03:20, 25
2014:03:21, 54
2014:03:22, 104
2014:03:23, 57
2014:03:24, 19
2014:03:25, 33
2014:03:26, 38
2014:03:27, 63
2014:03:28, 66
2014:03:29, 20
2014:03:30, 41
2014:03:31, 7
2014:04:01, 25
2014:04:02, 9
2014:04:03, 3
2014:04:04, 5
2014:04:05, 9
2014:04:06, 18
2014:04:07, 14
2014:04:08, 9
2014:04:09, 43
2014:04:10, 51
2014:04:11, 25
2014:04:12, 125
2014:04:13, 120
2014:04:14, 30
2014:04:15, 26
2014:04:16, 23
2014:04:17, 9
2014:04:18, 14
2014:04:19, 64
2014:04:20, 40
2014:04:21, 61
2014:04:22, 17
2014:04:23, 3
2014:04:24, 11
2014:04:25, 42
2014:04:26, 63
2014:04:27, 43
2014:04:28, 6
2014:04:29, 18
2014:04:30, 24
2014:05:01, 84
2014:05:02, 54
2014:05:03, 72
2014:05:04, 97
2014:05:05, 59
2014:05:06, 55
2014:05:07, 59
2014:05:08, 34
2014:05:09, 73
2014:05:10, 59
2014:05:11, 54
2014:05:12, 11
2014:05:13, 44
2014:05:14, 39
2014:05:15, 78
2014:05:16, 34
2014:05:17, 104
2014:05:18, 124
2014:05:19, 50
2014:05:20, 12
2014:05:21, 32
2014:05:22, 8
2014:05:23, 9
2014:05:24, 45
2014:05:25, 45
2014:05:26, 41
2014:05:27, 4
2014:05:28, 40
2014:05:29, 35
2014:05:30, 40
2014:05:31, 47
2014:06:01, 88
2014:06:02, 39
2014:06:03, 83
2014:06:04, 37
2014:06:05, 47
2014:06:06, 19
2014:06:07, 142
2014:06:08, 60
2014:06:09, 60
2014:06:10, 12
2014:06:11, 19
2014:06:12, 23
2014:06:13, 55
2014:06:14, 35
2014:06:15, 22
2014:06:16, 40
2014:06:17, 24
2014:06:18, 8
2014:06:19, 23
2014:06:20, 32
2014:06:21, 20
2014:06:22, 26
2014:06:23, 17
2014:06:24, 26
2014:06:25, 13
2014:06:26, 35
2014:06:27, 42
2014:06:28, 41
2014:06:29, 23
2014:06:30, 13
2014:07:01, 52
2014:07:02, 44
2014:07:03, 19
2014:07:04, 25
2014:07:05, 66
2014:07:06, 81
2014:07:07, 38
2014:07:08, 14
2014:07:09, 16
2014:07:10, 21
2014:07:11, 61
2014:07:12, 50
2014:07:13, 111
2014:07:14, 34
2014:07:15, 9
2014:07:16, 17
2014:07:17, 19
2014:07:18, 30
2014:07:19, 59
2014:07:20, 43
2014:07:21, 2
2014:07:22, 37
2014:07:23, 28
2014:07:24, 22
2014:07:25, 9
2014:07:26, 88
2014:07:27, 67
2014:07:28, 21
2014:07:29, 59
2014:07:30, 103
2014:07:31, 52
2014:08:01, 39
2014:08:02, 75
2014:08:03, 25
2014:08:04, 7
2014:08:05, 46
2014:08:06, 33
2014:08:07, 30
2014:08:08, 41
2014:08:09, 50
2014:08:10, 5
2014:08:11, 43
2014:08:12, 14
2014:08:13, 10
2014:08:14, 16
2014:08:15, 10
2014:08:16, 14
2014:08:17, 82
2014:08:18, 3
2014:08:19, 1
2014:08:20, 11
2014:08:22, 24
2014:08:23, 8
2014:08:24, 4
2014:08:25, 3
2014:08:26, 36
2014:08:27, 38
2014:08:28, 18
2014:08:29, 11
2014:08:30, 99
2014:08:31, 46
2014:09:02, 9
2014:09:03, 7
2014:09:04, 10
2014:09:05, 11
2014:09:06, 16
2014:09:07, 4
2014:09:08, 5
2014:09:09, 7
2014:09:10, 35
2014:09:11, 7
2014:09:12, 6
2014:09:13, 11
2014:09:14, 47
2014:09:15, 26
2014:09:16, 13
2014:09:17, 20
2014:09:18, 39
2014:09:19, 12
2014:09:20, 36
2014:09:21, 15
2014:09:22, 4
2014:09:23, 4
2014:09:24, 33
2014:09:25, 17
2014:09:252, 5
2014:09:255, 1
2014:09:26, 24
2014:09:262, 1
2014:09:263, 15
2014:09:264, 1
2014:09:265, 23
2014:09:266, 32
2014:09:267, 24
2014:09:268, 28
2014:09:269, 34
2014:09:27, 23
2014:09:270, 33
2014:09:271, 60
2014:09:272, 59
2014:09:273, 41
2014:09:28, 45
2014:09:29, 10
2014:09:30, 6
2014:10:01, 14
2014:10:02, 1
2014:10:03, 25
2014:10:04, 8
2014:10:05, 28
2014:10:06, 22
2014:10:07, 13
2014:10:08, 11
2014:10:09, 16
2014:10:10, 72
2014:10:11, 9
2014:10:12, 14
2014:10:13, 88
2014:10:14, 28
2014:10:15, 1
2014:10:16, 9
2014:10:17, 22
2014:10:18, 113
2014:10:19, 74
2014:10:20, 9
2014:10:21, 3
2014:10:22, 8
2014:10:23, 36
2014:10:24, 50
2014:10:25, 50
2014:10:26, 31
2014:10:27, 44
2014:10:274, 49
2014:10:275, 85
2014:10:276, 34
2014:10:277, 107
2014:10:278, 40
2014:10:279, 22
2014:10:28, 25
2014:10:280, 19
2014:10:281, 25
2014:10:282, 31
2014:10:283, 15
2014:10:284, 30
2014:10:285, 17
2014:10:286, 37
2014:10:287, 32
2014:10:288, 28
2014:10:289, 23
2014:10:29, 60
2014:10:290, 40
2014:10:291, 104
2014:10:292, 42
2014:10:293, 26
2014:10:294, 99
2014:10:295, 128
2014:10:296, 51
2014:10:297, 16
2014:10:298, 27
2014:10:299, 8
2014:10:30, 48
2014:10:300, 3
2014:10:301, 4
2014:10:302, 3
2014:10:303, 10
2014:10:304, 7
2014:10:31, 113
2014:11:01, 89
2014:11:02, 142
2014:11:03, 55
2014:11:04, 149
2014:11:05, 55
2014:11:06, 65
2014:11:07, 111
2014:11:08, 108
2014:11:09, 45
2014:11:10, 31
2014:11:11, 14
2014:11:12, 24
2014:11:13, 50
2014:11:14, 57
2014:11:15, 63
2014:11:16, 86
2014:11:17, 26
2014:11:18, 33
2014:11:19, 60
2014:11:20, 80
2014:11:21, 119
2014:11:22, 113
2014:11:23, 89
2014:11:24, 22
2014:11:25, 50
2014:11:26, 82
2014:11:27, 123
2014:11:28, 61
2014:11:29, 77
2014:11:30, 77
2014:11:305, 31
2014:11:306, 7
2014:11:307, 14
2014:11:308, 2
2014:11:309, 3
2014:11:310, 2
2014:11:311, 1
2014:11:313, 1
2014:11:325, 10
2014:11:327, 20
2014:12:01, 33
2014:12:02, 31
2014:12:03, 14
2014:12:04, 17
2014:12:05, 94
2014:12:06, 66
2014:12:07, 66
2014:12:08, 40
2014:12:09, 26
2014:12:10, 29
2014:12:11, 33
2014:12:12, 20
2014:12:13, 132
2014:12:14, 145
2014:12:15, 134
2014:12:16, 41
2014:12:17, 49
2014:12:18, 32
2014:12:19, 102
2014:12:20, 76
2014:12:21, 98
2014:12:22, 60
2014:12:23, 49
2014:12:24, 41
2014:12:25, 164
2014:12:26, 40
2014:12:27, 145
2014:12:28, 101
2014:12:29, 26
2014:12:30, 23
2014:12:31, 151
2014:12:335, 1
2014:12:336, 1
2014:12:338, 1
2014:12:339, 6
2014:12:354, 2
2015-01-05, 1
2015:01:01, 75
2015:01:02, 106
2015:01:03, 151
2015:01:04, 141
2015:01:05, 42
2015:01:06, 107
2015:01:07, 31
2015:01:08, 64
2015:01:09, 76
2015:01:10, 121
2015:01:11, 29
2015:01:12, 15
2015:01:13, 10
2015:01:14, 25
2015:01:15, 21
2015:01:16, 54
2015:01:17, 32
2015:01:18, 44
2015:01:19, 53
2015:01:20, 30
2015:01:21, 36
2015:01:22, 52
2015:01:23, 24
2015:01:24, 124
2015:01:25, 111
2015:01:26, 74
2015:01:27, 75
2015:01:28, 82
2015:01:29, 90
2015:01:30, 26
2015:01:31, 36
2015:02:01, 44
2015:02:02, 16
2015:02:03, 25
2015:02:04, 21
2015:02:05, 62
2015:02:06, 31
2015:02:07, 61
2015:02:08, 54
2015:02:09, 58
2015:02:10, 15
2015:02:11, 26
2015:02:12, 148
2015:02:13, 32
2015:02:14, 77
2015:02:15, 77
2015:02:16, 68
2015:02:17, 124
2015:02:18, 89
2015:02:19, 72
2015:02:20, 66
2015:02:21, 64
2015:02:22, 105
2015:02:23, 63
2015:02:24, 35
2015:02:25, 148
2015:02:26, 113
2015:02:27, 200
2015:02:28, 126
2015:02:51, 11
2015:02:52, 1
2015:02:53, 1
2015:03:01, 92
2015:03:02, 29
2015:03:03, 46
2015:03:04, 30
2015:03:05, 40
2015:03:06, 73
2015:03:07, 68
2015:03:08, 41
2015:03:09, 50
2015:03:10, 24
2015:03:11, 52
2015:03:12, 13
2015:03:13, 20
2015:03:14, 154
2015:03:15, 19
2015:03:16, 31
2015:03:17, 21
2015:03:18, 42
2015:03:19, 21
2015:03:20, 24
2015:03:21, 87
2015:03:22, 82
2015:03:23, 21
2015:03:24, 7
2015:03:25, 117
2015:03:26, 68
2015:03:27, 41
2015:03:28, 63
2015:03:29, 51
2015:03:30, 12
2015:03:31, 4
2015:04:01, 13
2015:04:02, 6
2015:04:03, 30
2015:04:04, 35
2015:04:05, 36
2015:04:06, 2
2015:12:364, 1
2017:01:20, 1
2017:04:16, 1
2017:07:20, 1
2017:10:17, 1
2018:01:01, 1
2018:01:03, 1
2018:10:30, 1
2018:11:15, 1
2018:11:22, 1
2020:01:19, 1
2020:05:12, 1
2020:05:15, 9
2021:08:05, 1
2022:10:21, 1
2022:10:22, 1
2024:10:18, 1
2025:03:04, 1
2025:08:23, 1
2027:09:09, 1
2030:02:14, 1
2030:03:30, 1
2030:11:03, 1
2031:05:31, 1
2035:03:12, 1
2037:12:03, 1
2038:01:19, 7
46556:05:2, 1
46594:03:0, 1
46594:10:0, 1
