ifds_ExposureIndex2 ,Count
, 1380560
0/1, 181
1/1, 212
116/1, 1
125/1, 2
160/1, 3
38/1, 4
39/1, 1
400/1, 1
41/1, 1
65/1, 1
80/1, 26
800/1, 1
