ifd1_JpegIFOffset ,Count
@ +0x2190 = @ 0x219C, 38
@ +0x2192 = @ 0x219E, 4
@ +0x2193 = @ 0x219F, 92
@ +0x2194 = @ 0x21A0, 17
@ +0x2198 = @ 0x21A4, 2
@ +0x219C = @ 0x21A8, 17
@ +0x219E = @ 0x21AA, 2
@ +0x219E = @ 0x21BC, 46
@ +0x21A0 = @ 0x21AC, 2
@ +0x21A2 = @ 0x21AE, 2
@ +0x21A2 = @ 0x21C0, 165
@ +0x21A4 = @ 0x21B0, 10
@ +0x21A8 = @ 0x21B4, 3
@ +0x21AC = @ 0x21B8, 13
@ +0x21AC = @ 0x21CA, 105
@ +0x21AE = @ 0x21BA, 2
@ +0x21B0 = @ 0x21BC, 3
@ +0x21B2 = @ 0x21BE, 3
@ +0x21B2 = @ 0x21D0, 25
@ +0x21B8 = @ 0x21C4, 4
@ +0x21B8 = @ 0x21D6, 14
@ +0x21BA = @ 0x21C6, 2
@ +0x21BC = @ 0x21C8, 2
@ +0x21C4 = @ 0x21D0, 181
@ +0x21C8 = @ 0x21D4, 3
@ +0x21C8 = @ 0x243F, 117
@ +0x21CC = @ 0x21D8, 3
@ +0x21CC = @ 0x21EA, 6
@ +0x21CE = @ 0x21DA, 2
@ +0x21D0 = @ 0x21DC, 24
@ +0x21D6 = @ 0x21E2, 1
@ +0x21D8 = @ 0x21E4, 17
@ +0x21D8 = @ 0x21F6, 2
@ +0x21DA = @ 0x21E6, 1
@ +0x21DC = @ 0x21E8, 1
@ +0x21E0 = @ 0x21EC, 4
@ +0x21E2 = @ 0x21EE, 3
@ +0x21E6 = @ 0x2204, 1
@ +0x21E8 = @ 0x21F4, 2
@ +0x21EC = @ 0x21F8, 3
@ +0x21EE = @ 0x21FA, 2
@ +0x21F0 = @ 0x21FC, 2
@ +0x21F4 = @ 0x2200, 15994
@ +0x21F4 = @ 0x2212, 37
@ +0x21F6 = @ 0x2202, 231
@ +0x21FA = @ 0x2206, 1
@ +0x21FC = @ 0x2208, 1
@ +0x2200 = @ 0x220C, 4
@ +0x2206 = @ 0x2212, 235
@ +0x2206 = @ 0x2224, 1
@ +0x2208 = @ 0x2214, 1
@ +0x220A = @ 0x2216, 1
@ +0x220C = @ 0x2218, 1
@ +0x2212 = @ 0x2230, 2
@ +0x2214 = @ 0x2220, 3
@ +0x2216 = @ 0x2222, 1
@ +0x2216 = @ 0x2234, 1
@ +0x221A = @ 0x2226, 2
@ +0x221C = @ 0x2228, 1
@ +0x221C = @ 0x223A, 2
@ +0x221E = @ 0x222A, 1
@ +0x2220 = @ 0x222C, 14478
@ +0x2220 = @ 0x223E, 107
@ +0x2222 = @ 0x222E, 62
@ +0x2222 = @ 0x2240, 7
@ +0x2223 = @ 0x222F, 1
@ +0x2224 = @ 0x2242, 54
@ +0x2228 = @ 0x2234, 1
@ +0x222A = @ 0x2236, 1
@ +0x222A = @ 0x2248, 10
@ +0x2230 = @ 0x223C, 3
@ +0x2230 = @ 0x224E, 2
@ +0x2234 = @ 0x2240, 1100
@ +0x2234 = @ 0x2252, 33
@ +0x2238 = @ 0x2244, 1
@ +0x2238 = @ 0x2256, 29
@ +0x223A = @ 0x2246, 1
@ +0x223C = @ 0x2248, 1
@ +0x223C = @ 0x225A, 3
@ +0x223E = @ 0x225C, 62
@ +0x2240 = @ 0x224C, 18
@ +0x2244 = @ 0x2250, 1
@ +0x2246 = @ 0x2264, 122
@ +0x2248 = @ 0x2266, 2
@ +0x224C = @ 0x2258, 70
@ +0x224C = @ 0x226A, 3
@ +0x2254 = @ 0x2272, 6
@ +0x2258 = @ 0x2264, 2
@ +0x225C = @ 0x2268, 1
@ +0x225E = @ 0x226A, 6
@ +0x2260 = @ 0x227E, 34
@ +0x2264 = @ 0x2282, 12
@ +0x2268 = @ 0x2274, 1
@ +0x226C = @ 0x2278, 1
@ +0x226D = @ 0x228B, 1
@ +0x2270 = @ 0x228E, 1
@ +0x2272 = @ 0x227E, 1
@ +0x2278 = @ 0x2296, 1
@ +0x2284 = @ 0x2290, 1
@ +0x2286 = @ 0x2292, 43
@ +0x228B = @ 0x22A9, 2
@ +0x228C = @ 0x2298, 2
@ +0x228E = @ 0x229A, 1
@ +0x2296 = @ 0x22A2, 26
@ +0x2296 = @ 0x22B4, 75
@ +0x22A7 = @ 0x22B3, 1
@ +0x22AC = @ 0x22CA, 96
@ +0x22AE = @ 0x22BA, 1
@ +0x22B0 = @ 0x22BC, 199
@ +0x22B0 = @ 0x22CE, 25
@ +0x22B1 = @ 0x22BD, 1
@ +0x22B2 = @ 0x22BE, 2
@ +0x22B4 = @ 0x22C0, 2
@ +0x22B5 = @ 0x22C1, 8
@ +0x22B6 = @ 0x22C2, 1
@ +0x22B8 = @ 0x22C4, 2
@ +0x22B9 = @ 0x22C5, 3
@ +0x22BA = @ 0x22C6, 2
@ +0x22BB = @ 0x22C7, 2
@ +0x22BC = @ 0x22C8, 4
@ +0x22BE = @ 0x22CA, 1
@ +0x22BF = @ 0x22CB, 2
@ +0x22C0 = @ 0x22CC, 1
@ +0x22C1 = @ 0x22CD, 1
@ +0x22C2 = @ 0x22CE, 2
@ +0x22C3 = @ 0x22CF, 1
@ +0x22C4 = @ 0x22D0, 1
@ +0x22C4 = @ 0x22E2, 4
@ +0x22C5 = @ 0x22D1, 1
@ +0x22C6 = @ 0x22D2, 2
@ +0x22C6 = @ 0x22E4, 1
@ +0x22C8 = @ 0x22D4, 1
@ +0x22CA = @ 0x22D6, 3
@ +0x22CC = @ 0x22D8, 1
@ +0x22CD = @ 0x22D9, 2
@ +0x22CE = @ 0x22DA, 2
@ +0x22D0 = @ 0x22DC, 1
@ +0x22D1 = @ 0x22DD, 31
@ +0x22D4 = @ 0x22E0, 127
@ +0x22D5 = @ 0x22E1, 23
@ +0x22DB = @ 0x22E7, 1
@ +0x22DC = @ 0x22E8, 1
@ +0x22E5 = @ 0x22F1, 29
@ +0x22E6 = @ 0x22F2, 1
@ +0x22F2 = @ 0x22FE, 4
@ +0x22F4 = @ 0x2300, 3
@ +0x22F6 = @ 0x2302, 85
@ +0x22FA = @ 0x2306, 1
@ +0x22FE = @ 0x230A, 1
@ +0x2302 = @ 0x230E, 2
@ +0x2308 = @ 0x2314, 195
@ +0x230E = @ 0x231A, 1
@ +0x2310 = @ 0x231C, 6
@ +0x2312 = @ 0x231E, 1
@ +0x2314 = @ 0x2320, 1594
@ +0x2314 = @ 0x2332, 34
@ +0x2318 = @ 0x2324, 1
@ +0x231A = @ 0x2326, 27
@ +0x231E = @ 0x232A, 1
@ +0x2322 = @ 0x232E, 1
@ +0x2329 = @ 0x2335, 2
@ +0x232A = @ 0x2336, 27
@ +0x2332 = @ 0x233E, 23
@ +0x2336 = @ 0x2342, 1
@ +0x233C = @ 0x2348, 5
@ +0x233E = @ 0x234A, 179
@ +0x233E = @ 0x235C, 42
@ +0x2340 = @ 0x234C, 2
@ +0x2340 = @ 0x235E, 1
@ +0x2344 = @ 0x2350, 1
@ +0x2346 = @ 0x2352, 1
@ +0x2348 = @ 0x2354, 172
@ +0x234A = @ 0x2356, 2
@ +0x2350 = @ 0x235C, 12
@ +0x2352 = @ 0x235E, 148
@ +0x2354 = @ 0x2360, 1
@ +0x2356 = @ 0x2362, 12
@ +0x235C = @ 0x2368, 1
@ +0x235E = @ 0x236A, 1
@ +0x2362 = @ 0x236E, 1
@ +0x236A = @ 0x2376, 1
@ +0x236A = @ 0x2388, 151
@ +0x236C = @ 0x2378, 1
@ +0x236E = @ 0x237A, 1
@ +0x236E = @ 0x238C, 1
@ +0x2370 = @ 0x237C, 1
@ +0x2376 = @ 0x2382, 53
@ +0x2376 = @ 0x2394, 18
@ +0x2378 = @ 0x2396, 11
@ +0x237A = @ 0x2386, 27
@ +0x237A = @ 0x2398, 4
@ +0x237C = @ 0x2388, 16
@ +0x237E = @ 0x238A, 2
@ +0x2382 = @ 0x238E, 1
@ +0x2383 = @ 0x238F, 1
@ +0x2384 = @ 0x2390, 3
@ +0x2386 = @ 0x23A4, 12
@ +0x2390 = @ 0x239C, 3
@ +0x2390 = @ 0x23AE, 12
@ +0x2398 = @ 0x23A4, 22
@ +0x239A = @ 0x23B8, 1
@ +0x239E = @ 0x23AA, 4
@ +0x23A2 = @ 0x23AE, 1
@ +0x23A4 = @ 0x23C2, 6
@ +0x23A5 = @ 0x23B1, 1
@ +0x23A7 = @ 0x23B3, 4
@ +0x23AC = @ 0x23B8, 568
@ +0x23AC = @ 0x23CA, 38
@ +0x23AE = @ 0x23BA, 2
@ +0x23BE = @ 0x23CA, 2
@ +0x23C2 = @ 0x23CE, 1
@ +0x23C2 = @ 0x23E0, 1
@ +0x23C4 = @ 0x23D0, 58
@ +0x23C4 = @ 0x23E2, 4
@ +0x23C6 = @ 0x23D2, 2
@ +0x23C8 = @ 0x23D4, 1
@ +0x23CA = @ 0x23D6, 1
@ +0x23CE = @ 0x23DA, 1
@ +0x23D0 = @ 0x23DC, 1
@ +0x23DC = @ 0x23E8, 19
@ +0x23E4 = @ 0x23F0, 1
@ +0x23EA = @ 0x2408, 1
@ +0x23EC = @ 0x23F8, 14
@ +0x23EE = @ 0x23FA, 1
@ +0x23F0 = @ 0x23FC, 2
@ +0x23F4 = @ 0x2400, 4325
@ +0x23F4 = @ 0x2412, 93
@ +0x2400 = @ 0x240C, 14
@ +0x2402 = @ 0x240E, 1
@ +0x2402 = @ 0x2420, 7
@ +0x2404 = @ 0x2410, 2
@ +0x240A = @ 0x2428, 7
@ +0x240E = @ 0x241A, 1
@ +0x2410 = @ 0x242E, 101
@ +0x2414 = @ 0x2420, 1
@ +0x2416 = @ 0x2422, 2
@ +0x241C = @ 0x2428, 1
@ +0x2420 = @ 0x242C, 3
@ +0x2425 = @ 0x2431, 1
@ +0x242A = @ 0x2436, 1
@ +0x242C = @ 0x2438, 59
@ +0x242F = @ 0x244D, 1
@ +0x2432 = @ 0x243E, 1
@ +0x2433 = @ 0x2451, 8
@ +0x2434 = @ 0x2440, 1
@ +0x2436 = @ 0x2442, 6
@ +0x2437 = @ 0x2443, 4
@ +0x2438 = @ 0x2444, 1
@ +0x243A = @ 0x2446, 9
@ +0x243A = @ 0x2458, 9
@ +0x2440 = @ 0x244C, 1
@ +0x2440 = @ 0x245E, 40
@ +0x2442 = @ 0x2460, 95
@ +0x2444 = @ 0x2450, 1
@ +0x2444 = @ 0x2462, 5
@ +0x2446 = @ 0x2452, 2
@ +0x2446 = @ 0x2464, 43
@ +0x244A = @ 0x2456, 1
@ +0x244C = @ 0x2458, 1
@ +0x244E = @ 0x245A, 1
@ +0x2450 = @ 0x245C, 1
@ +0x2452 = @ 0x245E, 59
@ +0x2452 = @ 0x2470, 2
@ +0x2454 = @ 0x2460, 3
@ +0x245A = @ 0x2466, 2
@ +0x245C = @ 0x2468, 619
@ +0x245C = @ 0x247A, 138
@ +0x245E = @ 0x246A, 99
@ +0x2460 = @ 0x246C, 175
@ +0x2460 = @ 0x247E, 97
@ +0x2462 = @ 0x246E, 16
@ +0x2464 = @ 0x2470, 1
@ +0x2466 = @ 0x2472, 180
@ +0x2466 = @ 0x2484, 10
@ +0x2468 = @ 0x2474, 14
@ +0x2468 = @ 0x2486, 9
@ +0x2469 = @ 0x2475, 5
@ +0x2469 = @ 0x2487, 99
@ +0x246A = @ 0x2476, 265
@ +0x246A = @ 0x2488, 4
@ +0x246B = @ 0x2477, 1
@ +0x246C = @ 0x248A, 20
@ +0x246E = @ 0x247A, 155
@ +0x246E = @ 0x248C, 7
@ +0x2470 = @ 0x247C, 1
@ +0x2471 = @ 0x247D, 15
@ +0x2472 = @ 0x247E, 44
@ +0x2472 = @ 0x2490, 94
@ +0x2473 = @ 0x247F, 4
@ +0x2476 = @ 0x2482, 5
@ +0x2478 = @ 0x2484, 1
@ +0x247A = @ 0x2486, 5
@ +0x247C = @ 0x2488, 3
@ +0x247E = @ 0x248A, 54
@ +0x247E = @ 0x249C, 185
@ +0x2480 = @ 0x248C, 1
@ +0x2484 = @ 0x2490, 2
@ +0x2486 = @ 0x2492, 21
@ +0x2486 = @ 0x24A4, 44
@ +0x2487 = @ 0x24A5, 11
@ +0x2488 = @ 0x24A6, 24
@ +0x248C = @ 0x2498, 5
@ +0x248C = @ 0x24AA, 2
@ +0x248E = @ 0x249A, 1
@ +0x248F = @ 0x249B, 9
@ +0x2490 = @ 0x249C, 3
@ +0x2491 = @ 0x249D, 62
@ +0x2491 = @ 0x24AF, 89
@ +0x2492 = @ 0x249E, 19
@ +0x2493 = @ 0x249F, 1
@ +0x2494 = @ 0x24A0, 37
@ +0x2495 = @ 0x24A1, 7
@ +0x2496 = @ 0x24A2, 88
@ +0x2497 = @ 0x24A3, 71
@ +0x2498 = @ 0x24A4, 288
@ +0x2498 = @ 0x24B6, 14
@ +0x249A = @ 0x24A6, 11
@ +0x249A = @ 0x24B8, 23
@ +0x249C = @ 0x24A8, 3540
@ +0x249C = @ 0x24BA, 151
@ +0x249E = @ 0x24AA, 124
@ +0x249F = @ 0x24BD, 2
@ +0x24A0 = @ 0x24AC, 8521
@ +0x24A0 = @ 0x24BE, 245
@ +0x24A2 = @ 0x24AE, 1
@ +0x24A2 = @ 0x24C0, 67
@ +0x24A4 = @ 0x24B0, 5176
@ +0x24A4 = @ 0x24C2, 3
@ +0x24A6 = @ 0x24B2, 1
@ +0x24A6 = @ 0x24C4, 42
@ +0x24AA = @ 0x24B6, 6
@ +0x24AA = @ 0x24C8, 9
@ +0x24B0 = @ 0x24BC, 1
@ +0x24B0 = @ 0x24CE, 1
@ +0x24B2 = @ 0x24BE, 1
@ +0x24B4 = @ 0x24C0, 1
@ +0x24B6 = @ 0x24C2, 1
@ +0x24BE = @ 0x24CA, 29
@ +0x24C0 = @ 0x24CC, 1
@ +0x24C4 = @ 0x24D0, 1
@ +0x24C8 = @ 0x24D4, 4
@ +0x24CE = @ 0x24DA, 1
@ +0x24D0 = @ 0x24DC, 79
@ +0x24D4 = @ 0x24E0, 3083
@ +0x24D4 = @ 0x24F2, 5
@ +0x24D6 = @ 0x24E2, 1
@ +0x24D8 = @ 0x24E4, 1
@ +0x24DA = @ 0x24E6, 1
@ +0x24DC = @ 0x24E8, 1
@ +0x24DE = @ 0x24EA, 1
@ +0x24E0 = @ 0x24EC, 1
@ +0x24E6 = @ 0x24F2, 1
@ +0x24E8 = @ 0x2506, 7
@ +0x24EC = @ 0x24F8, 1
@ +0x24EF = @ 0x24FB, 3
@ +0x24F0 = @ 0x24FC, 1
@ +0x24F4 = @ 0x2500, 675
@ +0x24F6 = @ 0x2502, 6
@ +0x2502 = @ 0x250E, 1
@ +0x250C = @ 0x2518, 2
@ +0x250E = @ 0x252C, 5
@ +0x2512 = @ 0x251E, 1
@ +0x251A = @ 0x2526, 1
@ +0x2522 = @ 0x252E, 1
@ +0x2525 = @ 0x2531, 2
@ +0x2526 = @ 0x2532, 1
@ +0x252A = @ 0x2536, 2
@ +0x252C = @ 0x2538, 13
@ +0x2536 = @ 0x2542, 1
@ +0x2538 = @ 0x2544, 137
@ +0x253A = @ 0x2546, 2
@ +0x253C = @ 0x2548, 66
@ +0x2540 = @ 0x254C, 2
@ +0x2542 = @ 0x254E, 1
@ +0x2544 = @ 0x2550, 42
@ +0x2546 = @ 0x2552, 1
@ +0x2548 = @ 0x2554, 90
@ +0x254C = @ 0x2558, 95
@ +0x254C = @ 0x256A, 2
@ +0x254E = @ 0x255A, 1
@ +0x2552 = @ 0x255E, 7
@ +0x2554 = @ 0x2560, 72
@ +0x2556 = @ 0x2562, 2
@ +0x2558 = @ 0x2564, 66
@ +0x2558 = @ 0x2576, 6
@ +0x255E = @ 0x256A, 1
@ +0x2568 = @ 0x2574, 427
@ +0x2568 = @ 0x2586, 8
@ +0x2569 = @ 0x2575, 118
@ +0x256A = @ 0x2576, 13
@ +0x256C = @ 0x258A, 8
@ +0x2574 = @ 0x2580, 68
@ +0x2574 = @ 0x2592, 102
@ +0x257E = @ 0x258A, 6
@ +0x2580 = @ 0x258C, 1
@ +0x2584 = @ 0x2590, 1
@ +0x2586 = @ 0x2592, 2
@ +0x258E = @ 0x259A, 1
@ +0x258E = @ 0x25AC, 2
@ +0x2592 = @ 0x25B0, 14
@ +0x2594 = @ 0x25A0, 8535
@ +0x2594 = @ 0x25B2, 109
@ +0x259C = @ 0x25A8, 1
@ +0x259E = @ 0x25AA, 42
@ +0x259E = @ 0x25BC, 16
@ +0x25A4 = @ 0x25B0, 1
@ +0x25AA = @ 0x25B6, 1
@ +0x25AA = @ 0x25C8, 5
@ +0x25AE = @ 0x25CC, 9
@ +0x25B0 = @ 0x25BC, 11629
@ +0x25B0 = @ 0x25CE, 276
@ +0x25B0 = @ 0x25DC, 1
@ +0x25B4 = @ 0x25C0, 225
@ +0x25B8 = @ 0x25C4, 1
@ +0x25BA = @ 0x25C6, 1
@ +0x25C4 = @ 0x25D0, 682
@ +0x25C6 = @ 0x25D2, 1
@ +0x25C6 = @ 0x25E4, 7
@ +0x25C8 = @ 0x25D4, 1
@ +0x25CC = @ 0x25D8, 1
@ +0x25D6 = @ 0x25E2, 1
@ +0x25D8 = @ 0x25E4, 150
@ +0x25DC = @ 0x25E8, 41
@ +0x25E8 = @ 0x25F4, 1
@ +0x25EA = @ 0x25F6, 3
@ +0x25EE = @ 0x25FA, 44
@ +0x25F2 = @ 0x25FE, 269
@ +0x25F4 = @ 0x2600, 30236
@ +0x25F4 = @ 0x2612, 1614
@ +0x25F4 = @ 0x2616, 1
@ +0x25F8 = @ 0x2604, 2
@ +0x25FA = @ 0x2606, 2
@ +0x25FA = @ 0x2618, 5
@ +0x25FC = @ 0x2608, 1
@ +0x25FE = @ 0x260A, 1
@ +0x2602 = @ 0x260E, 2
@ +0x2603 = @ 0x2621, 2
@ +0x2604 = @ 0x2610, 35
@ +0x2606 = @ 0x2612, 49
@ +0x260A = @ 0x2616, 31
@ +0x260C = @ 0x2618, 271
@ +0x260E = @ 0x261A, 38
@ +0x2610 = @ 0x261C, 1
@ +0x2612 = @ 0x261E, 22
@ +0x2614 = @ 0x2620, 82
@ +0x2618 = @ 0x2624, 8
@ +0x261C = @ 0x2628, 1
@ +0x2620 = @ 0x262C, 112
@ +0x2624 = @ 0x2630, 1794
@ +0x2624 = @ 0x2642, 19
@ +0x2626 = @ 0x2632, 1
@ +0x2628 = @ 0x2634, 7450
@ +0x2628 = @ 0x2646, 6
@ +0x262C = @ 0x2638, 1
@ +0x262E = @ 0x263A, 9
@ +0x2638 = @ 0x2644, 1
@ +0x2638 = @ 0x2656, 154
@ +0x263A = @ 0x2646, 194
@ +0x263A = @ 0x2658, 9
@ +0x263C = @ 0x2648, 61
@ +0x263E = @ 0x264A, 1
@ +0x2640 = @ 0x264C, 1097
@ +0x2640 = @ 0x265E, 33
@ +0x2644 = @ 0x2650, 507
@ +0x2648 = @ 0x2666, 31
@ +0x2650 = @ 0x265C, 5
@ +0x2660 = @ 0x266C, 1
@ +0x2664 = @ 0x2670, 1
@ +0x266A = @ 0x2676, 1
@ +0x266C = @ 0x2678, 1
@ +0x2670 = @ 0x267C, 2
@ +0x2676 = @ 0x2682, 1
@ +0x267E = @ 0x268A, 1
@ +0x2682 = @ 0x26A0, 1
@ +0x2684 = @ 0x2690, 1
@ +0x2686 = @ 0x2692, 1
@ +0x268C = @ 0x2698, 2
@ +0x268E = @ 0x269A, 1
@ +0x2690 = @ 0x269C, 1
@ +0x2696 = @ 0x26A2, 1
@ +0x2696 = @ 0x26B4, 1
@ +0x2698 = @ 0x26A4, 1
@ +0x269C = @ 0x26A8, 1
@ +0x26A0 = @ 0x26AC, 1
@ +0x26A2 = @ 0x26AE, 2
@ +0x26A4 = @ 0x26B0, 1
@ +0x26A8 = @ 0x26B4, 1
@ +0x26AC = @ 0x26B8, 1
@ +0x26B0 = @ 0x26CE, 1
@ +0x26B4 = @ 0x26C0, 2
@ +0x26B6 = @ 0x26C2, 3
@ +0x26B8 = @ 0x26C4, 1
@ +0x26BA = @ 0x26C6, 1
@ +0x26BC = @ 0x26C8, 1
@ +0x26BE = @ 0x26CA, 1
@ +0x26C0 = @ 0x26CC, 3
@ +0x26C2 = @ 0x26CE, 2
@ +0x26C4 = @ 0x26D0, 98
@ +0x26C6 = @ 0x26D2, 2
@ +0x26CC = @ 0x26D8, 1
@ +0x26D0 = @ 0x26DC, 1
@ +0x26D2 = @ 0x26DE, 2
@ +0x26D6 = @ 0x26E2, 2
@ +0x26DA = @ 0x26E6, 1
@ +0x26DC = @ 0x26E8, 4
@ +0x26DE = @ 0x26EA, 4
@ +0x26DE = @ 0x26FC, 1
@ +0x26E0 = @ 0x26EC, 5
@ +0x26E2 = @ 0x26EE, 3
@ +0x26E4 = @ 0x26F0, 251
@ +0x26E8 = @ 0x26F4, 1
@ +0x26E8 = @ 0x2706, 1
@ +0x26EC = @ 0x26F8, 1
@ +0x26EC = @ 0x270A, 1
@ +0x26EE = @ 0x26FA, 1
@ +0x26F0 = @ 0x26FC, 2
@ +0x26F2 = @ 0x26FE, 1
@ +0x26F4 = @ 0x2700, 1
@ +0x26F8 = @ 0x2704, 3
@ +0x26FA = @ 0x2706, 4
@ +0x26FC = @ 0x2708, 3
@ +0x26FE = @ 0x270A, 1
@ +0x2702 = @ 0x270E, 2
@ +0x2704 = @ 0x2710, 3
@ +0x2704 = @ 0x2722, 1
@ +0x270A = @ 0x2716, 1
@ +0x270E = @ 0x271A, 1
@ +0x270E = @ 0x272C, 1
@ +0x270F = @ 0x271B, 1
@ +0x2710 = @ 0x271C, 2
@ +0x2712 = @ 0x271E, 2
@ +0x2714 = @ 0x2720, 3
@ +0x2718 = @ 0x2724, 3
@ +0x271A = @ 0x2726, 1
@ +0x2720 = @ 0x272C, 329
@ +0x2720 = @ 0x273E, 1
@ +0x2722 = @ 0x272E, 2
@ +0x2724 = @ 0x2730, 1
@ +0x2726 = @ 0x2732, 2
@ +0x2726 = @ 0x2744, 1
@ +0x2728 = @ 0x2734, 1
@ +0x2728 = @ 0x2746, 1
@ +0x272A = @ 0x2736, 2
@ +0x272C = @ 0x2738, 1
@ +0x272E = @ 0x273A, 2
@ +0x2730 = @ 0x273C, 1
@ +0x2732 = @ 0x2750, 1
@ +0x2734 = @ 0x2740, 5
@ +0x2738 = @ 0x2744, 4
@ +0x273A = @ 0x2746, 1
@ +0x273C = @ 0x2748, 4
@ +0x273E = @ 0x274A, 2
@ +0x2740 = @ 0x274C, 1
@ +0x2742 = @ 0x274E, 29
@ +0x2744 = @ 0x2750, 2
@ +0x2746 = @ 0x2752, 1
@ +0x274A = @ 0x2756, 23
@ +0x274A = @ 0x2768, 30
@ +0x274C = @ 0x2758, 1
@ +0x274E = @ 0x275A, 14
@ +0x274E = @ 0x276C, 3
@ +0x2750 = @ 0x275C, 44
@ +0x2754 = @ 0x2760, 1
@ +0x2756 = @ 0x2762, 1
@ +0x2758 = @ 0x2764, 1
@ +0x275A = @ 0x2766, 34
@ +0x275A = @ 0x2778, 1
@ +0x275C = @ 0x2768, 2
@ +0x275E = @ 0x276A, 2
@ +0x275E = @ 0x277C, 1
@ +0x2760 = @ 0x276C, 2
@ +0x2762 = @ 0x276E, 1
@ +0x2764 = @ 0x2770, 1
@ +0x2766 = @ 0x2772, 19
@ +0x2768 = @ 0x2774, 2
@ +0x276A = @ 0x2776, 1
@ +0x276C = @ 0x2778, 2
@ +0x2772 = @ 0x277E, 1
@ +0x2774 = @ 0x2780, 1066
@ +0x2774 = @ 0x2792, 174
@ +0x2776 = @ 0x2782, 1
@ +0x2778 = @ 0x2784, 119
@ +0x2778 = @ 0x2796, 1
@ +0x277A = @ 0x2786, 2
@ +0x277C = @ 0x2788, 1
@ +0x277C = @ 0x279A, 1
@ +0x277E = @ 0x278A, 1
@ +0x2780 = @ 0x278C, 1
@ +0x2780 = @ 0x279E, 1
@ +0x2782 = @ 0x278E, 3
@ +0x2786 = @ 0x2792, 21
@ +0x2786 = @ 0x27A4, 1
@ +0x2788 = @ 0x2794, 1
@ +0x2790 = @ 0x279C, 1
@ +0x2794 = @ 0x27A0, 6449
@ +0x2794 = @ 0x27B2, 96
@ +0x2796 = @ 0x27A2, 2
@ +0x2798 = @ 0x27A4, 2
@ +0x279A = @ 0x27A6, 2
@ +0x279E = @ 0x27AA, 5
@ +0x27A0 = @ 0x27BE, 1
@ +0x27A2 = @ 0x27AE, 1
@ +0x27A4 = @ 0x27B0, 2
@ +0x27AE = @ 0x27BA, 2
@ +0x27AE = @ 0x27CC, 4
@ +0x27B0 = @ 0x27BC, 2
@ +0x27B2 = @ 0x27BE, 33
@ +0x27B4 = @ 0x27C0, 1245
@ +0x27B6 = @ 0x27C2, 1
@ +0x27C2 = @ 0x27CE, 1
@ +0x27C4 = @ 0x27D0, 3
@ +0x27CC = @ 0x27D8, 1
@ +0x27D0 = @ 0x27DC, 21
@ +0x27D2 = @ 0x27DE, 3
@ +0x27D7 = @ 0x27F5, 6
@ +0x27D8 = @ 0x27F6, 3
@ +0x27DC = @ 0x27E8, 1
@ +0x27DE = @ 0x27EA, 1
@ +0x27E2 = @ 0x27EE, 1
@ +0x27E4 = @ 0x27F0, 1
@ +0x27E6 = @ 0x27F2, 3
@ +0x27EA = @ 0x27F6, 1
@ +0x27EC = @ 0x27F8, 2
@ +0x27EC = @ 0x280A, 8
@ +0x27F0 = @ 0x27FC, 1
@ +0x27F2 = @ 0x27FE, 1
@ +0x27F2 = @ 0x2810, 1
@ +0x27F4 = @ 0x2800, 59
@ +0x27F6 = @ 0x2814, 1
@ +0x27FA = @ 0x2806, 1
@ +0x27FE = @ 0x280A, 1
@ +0x2802 = @ 0x280E, 1
@ +0x280C = @ 0x2818, 2
@ +0x280E = @ 0x281A, 26
@ +0x2810 = @ 0x281C, 1
@ +0x2812 = @ 0x281E, 1
@ +0x2816 = @ 0x2822, 21
@ +0x2818 = @ 0x2824, 3
@ +0x281E = @ 0x282A, 2
@ +0x2820 = @ 0x282C, 2
@ +0x2822 = @ 0x282E, 1
@ +0x2824 = @ 0x2830, 2
@ +0x2826 = @ 0x2832, 1
@ +0x2828 = @ 0x2834, 1
@ +0x282C = @ 0x2838, 1
@ +0x2830 = @ 0x283C, 3
@ +0x2836 = @ 0x2842, 1
@ +0x283A = @ 0x2858, 1
@ +0x283E = @ 0x284A, 1
@ +0x284C = @ 0x2858, 13222
@ +0x284C = @ 0x286A, 83
@ +0x2858 = @ 0x2864, 14
@ +0x285A = @ 0x2866, 2
@ +0x285C = @ 0x2868, 1
@ +0x285E = @ 0x287C, 20
@ +0x2860 = @ 0x286C, 88
@ +0x2864 = @ 0x2870, 1
@ +0x2866 = @ 0x2872, 293
@ +0x2866 = @ 0x2884, 1
@ +0x2868 = @ 0x2874, 1
@ +0x286A = @ 0x2876, 5
@ +0x286C = @ 0x2878, 51
@ +0x286C = @ 0x288A, 1
@ +0x286E = @ 0x287A, 1
@ +0x2870 = @ 0x287C, 1
@ +0x2872 = @ 0x287E, 2
@ +0x2876 = @ 0x2882, 4
@ +0x2878 = @ 0x2884, 1
@ +0x287C = @ 0x2888, 4
@ +0x2880 = @ 0x288C, 1
@ +0x2882 = @ 0x288E, 20
@ +0x288A = @ 0x2896, 2
@ +0x288C = @ 0x2898, 1
@ +0x288D = @ 0x2899, 1
@ +0x288E = @ 0x289A, 16
@ +0x288E = @ 0x28AC, 1
@ +0x2892 = @ 0x289E, 1
@ +0x289E = @ 0x28AA, 1
@ +0x28A0 = @ 0x28AC, 1
@ +0x28AE = @ 0x28BA, 1
@ +0x28B2 = @ 0x28BE, 2
@ +0x28B6 = @ 0x28C2, 1
@ +0x28B8 = @ 0x28C4, 11
@ +0x28BC = @ 0x28C8, 2
@ +0x28C2 = @ 0x28CE, 38
