ifd1_JpegIFOffset ,Count
@ +0x01D5 = @ 0x01F3, 10
@ +0x01D6 = @ 0x01E2, 205
@ +0x01D7 = @ 0x01E3, 1
@ +0x01D8 = @ 0x01E4, 1
@ +0x01DA = @ 0x01E6, 7
@ +0x01DC = @ 0x01E8, 3
@ +0x01DD = @ 0x01E9, 3
@ +0x01DE = @ 0x01EA, 2
@ +0x01DE = @ 0x01FC, 8
@ +0x01E0 = @ 0x01EC, 664
@ +0x01E0 = @ 0x01FE, 13
@ +0x01E2 = @ 0x01EE, 601
@ +0x01E2 = @ 0x0200, 2
@ +0x01E4 = @ 0x01F0, 1
@ +0x01E6 = @ 0x01F2, 58
@ +0x01E6 = @ 0x0204, 30
@ +0x01E7 = @ 0x01F3, 1
@ +0x01E8 = @ 0x01F4, 41
@ +0x01E9 = @ 0x01F5, 186
@ +0x01EA = @ 0x01F6, 228
@ +0x01EC = @ 0x01F8, 11
@ +0x01EE = @ 0x020C, 163
@ +0x01F0 = @ 0x01FC, 32
@ +0x01F0 = @ 0x020E, 31
@ +0x01F1 = @ 0x01FD, 1
@ +0x01F2 = @ 0x01FE, 24
@ +0x01F4 = @ 0x0200, 278
@ +0x01F4 = @ 0x0212, 1
@ +0x01F5 = @ 0x0201, 1
@ +0x01F6 = @ 0x0202, 26
@ +0x01F6 = @ 0x0214, 12
@ +0x01F8 = @ 0x0204, 80
@ +0x01FA = @ 0x0206, 15
@ +0x01FB = @ 0x0207, 26
@ +0x01FC = @ 0x0208, 126
@ +0x01FC = @ 0x021A, 3
@ +0x01FE = @ 0x020A, 234
@ +0x0200 = @ 0x020C, 19
@ +0x0202 = @ 0x020E, 29
@ +0x0204 = @ 0x0210, 9
@ +0x0206 = @ 0x0212, 141
@ +0x0206 = @ 0x0224, 161
@ +0x0207 = @ 0x0213, 300
@ +0x0208 = @ 0x0214, 2652
@ +0x0208 = @ 0x0226, 35
@ +0x020A = @ 0x0216, 711
@ +0x020A = @ 0x0228, 22
@ +0x020C = @ 0x0218, 77
@ +0x020C = @ 0x022A, 5
@ +0x020D = @ 0x0219, 159
@ +0x020E = @ 0x021A, 1193
@ +0x020E = @ 0x022C, 37
@ +0x020F = @ 0x021B, 1
@ +0x0210 = @ 0x021C, 2
@ +0x0212 = @ 0x021E, 150
@ +0x0214 = @ 0x0220, 61
@ +0x0216 = @ 0x0222, 372
@ +0x0216 = @ 0x0234, 3
@ +0x0217 = @ 0x0223, 1
@ +0x0218 = @ 0x0224, 2
@ +0x021A = @ 0x0226, 12
@ +0x021A = @ 0x0238, 1
@ +0x021C = @ 0x0228, 135
@ +0x021E = @ 0x022A, 35
@ +0x021F = @ 0x022B, 64
@ +0x0220 = @ 0x022C, 18
@ +0x0222 = @ 0x022E, 53
@ +0x0224 = @ 0x0230, 78
@ +0x0224 = @ 0x0242, 8
@ +0x0225 = @ 0x0231, 12
@ +0x0226 = @ 0x0232, 470
@ +0x0226 = @ 0x0244, 6
@ +0x0228 = @ 0x0234, 621
@ +0x0228 = @ 0x0246, 1
@ +0x022A = @ 0x0236, 8
@ +0x022C = @ 0x0238, 4
@ +0x022C = @ 0x024A, 6
@ +0x022E = @ 0x023A, 132
@ +0x022F = @ 0x023B, 6
@ +0x0230 = @ 0x023C, 1406
@ +0x0230 = @ 0x024E, 124
@ +0x0231 = @ 0x023D, 651
@ +0x0231 = @ 0x024F, 17
@ +0x0232 = @ 0x023E, 246
@ +0x0232 = @ 0x0250, 2
@ +0x0234 = @ 0x0240, 724
@ +0x0234 = @ 0x0252, 6
@ +0x0236 = @ 0x0242, 63
@ +0x0236 = @ 0x0254, 1
@ +0x0238 = @ 0x0244, 169
@ +0x023A = @ 0x0246, 257
@ +0x023A = @ 0x0258, 6
@ +0x023C = @ 0x0248, 738
@ +0x023E = @ 0x024A, 150
@ +0x023E = @ 0x025C, 2
@ +0x0240 = @ 0x024C, 86
@ +0x0240 = @ 0x025E, 7
@ +0x0241 = @ 0x024D, 12
@ +0x0242 = @ 0x024E, 155
@ +0x0242 = @ 0x0260, 21
@ +0x0243 = @ 0x024F, 88
@ +0x0244 = @ 0x0250, 142
@ +0x0245 = @ 0x0251, 152
@ +0x0246 = @ 0x0252, 202
@ +0x0246 = @ 0x0264, 1
@ +0x0247 = @ 0x0253, 1
@ +0x0248 = @ 0x0254, 813
@ +0x0248 = @ 0x0266, 2
@ +0x024A = @ 0x0256, 31
@ +0x024B = @ 0x0257, 4
@ +0x024C = @ 0x0258, 8
@ +0x024E = @ 0x025A, 1385
@ +0x024E = @ 0x026C, 16
@ +0x0250 = @ 0x025C, 405
@ +0x0250 = @ 0x026E, 1
@ +0x0251 = @ 0x025D, 2
@ +0x0252 = @ 0x025E, 410
@ +0x0254 = @ 0x0260, 43
@ +0x0256 = @ 0x0262, 183
@ +0x0257 = @ 0x0263, 1
@ +0x0258 = @ 0x0264, 41
@ +0x0258 = @ 0x0276, 1
@ +0x0259 = @ 0x0265, 4
@ +0x025A = @ 0x0266, 117
@ +0x025A = @ 0x0278, 30
@ +0x025C = @ 0x0268, 38
@ +0x025D = @ 0x0269, 1
@ +0x025E = @ 0x026A, 54
@ +0x0260 = @ 0x026C, 395
@ +0x0260 = @ 0x027E, 2
@ +0x0262 = @ 0x026E, 451
@ +0x0264 = @ 0x0270, 189
@ +0x0264 = @ 0x0282, 19
@ +0x0266 = @ 0x0272, 388
@ +0x0266 = @ 0x0284, 4
@ +0x0268 = @ 0x0274, 498
@ +0x0268 = @ 0x0286, 13
@ +0x0269 = @ 0x0275, 263
@ +0x026A = @ 0x0276, 4
@ +0x026C = @ 0x0278, 1587
@ +0x026E = @ 0x027A, 30
@ +0x026E = @ 0x028C, 34
@ +0x026F = @ 0x027B, 19
@ +0x026F = @ 0x028D, 1
@ +0x0270 = @ 0x027C, 62
@ +0x0272 = @ 0x027E, 174
@ +0x0274 = @ 0x0280, 114
@ +0x0275 = @ 0x0281, 2
@ +0x0275 = @ 0x0293, 66
@ +0x0276 = @ 0x0282, 239
@ +0x0278 = @ 0x0284, 48
@ +0x027A = @ 0x0286, 106
@ +0x027C = @ 0x0288, 478
@ +0x027C = @ 0x029A, 17
@ +0x027D = @ 0x0289, 11
@ +0x027E = @ 0x028A, 651
@ +0x027E = @ 0x029C, 2
@ +0x027F = @ 0x028B, 109
@ +0x0280 = @ 0x028C, 153
@ +0x0280 = @ 0x029E, 102
@ +0x0282 = @ 0x028E, 156
@ +0x0284 = @ 0x0290, 150
@ +0x0284 = @ 0x02A2, 1
@ +0x0285 = @ 0x0291, 1
@ +0x0286 = @ 0x0292, 88
@ +0x0288 = @ 0x0294, 111
@ +0x0288 = @ 0x02A6, 1
@ +0x0289 = @ 0x0295, 43
@ +0x028A = @ 0x0296, 306
@ +0x028B = @ 0x0297, 3
@ +0x028C = @ 0x0298, 446
@ +0x028C = @ 0x02AA, 58
@ +0x028E = @ 0x029A, 660
@ +0x028E = @ 0x02AC, 26
@ +0x0290 = @ 0x029C, 1381
@ +0x0290 = @ 0x02AE, 53
@ +0x0291 = @ 0x029D, 2
@ +0x0292 = @ 0x029E, 710
@ +0x0292 = @ 0x02B0, 1
@ +0x0293 = @ 0x02B1, 1
@ +0x0294 = @ 0x02A0, 153
@ +0x0294 = @ 0x02B2, 21
@ +0x0295 = @ 0x02A1, 1
@ +0x0295 = @ 0x02B3, 6
@ +0x0296 = @ 0x02A2, 186
@ +0x0296 = @ 0x02B4, 22
@ +0x0296 = @ 0x07B0, 1
@ +0x0298 = @ 0x02A4, 709
@ +0x0298 = @ 0x02B6, 1
@ +0x029A = @ 0x02A6, 351
@ +0x029A = @ 0x02B8, 4
@ +0x029B = @ 0x02A7, 5
@ +0x029C = @ 0x02A8, 1303
@ +0x029C = @ 0x02BA, 1
@ +0x029E = @ 0x02AA, 1378
@ +0x029E = @ 0x02BC, 72
@ +0x029F = @ 0x02AB, 1
@ +0x02A0 = @ 0x02AC, 592
@ +0x02A0 = @ 0x02BE, 135
@ +0x02A1 = @ 0x02AD, 8
@ +0x02A2 = @ 0x02AE, 606
@ +0x02A3 = @ 0x02AF, 71
@ +0x02A3 = @ 0x02C1, 8
@ +0x02A4 = @ 0x02B0, 3875
@ +0x02A4 = @ 0x02C2, 147
@ +0x02A5 = @ 0x02B1, 157
@ +0x02A6 = @ 0x02B2, 760
@ +0x02A6 = @ 0x02C4, 59
@ +0x02A7 = @ 0x02B3, 23
@ +0x02A8 = @ 0x02B4, 548
@ +0x02A8 = @ 0x02C6, 3
@ +0x02A8 = @ 0x25E2, 1
@ +0x02AA = @ 0x02B6, 1757
@ +0x02AA = @ 0x02C8, 14
@ +0x02AB = @ 0x02B7, 1
@ +0x02AC = @ 0x02B8, 629
@ +0x02AC = @ 0x02CA, 58
@ +0x02AD = @ 0x02B9, 20
@ +0x02AE = @ 0x02BA, 1581
@ +0x02AE = @ 0x02CC, 118
@ +0x02B0 = @ 0x02BC, 1581
@ +0x02B0 = @ 0x02CE, 52
@ +0x02B1 = @ 0x02BD, 166
@ +0x02B2 = @ 0x02BE, 633
@ +0x02B4 = @ 0x02C0, 409
@ +0x02B4 = @ 0x02D2, 326
@ +0x02B6 = @ 0x02C2, 1296
@ +0x02B6 = @ 0x02D4, 166
@ +0x02B7 = @ 0x02C3, 4
@ +0x02B8 = @ 0x02C4, 1039
@ +0x02B8 = @ 0x02D6, 17
@ +0x02B9 = @ 0x02C5, 122
@ +0x02BA = @ 0x02C6, 866
@ +0x02BB = @ 0x02C7, 8
@ +0x02BC = @ 0x02C8, 487
@ +0x02BC = @ 0x02DA, 88
@ +0x02BE = @ 0x02CA, 1179
@ +0x02BE = @ 0x02DC, 1
@ +0x02BF = @ 0x02CB, 27
@ +0x02C0 = @ 0x02CC, 475
@ +0x02C0 = @ 0x02DE, 128
@ +0x02C1 = @ 0x04F7, 12
@ +0x02C2 = @ 0x02CE, 224
@ +0x02C2 = @ 0x02E0, 18
@ +0x02C3 = @ 0x02CF, 42
@ +0x02C4 = @ 0x02D0, 341
@ +0x02C4 = @ 0x02E2, 2
@ +0x02C5 = @ 0x02D1, 1
@ +0x02C6 = @ 0x02D2, 416
@ +0x02C6 = @ 0x02E4, 3
@ +0x02C7 = @ 0x02D3, 16
@ +0x02C8 = @ 0x02D4, 183
@ +0x02C9 = @ 0x02D5, 13
@ +0x02CA = @ 0x02D6, 241
@ +0x02CA = @ 0x02E8, 1
@ +0x02CB = @ 0x02D7, 5
@ +0x02CC = @ 0x02D8, 250
@ +0x02CC = @ 0x02EA, 37
@ +0x02CE = @ 0x02DA, 52
@ +0x02CE = @ 0x02EC, 23
@ +0x02CF = @ 0x02DB, 42
@ +0x02D0 = @ 0x02DC, 203
@ +0x02D1 = @ 0x02DD, 30
@ +0x02D2 = @ 0x02DE, 104
@ +0x02D2 = @ 0x02F0, 77
@ +0x02D4 = @ 0x02E0, 52
@ +0x02D4 = @ 0x02F2, 12
@ +0x02D5 = @ 0x02E1, 32
