ifds_ExposureTime ,Count
1/1258 s, 8
1/12584 s, 5
1/1259 s, 27
1/126 s, 108
1/1260 s, 17
1/1261 s, 136
1/1262 s, 4
1/1263 s, 3
1/1264 s, 10
1/1265 s, 5
1/1266 s, 2
1/1268 s, 13
1/1269 s, 2
1/127 s, 127
1/1270 s, 3
1/1271 s, 4
1/1272 s, 9
1/1273 s, 4
1/1274 s, 4
1/1275 s, 2
1/1276 s, 38
1/1278 s, 32
1/1279 s, 2
1/128 s, 280
1/1280 s, 31
1/1281 s, 20
1/1282 s, 62
1/1284 s, 96
1/1286 s, 1
1/1287 s, 8
1/1288 s, 12
1/129 s, 122
1/1290 s, 108
1/1291 s, 1
1/1292 s, 9
1/12944 s, 1
1/1295 s, 5
1/1296 s, 8
1/12960 s, 1
1/1297 s, 8
1/1298 s, 8
1/1299 s, 1
1/13 s, 6362
1/130 s, 113
1/1300 s, 39
1/1301 s, 3
1/1302 s, 7
1/1303 s, 1
1/1304 s, 19
1/1305 s, 8
1/1307 s, 1
1/13071 s, 3
1/1308 s, 10
1/1309 s, 5
1/131 s, 104
1/1310 s, 2
1/1311 s, 5
1/1312 s, 176
1/1313 s, 1
1/1314 s, 106
1/1315 s, 13
1/1316 s, 11
1/1317 s, 1
1/1318 s, 7
1/1319 s, 26
1/132 s, 115
1/1320 s, 21
1/1321 s, 1
1/1322 s, 2
1/1323 s, 327
1/1324 s, 24
1/1325 s, 34
1/1326 s, 10
1/1328 s, 7
1/1329 s, 3
1/133 s, 169
1/1330 s, 7
1/1331 s, 1
1/1332 s, 7
1/1333 s, 15
1/13333 s, 24
1/1334 s, 1
1/1335 s, 1
1/1336 s, 9
1/1337 s, 1
1/1338 s, 1
1/1339 s, 1
1/134 s, 101
1/1340 s, 19
1/1341 s, 2
1/1342 s, 4
1/1344 s, 9
1/13440 s, 1
1/1346 s, 108
1/1347 s, 4
1/1348 s, 16
1/135 s, 123
1/1350 s, 2
1/1351 s, 28
1/1352 s, 11
1/1353 s, 4
1/13536 s, 1
1/1354 s, 2
1/1355 s, 133
1/1356 s, 11
1/13568 s, 1
1/1357 s, 5
1/1358 s, 5
1/136 s, 153
1/1360 s, 4
1/1361 s, 1
1/1362 s, 1
1/1364 s, 39
1/1366 s, 1
1/1368 s, 59
1/1369 s, 7
1/13699 s, 25
1/137 s, 240
1/1370 s, 63
1/1371 s, 168
1/1372 s, 7
1/1373 s, 1
1/1374 s, 28
1/1375 s, 3
1/1376 s, 8
1/1377 s, 2
1/1379 s, 6
1/138 s, 93
1/1380 s, 9
1/1381 s, 120
1/1382 s, 2
1/1383 s, 2
1/1384 s, 10
1/1385 s, 2
1/1386 s, 2
1/1388 s, 11
1/13889 s, 9
1/1389 s, 1
1/139 s, 120
1/1390 s, 1
1/1391 s, 122
1/1392 s, 12
1/1393 s, 1
1/1394 s, 1
1/1395 s, 2
1/1396 s, 10
1/1397 s, 3
1/1398 s, 4
1/1399 s, 9
1/14 s, 460
1/140 s, 144
1/1400 s, 28
1/1401 s, 1
1/1402 s, 1
1/1403 s, 4
1/1404 s, 11
1/1406 s, 1
1/1408 s, 24
1/1409 s, 4
1/141 s, 118
1/1410 s, 15
1/1411 s, 5
1/1412 s, 44
1/1413 s, 7
1/1414 s, 56
1/1415 s, 1
1/1416 s, 124
1/1418 s, 28
1/142 s, 119
1/1420 s, 6
1/14208 s, 1
1/1421 s, 1
1/1422 s, 2
1/1423 s, 2
1/1424 s, 8
1/1425 s, 1
1/1426 s, 1
1/1427 s, 152
1/1428 s, 36
1/14285 s, 1
1/1429 s, 16
1/143 s, 146
1/1430 s, 7
1/1431 s, 9
1/1432 s, 7
1/1433 s, 3
1/1436 s, 184
1/1437 s, 6
1/1438 s, 1
1/1439 s, 13
1/144 s, 77
1/1440 s, 8
1/1441 s, 1
1/1443 s, 1
1/1444 s, 9
1/1445 s, 3
1/1447 s, 1
1/1448 s, 4
1/1449 s, 30
1/145 s, 97
1/1451 s, 12
1/1452 s, 9
1/1453 s, 119
1/1454 s, 2
