ifds_ExposureTime ,Count
10/2238 s, 8
10/2239 s, 3
10/224 s, 13
10/2240 s, 14
10/2241 s, 2
10/2242 s, 6
10/2243 s, 6
10/2244 s, 8
10/2245 s, 3
10/2246 s, 11
10/2247 s, 6
10/2248 s, 4
10/2249 s, 5
10/225 s, 16
10/2250 s, 13
10/22500 s, 2
10/2251 s, 3
10/2252 s, 10
10/2253 s, 5
10/2254 s, 8
10/2255 s, 7
10/2256 s, 18
10/2257 s, 1
10/2258 s, 7
10/2259 s, 5
10/226 s, 66
10/2260 s, 8
10/2261 s, 6
10/2262 s, 6
10/2263 s, 1
10/2264 s, 7
10/2265 s, 1
10/2266 s, 5
10/2267 s, 4
10/2268 s, 5
10/227 s, 8
10/2270 s, 7
10/2271 s, 1
10/2272 s, 9
10/2273 s, 2
10/2274 s, 6
10/2276 s, 8
10/2277 s, 3
10/2279 s, 4
10/228 s, 38
10/2280 s, 5
10/2281 s, 6
10/2282 s, 2
10/2283 s, 9
10/22831 s, 1
10/2284 s, 3
10/2285 s, 5
10/2286 s, 6
10/2287 s, 4
10/2288 s, 4
10/2289 s, 10
10/229 s, 2
10/2290 s, 5
10/2292 s, 2
10/2293 s, 20
10/2294 s, 1
10/2295 s, 4
10/2296 s, 3
10/2297 s, 2
10/2298 s, 2
10/22988 s, 1
10/23 s, 62
10/230 s, 56
10/2300 s, 58
10/23000 s, 1
10/2301 s, 2
10/2302 s, 4
10/2303 s, 2
10/2304 s, 2
10/23040 s, 1
10/23041 s, 1
10/2306 s, 2
10/2308 s, 3
10/2309 s, 3
10/231 s, 10
10/2310 s, 5
10/2311 s, 5
10/2312 s, 3
10/2313 s, 1
10/2314 s, 9
10/23148 s, 2
10/2315 s, 3
10/2316 s, 3
10/2318 s, 10
10/2319 s, 6
10/232 s, 17
10/2320 s, 3
10/2321 s, 6
10/2322 s, 6
10/2323 s, 11
10/2324 s, 4
10/2325 s, 7
10/2326 s, 3
10/2327 s, 14
10/2328 s, 1
10/2329 s, 6
10/233 s, 13
10/2331 s, 5
10/2332 s, 5
10/2333 s, 1
10/2334 s, 10
10/2335 s, 4
10/2336 s, 9
10/2337 s, 4
10/2338 s, 1
10/2339 s, 1
10/234 s, 7
10/2340 s, 8
10/2341 s, 2
10/2342 s, 1
10/23420 s, 3
10/2343 s, 7
10/2344 s, 6
10/2345 s, 3
10/2346 s, 3
10/2347 s, 16
10/2348 s, 8
10/2349 s, 3
10/235 s, 14
10/2350 s, 21
10/2351 s, 5
10/2352 s, 5
10/2354 s, 7
10/2355 s, 4
10/2356 s, 5
10/2357 s, 2
10/2358 s, 7
10/2359 s, 2
10/236 s, 12
10/2360 s, 7
10/2361 s, 3
10/2362 s, 4
10/2364 s, 6
10/2365 s, 8
10/2366 s, 2
10/2367 s, 8
10/2368 s, 1
10/2369 s, 10
10/237 s, 14
10/2370 s, 9
10/2371 s, 6
10/2373 s, 7
10/2374 s, 5
10/2375 s, 2
10/2376 s, 5
10/2377 s, 5
10/2378 s, 1
10/2379 s, 6
10/238 s, 12
10/2380 s, 21
10/23809 s, 1
10/23810 s, 3
10/2382 s, 4
10/2383 s, 10
10/2384 s, 7
10/2385 s, 4
10/2386 s, 1
10/2387 s, 7
10/23870 s, 1
10/2388 s, 2
10/2389 s, 1
10/239 s, 7
10/2390 s, 3
10/2391 s, 2
10/2393 s, 1
10/2394 s, 17
10/2396 s, 2
10/2398 s, 13
10/2399 s, 1
10/24 s, 35
10/240 s, 65
10/2400 s, 751
10/24000 s, 12
10/2401 s, 2
10/2403 s, 1
10/2406 s, 1
10/2407 s, 1
10/2408 s, 1
10/2409 s, 1
10/241 s, 7
10/2410 s, 19
10/2411 s, 5
10/2413 s, 2
10/2414 s, 2
10/2415 s, 14
10/24154 s, 1
10/2416 s, 13
10/2417 s, 2
10/2418 s, 1
10/242 s, 14
10/2420 s, 7
10/2422 s, 11
10/2423 s, 2
10/2424 s, 6
10/2425 s, 2
10/2426 s, 7
10/2427 s, 6
10/2428 s, 2
10/2429 s, 14
10/243 s, 10
10/2430 s, 3
10/2431 s, 6
10/2433 s, 7
10/2434 s, 6
10/2435 s, 5
10/2436 s, 7
10/2437 s, 3
10/2438 s, 6
10/2439 s, 8
10/244 s, 7
10/2440 s, 7
10/2441 s, 3
10/2442 s, 4
10/2443 s, 16
10/2444 s, 4
10/2446 s, 10
10/2447 s, 5
10/2448 s, 4
10/2449 s, 1
10/245 s, 14
10/2450 s, 7
10/24509 s, 1
10/2452 s, 3
10/2453 s, 5
10/2454 s, 6
10/2455 s, 5
10/2457 s, 3
10/2458 s, 9
10/2459 s, 2
10/246 s, 14
10/2460 s, 6
10/2461 s, 5
10/2462 s, 3
10/2463 s, 7
10/2464 s, 8
10/2465 s, 7
10/2466 s, 4
10/2467 s, 4
10/2469 s, 18
10/247 s, 14
10/2470 s, 43
10/2472 s, 14
10/2473 s, 1
10/2474 s, 6
10/2475 s, 10
10/2476 s, 5
10/2477 s, 8
10/2478 s, 7
10/248 s, 11
10/2480 s, 9
10/2481 s, 6
10/2482 s, 10
10/2483 s, 6
10/2484 s, 2
10/2485 s, 3
10/2486 s, 2
10/2487 s, 15
10/2488 s, 4
10/2489 s, 3
10/249 s, 112
10/2490 s, 2
10/2491 s, 4
10/2493 s, 3
10/2495 s, 1
10/2497 s, 4
10/2498 s, 2
10/25 s, 1132
10/250 s, 7086
10/2500 s, 28446
10/25000 s, 1077
10/2501 s, 2
10/2505 s, 3
10/2506 s, 2
10/2507 s, 1
10/2508 s, 1
10/251 s, 12
10/2510 s, 10
10/2511 s, 7
10/2512 s, 7
10/2513 s, 9
10/2515 s, 5
10/2516 s, 3
10/2517 s, 14
10/2518 s, 5
10/252 s, 13
10/2520 s, 7
10/2521 s, 8
10/2522 s, 2
10/2523 s, 3
10/2524 s, 3
10/2525 s, 12
10/2526 s, 1
10/2527 s, 8
10/2528 s, 1
10/2529 s, 11
10/253 s, 12
10/2530 s, 9
10/2531 s, 23
10/2532 s, 5
10/2534 s, 4
10/2535 s, 3
10/2536 s, 12
10/2538 s, 10
10/254 s, 12
10/2540 s, 20
10/2541 s, 5
10/2543 s, 5
10/2544 s, 8
10/2545 s, 3
10/25450 s, 2
10/2546 s, 4
10/2547 s, 4
10/2548 s, 13
10/2549 s, 17
10/255 s, 8
10/2551 s, 8
10/2552 s, 12
10/2553 s, 5
10/2554 s, 2
10/2555 s, 1
10/2556 s, 8
10/2557 s, 3
10/2558 s, 4
10/256 s, 6
10/2560 s, 21
10/2561 s, 8
10/2562 s, 4
10/2564 s, 10
10/2565 s, 5
10/2566 s, 11
10/2567 s, 1
10/2568 s, 3
10/2569 s, 3
10/257 s, 13
10/2570 s, 6
10/2572 s, 9
10/2573 s, 8
10/2574 s, 3
10/2575 s, 4
10/2576 s, 1
10/2577 s, 12
10/2578 s, 2
10/2579 s, 14
10/258 s, 13
10/2580 s, 1
10/2581 s, 1
10/2582 s, 3
10/2583 s, 4
10/2584 s, 1
10/2585 s, 6
10/2586 s, 4
10/2587 s, 15
10/2589 s, 4
10/259 s, 2
10/2590 s, 3
10/2592 s, 1
10/2596 s, 2
10/2598 s, 2
10/26 s, 48
10/260 s, 298
10/2600 s, 64
10/26000 s, 5
10/2601 s, 2
10/2602 s, 2
10/2603 s, 1
10/2604 s, 4
10/2606 s, 2
10/261 s, 16
10/2610 s, 20
10/2612 s, 7
10/2613 s, 4
10/2614 s, 1
10/2615 s, 5
10/2616 s, 8
10/2617 s, 7
10/2618 s, 1
10/262 s, 7
10/2620 s, 18
10/2621 s, 5
10/2623 s, 6
10/2624 s, 6
10/2625 s, 1
10/2626 s, 5
10/2627 s, 3
10/2628 s, 10
10/263 s, 5
10/2630 s, 4
10/2631 s, 6
10/2632 s, 12
10/2633 s, 2
10/2634 s, 14
10/2635 s, 9
10/2636 s, 2
10/2637 s, 12
10/2638 s, 4
10/2639 s, 4
10/264 s, 9
10/2641 s, 4
10/2642 s, 13
10/2643 s, 1
10/2644 s, 4
10/2645 s, 11
10/26455 s, 2
10/2646 s, 2
10/2648 s, 11
10/2649 s, 7
10/265 s, 20
10/2650 s, 1
10/2651 s, 12
10/2652 s, 5
10/2653 s, 11
10/2656 s, 8
10/2658 s, 7
10/2659 s, 6
10/266 s, 14
10/2660 s, 2
10/2662 s, 11
10/2663 s, 2
10/2664 s, 1
10/2665 s, 4
10/2666 s, 4
10/2667 s, 2
10/2668 s, 7
10/2669 s, 5
10/267 s, 6
10/2670 s, 9
10/2673 s, 12
10/26740 s, 1
10/2675 s, 10
10/2676 s, 6
10/2677 s, 1
10/2678 s, 4
10/2679 s, 12
10/268 s, 8
10/2680 s, 15
10/2682 s, 3
10/2683 s, 12
10/2684 s, 2
10/2685 s, 9
10/2686 s, 1
10/2687 s, 5
10/2688 s, 17
10/269 s, 3
10/2691 s, 2
10/2692 s, 1
10/2693 s, 2
10/2695 s, 1
10/2698 s, 1
10/27 s, 41
10/270 s, 198
10/2700 s, 68
10/27000 s, 3
10/2701 s, 2
10/2702 s, 5
10/2704 s, 2
10/2705 s, 1
10/2707 s, 2
10/2708 s, 1
10/271 s, 13
10/2710 s, 5
10/2711 s, 9
10/2712 s, 13
10/2714 s, 9
10/2715 s, 4
10/2717 s, 14
10/2718 s, 9
10/272 s, 13
10/2720 s, 8
10/2721 s, 3
10/2722 s, 1
10/2723 s, 8
10/2724 s, 1
10/2725 s, 12
10/2726 s, 8
10/2727 s, 7
10/2728 s, 13
10/2729 s, 7
10/273 s, 8
10/2730 s, 4
10/2731 s, 6
10/2732 s, 9
10/27320 s, 1
10/2733 s, 3
10/2735 s, 7
10/2736 s, 7
10/2737 s, 1
10/2738 s, 8
10/2739 s, 2
10/274 s, 11
10/2741 s, 13
10/2742 s, 2
10/2744 s, 6
10/2745 s, 1
10/2746 s, 2
10/2747 s, 4
10/27472 s, 1
10/2748 s, 3
10/2749 s, 3
10/275 s, 21
10/2750 s, 3
10/2751 s, 2
10/2753 s, 10
10/2754 s, 6
10/2755 s, 1
10/2756 s, 6
10/2757 s, 8
10/2759 s, 11
10/276 s, 15
10/2760 s, 16
10/2761 s, 4
10/2762 s, 3
10/27620 s, 1
10/2763 s, 11
10/2765 s, 6
10/2766 s, 2
10/2767 s, 5
10/2768 s, 11
10/277 s, 11
10/2771 s, 5
10/2773 s, 8
10/2774 s, 8
10/2775 s, 1
10/2776 s, 5
10/2777 s, 8
10/2778 s, 1
10/2779 s, 2
10/278 s, 13
10/2780 s, 4
10/2781 s, 1
10/2782 s, 7
10/2783 s, 8
10/2784 s, 3
10/2785 s, 3
10/2786 s, 1
10/2787 s, 16
10/2788 s, 3
10/279 s, 2
10/2790 s, 3
10/2791 s, 10
10/2792 s, 1
10/2794 s, 1
10/2796 s, 2
10/2797 s, 1
10/2799 s, 1
10/28 s, 55
10/280 s, 167
10/2800 s, 919
10/28000 s, 1
10/2801 s, 2
10/2805 s, 1
10/2806 s, 5
10/2807 s, 3
10/281 s, 12
10/2810 s, 3
10/2812 s, 6
10/2813 s, 5
10/2815 s, 12
10/2816 s, 2
10/2817 s, 2
10/2818 s, 4
10/282 s, 9
10/2820 s, 13
10/2821 s, 7
10/2822 s, 4
10/2823 s, 14
10/2824 s, 10
10/2825 s, 1
10/2826 s, 3
10/2827 s, 1
10/2828 s, 11
10/2829 s, 8
10/283 s, 13
10/2830 s, 1
10/2831 s, 7
10/2832 s, 4
10/28328 s, 23
10/2834 s, 11
10/2835 s, 1
10/2837 s, 3
10/2838 s, 1
10/2839 s, 8
10/284 s, 13
10/2840 s, 14
10/2841 s, 1
10/2842 s, 3
10/2844 s, 14
10/2845 s, 1
10/2846 s, 1
10/2847 s, 4
10/2848 s, 22
10/2849 s, 7
10/285 s, 12
10/2850 s, 12
10/2852 s, 5
10/2853 s, 9
10/2854 s, 1
10/2855 s, 6
10/2856 s, 2
10/2857 s, 17
10/2858 s, 5
10/286 s, 11
10/2860 s, 3
10/2862 s, 4
10/2863 s, 7
10/2864 s, 2
10/2865 s, 2
10/2866 s, 6
10/2868 s, 5
10/2869 s, 1
10/287 s, 13
10/2870 s, 3
10/2871 s, 3
10/2872 s, 1
10/2873 s, 20
10/2874 s, 2
10/2875 s, 3
10/2876 s, 6
10/2878 s, 7
10/2879 s, 2
10/288 s, 10
10/2880 s, 8
10/2881 s, 4
10/2882 s, 1
10/2883 s, 13
10/2885 s, 5
10/2886 s, 6
10/2888 s, 6
10/2889 s, 1
10/289 s, 3
10/2890 s, 2
10/2891 s, 2
10/2892 s, 1
10/2893 s, 2
10/2899 s, 7
10/29 s, 56
10/290 s, 47
10/2900 s, 65
10/29000 s, 7
10/2901 s, 4
10/2903 s, 2
10/2905 s, 2
10/2906 s, 3
10/291 s, 9
10/2910 s, 4
10/2912 s, 3
10/2913 s, 11
10/2914 s, 1
10/2915 s, 1
10/2917 s, 4
10/2918 s, 14
10/292 s, 17
10/2920 s, 8
10/2922 s, 2
10/2923 s, 9
10/2924 s, 1
10/2925 s, 2
10/2926 s, 2
10/2927 s, 7
10/2928 s, 13
10/2929 s, 8
10/293 s, 21
10/2930 s, 3
10/2931 s, 10
10/2933 s, 2
10/2934 s, 9
10/2935 s, 2
10/2937 s, 10
10/2939 s, 9
10/294 s, 13
10/2941 s, 15
10/2942 s, 1
10/2944 s, 15
10/2946 s, 2
10/2947 s, 4
10/2948 s, 7
10/2949 s, 2
10/295 s, 13
10/2950 s, 4
10/2951 s, 4
10/2953 s, 3
10/2954 s, 1
10/2955 s, 8
10/2956 s, 5
10/2957 s, 7
10/2958 s, 15
10/296 s, 7
10/2960 s, 10
10/2961 s, 2
10/2962 s, 10
10/2963 s, 1
10/2965 s, 7
10/2967 s, 6
10/2968 s, 1
10/2969 s, 16
10/297 s, 17
10/2970 s, 14
10/2972 s, 12
10/2973 s, 8
10/2974 s, 2
10/2975 s, 1
10/2976 s, 13
10/2979 s, 8
10/298 s, 22
10/2980 s, 1
10/2981 s, 4
10/2983 s, 6
10/2985 s, 5
10/2986 s, 11
10/2988 s, 3
10/299 s, 236
10/2990 s, 1
10/2992 s, 2
10/2994 s, 1
10/2995 s, 2
10/2999 s, 3
10/30 s, 1406
10/300 s, 29781
10/3000 s, 831
10/30000 s, 80
10/3001 s, 3
10/3002 s, 1
10/3003 s, 2
10/30030 s, 2
10/3004 s, 2
10/3006 s, 2
10/3008 s, 1
10/301 s, 31
10/3010 s, 10
10/3011 s, 8
10/3012 s, 7
10/3013 s, 6
10/3015 s, 4
10/3016 s, 1
10/3017 s, 6
10/3018 s, 1
10/3019 s, 10
10/302 s, 27
10/3022 s, 5
10/3024 s, 11
10/3026 s, 7
10/3027 s, 3
10/3028 s, 1
10/3029 s, 1
10/303 s, 15
10/3030 s, 23
10/3032 s, 3
10/3033 s, 8
10/3034 s, 1
10/3035 s, 10
10/3037 s, 9
10/3039 s, 4
10/304 s, 25
10/3041 s, 16
10/3042 s, 14
10/3043 s, 2
10/3044 s, 14
10/3045 s, 10
10/3046 s, 3
10/3048 s, 10
10/305 s, 15
10/3050 s, 2
10/3052 s, 7
10/3055 s, 1
10/3056 s, 7
10/3057 s, 1
10/3058 s, 8
10/3059 s, 13
10/306 s, 20
10/3060 s, 2
10/3061 s, 5
10/3063 s, 15
10/3064 s, 1
10/3065 s, 3
10/3066 s, 1
10/3067 s, 8
10/3069 s, 6
10/307 s, 19
10/3071 s, 3
10/3073 s, 6
10/3074 s, 1
10/3075 s, 14
10/3076 s, 5
10/3077 s, 5
10/3078 s, 12
10/308 s, 17
10/3080 s, 6
10/30800 s, 1
10/3081 s, 1
10/3082 s, 8
10/3083 s, 1
10/3084 s, 2
10/3086 s, 9
10/3087 s, 2
10/3088 s, 2
10/3089 s, 1
10/309 s, 1
10/3090 s, 1
10/3092 s, 3
10/3094 s, 8
10/3096 s, 1
10/3097 s, 4
10/3099 s, 1
10/31 s, 60
10/310 s, 48
10/3100 s, 67
10/3101 s, 1
10/3103 s, 1
10/3105 s, 17
10/31060 s, 1
10/311 s, 56
10/3110 s, 13
10/3111 s, 8
10/3112 s, 2
10/3113 s, 3
10/3114 s, 2
10/3115 s, 9
10/3117 s, 6
10/3119 s, 2
10/312 s, 10
10/3121 s, 12
10/3122 s, 1
10/3123 s, 5
10/3125 s, 15
10/3126 s, 8
10/3127 s, 8
10/3128 s, 8
10/3129 s, 1
10/313 s, 23
10/3130 s, 3
10/3132 s, 8
10/3133 s, 1
10/3134 s, 7
10/3136 s, 5
10/3138 s, 8
10/3139 s, 1
10/314 s, 15
10/3140 s, 6
10/3141 s, 1
10/3142 s, 4
10/3144 s, 16
10/3146 s, 3
10/3148 s, 4
10/3149 s, 1
10/315 s, 13
10/3150 s, 3
10/3151 s, 4
10/3152 s, 6
10/3153 s, 2
10/3154 s, 2
10/3156 s, 14
10/3157 s, 1
10/3158 s, 3
10/3159 s, 2
10/316 s, 38
10/3160 s, 6
10/3161 s, 4
10/3162 s, 8
10/3163 s, 1
10/3164 s, 19
10/3165 s, 1
10/3166 s, 1
10/3168 s, 4
10/3169 s, 1
10/317 s, 12
10/3170 s, 3
10/3171 s, 1
10/3172 s, 6
10/3173 s, 2
10/3174 s, 10
10/3175 s, 1
10/3176 s, 10
10/3177 s, 1
10/3178 s, 1
10/3179 s, 6
10/318 s, 17
10/3180 s, 19
10/3182 s, 5
10/3184 s, 12
10/3186 s, 13
10/3188 s, 5
10/3189 s, 2
10/319 s, 4
10/3190 s, 1
10/3192 s, 2
10/3194 s, 2
10/3195 s, 1
10/3196 s, 10
10/32 s, 264
10/320 s, 1048
10/3200 s, 20752
10/32000 s, 611
10/3201 s, 2
10/3202 s, 1
10/3203 s, 2
10/3204 s, 1
10/3206 s, 2
10/3207 s, 3
10/3209 s, 1
10/321 s, 8
10/3210 s, 10
10/3211 s, 3
10/3212 s, 1
10/3213 s, 16
10/3214 s, 1
10/3215 s, 3
10/3217 s, 20
10/3219 s, 2
10/322 s, 11
10/3220 s, 1
10/3221 s, 10
10/3222 s, 1
10/3223 s, 13
10/3225 s, 18
10/3227 s, 5
10/3229 s, 11
10/323 s, 8
10/3231 s, 5
10/3232 s, 3
10/3233 s, 2
10/3234 s, 7
10/3236 s, 6
10/3238 s, 6
10/3239 s, 1
10/324 s, 13
10/3240 s, 5
10/3241 s, 2
10/3242 s, 26
10/3244 s, 3
10/3245 s, 1
10/3246 s, 10
10/3247 s, 1
10/3248 s, 9
10/3249 s, 1
10/325 s, 16
10/3250 s, 12
10/3252 s, 1
10/3253 s, 2
10/3254 s, 1
10/3255 s, 11
10/3257 s, 2
10/3258 s, 1
10/3259 s, 8
10/326 s, 11
10/3260 s, 1
10/3261 s, 7
10/3263 s, 13
10/3265 s, 3
10/3266 s, 2
10/3267 s, 11
10/327 s, 17
10/3270 s, 2
10/3272 s, 9
10/3273 s, 1
10/3274 s, 8
10/3275 s, 1
10/3276 s, 12
10/3278 s, 1
10/328 s, 12
10/3280 s, 11
10/3281 s, 2
10/3282 s, 3
10/3284 s, 6
10/3285 s, 11
10/3287 s, 8
10/3288 s, 1
10/3289 s, 11
10/329 s, 5
10/3290 s, 1
10/3294 s, 6
10/3295 s, 2
10/3297 s, 14
10/3298 s, 2
10/33 s, 45
10/330 s, 47
10/3300 s, 45
10/33000 s, 4
10/3301 s, 3
10/3302 s, 2
10/3304 s, 1
10/3306 s, 1
10/3309 s, 2
10/331 s, 16
10/3311 s, 5
10/3312 s, 1
10/3313 s, 12
10/3314 s, 1
10/3315 s, 11
10/3317 s, 4
10/3319 s, 7
10/332 s, 13
10/3320 s, 22
10/3322 s, 2
10/3323 s, 1
10/3324 s, 10
10/3325 s, 1
10/3326 s, 7
10/3328 s, 8
10/333 s, 14
10/3331 s, 2
10/3333 s, 25
10/3334 s, 1
10/3335 s, 3
10/3336 s, 2
10/3337 s, 16
10/334 s, 13
10/3340 s, 7
10/3342 s, 2
10/3344 s, 5
10/3345 s, 3
10/3346 s, 19
10/3348 s, 2
10/335 s, 8
10/3350 s, 2
10/3351 s, 3
10/3353 s, 5
10/3354 s, 1
10/3355 s, 13
10/3356 s, 2
10/3357 s, 1
10/336 s, 12
10/3360 s, 11
10/3362 s, 2
10/3364 s, 7
10/3367 s, 10
10/33670 s, 1
10/3369 s, 12
10/337 s, 10
10/3373 s, 9
10/3374 s, 5
10/3376 s, 3
10/3377 s, 1
10/3378 s, 1
10/338 s, 9
10/3380 s, 8
10/3381 s, 2
10/3382 s, 8
10/3385 s, 17
10/3387 s, 13
10/3388 s, 1
10/3389 s, 2
10/339 s, 7
10/3390 s, 1
10/3392 s, 9
10/3394 s, 2
10/3396 s, 1
10/3399 s, 1
10/34 s, 53
10/340 s, 240
10/3400 s, 835
10/3403 s, 1
10/3405 s, 4
10/3408 s, 2
10/341 s, 17
10/3410 s, 8
10/3411 s, 9
10/3412 s, 5
10/3415 s, 6
10/3417 s, 18
10/3418 s, 3
10/3419 s, 6
10/342 s, 10
10/3420 s, 1
10/3421 s, 1
10/3422 s, 5
10/3423 s, 2
10/3424 s, 16
10/3425 s, 2
10/3427 s, 2
10/3428 s, 2
10/3429 s, 19
10/343 s, 13
10/3431 s, 4
10/3434 s, 9
10/3435 s, 1
10/3436 s, 8
10/3437 s, 1
10/3438 s, 5
10/344 s, 11
10/3440 s, 13
10/3441 s, 11
10/3443 s, 19
10/3445 s, 2
10/3448 s, 23
10/3449 s, 1
10/345 s, 12
10/3450 s, 6
10/3453 s, 7
10/3454 s, 1
10/3455 s, 4
10/3457 s, 9
10/3459 s, 1
10/346 s, 12
10/3460 s, 4
10/34600 s, 1
10/3461 s, 1
10/3462 s, 11
10/3465 s, 12
10/3466 s, 6
10/3467 s, 3
10/3468 s, 1
10/347 s, 10
10/3470 s, 1
10/3471 s, 1
10/3472 s, 21
10/3473 s, 2
10/3474 s, 6
10/3477 s, 5
10/3478 s, 2
10/3479 s, 9
10/348 s, 17
10/3481 s, 8
10/3482 s, 1
10/3484 s, 2
10/3485 s, 6
10/3486 s, 11
10/3489 s, 3
10/349 s, 6
10/3490 s, 1
10/3491 s, 2
10/3494 s, 1
10/3496 s, 2
10/3498 s, 4
10/35 s, 60
10/350 s, 32
10/3500 s, 1826
10/35000 s, 3
10/3501 s, 2
10/3503 s, 3
10/3504 s, 6
10/3506 s, 1
10/35090 s, 1
10/351 s, 11
10/3510 s, 1
10/3511 s, 8
10/3512 s, 1
10/3513 s, 3
10/3516 s, 8
10/3517 s, 7
10/3518 s, 10
10/3519 s, 1
10/352 s, 9
10/3521 s, 11
10/3522 s, 2
10/3523 s, 16
10/3526 s, 10
10/3527 s, 1
10/3528 s, 4
10/353 s, 6
10/3531 s, 17
10/3533 s, 1
10/3534 s, 1
10/3535 s, 19
10/3536 s, 8
10/3538 s, 5
10/3539 s, 2
10/354 s, 7
10/3540 s, 4
10/3541 s, 6
10/3542 s, 7
10/3543 s, 5
10/3544 s, 1
10/3546 s, 17
10/3547 s, 1
10/3548 s, 2
10/3549 s, 2
10/355 s, 9
10/3550 s, 1
10/3551 s, 11
10/3552 s, 3
10/3553 s, 11
10/3554 s, 1
10/3556 s, 9
10/3557 s, 1
10/3558 s, 2
10/3559 s, 1
10/35590 s, 1
10/356 s, 6
10/3560 s, 14
10/3561 s, 10
10/3562 s, 4
10/3563 s, 3
10/3565 s, 1
10/3566 s, 11
10/3567 s, 1
10/3568 s, 7
10/357 s, 6
10/3570 s, 1
10/3571 s, 13
10/3573 s, 3
10/3575 s, 2
10/3576 s, 9
10/3577 s, 1
10/3579 s, 7
10/358 s, 14
10/3580 s, 1
10/3581 s, 8
10/3584 s, 7
10/3585 s, 2
10/3586 s, 7
10/3589 s, 3
10/359 s, 9
10/3591 s, 2
10/3597 s, 2
10/3598 s, 14
10/3599 s, 1
10/36 s, 58
10/360 s, 45
10/3600 s, 48
10/3602 s, 4
10/3604 s, 2
10/3606 s, 1
10/3607 s, 3
10/361 s, 11
10/3610 s, 2
10/3611 s, 1
10/3612 s, 5
10/3614 s, 2
10/3615 s, 7
10/3617 s, 11
10/3619 s, 2
10/362 s, 10
10/3620 s, 22
10/3623 s, 19
10/3624 s, 1
10/3625 s, 6
10/3627 s, 1
10/3628 s, 2
10/3629 s, 2
10/363 s, 12
10/3630 s, 1
10/3631 s, 5
10/3632 s, 1
10/3633 s, 12
10/3635 s, 1
10/3636 s, 4
10/3639 s, 12
10/364 s, 11
10/3640 s, 2
10/3641 s, 4
10/3642 s, 1
10/3644 s, 8
10/3646 s, 7
10/3648 s, 1
10/3649 s, 15
10/365 s, 14
10/3652 s, 2
10/3653 s, 2
10/3654 s, 14
10/3657 s, 3
10/3658 s, 2
10/3659 s, 5
10/366 s, 16
10/3660 s, 4
10/3663 s, 10
10/3664 s, 2
10/3665 s, 4
10/3668 s, 2
10/367 s, 15
10/3671 s, 16
10/3672 s, 1
10/3673 s, 4
10/3675 s, 1
10/3676 s, 13
10/3679 s, 4
10/368 s, 8
10/3680 s, 1
10/3681 s, 7
10/3683 s, 2
10/3685 s, 1
10/3687 s, 18
10/3688 s, 1
10/369 s, 13
10/3690 s, 1
10/3692 s, 23
10/3695 s, 2
10/3698 s, 2
10/3699 s, 11
10/37 s, 70
10/370 s, 26
10/3700 s, 55
10/3703 s, 8
10/3705 s, 1
10/3706 s, 1
10/3709 s, 1
10/371 s, 11
10/3710 s, 1
10/3711 s, 4
10/3714 s, 12
10/3716 s, 2
10/3717 s, 4
10/3719 s, 8
10/372 s, 15
10/3720 s, 10
10/3723 s, 2
10/3725 s, 4
10/3726 s, 13
10/3728 s, 12
10/3729 s, 1
10/373 s, 12
10/3731 s, 14
10/3732 s, 1
10/3734 s, 6
10/3736 s, 12
10/3739 s, 11
10/374 s, 9
10/3740 s, 1
10/3741 s, 1
10/3742 s, 3
10/3743 s, 1
10/3745 s, 1
10/3748 s, 9
10/3749 s, 1
10/375 s, 11
10/3750 s, 4
10/3752 s, 1
10/3753 s, 12
10/3755 s, 1
10/3756 s, 3
10/3759 s, 3
10/376 s, 11
10/3760 s, 7
10/3762 s, 4
10/3763 s, 1
10/3765 s, 9
10/3766 s, 1
10/3767 s, 3
10/377 s, 9
10/3770 s, 24
10/3772 s, 2
10/3773 s, 3
10/37740 s, 1
10/3776 s, 6
10/3779 s, 7
10/378 s, 7
10/3780 s, 7
10/3782 s, 8
10/3783 s, 1
10/3785 s, 2
10/3786 s, 2
10/3787 s, 14
10/3788 s, 2
10/379 s, 2
10/3790 s, 1
10/3793 s, 1
10/3797 s, 1
10/3799 s, 2
10/38 s, 85
10/380 s, 221
10/3800 s, 59
10/38000 s, 4
10/3801 s, 9
10/38020 s, 2
10/3805 s, 2
10/3806 s, 2
10/3808 s, 1
10/381 s, 6
10/3810 s, 5
10/3813 s, 9
10/3815 s, 1
10/3816 s, 11
10/3819 s, 1
10/382 s, 7
10/3821 s, 5
10/3822 s, 12
10/3825 s, 1
10/3828 s, 14
10/383 s, 13
10/3831 s, 11
10/3832 s, 1
10/3834 s, 12
10/3835 s, 9
10/3836 s, 3
10/3837 s, 2
10/3838 s, 2
10/384 s, 7
10/3840 s, 14
10/3842 s, 4
10/3843 s, 7
10/3846 s, 17
10/3849 s, 7
10/385 s, 10
10/3850 s, 15
10/3852 s, 6
10/3853 s, 3
10/3855 s, 21
10/3856 s, 1
10/3858 s, 7
10/386 s, 18
10/3861 s, 4
10/3862 s, 3
10/3863 s, 17
10/3866 s, 8
10/3869 s, 10
10/387 s, 14
10/3872 s, 1
10/3875 s, 9
10/3878 s, 1
10/388 s, 13
10/3880 s, 1
10/3881 s, 5
10/3883 s, 1
10/3884 s, 2
10/3885 s, 5
10/3888 s, 9
10/389 s, 4
10/3891 s, 3
10/3894 s, 2
10/3895 s, 2
10/3897 s, 2
10/39 s, 124
10/390 s, 37
