ifd_size ,Count
0:20:188:430:19346, 347
0:20:188:430:19400, 7
0:20:188:430:19418, 3
0:20:188:430:210, 78
0:20:188:430:264, 3
0:20:188:430:3812:46, 1179
0:20:188:430:4098:46, 1847
0:20:188:430:4104:46, 207
0:20:188:430:446, 1
0:20:188:430:462, 9
0:20:188:430:5140:46, 13052
0:20:188:430:636:78, 3
0:20:188:430:664, 2
0:20:188:430:690, 46
0:20:188:430:694, 1
0:20:188:430:724:78, 1
0:20:188:430:730, 15
0:20:188:430:744:78, 12
0:20:188:430:756:78, 1
0:20:188:430:764:78, 1
0:20:188:430:776:78, 9
0:20:188:430:8604:46, 13064
0:20:188:430:8624:46, 135
0:20:188:430:8632:46, 2177
0:20:188:430:914:78, 17
0:20:188:430:9250:46, 202
0:20:188:430:926:78, 2
0:20:188:430:9338:46, 117
0:20:188:430:938:78, 9
0:20:188:430:940:78, 155
0:20:188:430:952:78, 187
0:20:188:442:1662:78, 1
0:20:188:442:1666:78, 32
0:20:188:442:1672:78, 3
0:20:188:442:1674:78, 3
0:20:188:442:1694:78, 1
0:20:188:446:30, 11
0:20:188:454:1620:78, 2
0:20:188:454:1620:98, 1
0:20:188:454:1622:78, 18
0:20:188:454:1628:78, 1
0:20:188:466:8816:46, 8534
0:20:188:466:8844:46, 11589
0:20:188:482, 1
0:20:188:482:1358:54, 1545
0:20:188:482:1464:54, 3294
0:20:188:482:1496:54, 1493
0:20:188:482:1528:78, 6785
0:20:188:482:1536:54, 2811
0:20:188:482:1540:78, 483
0:20:188:482:1548:54, 3065
0:20:188:482:2094:78, 3672
0:20:188:482:2146:78, 14707
0:20:188:482:2158:78, 1215
0:20:188:482:2402:78, 4779
0:20:188:482:2636:78, 6125
0:20:188:490:5734, 1
0:20:188:494:2410:78, 695
0:20:188:494:2422:78, 558
0:20:188:494:2488:78, 2251
0:20:188:494:2512:78, 8691
0:20:188:494:2644:78, 9964
0:20:188:494:2656:78, 2341
0:20:188:494:2672:78, 12631
0:20:188:494:956, 41
0:20:188:494:968, 37
0:20:188:506:964, 2
0:20:188:506:968, 3
0:20:188:506:976, 2
0:20:188:528, 4
0:20:188:534, 5
0:20:188:546:12180:42, 320
0:20:188:546:14880:30, 228
0:20:188:546:6660:42, 7
0:20:188:54:48, 1
0:20:188:640:8, 2
0:20:188:668:1414:30, 2
0:20:188:680:2728:30, 2
0:20:188:680:9192:30, 21
0:20:188:686:36, 1
0:20:188:706:400:54, 271
0:20:188:706:426:54, 1453
0:20:188:706:466:54, 217
0:20:188:734:1424, 1
0:20:188:746:1388, 2
0:20:188:746:1388:54, 1296
0:20:188:746:1424:54, 4640
0:20:188:746:470:54, 2097
0:20:188:746:474:54, 2973
0:20:188:746:598:54, 4542
0:20:188:746:614:54, 4421
0:20:188:746:630:54, 2519
0:20:188:746:636:54, 973
0:20:188:746:890:54, 55
0:20:188:746:898:54, 568
0:20:188:746:902:54, 2436
0:20:188:746:904:54, 668
0:20:188:746:918:54, 5524
0:20:188:746:924:54, 240
0:20:188:746:928:54, 1192
0:20:188:746:930:54, 4563
0:20:188:746:940:54, 558
0:20:189:1204:54:146, 125
0:20:189:358:30, 26
0:20:189:370:30:192104336, 1
0:20:189:370:30:192234896, 1
0:20:189:370:30:33881515, 2
0:20:189:370:30:50685355, 1
0:20:189:378:1224:71, 1
0:20:189:538:30, 51
0:20:189:572:35, 10
0:20:189:624:35, 1
0:20:189:682, 10
0:20:189:758:54:146, 15
0:20:190, 25
0:20:190:142, 14
0:20:190:154, 9
0:20:190:166, 86
0:20:190:166:102, 39
0:20:190:166:54, 1
0:20:190:178:102, 19
0:20:190:178:538:54, 2
0:20:190:178:6, 1
0:20:190:190:558:54, 1
0:20:190:1934:54:146, 1
0:20:190:222:30, 10
0:20:190:254:138, 130
0:20:190:254:170, 2
0:20:190:254:190, 14
0:20:190:258:192:30, 1
0:20:190:262:30, 1
0:20:190:266:138, 91
0:20:190:266:170, 31
0:20:190:286:138, 1
0:20:190:286:170, 1
0:20:190:314:30, 4
0:20:190:3262:170, 1
0:20:190:3262:202, 1
0:20:190:3264:202, 1
0:20:190:3306:170, 1
0:20:190:330:30, 8
0:20:190:3320:202, 1
0:20:190:3324:170, 1
0:20:190:334:30:194, 5
0:20:190:334:30:6, 8
0:20:190:3350:170, 1
0:20:190:3492:170, 1
0:20:190:350, 1
0:20:190:350:138, 15
0:20:190:350:170, 185
0:20:190:350:202, 420
0:20:190:358:202, 3
0:20:190:362:628:62, 29
0:20:190:370, 5
0:20:190:370:138, 43
0:20:190:370:170, 472
0:20:190:370:202, 667
0:20:190:3710:202, 3
0:20:190:3712:202, 1
0:20:190:3714:202, 2
0:20:190:3716:170, 1
0:20:190:3718:202, 1
0:20:190:3722:202, 1
0:20:190:374:628:62, 5
0:20:190:3772:170, 1
0:20:190:3774:202, 1
0:20:190:3778:202, 1
0:20:190:3780:202, 1
0:20:190:3818:170, 1
0:20:190:382, 5
0:20:190:3820:202, 1
0:20:190:382:170, 35
0:20:190:382:202, 288
0:20:190:3832:170, 1
0:20:190:3832:202, 1
0:20:190:3852:170, 1
0:20:190:3858:170, 1
0:20:190:3860:170, 1
0:20:190:3862:170, 1
0:20:190:3874:170, 1
0:20:190:388, 4
0:20:190:390, 71
0:20:190:3900:202, 1
0:20:190:3902:202, 1
0:20:190:390:102, 8
0:20:190:390:138, 4
0:20:190:390:170, 181
0:20:190:390:202, 2331
0:20:190:3912:202, 1
0:20:190:3920:202, 1
0:20:190:3924:202, 1
0:20:190:3934:202, 1
0:20:190:3942:202, 1
0:20:190:3946:202, 1
0:20:190:394:114, 1
0:20:190:3950:202, 1
0:20:190:3956:170, 1
0:20:190:3958:202, 1
0:20:190:3962:202, 1
0:20:190:3974:202, 3
0:20:190:3976:202, 3
0:20:190:3978:202, 1
0:20:190:3982:202, 1
0:20:190:3996:170, 1
0:20:190:3996:202, 1
0:20:190:3998:202, 1
0:20:190:4000:170, 1
0:20:190:4004:202, 1
0:20:190:4006:202, 1
0:20:190:4016:170, 1
0:20:190:402, 10
0:20:190:4026:170, 1
0:20:190:4028:170, 1
0:20:190:402:138, 1
0:20:190:402:170, 127
0:20:190:402:202, 902
0:20:190:4034:170, 1
0:20:190:4036:170, 2
0:20:190:4036:202, 1
0:20:190:4046:170, 1
0:20:190:4046:202, 1
0:20:190:4050:202, 1
0:20:190:4056:170, 1
0:20:190:4068:202, 1
0:20:190:4076:202, 1
0:20:190:4078:202, 1
0:20:190:4084:202, 1
0:20:190:4086:170, 1
0:20:190:410, 14
0:20:190:4100:202, 1
0:20:190:410:170, 10
0:20:190:410:198, 1
0:20:190:410:202, 122
0:20:190:4118:202, 1
0:20:190:4120:202, 2
0:20:190:4130:202, 1
0:20:190:4136:202, 1
0:20:190:4138:202, 1
0:20:190:4150:202, 1
0:20:190:4154:170, 1
0:20:190:4154:202, 1
0:20:190:4162:170, 1
0:20:190:4164:202, 1
0:20:190:4194:202, 2
0:20:190:4196:202, 1
0:20:190:4206:202, 1
0:20:190:422, 2
0:20:190:422:170, 2
0:20:190:422:202, 98
0:20:190:4230:202, 1
0:20:190:4248:202, 1
0:20:190:4276:202, 1
0:20:190:430:690, 17
0:20:190:438:302:202, 6
0:20:190:452, 2
0:20:190:454:268, 1
0:20:190:454:268:170, 1
0:20:190:454:268:202, 27
0:20:190:454:270:170, 2
0:20:190:454:270:202, 2
0:20:190:454:302:170, 4
0:20:190:454:302:202, 112
0:20:190:454:376:202, 4
0:20:190:466:280:170, 3
0:20:190:466:280:202, 87
0:20:190:466:282:170, 5
0:20:190:466:282:202, 51
0:20:190:466:388:202, 6
0:20:190:466:852:202, 11
0:20:190:474:268, 20
0:20:190:474:268:138, 2
0:20:190:474:268:170, 94
0:20:190:474:268:202, 823
0:20:190:474:270, 18
0:20:190:474:270:170, 12
0:20:190:474:270:202, 210
0:20:190:474:282:202, 2
0:20:190:474:302:170, 21
0:20:190:474:302:202, 531
0:20:190:474:304:202, 2
0:20:190:474:304:290, 2
0:20:190:474:306:290, 2
0:20:190:474:376:170, 4
0:20:190:474:376:202, 45
0:20:190:474:840:170, 7
0:20:190:474:840:202, 102
0:20:190:474:840:226, 4
0:20:190:474:852:170, 9
0:20:190:474:852:194, 1
0:20:190:474:852:202, 69
0:20:190:474:886:290, 3
0:20:190:474:888:290, 1
0:20:190:474:890:202, 6
0:20:190:474:898:290, 1
0:20:190:474:900:290, 5
0:20:190:474:936:226, 1
0:20:190:474:936:290, 18
0:20:190:474:938:290, 28
0:20:190:474:950:290, 1
0:20:190:478:288:202, 2
0:20:190:486:276:170, 5
0:20:190:486:276:202, 91
0:20:190:486:278:170, 1
0:20:190:486:278:202, 3
0:20:190:486:280:202, 27
0:20:190:486:282:202, 2
0:20:190:486:326:226, 7
0:20:190:486:384:202, 2
0:20:190:486:384:226, 2
0:20:190:486:388:202, 7
0:20:190:486:848:202, 1
0:20:190:486:848:226, 2
0:20:190:486:852:170, 1
0:20:190:486:852:202, 5
0:20:190:486:860:202, 3
0:20:190:486:896:290, 1
0:20:190:486:900:290, 3
0:20:190:486:944:290, 8
0:20:190:490:7504, 37
0:20:190:494:1190, 6
0:20:190:494:304:226, 11
0:20:190:494:304:258, 3
0:20:190:494:304:290, 117
0:20:190:494:306, 8
0:20:190:494:306:226, 12
0:20:190:494:306:290, 214
0:20:190:494:316:226, 5
0:20:190:494:316:290, 14
0:20:190:494:886:194, 1
0:20:190:494:886:226, 13
0:20:190:494:886:258, 2
0:20:190:494:886:290, 270
0:20:190:494:888:194, 3
0:20:190:494:888:226, 10
0:20:190:494:888:290, 239
0:20:190:494:898:226, 18
0:20:190:494:898:258, 2
0:20:190:494:898:290, 359
0:20:190:494:900:226, 18
0:20:190:494:900:290, 283
0:20:190:494:936:226, 1
0:20:190:494:936:290, 7
0:20:190:494:938:290, 24
0:20:190:498:288:170, 1
0:20:190:498:288:202, 1
0:20:190:498:290:202, 1
0:20:190:498:396:202, 2
0:20:190:500:35, 11
0:20:190:506:312:226, 1
0:20:190:506:312:258, 17
0:20:190:506:312:290, 18
0:20:190:506:314:226, 1
0:20:190:506:314:290, 14
0:20:190:506:316:226, 1
0:20:190:506:316:290, 14
0:20:190:506:318:226, 2
0:20:190:506:318:290, 23
0:20:190:506:324:226, 3
0:20:190:506:326:226, 7
0:20:190:506:328:290, 8
0:20:190:506:894:290, 138
0:20:190:506:896:258, 2
0:20:190:506:896:290, 27
0:20:190:506:898:290, 71
0:20:190:506:900:226, 10
0:20:190:506:900:290, 56
0:20:190:506:906:290, 118
0:20:190:506:908:226, 2
0:20:190:506:908:290, 33
0:20:190:506:944:290, 2
0:20:190:518:326:290, 4
0:20:190:518:906:290, 5
0:20:190:518:908:290, 2
0:20:190:526:202, 7
0:20:190:534, 4
0:20:190:540:35, 1
0:20:190:568:402:35, 4
0:20:190:65, 9
0:20:190:680:11278:30, 1
0:20:190:680:2354:30, 1
0:20:190:680:3748:30, 3
0:20:190:680:3748:54, 1
0:20:190:680:9376:30, 2
0:20:190:7024:202, 1
0:20:190:7114:202, 1
0:20:190:7158:202, 1
0:20:190:72:30:190, 7
0:20:190:72:30:242, 39
0:20:190:7570:202, 1
0:20:191:1348:54:146, 62
0:20:191:2158:54:146, 2
0:20:191:314:648:55, 3
0:20:191:322:94:66, 8
0:20:191:326:648:55, 1
0:20:191:350:648:55, 309
0:20:191:362:648:55, 2
0:20:191:382:636:71, 1
0:20:191:418:628:71, 1
0:20:191:418:636:71, 7
0:20:191:418:648:71, 97
0:20:191:490:5730, 1
0:20:191:500:35, 36
0:20:191:502:6782:30, 1
0:20:191:502:72:36, 5
0:20:191:504:8964:35, 2
0:20:192, 4
0:20:192:154, 2
0:20:192:166, 2
0:20:192:166:102, 69
0:20:192:174, 1
0:20:192:178:102, 1
0:20:192:190:66:30, 1
0:20:192:200:30, 2
0:20:192:222:30, 28
0:20:192:226, 2
0:20:192:262:30, 8
0:20:192:264:32, 134
0:20:192:278, 33
0:20:192:284:32, 161
0:20:192:290:2480, 160
0:20:192:290:616:54, 13
0:20:192:314:30, 19
0:20:192:320:74:30, 3
0:20:192:330:30, 60
0:20:192:338:138, 1
0:20:192:338:170, 14
0:20:192:338:190, 1
0:20:192:338:202, 2
0:20:192:338:222, 36
0:20:192:350:170, 1
0:20:192:352:66:30, 11
0:20:192:362:616:62, 428
0:20:192:370, 1
0:20:192:370:138, 157
0:20:192:370:170, 443
0:20:192:370:198, 1
0:20:192:370:202, 284
0:20:192:370:30:6, 18
0:20:192:374:616:62, 3
0:20:192:374:628:62, 9
0:20:192:374:636:62, 20
0:20:192:374:648:62, 22
0:20:192:390, 3
0:20:192:390:138, 5
0:20:192:390:16:30, 1
0:20:192:390:170, 54
0:20:192:390:198, 4
0:20:192:390:202, 542
0:20:192:402:170, 2
0:20:192:402:198, 15
0:20:192:402:202, 91
0:20:192:410:170, 1
0:20:192:410:202, 96
0:20:192:422, 1
0:20:192:422:202, 3
0:20:192:430:240, 18
0:20:192:430:690, 1
0:20:192:430:8620, 1
0:20:192:454:264:202, 23
0:20:192:466:276:202, 11
0:20:192:474:264:170, 3
0:20:192:474:264:202, 206
0:20:192:478:284:202, 6
0:20:192:486:272:202, 17
0:20:192:486:276:202, 4
0:20:192:488:202, 1
0:20:192:490:134:32, 101
0:20:192:490:82, 1
0:20:192:494:300:226, 1
0:20:192:494:300:290, 64
0:20:192:494:318:226, 3
0:20:192:494:318:290, 77
0:20:192:498:284:202, 3
0:20:192:500:35, 50
0:20:192:504:6774:35, 3
0:20:192:506:308:290, 8
0:20:192:506:312:290, 2
0:20:192:506:326:290, 12
0:20:192:506:330:226, 1
0:20:192:506:330:290, 5
0:20:192:518:338:290, 2
0:20:192:666:30:41064, 161
0:20:193:190:570:55, 1
0:20:193:259:228, 8
0:20:193:358:30, 42
0:20:193:384:30, 1
0:20:193:414:228, 68
0:20:193:414:232, 36
0:20:193:4551:30:228, 1
0:20:193:4551:30:232, 3
0:20:193:500:35, 33
0:20:194, 5
0:20:194:166, 5
0:20:194:166:102, 261
0:20:194:178, 1
0:20:194:178:102, 5
0:20:194:200:30, 17
0:20:194:206, 1
0:20:194:214, 3
0:20:194:218:30:6, 40
0:20:194:222:30, 13
0:20:194:230, 1
0:20:194:238:102, 2
0:20:194:246:30:170, 8
0:20:194:254:138, 79
0:20:194:286, 11
0:20:194:314, 13
0:20:194:314:30, 57
0:20:194:326:616, 1
0:20:194:330:30, 1
0:20:194:350:138, 5
0:20:194:350:170, 3
0:20:194:350:202, 3
0:20:194:370, 3
0:20:194:370:170, 1
0:20:194:370:202, 21
0:20:194:370:4114, 1
0:20:194:370:434, 18
0:20:194:370:436, 1
0:20:194:374:644:34, 5
0:20:194:374:656:34, 2
0:20:194:382:170, 2
0:20:194:382:202, 26
0:20:194:386, 1
0:20:194:390, 3
0:20:194:390:122, 5
0:20:194:390:202, 1
0:20:194:466:7976, 77
0:20:194:474:1006:290, 3
0:20:194:474:956:290, 1
0:20:194:482:1194:54, 1
0:20:194:494:956:226, 2
0:20:194:494:956:258, 1
0:20:194:494:956:290, 96
0:20:194:494:968:226, 7
0:20:194:494:968:258, 1
0:20:194:494:968:290, 75
0:20:194:496:334, 1
0:20:194:502, 7
0:20:194:506:964:290, 6
0:20:194:506:968:226, 2
0:20:194:506:968:290, 31
0:20:194:506:976:290, 1
0:20:194:518, 9
0:20:194:518:976:290, 5
0:20:194:528:290, 1
0:20:194:546:1316, 3
0:20:194:602:1604:34, 8
0:20:194:666:30:92, 1
0:20:195:2690:453, 41
0:20:195:2694:461, 1
0:20:195:2694:461:39, 1
0:20:195:2702:461, 13
0:20:195:358:30, 1
0:20:195:466:7798:34, 92
0:20:195:482:791, 1
0:20:195:538:30, 24
0:20:195:550:13, 1
0:20:196, 13
0:20:196:154, 22
0:20:196:154:138, 3
0:20:196:166, 1
0:20:196:166:102, 62
0:20:196:222:30, 36
0:20:196:230, 109
0:20:196:238:102, 52
0:20:196:238:30, 59
0:20:196:250, 2
0:20:196:254:138, 547
0:20:196:254:158, 1
0:20:196:254:170, 26
0:20:196:254:190, 318
0:20:196:266, 2
0:20:196:2662:473, 5
0:20:196:266:138, 340
0:20:196:266:170, 146
0:20:196:2674:481, 1
0:20:196:286:138, 12
0:20:196:286:170, 4
0:20:196:298:30, 1
0:20:196:302:16, 315
0:20:196:3140:35, 3
0:20:196:314:18:32, 47
0:20:196:344:284, 5
0:20:196:350, 47
0:20:196:350:138, 42
0:20:196:350:170, 719
0:20:196:350:202, 1301
0:20:196:350:644, 1
0:20:196:362:636:62, 163
0:20:196:362:648:62, 1
0:20:196:370, 39
0:20:196:370:1080, 40
0:20:196:370:138, 189
0:20:196:370:170, 1561
0:20:196:370:202, 2158
0:20:196:370:610, 5
0:20:196:370:638, 3
0:20:196:370:800, 41
0:20:196:382, 20
0:20:196:382:170, 129
0:20:196:382:202, 569
0:20:196:382:800, 2
0:20:196:390, 163
0:20:196:390:102, 3
0:20:196:390:138, 14
0:20:196:390:170, 639
0:20:196:390:198, 1
0:20:196:390:202, 7391
0:20:196:390:226, 2
0:20:196:402, 58
0:20:196:402:138, 4
0:20:196:402:170, 371
0:20:196:402:202, 2277
0:20:196:402:226, 4
0:20:196:406:30, 50
0:20:196:410, 24
0:20:196:410:138, 3
0:20:196:410:170, 44
0:20:196:410:202, 687
0:20:196:410:468, 1
0:20:196:422, 2
0:20:196:422:170, 17
0:20:196:422:202, 104
0:20:196:430:19342, 13
0:20:196:432:202, 3
0:20:196:450:840, 3
0:20:196:450:852, 1
0:20:196:454:268, 1
0:20:196:454:268:170, 17
0:20:196:454:268:202, 207
0:20:196:454:268:226, 6
0:20:196:454:270, 1
0:20:196:454:270:170, 20
0:20:196:454:270:202, 155
0:20:196:454:270:226, 1
0:20:196:454:282:202, 1
0:20:196:454:320:202, 1
0:20:196:454:376:170, 10
0:20:196:454:376:202, 104
0:20:196:454:840:170, 6
0:20:196:454:840:202, 99
0:20:196:454:852:170, 6
0:20:196:454:852:202, 91
0:20:196:454:890:202, 47
0:20:196:466:276:202, 46
0:20:196:466:276:226, 1
0:20:196:466:278:170, 1
0:20:196:466:278:202, 28
0:20:196:466:278:226, 1
0:20:196:466:280:138, 1
0:20:196:466:280:170, 7
0:20:196:466:280:202, 286
0:20:196:466:280:226, 3
0:20:196:466:282:170, 20
0:20:196:466:282:202, 220
0:20:196:466:290:202, 1
0:20:196:466:384:170, 1
0:20:196:466:384:202, 3
0:20:196:466:388:138, 1
0:20:196:466:388:170, 5
0:20:196:466:388:202, 31
0:20:196:466:7798:30, 2
0:20:196:466:848:202, 23
0:20:196:466:852:170, 11
0:20:196:466:852:202, 165
0:20:196:466:860:202, 2
0:20:196:466:898:202, 1
0:20:196:468:7217:35, 3
0:20:196:468:7234:35, 29
0:20:196:468:7237:35, 9
0:20:196:468:7238:35, 116
0:20:196:470:900, 2
0:20:196:474:268, 9
0:20:196:474:268:138, 3
0:20:196:474:268:170, 409
0:20:196:474:268:194, 5
0:20:196:474:268:202, 3088
0:20:196:474:268:226, 46
0:20:196:474:270, 6
0:20:196:474:270:102, 110
0:20:196:474:270:142, 1
0:20:196:474:270:170, 112
0:20:196:474:270:194, 1
0:20:196:474:270:202, 1550
0:20:196:474:270:226, 7
0:20:196:474:282:170, 2
0:20:196:474:282:202, 24
0:20:196:474:304:290, 5
0:20:196:474:306:290, 1
0:20:196:474:320:202, 2
0:20:196:474:376:102, 8
0:20:196:474:376:170, 64
0:20:196:474:376:202, 734
0:20:196:474:840:170, 42
0:20:196:474:840:202, 1061
0:20:196:474:840:226, 3
0:20:196:474:852:138, 1
0:20:196:474:852:170, 94
0:20:196:474:852:194, 1
0:20:196:474:852:202, 1099
0:20:196:474:852:226, 1
0:20:196:474:886:290, 2
0:20:196:474:888:290, 3
0:20:196:474:890:170, 3
0:20:196:474:890:202, 53
0:20:196:474:898:290, 1
0:20:196:474:936:290, 8
0:20:196:474:938:290, 8
0:20:196:476:526, 1
0:20:196:478:288:170, 1
0:20:196:478:288:202, 15
0:20:196:478:290:170, 1
0:20:196:478:290:202, 29
0:20:196:478:396:202, 1
0:20:196:478:860:202, 14
0:20:196:482, 8
0:20:196:486:276:170, 16
0:20:196:486:276:194, 1
0:20:196:486:276:202, 339
0:20:196:486:276:226, 5
0:20:196:486:278:170, 4
0:20:196:486:278:202, 174
0:20:196:486:278:226, 6
0:20:196:486:280:170, 4
0:20:196:486:280:202, 56
0:20:196:486:282:170, 3
0:20:196:486:282:202, 11
0:20:196:486:290:202, 7
0:20:196:486:314:258, 1
0:20:196:486:314:290, 1
0:20:196:486:326:226, 4
0:20:196:486:328:202, 1
0:20:196:486:384:202, 74
0:20:196:486:388:170, 2
0:20:196:486:388:202, 22
0:20:196:486:848:170, 5
0:20:196:486:848:202, 119
0:20:196:486:848:226, 1
0:20:196:486:852:170, 4
0:20:196:486:852:202, 74
0:20:196:486:860:170, 3
0:20:196:486:860:202, 58
0:20:196:486:890:226, 7
0:20:196:486:898:202, 7
0:20:196:486:944:290, 18
0:20:196:494:1176, 6
0:20:196:494:1188, 1
0:20:196:494:304:194, 1
0:20:196:494:304:226, 65
0:20:196:494:304:258, 4
0:20:196:494:304:290, 863
0:20:196:494:306:226, 16
0:20:196:494:306:258, 8
0:20:196:494:306:290, 188
0:20:196:494:316:290, 10
0:20:196:494:886:194, 1
0:20:196:494:886:226, 16
0:20:196:494:886:290, 503
0:20:196:494:888:226, 17
0:20:196:494:888:258, 4
0:20:196:494:888:290, 593
0:20:196:494:898:226, 39
0:20:196:494:898:258, 3
0:20:196:494:898:290, 931
0:20:196:494:900:226, 14
0:20:196:494:900:258, 2
0:20:196:494:900:290, 558
0:20:196:494:938:290, 2
0:20:196:498:118:30, 1
0:20:196:498:288:202, 6
0:20:196:498:290:170, 1
0:20:196:498:290:202, 6
0:20:196:498:396:202, 1
0:20:196:498:860:202, 12
0:20:196:502, 1
0:20:196:506:312:226, 5
0:20:196:506:312:290, 49
0:20:196:506:314:226, 2
0:20:196:506:314:258, 8
0:20:196:506:314:290, 26
0:20:196:506:316:226, 2
0:20:196:506:316:290, 63
0:20:196:506:318:226, 2
0:20:196:506:318:290, 23
0:20:196:506:324:290, 2
0:20:196:506:328:290, 4
0:20:196:506:894:226, 1
0:20:196:506:894:290, 58
0:20:196:506:896:226, 1
0:20:196:506:896:290, 93
0:20:196:506:898:226, 3
0:20:196:506:898:290, 93
0:20:196:506:900:226, 1
0:20:196:506:900:290, 145
0:20:196:506:906:226, 2
0:20:196:506:906:290, 114
0:20:196:506:908:226, 3
0:20:196:506:908:290, 57
0:20:196:512:31713:30, 1
0:20:196:512:32733:30, 1
0:20:196:512:33121:30, 1
0:20:196:512:33597:30, 1
0:20:196:512:34693:30, 1
0:20:196:512:34953:30, 1
0:20:196:512:35457:30, 1
0:20:196:512:35705:30, 1
0:20:196:512:36041:30, 1
0:20:196:512:36301:30, 1
0:20:196:512:36773:30, 1
0:20:196:512:37029:30, 1
0:20:196:512:37257:30, 1
0:20:196:512:38021:30, 1
0:20:196:512:38321:30, 1
0:20:196:512:38405:30, 1
0:20:196:512:38461:30, 1
0:20:196:512:39377:30, 1
0:20:196:512:39737:30, 1
0:20:196:512:40161:30, 1
0:20:196:512:40301:30, 1
0:20:196:512:40565:30, 1
0:20:196:512:40629:30, 1
0:20:196:512:40717:30, 1
0:20:196:512:40745:30, 1
0:20:196:512:40825:30, 1
0:20:196:512:40853:30, 1
0:20:196:512:41085:30, 1
0:20:196:512:41145:30, 1
0:20:196:512:41305:30, 1
0:20:196:512:41625:30, 1
0:20:196:512:41789:30, 1
0:20:196:512:41817:30, 1
0:20:196:512:41829:30, 1
0:20:196:512:42005:30, 1
0:20:196:512:42025:30, 1
0:20:196:512:42129:30, 1
0:20:196:512:42301:30, 1
0:20:196:512:42325:30, 1
0:20:196:512:42333:30, 1
0:20:196:512:42621:30, 1
0:20:196:512:42641:30, 1
0:20:196:512:42669:30, 1
0:20:196:512:42713:30, 1
0:20:196:512:42769:30, 1
0:20:196:512:42857:30, 1
0:20:196:512:42925:30, 1
0:20:196:512:43209:30, 1
0:20:196:512:43481:30, 3
0:20:196:512:43617:30, 1
0:20:196:512:43689:30, 1
0:20:196:512:43697:30, 1
0:20:196:512:43717:30, 1
0:20:196:512:44001:30, 2
0:20:196:512:44317:30, 1
0:20:196:512:44337:30, 1
0:20:196:512:44341:30, 1
0:20:196:512:44425:30, 1
0:20:196:512:44449:30, 1
0:20:196:512:44457:30, 1
0:20:196:512:44537:30, 1
0:20:196:512:44545:30, 1
0:20:196:512:44553:30, 1
0:20:196:512:44661:30, 1
0:20:196:512:44689:30, 1
0:20:196:512:44761:30, 1
0:20:196:512:44857:30, 1
0:20:196:512:44921:30, 1
0:20:196:512:45149:30, 1
0:20:196:512:45293:30, 1
0:20:196:512:45389:30, 1
0:20:196:512:45585:30, 1
0:20:196:512:46025:30, 1
0:20:196:512:46033:30, 1
0:20:196:512:46293:30, 1
0:20:196:512:46453:30, 1
0:20:196:512:46549:30, 1
0:20:196:512:46745:30, 1
0:20:196:512:46873:30, 1
0:20:196:512:46893:30, 1
0:20:196:512:46977:30, 1
0:20:196:512:46997:30, 1
0:20:196:512:47061:30, 1
0:20:196:512:47205:30, 1
0:20:196:512:47333:30, 1
0:20:196:512:47641:30, 1
0:20:196:512:47741:30, 1
0:20:196:512:47945:30, 1
0:20:196:512:47977:30, 1
0:20:196:512:48677:30, 1
0:20:196:512:48757:30, 1
0:20:196:512:48837:30, 1
0:20:196:512:49409:30, 1
0:20:196:512:49641:30, 1
0:20:196:512:49733:30, 1
0:20:196:512:49901:30, 1
0:20:196:512:50085:30, 1
0:20:196:512:50097:30, 1
0:20:196:512:50597:30, 1
0:20:196:512:50745:30, 1
0:20:196:512:51665:30, 1
0:20:196:512:51709:30, 1
0:20:196:512:51761:30, 1
0:20:196:512:51785:30, 1
0:20:196:512:52037:30, 1
0:20:196:518:324:290, 1
0:20:196:518:326:290, 3
0:20:196:518:906:290, 10
0:20:196:518:908:290, 8
0:20:196:524:290, 2
0:20:196:526:202, 3
0:20:196:528:202, 12
0:20:196:616:1022, 6
0:20:196:616:1048, 5
0:20:196:616:758, 7
0:20:196:616:784, 13
0:20:196:617:35, 2
0:20:196:637:35, 1
0:20:196:90, 1
0:20:197:250, 12
0:20:197:358:202, 2
0:20:197:358:30, 17
0:20:197:360:35, 3
0:20:197:362:648:63, 1
0:20:197:370, 23
0:20:197:378:202, 1
0:20:197:384:30, 256
0:20:197:398:30, 1
0:20:197:617:35, 1
0:20:198, 5
0:20:198:154:102, 3
0:20:198:154:30, 29
0:20:198:166:102, 153
0:20:198:176:30, 2
0:20:198:178:102, 16
0:20:198:198, 9
0:20:198:210, 1
0:20:198:270, 2
0:20:198:278, 15
0:20:198:288:102, 1
0:20:198:314:30, 30
0:20:198:314:636:54, 1
0:20:198:322:66, 14
0:20:198:322:96, 1
0:20:198:326:12110, 11
0:20:198:326:12324, 4
0:20:198:334:102, 1
0:20:198:334:66, 4
0:20:198:334:84, 27
0:20:198:338:138, 29
0:20:198:338:170, 470
0:20:198:338:190, 16
0:20:198:338:202, 41
0:20:198:338:222, 557
0:20:198:346, 21
0:20:198:350:138, 32
0:20:198:350:170, 2
0:20:198:350:202, 9
0:20:198:350:30, 151
0:20:198:358:54, 43
0:20:198:366:30, 12
0:20:198:370, 7
0:20:198:370:138, 261
0:20:198:370:170, 672
0:20:198:370:202, 552
0:20:198:370:30, 7
0:20:198:374, 1
0:20:198:374:100, 1
0:20:198:374:636:62, 3
0:20:198:374:66, 4
0:20:198:374:84, 38
0:20:198:376, 1
0:20:198:382:170, 1
0:20:198:382:30, 2
0:20:198:390, 3
0:20:198:390:138, 21
