ifds_DigitalZoomRatio ,Count
1224/245, 2
1224/253, 1
1224/269, 2
1224/271, 1
1224/281, 1
1224/283, 2
1224/287, 1
1224/319, 2
1224/325, 1
1224/355, 3
1224/377, 2
1224/379, 1
1224/407, 1
1224/413, 1
1224/419, 2
1224/427, 2
1224/431, 2
1224/437, 1
1224/439, 1
1224/443, 1
1224/449, 1
1224/451, 2
1224/461, 1
1224/463, 1
1224/467, 3
1224/469, 2
1224/473, 1
1224/479, 1
1224/481, 2
1224/485, 1
1224/499, 1
1224/503, 2
1224/505, 1
1224/509, 2
1224/521, 4
1224/529, 2
1224/533, 3
1224/539, 3
1224/547, 1
1224/553, 2
1224/557, 3
1224/563, 1
1224/569, 2
1224/577, 2
1224/583, 1
1224/587, 1
1224/593, 1
1224/599, 1
1224/611, 1
1224/619, 4
1224/623, 1
1224/643, 1
1224/659, 3
1224/665, 1
1224/673, 2
1224/683, 1
1224/701, 1
1224/703, 1
1224/709, 1
1224/719, 1
1224/721, 3
1224/733, 1
1224/739, 2
1224/745, 1
1224/751, 2
1224/757, 1
1224/767, 1
1224/769, 2
1224/773, 3
1224/781, 2
1224/785, 2
1224/811, 1
1224/817, 1
1224/829, 2
1224/841, 10
1224/859, 1
1224/881, 1
1224/889, 1
1224/919, 1
1224/925, 2
1224/943, 1
1224/985, 9
1224/995, 1
122552/65535, 8
1227/331, 1
1228/665, 1
1229/1229, 170
1229/331, 1
123/100, 111
123/28, 4
123/53, 1
123/65, 1
123/73, 1
12300/100, 2
12305/6796, 1
1230527/1000000, 5
1231/783, 1
123422/72887, 1
1238/517, 1
1239/331, 1
124/100, 15
1243/577, 1
12442/7209, 1
1246/531, 1
1246/629, 1
1247/371, 1
1249/371, 1
12493/3816, 1
125/100, 23
125/111, 1
125/14, 36
1251/331, 1
1253/325, 1
1253/331, 1
12533/8502, 1
1255/371, 1
1258/669, 1
1258390/1000000, 9
126/100, 9
126/60, 7
12629/7451, 1
126484/65535, 6
126693/65536, 1
1267/797, 1
1269/331, 2
127/45, 1
1270/1024, 1
12709/5056, 1
1271/755, 1
12717/3373, 1
12723/9115, 1
1273/625, 1
12745/9342, 1
1275/331, 1
1277/982, 1
12771/11593, 1
12777/3590, 1
128/100, 74
128/113, 3
128/63, 2
128/83, 1
1280/1280, 39
1280/800, 1
12800/100, 4
12819/5015, 1
12841/6929, 1
1289/536, 1
1289416/1000000, 5
129/100, 7
129/53, 1
1291/333, 1
12911/2928, 1
1292/787, 2
12929/5927, 1
12947/3182, 2
1296/1009, 1
1296/1075, 3
1296/1097, 1
1296/1229, 1
1296/259, 53
1296/283, 2
1296/293, 1
1296/305, 1
1296/323, 1
1296/337, 1
1296/341, 4
1296/371, 1
1296/403, 1
1296/407, 6
1296/425, 1
1296/445, 3
1296/475, 1
1296/479, 1
1296/493, 1
1296/497, 4
1296/521, 1
1296/527, 1
1296/545, 4
1296/551, 3
1296/563, 2
1296/575, 1
1296/589, 2
1296/601, 1
1296/611, 2
1296/617, 1
1296/619, 2
1296/643, 1
1296/647, 3
1296/667, 2
1296/671, 1
1296/673, 1
1296/695, 1
1296/727, 1
1296/733, 1
1296/751, 3
1296/767, 1
1296/781, 1
1296/977, 1
1296/995, 3
12967/3693, 1
1299/100, 1
1299/1000, 11
13/10, 28
13/2, 2
13/4, 2
13/5, 6
13/8, 4
13/9, 1
130/100, 103
13005/4967, 1
1301/1275, 1
130221/65536, 1
1303/331, 1
13042/5845, 1
13054/3159, 1
1308/673, 1
1309/487, 1
1309/585, 1
131/100, 16
131/37, 1
131/53, 1
131/73, 1
131072/65535, 3
131072/65536, 2
131074/961675264, 4
1313/1163, 1
13133/4980, 2
13143/3586, 1
13165/3534, 2
1317/1199, 1
1317/764, 1
1318081/1000000, 14
132/100, 184
132/60, 1
13200/100, 2
1321/1050, 1
1321/325, 1
1321/828, 1
13217/3547, 1
1324/869, 1
13241/5226, 1
13244/3695, 1
1327/1121, 1
133/100, 38
133/122, 1
133/45, 1
133/73, 1
1331/325, 1
1333/488, 2
1333/778, 1
1337/1024, 1
1337/970, 2
133847/65536, 1
134/100, 4
1343/371, 2
13447/7381, 1
1347/331, 1
1347/731, 1
13470/3203, 1
1348941/1000000, 9
135/100, 12
135/37, 1
1353/325, 1
13547/6317, 1
135660/65535, 6
135660/65536, 2
1357/1240, 1
136/100, 8
136/101, 1
136/31, 1
136/33, 1
136/35, 2
136/37, 2
136/41, 2
136/43, 2
136/45, 2
136/47, 1
136/49, 2
136/53, 1
136/57, 1
136/59, 1
136/61, 1
136/65, 1
136/77, 1
1364/559, 1
1365/1103, 1
1365/1306, 1
1365/701, 1
13669/7870, 1
1367/333, 1
1367/918, 1
1369/331, 1
137/100, 73
137/42, 4
137/65, 3
137/73, 2
13700/100, 4
13719/7805, 1
13750/10000, 43
13771/11189, 1
13792/4575, 1
138/100, 2
138/60, 3
1380346/1000000, 8
1383/1163, 1
1387/1291, 1
1387/325, 1
1388/679, 1
13891/9819, 1
139/100, 15
139/75, 1
13908/4895, 1
1391/331, 2
1393/325, 1
1395/1159, 1
1395621890/809847985, 1
13958/6137, 1
1397/904, 1
13981/4589, 1
14/1, 1
14/10, 98
14/5, 4
140/100, 322
140247/65535, 3
140247/65536, 1
1403/441, 1
14032/6593, 1
14048/9723, 1
1406/1000, 17
14069/10331, 1
1407/1012, 2
141/100, 98
141/73, 1
1410/959, 1
14100/100, 2
1414227/1000000, 7
1415/569, 1
14172/6275, 1
142/100, 8
1423/1148, 1
1423/911, 1
143/100, 1
143/73, 1
143/75, 1
14309/6635, 1
1431/331, 1
14333/8077, 1
14363/7707, 1
1437226410/1437226410, 2
144/100, 26
144/101, 1
144/103, 1
144/113, 1
144/115, 1
144/143, 2
144/35, 1
144/47, 1
144/53, 1
144/60, 2
144/61, 1
144/67, 2
144/71, 5
144/73, 2
144/79, 2
144/83, 3
144/85, 3
1440/1024, 3
1443/1115, 1
14450/10821, 1
1445090/1000000, 5
1446/701, 1
1449/1009, 1
145/100, 28
1451/333, 1
14513/9205, 1
145490/65536, 1
1457/331, 1
14570/3527, 2
1459/591, 1
146/100, 68
14600/100, 3
1462/643, 1
146547/65535, 4
14680/6821, 1
147/100, 3
147/147, 6
147/83, 1
14771/10597, 1
1479/331, 1
1479793/1000000, 16
148/100, 7
148/148, 2
1481/1093, 1
1481/571, 1
14823/6494, 1
14851/8390, 1
1488/1488, 4
1489/1003, 1
14891/7529, 1
149/100, 5
149/111, 1
149/75, 1
1495/1429, 1
1495/333, 1
15/10, 44
15/4, 2
15/8, 6
150/100, 91
150/60, 3
1501/1438, 2
15016/5005, 1
1503238528/1073741824, 1
1507/903, 1
150733/65535, 18
150733/65536, 2
151/100, 15
151/45, 1
151/73, 1
151/83, 3
1511/963, 1
15121/7442, 1
15123/6538, 1
1513617/1000000, 14
15151/6202, 1
1516/1511, 2
152/100, 107
15200/100, 1
1524/845, 1
1525/1000, 8
15255/5128, 1
153/100, 359
153/101, 9
153/103, 1
153/104, 6
153/107, 1
153/110, 3
153/113, 4
153/115, 1
153/116, 2
153/118, 1
153/122, 4
153/130, 1
153/134, 2
153/137, 3
153/149, 1
153/151, 1
153/32, 1
153/35, 2
153/38, 5
153/41, 2
153/43, 2
153/44, 6
153/47, 2
153/49, 2
153/50, 5
153/52, 4
153/53, 7
153/56, 3
153/59, 8
153/62, 3
153/64, 1
153/65, 4
153/67, 4
153/70, 4
153/71, 5
153/74, 1
153/76, 2
153/77, 13
153/79, 2
153/80, 8
153/83, 5
153/86, 4
153/88, 2
153/89, 1
153/91, 2
153/92, 5
153/94, 1
153/95, 9
153/98, 4
1531/333, 1
15316/6749, 1
1533/1024, 2
1535/1048, 1
1535/331, 1
153549/65536, 1
154/100, 6
1540/447, 1
1541/1269, 1
1542/721, 1
1543/325, 1
1549023/1000000, 17
155/100, 6
15558/9709, 1
155648/65536, 2
15575/13124, 1
1559/331, 1
155976/65535, 1
155976/65536, 1
156/100, 3
156/60, 7
1560/1429, 2
1561/1019, 1
15625/10000, 32
1565/568, 1
1567/1112, 1
1567/333, 1
1568/753, 1
157/100, 80
157/75, 1
15700/100, 1
1571/333, 1
15728/7937, 1
1573/1005, 1
1573/574, 1
15754/11833, 1
1577/1023, 1
1577/331, 1
158/100, 15
1582/659, 1
1582/937, 1
1584524/1000000, 6
15853/11743, 1
158827/65535, 2
1589/1021, 1
159/100, 7
1591/371, 1
1591/892, 1
1594/1000, 1
1594/551, 3
1595/648, 1
1597/1108, 1
1597/557, 1
1599/817, 1
16/10, 76
16/11, 22
16/12, 20
16/13, 12
16/14, 27
16/15, 25
16/16, 40487
16/4, 21
16/5, 12
16/6, 4
16/7, 16
16/8, 16
16/9, 7
160/100, 253
160/157, 1
1600/100, 4
1600/1024, 12
1600/1077, 2
1600/1117, 1
1600/1191, 1
1600/1280, 13
1600/1599, 1
1600/1600, 3674
1600/400, 17
1600/512, 6
1600/640, 33
1600/761, 1
1600/800, 19
1600/831, 1
1601/1222, 1
1601/371, 1
1601/981, 1
1602/1199, 1
16051/8786, 1
1609/898, 1
161/100, 4
161/65, 1
1611/1012, 2
161219/65535, 2
161219/65536, 2
1613/755, 1
1615/331, 1
16177/7680, 1
162/100, 120
162/121, 2
162/37, 1
162/49, 1
162/60, 5
162/71, 1
162/73, 1
162/77, 1
162/83, 2
162/89, 1
162/91, 2
162/95, 1
16200/100, 1
16231/3265, 1
1623368/1000000, 6
163/100, 2
163/75, 1
1634/1225, 1
16379/8878, 1
1639/604, 1
164/100, 4
164/83, 1
16440/6703, 2
16450/4481, 1
1648/597, 1
1648/943, 1
165/100, 6
16518/5597, 1
1653/1550, 2
16532/5319, 1
165348/65535, 1
1654/723, 1
1655/1526, 1
16561/9848, 1
1657/1311, 1
1659/1597, 1
1659/926, 3
166/100, 4
1661288/1000000, 1
1662399/1000000, 9
1665/1372, 1
1666/823, 1
1667/1007, 1
1667/1156, 1
167/100, 12
167/166, 1
167/65, 1
167117/65536, 1
16777216/16777216, 3
168/100, 103
168/60, 4
16800/100, 4
1681/405, 1
16828/3947, 1
16843009/16843009, 34
1686/881, 1
1689/992, 1
169/100, 3
169/111, 1
169/167, 1
169/75, 1
16908545/33686017, 1
1691/1473, 1
1693/1049, 1
16933/14737, 1
17/10, 45
17/11, 2
17/12, 6
17/13, 1
17/14, 2
17/15, 2
17/16, 78
17/4, 7
17/5, 12
17/6, 7
17/7, 20
17/8, 7
17/9, 4
170/100, 50
170/1024, 4
170/170, 3
1700/1000, 1
1700090/1000000, 6
1703/628, 1
1703/722, 1
17056/7721, 1
17075/6141, 1
1708/759, 1
1709/966, 1
170919941/235155712, 2
171/100, 2
171/73, 1
1710/1133, 1
1713/1487, 1
171380/65536, 1
1717986944/1073741824, 1
172/100, 1
172/167, 1
1721/968, 1
17221/7147, 2
1723/917, 1
1726/693, 1
173/100, 12
173015/65535, 2
173015/65536, 3
17324/10787, 1
1736/1024, 1
17386/7003, 1
174/100, 127
174/60, 3
1741461/1000000, 56
1745/1667, 1
1745/934, 1
