ifds_DigitalZoomRatio ,Count
2448/1213, 1
2448/1217, 1
2448/1225, 2
2448/1231, 1
2448/1235, 1
2448/1243, 1
2448/1249, 1
2448/1253, 1
2448/1259, 1
2448/1261, 1
2448/1271, 5
2448/1273, 1
2448/1277, 2
2448/1279, 1
2448/1283, 1
2448/1285, 1
2448/1291, 1
2448/1297, 1
2448/1303, 1
2448/1331, 4
2448/1345, 2
2448/1349, 1
2448/1355, 1
2448/1357, 1
2448/1361, 1
2448/1367, 1
2448/1369, 2
2448/1373, 1
2448/1379, 4
2448/1381, 2
2448/1391, 1
2448/1399, 1
2448/1403, 1
2448/1417, 2
2448/1423, 3
2448/1429, 2
2448/1441, 1
2448/1475, 1
2448/1477, 1
2448/1483, 1
2448/1493, 1
2448/1499, 4
2448/1501, 2
2448/1505, 1
2448/1525, 1
2448/1531, 1
2448/1535, 1
2448/1541, 1
2448/1553, 1
2448/1555, 2
2448/1567, 1
2448/1571, 1
2448/1577, 1
2448/1583, 2
2448/1585, 1
2448/1589, 1
2448/1591, 8
2448/1597, 1
2448/1613, 1
2448/1619, 1
2448/1633, 1
2448/1651, 2
2448/1655, 1
2448/1675, 2
2448/1691, 2
2448/1715, 1
2448/1735, 1
2448/1741, 1
2448/1753, 1
2448/1775, 1
2448/1781, 1
2448/1795, 1
2448/1801, 1
2448/1823, 3
2448/1829, 1
2448/1831, 1
2448/1843, 1
2448/1889, 2
2448/1907, 1
2448/1937, 1
2448/1961, 1
2448/1969, 1
2448/1981, 2
2448/1985, 1
2448/1993, 1
2448/2003, 1
2448/2005, 1
2448/2035, 1
2448/2087, 1
2448/2105, 1
2448/2111, 2
2448/2149, 1
2448/2191, 1
2448/2219, 1
2448/2249, 1
2448/2311, 1
2448/2315, 1
2448/2357, 1
2448/2425, 1
2448/497, 2
2448/505, 1
2448/517, 2
2448/529, 4
2448/533, 1
2448/545, 2
2448/551, 1
2448/557, 1
2448/559, 2
2448/563, 1
2448/569, 1
2448/571, 1
2448/581, 3
2448/583, 1
2448/587, 10
2448/589, 1
2448/599, 1
2448/601, 2
2448/607, 1
2448/611, 2
2448/617, 1
2448/619, 1
2448/623, 2
2448/635, 1
2448/641, 2
2448/643, 2
2448/655, 1
2448/665, 4
2448/671, 3
2448/685, 1
2448/691, 4
2448/701, 1
2448/703, 1
2448/715, 1
2448/719, 1
2448/725, 2
2448/727, 2
2448/733, 1
2448/745, 1
2448/749, 1
2448/751, 1
2448/755, 1
2448/763, 1
2448/773, 1
2448/781, 1
2448/785, 1
2448/787, 3
2448/815, 1
2448/827, 4
2448/839, 1
2448/841, 1
2448/845, 1
2448/847, 2
2448/853, 1
2448/857, 1
2448/859, 1
2448/863, 3
2448/869, 2
2448/871, 1
2448/881, 3
2448/889, 1
2448/895, 1
2448/911, 1
2448/913, 1
2448/917, 3
2448/923, 1
2448/931, 2
2448/937, 1
2448/947, 1
2448/949, 1
2448/955, 1
2448/959, 3
2448/961, 2
2448/967, 2
2448/971, 2
2448/977, 4
2448/979, 1
2448/991, 4
2448/995, 4
245/100, 3
245/73, 1
2451/826, 1
2458/1445, 1
2458/1701, 1
2459/1199, 2
246/100, 221
246/167, 2
246/83, 1
24600/100, 4
2461/2064, 1
2462986/1000000, 2
2463/2090, 1
2465/1017, 1
2469/1789, 1
24729/8824, 1
2473/1949, 1
2479/640, 1
248/100, 3
2480/1313, 1
24818/14139, 2
2486/1861, 1
24873/5825, 1
249/100, 2
2491/992, 1
2493/1970, 1
2494/1783, 1
2496/799, 1
2498/1409, 2
25/10, 62
25/16, 22
25/6, 5
250/100, 78
250/167, 3
25000/10000, 24
2501/2274, 1
25039/5577, 1
251/100, 40
251/167, 1
251/42, 9
2515/1932, 1
2516781/1000000, 5
2517/2222, 2
2517/2354, 1
2518/1723, 2
2519/1541, 1
252/100, 4
25223/15387, 1
2523/1157, 1
252969/65536, 1
253/100, 3
253/167, 2
2537/1560, 1
254/100, 2
2543/1235, 2
2545/1294, 1
25485/12916, 1
2549/1127, 1
2549/2032, 1
2549/2161, 1
255/100, 5
255/1024, 3
255/227, 3
2555/2456, 1
256/100, 58
256/102, 3
256/104, 3
256/109, 11
256/112, 1
256/114, 7
256/117, 1
256/118, 6
256/119, 1
256/125, 3
256/128, 67
256/132, 1
256/136, 1
256/140, 3
256/146, 4
256/148, 2
256/154, 5
256/157, 6
256/160, 1
256/168, 2
256/170, 2
256/171, 5
256/181, 3
256/186, 1
256/192, 5
256/193, 1
256/195, 6
256/201, 7
256/205, 4
256/220, 4
256/227, 2
256/232, 2
256/235, 3
256/256, 682
256/257, 66
256/266, 22
256/274, 4
256/64, 7
256/71, 2
256/78, 1
256/80, 1
256/83, 1
256/85, 22
256/86, 1
256/90, 2
256/93, 1
256/96, 3
2564/879, 2
2566/1587, 1
2569/2078, 1
2569/765, 1
257/111, 1
257/227, 1
2571/1495, 1
257699/67646, 1
2578/2187, 1
2579/1850, 1
258/100, 2
258/167, 1
2581/1697, 1
2582/1195, 1
2584/2037, 1
2585/1802, 1
2585/2161, 1
2585/2469, 1
2587/1813, 1
2588/1069, 1
2588/1391, 1
259/100, 3
259/219, 1
259/75, 1
25914/13855, 1
2592/1024, 24
2592/1027, 1
2592/1037, 1
2592/1039, 1
2592/1055, 1
2592/1139, 2
2592/1187, 2
2592/1193, 1
2592/1199, 1
2592/1223, 1
2592/1241, 2
2592/1265, 1
2592/1280, 37
2592/1295, 4
2592/1297, 1
2592/1301, 2
2592/1321, 1
2592/1351, 1
2592/1363, 2
2592/1439, 1
2592/1447, 1
2592/1469, 1
2592/1585, 1
2592/1589, 1
2592/1597, 1
2592/1600, 74
2592/1615, 2
2592/1621, 3
2592/1685, 1
2592/1727, 1
2592/1747, 1
2592/1783, 2
2592/1837, 1
2592/1861, 2
2592/1919, 2
2592/1999, 1
2592/2048, 56
2592/2075, 2
2592/2287, 2
2592/2305, 1
2592/2419, 1
2592/2592, 19258
2592/512, 1
2592/599, 1
2592/617, 1
2592/640, 22
2592/648, 27
2592/719, 1
2592/725, 1
2592/761, 1
2592/793, 2
2592/799, 1
2592/832, 7
2592/833, 2
2592/893, 1
2592/925, 3
2592/965, 1
2592/967, 2
2592/973, 2
2592/989, 1
2595/1352, 1
26/10, 23
26/16, 22
26/7, 2
260/100, 77
260/167, 4
2601/1433, 1
2601/1438, 1
2602/1261, 1
2611/1375, 1
26129/16889, 1
2613/1295, 1
2616/1981, 1
2616/2347, 1
2619/1631, 1
262/167, 1
2621/1176, 2
262144/65536, 3
2628/1079, 3
2629/1758, 1
263/100, 23
2630/2537, 1
2631/2339, 1
26327/10712, 1
2633/1699, 1
2636/1555, 1
2636163/1000000, 6
2637/1427, 1
26387/12341, 1
2639/555, 1
264/100, 43
264/167, 2
26400/100, 5
2646/1999, 1
2649/2608, 1
265/100, 2
265/111, 1
265/129, 1
2650/1569, 6
2650/1651, 1
2655/1162, 1
2655/1247, 1
2656/2237, 1
2657/1769, 1
2657/692, 2
2658/1717, 1
2659/1344, 1
2659/1667, 1
2659/2380, 1
266/100, 8
2662/2627, 1
2663/2167, 1
2665/1618, 1
2667/985, 1
267/100, 47
2675/1546, 2
2677/1679, 1
2677/787, 1
2678/1437, 1
2678/971, 1
268/100, 3
2684/1000, 1
2684/2055, 1
268435456/134217728, 3
26875/10000, 21
26913/10321, 1
26917/15137, 1
2692/1053, 1
2692/1335, 1
2692/763, 1
2693/2290, 1
2697882/1000000, 3
27/10, 47
27/16, 16
27/17, 2
27/8, 1
270/100, 18
270/131, 1
2701/1743, 1
271/227, 1
271/75, 1
2713/996, 1
2714/1131, 1
2718/973, 5
272/100, 92
272/103, 6
272/107, 2
272/111, 8
272/113, 2
272/115, 3
272/121, 2
272/123, 4
272/125, 1
272/127, 8
272/129, 1
272/131, 7
272/133, 3
272/135, 3
272/139, 7
272/143, 6
272/147, 10
272/149, 2
272/151, 6
272/155, 6
272/157, 1
272/159, 2
272/161, 1
272/163, 6
272/167, 4
272/171, 1
272/175, 2
272/179, 6
272/181, 1
272/183, 1
272/185, 1
272/191, 12
272/193, 1
272/195, 7
272/197, 3
272/199, 4
272/201, 1
272/207, 1
272/211, 3
272/215, 3
272/223, 1
272/227, 3
272/231, 3
272/235, 3
272/243, 1
272/247, 1
272/251, 1
272/259, 1
272/263, 2
272/267, 4
272/55, 6
272/57, 1
272/59, 1
272/63, 6
272/67, 8
272/71, 2
272/73, 4
272/75, 3
272/79, 2
272/81, 1
272/83, 9
272/87, 6
272/89, 4
272/91, 5
272/93, 1
272/95, 5
272/99, 5
27200/100, 1
2721/1247, 1
2725/1978, 2
2725/2564, 1
2726/1203, 1
2726/1221, 2
2727/1090, 1
2727/2678, 2
2729/1267, 1
273/100, 2
273/73, 1
2731/844, 1
2737/1404, 1
27385/9237, 1
2749/1852, 1
2749/2074, 1
2749/924, 1
275/100, 2
275/166, 1
2753/2097, 1
27535/17164, 1
2756/1159, 1
2756/2287, 1
2759/1819, 1
276/100, 6
2760/1981, 1
2762/1221, 1
2762557/1000000, 3
2766/905, 1
2767/1807, 1
2768/2453, 1
277/100, 2
277/166, 2
2772/1063, 6
2774/2439, 1
2775/1396, 1
2776/2537, 2
2779/1990, 1
278/100, 1
2780/1749, 1
2785/1042, 1
2789/2315, 4
2791/1765, 1
2792/1741, 1
2792/2061, 5
2794/1179, 1
2795/1108, 1
28/10, 24
28/16, 15
280/100, 55
2803/1333, 1
2803/1836, 1
2806/1273, 1
281/100, 3
281/166, 4
281/219, 1
281/225, 1
281/227, 2
281/73, 1
2811/1667, 1
2811/2419, 1
2811/976, 1
281149/65535, 1
28123/16893, 1
2816/1024, 15
2816/1280, 29
2816/1600, 54
2816/2048, 36
2816/2816, 16075
2816/704, 16
2816/832, 7
2817/1714, 1
28177/9166, 1
2819/2369, 1
282/100, 23
2820/1889, 5
2821410/1000000, 1
2823/1657, 1
2826/1337, 1
283/100, 12
283/227, 1
2831/1348, 2
2831/2365, 1
2837/1301, 1
2839/1074, 1
2839/1775, 1
284/100, 36
28400/100, 3
2842/1591, 1
2843/2170, 1
2847/1340, 1
2849/1345, 1
2849/1964, 1
285/100, 1
2854/1561, 1
2855/2162, 1
2855/2626, 1
2866/1013, 1
2867/2704, 5
2871/1361, 1
2875/1216, 1
2875/1681, 1
28750/10000, 16
2879/1834, 1
288/101, 1
288/113, 3
288/151, 1
288/155, 1
288/173, 1
288/211, 1
288/85, 1
288/91, 1
2880/1024, 1
2883/1666, 2
2885/1419, 1
2885/1516, 1
2887/1253, 1
289/100, 2
289/219, 1
2890/761, 1
2892/977, 1
2896/2153, 3
2897570/1000000, 1
2899/1275, 1
29/10, 31
29/16, 17
290/100, 10
2902/2341, 1
291/100, 10
2911/1975, 1
2915/1536, 4
2915/1823, 1
2915/1888, 1
2917/1586, 1
2918/1469, 1
2919/1366, 1
2919/1730, 1
292/100, 2
292/229, 1
2920/1617, 2
2923/2023, 1
2925/1099, 1
29272/9999, 1
293/100, 5
293/84, 3
2932/1911, 1
2935/1314, 1
2939/2359, 1
294/100, 38
29400/100, 2
2942/2191, 1
2943/1070, 1
2943/1789, 1
29438/24421, 1
2949/1291, 2
295/100, 1
2953/1072, 2
2953/1280, 1
2955/2116, 1
2959/1216, 2
296/100, 1
296/167, 1
2960/1707, 1
2961/2281, 1
2962/1195, 1
2962380/1000000, 3
2963/2322, 1
2969/830, 1
297/167, 1
297/227, 2
297/73, 1
2970/1813, 1
2972/1547, 1
2976/715, 1
2979/2480, 2
298/100, 1
29803/11940, 1
2982/1045, 1
2983/1239, 1
2986/1589, 1
2990/1411, 1
2992/1457, 1
2992/1997, 1
2996/797, 1
2997/1487, 1
3/1, 17
3/2, 18
30/10, 167
30/16, 12
300/100, 85
3001/2247, 1
3004/1635, 1
3006/1625, 1
3007/1219, 1
3009/1684, 1
301/100, 171
301/225, 2
30100/100, 1
3019/1819, 9
302/100, 1
302/167, 1
3023/619, 1
3024313/1000000, 2
303/100, 44
303/166, 1
3033/1339, 1
3036/1399, 1
3037/695, 1
3040/1817, 1
3041/2223, 1
305/227, 1
3050/2593, 1
3052/1469, 1
3056/1049, 1
3058/2775, 1
306/100, 1
306/103, 2
306/107, 2
306/109, 8
306/115, 4
306/121, 7
306/127, 4
306/131, 1
306/133, 5
306/137, 4
306/139, 2
306/143, 1
306/145, 3
306/149, 1
306/151, 4
306/155, 2
306/157, 3
306/161, 2
306/163, 5
306/169, 5
306/175, 6
306/179, 1
306/181, 1
306/185, 3
306/193, 7
306/199, 1
306/203, 2
306/205, 7
306/211, 1
306/217, 4
306/229, 3
306/233, 1
306/235, 2
306/241, 2
306/247, 3
306/253, 4
306/259, 4
306/265, 3
306/269, 1
306/271, 1
306/277, 1
306/295, 1
306/61, 142
306/67, 1
306/73, 6
306/77, 1
306/79, 1
306/89, 1
306/91, 1
3062/1793, 1
30625/10000, 7
3063/1607, 2
3063/695, 1
307/167, 1
307/219, 1
3070/3029, 1
3071/1238, 1
3072/1024, 72
3072/1280, 83
3072/1600, 158
3072/2048, 177
3072/2592, 170
3072/3072, 25079
3072/752, 5
3072/768, 134
3073/1846, 1
3075/1292, 1
3077/2274, 1
308/100, 1
3080/1549, 2
3081/2044, 1
30826/16073, 1
3083/1152, 1
3083/1888, 1
3084/2285, 1
3085/1418, 1
3085/2061, 1
3085/2606, 1
3086/2123, 1
3087/1460, 1
30896/20205, 1
3092/1315, 1
3092/1893, 1
3094/2273, 1
3094990/1000000, 3
3095/1899, 1
3095/2264, 1
3095/2282, 1
3098/1663, 1
3099/2909, 2
31/10, 29
31/12, 3
31/15, 1
31/16, 7
31/8, 1
310/100, 10
3105/1397, 4
3107/1493, 1
31081/9434, 1
3109/1278, 1
311/225, 2
311/227, 2
3111/1402, 1
3111/2069, 1
3111/3031, 2
3112/1875, 1
3112/2027, 1
3112/2129, 1
3112/2197, 1
3119/1480, 1
312/100, 23
31200/100, 1
3121/1727, 1
3121/2281, 1
3122/1377, 1
3122/835, 1
3124/1669, 1
3128/2325, 1
3129/2168, 1
313/105, 1
313/207, 1
313/225, 2
313/83, 1
3131/1572, 2
3133/1368, 1
31351/15089, 1
3139/2848, 2
314/167, 1
3141/802, 1
3142/2081, 1
3143/1618, 1
3143/2249, 1
31464/18673, 1
3149/1842, 1
3149/2436, 1
3152/2193, 1
3153/886, 1
3154/849, 1
3156/1003, 1
3157/1888, 1
3160/1763, 1
3161/2164, 1
3161/2564, 1
3162/1993, 1
3169048/1000000, 2
317/100, 5
3173/1687, 1
3175/1206, 1
3175/2226, 1
3175/2401, 1
3179/1468, 1
3181/3100, 2
3183/1693, 1
3183/2932, 1
3186/2189, 1
3188/1000, 1
3189/1348, 1
3193/1407, 1
31959/18122, 1
32/10, 17
32/16, 200
32/23, 1
32/9, 1
320/100, 79
320/111, 1
3203/1636, 1
3203/2437, 1
3204/1267, 1
3204/2443, 1
3205/1132, 1
3208/2211, 1
3209/1789, 1
3209/2234, 1
321/166, 1
321/227, 1
3210/1069, 1
3216/2459, 1
3217/2575, 1
3219/1811, 1
3219/1868, 1
3219/2195, 1
322/167, 1
3220/1389, 1
3223/1490, 3
322437/65536, 1
3227/1434, 1
3229/1260, 1
323/167, 1
3230/1599, 5
3233/1471, 1
3238/1889, 1
324/100, 29
324/101, 2
324/103, 1
324/107, 1
324/109, 1
324/115, 2
324/125, 1
324/131, 1
324/139, 2
324/149, 5
324/179, 3
324/209, 1
324/221, 1
324/227, 1
324/247, 1
324/251, 1
324/253, 1
324/265, 1
324/83, 1
324/85, 2
324/97, 1
32400/100, 4
3243/1967, 1
3244/1549, 1
3245/1662, 2
3247/1754, 1
3249/1486, 1
325/100, 12
325/111, 1
325/167, 2
325/227, 1
32500/10000, 7
32573/13529, 1
3258/1741, 1
3259/1991, 1
326/100, 1
3260/1969, 1
3261/1826, 1
3264/1024, 61
3264/1280, 52
3264/1600, 237
3264/2048, 172
3264/2592, 148
3264/3264, 19989
3264/816, 132
3265/2846, 1
3274/1087, 1
3276/2333, 1
327680/196608, 1
3277/2219, 1
328/163, 1
328/167, 1
3281/1024, 1
3281/2185, 1
3289/1512, 1
3289/1687, 1
3293/1231, 1
3293/1381, 1
3295/1481, 1
3295/2129, 1
3295/2724, 1
3295/3011, 1
3297/1898, 1
3298/1991, 1
3299/2436, 1
33/10, 26
33/14, 11
33/16, 4
33/32, 1
33/4, 3
330/100, 7
3301/1285, 1
3303/2027, 1
3304/2017, 1
3307/2086, 1
3309/1559, 3
331/75, 1
331/84, 8
3310/1513, 1
3313/2079, 1
3315/2744, 1
3317/1453, 1
3317/1506, 1
3319/2092, 1
3319/2995, 1
332/100, 10
3321/2036, 5
3323/1514, 1
3324/2287, 3
33252/18205, 1
3327/2012, 1
3327/2732, 1
3328328/1000000, 5
3329/2260, 1
333/100, 1
333/331, 1
3330/1637, 1
3331/1963, 1
3335/1216, 1
3337/1769, 2
3341/1492, 1
3341/2653, 1
3345/3008, 1
3346/2687, 1
3348/1807, 1
335/167, 2
3354/1861, 1
3355/2633, 1
3358/1259, 1
3358/1535, 1
3358/1723, 1
3359/2483, 1
336/100, 1
3360/2033, 1
3362/2489, 1
3365/1991, 1
3369/2476, 1
337/100, 12
337/167, 3
337/219, 1
337/42, 4
33700/100, 2
3371/3154, 1
3375/1208, 1
3375/1423, 1
33751554/50529026, 1
3378/2251, 1
338/100, 1
33803/8545, 1
3381/2885, 1
3386/2057, 1
3389/1870, 1
3389/753, 1
3391/2275, 1
3393677/1000000, 2
3397/2470, 2
3398/2571, 1
3399/2807, 1
34/10, 15
34/11, 3
34/13, 2
34/15, 14
34/16, 2
34/19, 2
34/21, 1
34/23, 13
34/25, 2
34/27, 4
34/31, 1
34/7, 2
34/9, 2
340/100, 44
340/1024, 5
3403/1430, 1
3406/1239, 1
3407/2313, 1
3408/1855, 1
341/100, 1
341/111, 1
341/225, 1
341/227, 1
341/331, 1
341/75, 1
3410/2437, 1
3410/2443, 1
3413/2645, 1
342/100, 1
342/167, 1
3422/1685, 2
3422/2413, 1
3427/1977, 1
3427/2474, 1
343/219, 1
343/225, 3
343/227, 1
343/331, 1
343/333, 1
3430/1423, 1
3431/1966, 1
3432/1861, 1
3432/2489, 1
3434/1235, 1
3434/2265, 1
3435/2366, 1
34375/10000, 4
3439/1795, 3
3439/2389, 1
344/100, 2
344/167, 1
3440/2343, 1
3442/1561, 1
3442/2729, 1
3443/2571, 1
3445/1637, 1
3445/1757, 1
3447/2495, 2
345/100, 1
345/166, 1
345/227, 1
3451/1863, 1
3453/2062, 2
3454/1745, 2
3454/3241, 1
3456/1024, 4
3456/1280, 2
3456/1600, 3
3456/3456, 1349
3456/864, 14
3457/1453, 1
346/100, 13
34600/100, 1
3463/2304, 1
3465/2179, 1
3467/1936, 1
3469/2953, 1
347/331, 1
3471/1331, 2
3473/1922, 1
3477/1723, 1
3479/1247, 1
348/100, 21
348/167, 2
3482/1777, 1
3482/1877, 1
3482/869, 1
3482923/1000000, 1
3485/2728, 1
3488/1933, 1
34894/11915, 1
349/219, 1
349/325, 1
3490/1691, 1
3490/2763, 1
3492/2365, 1
3493/2551, 1
3494/2077, 2
3499/1995, 1
35/10, 15
35/16, 5
350/100, 18
3501/1385, 1
3501/1637, 1
3502/2213, 1
3505/1244, 1
3511/3343, 1
3512/2953, 4
3514/1423, 1
3515/1509, 3
352/100, 2
3521/1961, 1
3527/1940, 1
3527/2436, 1
3527/2505, 1
353/167, 1
353/227, 1
3530/817, 1
3533/3217, 1
3539/1597, 4
354/167, 1
3540/2321, 1
3541/1027, 1
3541/1458, 2
3543/1565, 2
3549/1514, 1
3549/2011, 5
355/100, 4
3554/2845, 1
3554547/1000000, 2
3557/1535, 1
3559/1039, 3
3559/1392, 1
3559/3321, 1
356/100, 6
3560/2657, 2
3561/1522, 1
3568/3181, 1
357/227, 1
3571/3453, 1
3572/2329, 1
3574/1183, 2
357827/65535, 1
358/100, 1
3581/2035, 1
3583/2365, 2
3587/1077, 1
3587/3508, 1
3588/1075, 1
3588/2279, 1
359/225, 1
359/325, 3
3595/1267, 1
3599/1699, 1
3599/2241, 1
36/10, 13
36/11, 2
36/13, 3
36/16, 2
36/19, 8
36/23, 2
36/25, 5
36/31, 2
360/100, 37
3601/2738, 1
3601/3171, 1
3602/1537, 1
3603/2108, 4
3603/2468, 1
3605/1426, 1
361/100, 14
361/111, 1
361/167, 1
361/227, 2
3611/3354, 1
3613/1943, 1
3614/1711, 1
3616/1323, 1
3617/2298, 1
3619/2656, 1
3621/2101, 1
3625/2136, 1
3625/2221, 1
36250/10000, 4
3627/1529, 1
3629/2286, 1
363/331, 1
3631/2050, 1
3632/2857, 2
3639/1933, 1
364/100, 1
364/167, 1
3642/2357, 1
3647/1865, 1
3648/1024, 40
3648/1280, 86
3648/1600, 186
3648/2048, 151
3648/2592, 390
3648/3648, 27310
3648/912, 188
3649/2474, 1
365/100, 1
365/166, 1
365/331, 1
3653/1616, 1
3655/2333, 2
3657/1306, 1
3659/1727, 1
3659/1846, 1
3659/2010, 1
3662/1115, 1
3662/1231, 1
3662/1309, 1
3664/1699, 1
3667/1213, 2
3667/2452, 1
367/100, 1
367/126, 1
3671/2529, 1
368/100, 1
368/167, 2
3684/2543, 1
3685/1512, 1
3686/1925, 1
369/100, 1
369/227, 1
3690/1607, 2
3697/1959, 1
3698/2763, 2
37/10, 24
37/16, 4
37/25, 1
37/4, 3
370/100, 3
3702/2101, 1
3705/3283, 1
3706/1923, 1
3707/1989, 1
3709/2401, 1
371/100, 44
371/225, 1
371/325, 2
3716/1501, 1
3716/1579, 1
3719/2541, 1
3719/3514, 1
372/167, 1
372/83, 2
37202/14627, 1
3721/2059, 1
3723/2005, 1
3726/2261, 1
3727/2510, 1
373/100, 23
373/227, 1
373/331, 1
3731428/1000000, 1
3732/1741, 1
3739/2625, 1
3741/2645, 1
3744/3744, 13
3745/1669, 2
3745/2628, 1
3747/1030, 1
375/100, 2
375/331, 1
3750/1679, 1
3752/1515, 1
3752/3729, 8
3753/3056, 1
3761/1846, 2
3761/1880, 1
3762/2305, 1
3763/1131, 1
3767/1748, 1
3768/2573, 1
377/219, 3
377/225, 1
377/331, 1
3773/2010, 1
3774/2051, 1
3777/1679, 1
3778/1401, 1
3778/2419, 1
3779/2046, 1
378/167, 1
3782/1219, 1
3782/2423, 1
37851/12541, 2
379/225, 2
3793/2398, 1
3793/2748, 1
3794/1369, 4
3794/1867, 1
3797/1802, 1
3798/1673, 1
38/10, 6
38/27, 1
380/100, 34
380/167, 1
381/100, 2
3812/1643, 1
38125/10000, 50
3813/2474, 2
3813752/1000000, 1
3815/1198, 1
3817/2047, 1
3819/2876, 1
381963/134494, 1
382/167, 2
3821/2536, 1
3823/2313, 1
3824/3797, 1
3827/2662, 1
3829/1922, 2
383/167, 2
3831/1156, 1
3833/1926, 1
3833/2748, 1
384/256, 25
3840/1216, 2
3840/1536, 3
3840/1920, 6
3840/2432, 4
3840/3072, 2
3840/3840, 334
3840/960, 16
3847/1931, 3
3849/3125, 1
3849/3725, 1
385/219, 1
3850/3103, 1
3851/2598, 2
3851/3172, 1
3855/2482, 1
3857/2103, 1
3857/3200, 1
386/100, 1
386/167, 1
3863/2408, 1
3868/2045, 1
3868/2285, 1
387/227, 1
3871/2629, 1
3871/2680, 1
3871/3720, 1
3873/1882, 1
3873/2044, 1
3873/2071, 2
3874/2635, 1
3877/1842, 1
3878/2431, 1
3879/2113, 2
388/100, 14
3881/1530, 1
3883/2358, 2
3888/2417, 1
389/219, 1
389/225, 5
389/227, 1
3895/1276, 1
3895/1756, 2
3899/1348, 2
39/10, 16
39/16, 3
39/25, 1
39/37, 1
3901/2206, 1
3902/2289, 1
3906/1601, 1
3907/1388, 1
3907/1940, 1
3909/2854, 1
3909525/1000000, 14
391/167, 2
391/225, 1
391/227, 1
3910/2141, 1
3912/1024, 2
3917/1136, 1
3917/1786, 1
3917/2808, 1
3921/2039, 1
3921/2300, 1
3926/2299, 1
3926/2479, 1
393/83, 1
3935/1633, 1
3935/1857, 1
3937/1361, 1
3939/3061, 1
3941/2025, 1
3943/2187, 1
3945/1301, 2
3945/3691, 3
3947/1826, 1
3947/2796, 1
3949/1816, 1
395/100, 1
395/333, 1
3950/1611, 1
3957/3920, 1
3963/1516, 1
3964/2025, 1
3968/1991, 1
396873/139744, 3
397/111, 1
397/225, 1
3971/1024, 1
3971/2388, 1
397148/65536, 1
3975/1744, 2
3976/2803, 1
3977/1185, 1
3978/1219, 1
3978/1981, 1
398/179, 1
3980/1929, 1
3983/2804, 1
3985/1477, 1
3985/3741, 5
3987/1459, 1
3989/2913, 1
3991/1870, 2
3991/2032, 1
3996/1705, 1
3997/3195, 1
3999/1586, 1
4/1, 36
4/3, 3
4/4, 173
40/10, 173
400/100, 521
400/147, 2
400/269, 1
400/91, 1
4000/1000, 88
4000/1280, 20
4000/1429, 1
4000/1600, 61
4000/2048, 151
4000/2592, 197
4000/3264, 87
4000/4000, 20179
40000/100, 19
40003/11486, 1
4003/3589, 1
4004/2073, 1
4005/1118, 1
4008/2359, 1
4009/1413, 1
4009/2117, 1
401/227, 1
401/371, 2
4010/1319, 1
4010/1707, 1
4010/3349, 2
4011/2830, 2
4013/1177, 1
4016/1597, 1
4019/1542, 1
4021/2049, 1
4023/3026, 1
4025/2062, 1
403/225, 2
403/227, 1
4031/1984, 1
4034/2799, 1
4039/2369, 1
404/167, 2
4040/3973, 2
4041/2176, 1
4042/1711, 1
4045/1758, 1
4049/1890, 1
405/227, 2
405/331, 4
4053/1894, 1
4063/3262, 1
4067/2321, 3
407/100, 1
407/84, 6
4071/2216, 1
408/103, 1
408/113, 1
408/115, 1
408/125, 2
408/133, 2
408/139, 1
408/145, 1
408/155, 1
408/161, 4
408/163, 1
408/167, 9
408/169, 2
408/173, 5
408/179, 2
408/181, 1
408/199, 1
408/205, 1
408/209, 1
408/215, 2
408/229, 1
408/233, 2
408/251, 1
408/293, 2
408/295, 3
408/301, 2
408/317, 1
408/343, 1
408/347, 2
408/353, 2
408/385, 2
408/83, 3
408/97, 1
4083/2957, 1
4084/1911, 1
409/219, 1
409/225, 1
409/227, 2
4091/1647, 1
4091/1824, 1
40928/18769, 1
4096/1024, 5
4096/4096, 77
4098/2323, 1
4099/2794, 1
41/10, 9
41/16, 4
41/25, 2
4101/2627, 1
4102/1607, 1
4104/2893, 1
4107/1879, 1
411/167, 1
4111/3290, 1
4113/1895, 1
4114/1797, 1
4119/2111, 1
4123/2867, 4
4124/2877, 1
4126/1583, 1
4126/1663, 1
4127/2532, 1
4129/923, 1
413/100, 2
413/227, 1
4133/2496, 1
4135/1592, 1
4139/1799, 1
4139/1953, 1
4147/3649, 1
415/219, 2
4153/1846, 1
41530/15291, 1
41545/13701, 2
4156/2297, 1
4161/1024, 3
4165/1296, 1
4165/2614, 1
41658/16379, 1
4169/2284, 1
4171/3775, 1
4174/1569, 1
4175/2553, 1
4177/1277, 1
4177/2689, 1
4177/2714, 1
4179/1969, 1
4183/2712, 1
4189/2592, 1
419/100, 14
419/166, 2
419/203, 1
4191/1712, 1
4195/2109, 1
42/10, 10
42/16, 3
420/100, 3
4201/993, 1
42075/26386, 1
421/167, 3
421/225, 1
4210/2297, 1
4212/1481, 1
4214/2131, 1
4217/2509, 1
4219/2008, 3
4221/1403, 1
4221/2126, 1
4221/3560, 1
4224/2545, 1
4229/1569, 1
423/167, 1
423/331, 2
4241/2873, 1
4243/1742, 1
4249/2332, 1
425/1024, 1
4253/1356, 1
4253/1428, 1
4259/1682, 2
4262/2927, 1
4264/1441, 1
4264/1889, 1
4265/1924, 2
4267/1884, 1
427/167, 1
427/225, 2
427/361, 1
4270/2369, 2
4273/2521, 1
4274/2121, 1
4274/2719, 1
4276/1693, 2
428/100, 6
