ifd0_GPSOffset ,Count
@ 0x027E, 31
@ 0x027F, 25
@ 0x0280, 37
@ 0x0282, 50
@ 0x0283, 7
@ 0x0284, 35
@ 0x0285, 1
@ 0x0286, 64
@ 0x0288, 19
@ 0x028A, 85
@ 0x028C, 125
@ 0x028E, 86
@ 0x0290, 44
@ 0x0292, 15
@ 0x0293, 1
@ 0x0294, 88
@ 0x0296, 32
@ 0x0298, 16
@ 0x029A, 18
@ 0x029C, 9
@ 0x029E, 2
@ 0x02A0, 128
@ 0x02A2, 1787
@ 0x02A4, 1
@ 0x02A8, 1
@ 0x02A9, 8
@ 0x02AA, 3
@ 0x02AC, 106
@ 0x02B0, 5
@ 0x02B2, 25
@ 0x02B4, 26
@ 0x02B6, 1
@ 0x02B8, 2
@ 0x02BA, 13
@ 0x02BC, 26
@ 0x02C0, 271
@ 0x02C2, 4
@ 0x02C6, 147
@ 0x02CA, 38
@ 0x02D0, 216
@ 0x02D2, 42
@ 0x02D4, 7
@ 0x02D6, 2
@ 0x02D8, 19
@ 0x02DA, 12
@ 0x02DC, 17
@ 0x02DE, 663
@ 0x02E0, 5
@ 0x02E4, 11
@ 0x02E6, 2299
@ 0x02E8, 1
@ 0x02EA, 177
@ 0x02EC, 361
@ 0x02EE, 7
@ 0x02F0, 1
@ 0x02F2, 2
@ 0x02F4, 1
@ 0x02F6, 1
@ 0x02F8, 6
@ 0x02FA, 35
@ 0x02FC, 18
@ 0x02FE, 6
@ 0x0306, 154
@ 0x030A, 1
@ 0x030C, 2
@ 0x0310, 84
@ 0x0314, 1
@ 0x0316, 18
@ 0x0318, 14
@ 0x0320, 14
@ 0x0326, 32
@ 0x0328, 6
@ 0x032A, 118
@ 0x032D, 13
@ 0x032E, 3
@ 0x0334, 1
@ 0x0338, 297
@ 0x033C, 1
@ 0x033E, 287
@ 0x0340, 8
@ 0x0342, 8
@ 0x0344, 6
@ 0x0346, 3
@ 0x0348, 8
@ 0x034A, 59
@ 0x034C, 29
