ifds_ApertureValue ,Count
284416/65536, 3471
284672/65536, 8
286/100, 1097
2865919/1000000, 5
2866/1000, 98
2867/1024, 2
286720/65536, 5947
287/100, 12
288573/65536, 7
289/100, 27
29/10, 543
29/8, 59
290/100, 141
291/32, 1
292639/65536, 106
293/100, 51
294912/65536, 83
296620/65536, 89
296875/100000, 2
297/100, 32069
2970/1000, 462
2970854/1000000, 69
2970855/1000000, 1
2971/1000, 338
29716/10000, 1588
298/100, 150
299/100, 8
3/1, 5298
3/128, 1
3/139, 1
3/95, 2
30/10, 3741
30/30, 1
300/100, 6449
300520/65536, 3
303104/65536, 6634
304340/65536, 3399
305/100, 2
305152/65536, 8
306/100, 1
307/100, 1071
3071/1000, 140
3072/100, 64
3072/1000, 1206
3072/1024, 1
308/100, 12
3082/1000, 110
31/10, 398
310/10, 3
310/100, 582
31141/3734, 1
311756/65536, 30
312/100, 1
315/100, 1
315358/65536, 1
316/100, 175
3169/1000, 1
317/100, 85
3170/1000, 98
3171/1000, 12
318/100, 85
3180/1000, 19
319/100, 36
32/10, 427
32/8, 15
320/100, 3999
3200/1000, 1
321/100, 7
322/100, 1
322363/65536, 4
323/100, 153
323/128, 4347
324/100, 39
325/100, 9
325632/65536, 11
325770/65536, 9605
326/100, 1388
3263/1000, 51
3264/1000, 229
3265/1000, 107
327/100, 1
327680/65536, 16362
328/100, 2
329/100, 1
32993/3941, 1
33/10, 684
33/5, 3
330/100, 803
332/100, 1
333/100, 155
3347/1000, 6
335/100, 360
3356/100, 3
3356/1000, 4630
3356140/1000000, 1
3356144/1000000, 15
3357/1000, 99
33598/5057, 1
336/100, 1246
339043232/134217728, 2
34/10, 1462
340/100, 1916
342/100, 2
344/100, 1216
3443/1000, 4
3445/1000, 6
345/100, 7
346/100, 1
347/100, 125
348/100, 131
348042/65536, 2105
348160/65536, 4
35/10, 1312
35/100, 13
35/8, 26
350/100, 552
3500/1000, 1
35055/10000, 6
351/100, 1
352256/65536, 4471
353/100, 335
3530/1000, 30
3531/1000, 21
355/100, 1
356/100, 3
35753/10653, 7
3577/1000, 982
3581/1000, 5
359683/65536, 93
36/10, 611
36/12, 6
360/100, 2630
360448/65536, 116
361/100, 2002
3610000/1000000, 2
3613/1000, 7
3614/1000, 1
361471/100000, 101
361471557/100000000, 1
3615/1000, 90
362/100, 465
363/100, 1
366/100, 108
367/100, 332
368/100, 8
368640/65536, 5047
369/100, 407
369098752/134217728, 1
3695/100, 2
3695/1000, 17
3696/1000, 34
37/10, 683
37/37, 1
37/5, 5
37/8, 19
370/100, 833
370381/65536, 1
370648/65536, 3336
370688/65536, 2
371/100, 9
372/100, 89
3720/1000, 10
373/100, 255
374/100, 19
374784/65536, 2
375/100, 14
375901/65536, 1
376/100, 3
