ifds_ISOSpeedRatings ,Count
226, 48
2268, 1
227, 80
228, 86
2282, 1
229, 42
229, 0, 0, 4
2291, 1
2294, 1
23, 1
230, 94
231, 45
2314, 1
232, 35
233, 37
234, 30
235, 171
2350, 1
2359, 1
236, 35
2362, 1
2365, 1
237, 31
238, 38
239, 24
2394, 1
24, 6
240, 475
2400, 8
2406, 1
241, 28
242, 31
2425, 5
2426, 2
243, 29
2432, 1
2436, 2
244, 36
2446, 18
2447, 6
245, 37
246, 75
246, 0, 0, 2
2461, 4
247, 20
2476, 12
248, 46
249, 29
2494, 1
2496, 2
25, 249
250, 24306
250, 0, 0, 83
2500, 2268
251, 27
2512, 3
2514, 1
2519, 2
252, 38
253, 145
254, 25
255, 28
256, 54
25600, 63
2569, 1
257, 35
2576, 1
258, 22
2586, 25
259, 45
26, 4
260, 56
261, 26
262, 29
263, 31
264, 45
264, 0, 0, 6
2640, 2
265, 19
2650, 1
2651, 3
266, 31
267, 20
2672, 2
268, 29
2688, 1
269, 21
27, 2
270, 40
271, 43
2713, 1
272, 25
2720, 1
273, 33
274, 14
275, 31
2750, 2
2752, 1
276, 58
277, 120
278, 31
2784, 3
279, 22
280, 781
280, 280, 1
2800, 71
281, 30
282, 181
282, 0, 0, 4
283, 40
284, 27
285, 21
286, 21
287, 18
2878, 1
288, 51
289, 20
290, 49
2900, 1
291, 26
2912, 1
292, 21
2928, 1
293, 20
294, 21
295, 61
2952, 2
296, 28
297, 22
298, 34
299, 18
2992, 3
30, 12
300, 497
3008, 1
301, 45
302, 16
303, 49
303, 0, 0, 3
304, 63
305, 27
306, 35
307, 18
308, 43
309, 19
310, 28
3100, 1
3104, 1
311, 18
312, 26
313, 23
314, 16
315, 16
316, 44
317, 19
318, 37
319, 22
32, 10177
320, 25346
320, 0, 0, 96
320, 320, 2
3200, 11834
321, 45
322, 84
323, 21
324, 28
3248, 1
325, 35
325, 0, 0, 2
326, 17
3266, 1
327, 25
32770, 1
328, 14
329, 22
3296, 1
330, 16
331, 24
332, 33
333, 17
334, 17
3344, 1
335, 14
336, 25
337, 33
3376, 1
338, 41
339, 19
34, 4
340, 18
3400, 5
341, 16
342, 18
3424, 1
343, 19
344, 20
3440, 1
345, 23
346, 17
347, 18
3472, 2
348, 31
348, 0, 0, 2
3488, 1
349, 15
350, 36
351, 32
352, 10
3520, 1
353, 22
3536, 4
354, 19
355, 13
3552, 2
356, 15
3568, 1
357, 18
358, 16
3584, 1
359, 21
36, 2
360, 664
3600, 7
3602, 1
361, 14
3616, 1
362, 22
363, 9
3632, 1
364, 39
365, 13
366, 26
367, 19
368, 22
3680, 1
369, 10
37, 2
370, 102
371, 13
372, 33
372, 0, 0, 2
373, 14
374, 41
375, 25
376, 12
3760, 1
377, 14
3776, 3
378, 19
379, 11
3792, 1
38, 44
380, 17
381, 18
382, 13
383, 28
384, 22
3840, 1
385, 16
386, 8
387, 15
388, 26
389, 17
39, 7
390, 46
3904, 2
391, 21
392, 12
393, 35
394, 11
395, 16
396, 10
397, 14
398, 20
3984, 1
399, 7
4, 37
40, 5282
400, 125976
400, 0, 1
400, 0, 0, 57
400, 400, 37
4000, 715
401, 8
402, 7
403, 8
404, 11
405, 8
406, 28
407, 12
408, 4
409, 6
4098, 1
41, 3
410, 6
411, 11
412, 209
