quality ,Count
13.594999999999999, 1
14.05, 1
14.405000000000001, 1
14.46, 1
15.024999999999999, 19
15.27, 1
15.695, 2
15.905, 1
16.34, 3
16.66, 1
16.68, 1
16.775, 1
16.905, 1
16.925, 1
16.985, 2
17.229999999999997, 1
17.4, 1
17.58, 1
17.615000000000002, 1
17.775, 1
17.82, 1
17.880000000000003, 1
18.055, 1
18.21, 2
18.345, 27
18.4, 1
18.814999999999998, 1
18.85, 1
19.03, 10
19.205, 1
19.34, 2
19.395, 1
19.6, 1
19.604999999999997, 1
19.744999999999997, 3
20.055, 6
20.134999999999998, 1
20.405, 3
20.745, 1
20.79, 1
20.814999999999998, 1
20.845, 1
21.055, 1
21.275, 1
21.505, 2
21.54, 1
21.645000000000003, 1
21.86, 2
21.935, 1
22.015, 1
22.04, 3
22.195, 1
22.255, 2
22.52, 1
22.59, 1
22.630000000000003, 1
23, 1
23.04, 2
23.175, 1
23.685, 1
23.765, 1
23.775, 2
23.854999999999997, 1
24.045, 2
24.07, 1
24.134999999999998, 2
24.17, 2
24.195, 3
24.625, 2
24.939999999999998, 1
24.994999999999997, 1
25, 80
25.35, 1
25.354999999999997, 2
25.64, 1
25.740000000000002, 1
25.785, 2
26.015, 1
26.03, 10
26.125, 1
26.240000000000002, 1
26.405, 2
26.575, 1
26.64, 1
26.775, 1
26.78, 1
26.905, 1
26.985, 1
26.990000000000002, 1
27.009999999999998, 1
27.04, 1
27.244999999999997, 1
27.39, 1
27.475, 1
27.53, 1
27.880000000000003, 1
27.89, 1
27.96, 4
27.990000000000002, 2
28.09, 1
28.119999999999997, 2
28.205, 1
28.39, 1
28.520000000000003, 1
28.695, 1
28.97, 1
29.055, 1
29.075, 2
29.095, 1
29.14, 1
29.15, 1
29.185000000000002, 1
29.25, 1
29.315, 1
29.585, 1
29.605, 1
29.62, 1
29.77, 1
29.775, 2
30.1, 1
30.105, 1
30.119999999999997, 33
30.25, 1
30.295, 1
30.314999999999998, 1
30.555, 1
30.65, 1
30.744999999999997, 2
30.755, 1
30.83, 1
30.84, 1
30.97, 3
31.064999999999998, 1
31.24, 1
31.28, 1
31.325, 1
31.495, 1
31.564999999999998, 1
31.630000000000003, 1
31.81, 1
31.87, 3
32.005, 1
32.07, 3
32.095, 1
32.105, 1
32.105000000000004, 1
32.230000000000004, 2
32.26, 1
32.47, 1
32.510000000000005, 1
32.625, 1
32.650000000000006, 1
32.67, 1
32.80500000000001, 1
32.825, 1
32.875, 1
32.89, 1
32.955, 1
32.965, 1
33.055, 1
33.14, 1
33.16, 2
33.224999999999994, 1
33.245000000000005, 1
33.33, 1
33.56, 1
33.595, 3
33.835, 1
33.845, 1
33.9, 1
33.935, 2
33.965, 4
34.02, 1
34.205, 1
34.224999999999994, 1
34.29, 1
34.370000000000005, 1
34.555, 1
34.61, 1
34.805, 1
34.9, 1
34.94, 1
34.97, 2
34.99, 1
35.07, 1
35.14, 118
35.18, 1
35.21, 1
35.239999999999995, 1
35.295, 188
35.33, 1
35.345, 2
35.415, 1
35.45, 1
35.475, 1
35.605, 1
35.665, 1
35.675, 1
35.835, 2
35.84, 1
35.959999999999994, 1
35.975, 1
35.995000000000005, 1
36.06, 1
36.07, 1
36.08, 1
36.155, 30
36.22, 3
36.23, 1
36.239999999999995, 1
36.45, 1
36.535, 1
36.58, 23
36.695, 1
36.755, 1
36.775, 1
37, 14
37.015, 1
37.085, 1
37.315, 1
37.489999999999995, 1
37.535, 1
37.585, 3
37.605000000000004, 1
37.635, 1
37.965, 1
37.974999999999994, 1
38.03, 1
38.155, 34
38.175, 1
38.195, 1
38.22, 1
38.235, 1
38.275, 1
38.3, 1
38.315, 1
38.415, 2
38.47, 1
38.495, 1
38.519999999999996, 1
38.55, 1
38.715, 1
38.73, 1
38.745000000000005, 1
38.775, 1
38.805, 1
38.875, 1
38.93, 1
39.055, 15
39.06, 1
39.129999999999995, 1
39.17, 1
39.28, 1
39.504999999999995, 1
39.565, 1
39.665000000000006, 1
39.849999999999994, 1
39.875, 55
39.955, 1
40.145, 1
40.22, 3
40.224999999999994, 1
40.269999999999996, 1
40.29, 1
40.400000000000006, 1
40.545, 1
40.565, 2
40.655, 2
40.665, 1
40.725, 1
40.81999999999999, 1
40.84, 1
40.925, 1
41.08, 1
41.095, 2
41.105000000000004, 1
41.150000000000006, 1
41.155, 1
41.16, 1
41.17, 1
41.28, 14
41.33, 1
41.39, 2
41.41, 1
41.42, 1
41.455, 1
41.59, 1
41.61, 1
41.760000000000005, 1
41.765, 1
41.825, 1
41.955, 1
41.965, 64
42.015, 1
42.065, 1
42.144999999999996, 1
42.245000000000005, 1
42.265, 2
42.31, 1
42.345, 1
42.555, 1
42.584999999999994, 1
42.64, 1
42.705, 1
42.75, 2
42.805, 1
42.82, 2
42.95, 1
42.96, 2
42.965, 1
43.015, 11
43.04, 1
43.065, 1
43.135, 1
43.195, 1
43.25, 1
43.325, 1
43.385, 1
43.45, 2
43.59, 2
43.595, 1
43.625, 1
43.7, 1
43.724999999999994, 1
43.730000000000004, 2
43.745000000000005, 2
43.765, 3
43.81, 3
43.815, 1
43.92, 1
43.965, 1
44.015, 1
44.19, 2
