ifd0_PrimChromaticities ,Count
, 1358825
0/1000000, 0/1000000, 0/10000, 273
16/25, 58
16/25, 33/100, 21/100, 71/100, 11
64/100, 299/1000, 1919184449/, 1
64/100, 33/100, 21/100, 71/10, 21770
6400/10000, 3300/10000, 2100/, 56
