ifds_ImageUniqueID ,Count
, 1348133
., 2
.....-.A.-.A.....7.A., 1
.......A...A.......A., 2
.......A...A......A., 1
.......B...B.......B., 1
......HB..HB......HB., 1
.....=.A.=.A.....G.A., 2
.....M9B.M9B.....W9B., 2
.....}9B.}9B......9B., 1
0, 26
00000000000000000000000000000, 168
00000000000000000000000000001, 30
00000000000000000000000000002, 5
00000000000000000000000000003, 6
00000000000000000000000000004, 1
00000000000000000000000000006, 8
00000000000000000000000000007, 15
00000000000000000000000000786, 1
00000000000000000000000002a02, 1
00000000000000000000000003589, 1
00000000000000000000000003b2b, 1
00000000000000000000000004694, 1
00000000000000000000000004fe2, 1
0000000000000000004CC7F600000, 32
0000000000000000004CC7F600001, 115
0000000000000000004CC7F600002, 1
000560a5185a548b2fcae7d55960c, 1
000862b18d1e601482fc2d08390eb, 1
0037E2EBDFD74F26855C4210DF564, 1
00793d368cdd2eb2512a0a0abfccf, 1
007cba718bb3aabf7d48d50101635, 1
00938845dee53d04382f4c68fa4ce, 1
00994e07a52af0f751ffe28693d96, 1
00b1cd6184831450302b570de3736, 1
00b56471870efb485e9cc020d3f8f, 1
00bed52e0d674306a691f52deab9c, 1
012b3d70dcfd92a7a7d7a8e960f84, 1
01642e6db4f7515b191468c5953d5, 1
02080f49126040730b9be338f1d7a, 1
0239cbe50a1cef088e6c6dbcf6ca1, 1
025016C3FD2D4BD88774496509E62, 1
02523430cc81c0914e82a2f888af7, 1
02aa09e47a630e1aa1cdb53e44224, 1
02b5066bdf2b04eda4ae84a294634, 1
02d33522baa3727998ebc7891e2d9, 1
030193327adf4c4c5dc710ec4f9fc, 1
030641fde5d2948477805d81ddcb7, 1
03d6ed5faea77a4841f566b937c32, 1
046580066e15e6bb2a83a6edf06bb, 1
0482254C6A10471097C51DE9B389F, 1
04B638E40F8741838AF57CEFCC607, 1
04bf17aaee19705ceff47c6632d7c, 1
04ebf9b2e97f151265bdfe03529dc, 1
0505971ba45d97c3c2df025ab8c8e, 1
0591c931a93774be433cfffdb7fbc, 1
05d7e97093d9d72b5ab361267e878, 1
05e14e19104fd215f00702ccf7925, 1
060c3481b8f0771dd45367bf2287d, 1
0612df36db6173b5d8a9071186e93, 1
06566e34f2beacf78a26ac75f1409, 1
06aaed62b052a4f8b47861320f027, 1
06c699261329e5bfdf81d606c1898, 1
0721ffdfde81c9f0858a66d71da60, 1
076a610646891b050169ea400a0d4, 1
08665ca05de9d69bfd6a701ad33fd, 1
0873ba8258a78835998e9782098df, 1
08a849ba9ba4e0c6673f923993f5b, 1
08c0fcd1dc15faa8ddc4254fd3ba8, 1
092d8d2a23608c9e3d110661441c0, 1
09529fc48b20ce8221466cd965d7e, 1
096ca2456950a0dea1f2e3405280a, 1
09acdfac9d462cef182eee50a5402, 1
09dcbbf54afc3804a6b4ec61f0c21, 1
09fa6f44d2a8257bb5ea11192865d, 1
0a2780dcf762206c654232e266882, 1
0a304d0d096e86d1f16dbdd3efa65, 1
0a98e779f8084d5944c5a851ca78c, 1
0aeb6925ce116785df629509f4fdd, 1
0b71779d0eab758af91dd20693eb5, 1
0b724181158717fc5890fe28f7250, 1
0b74a80a4ccc804f856984550e84a, 1
