ifds_SubjectDistance ,Count
739/1000, 2
74/100, 1
741/1000, 1
742/1000, 1
743/1000, 3
7437/1000, 2
745/1000, 1
7455/1000, 1
746/1000, 1
7481/1000, 10
749/1000, 1
75/100, 2
750/100, 1
750/1000, 1
751/1000, 1
753/1000, 2
754/1000, 2
755/1000, 5
756/1000, 15
7569/1000, 1
758/1000, 2
759/1000, 1
76/100, 1
760/1000, 4
760000/1000, 1
761/1000, 1
762/1000, 1
763/1000, 1
7634/1000, 15
7646/1000, 4
765/1000, 1
767/1000, 4
769/100, 7
769/1000, 1
77/100, 3
771/1000, 1
772/1000, 33
773/1000, 17
774/1000, 3
775/1000, 4
776/1000, 1
7762/1000, 1
777/1000, 6
778/1000, 1
781/1000, 3
7813/1000, 1
782/1000, 2
783/1000, 5
7831/1000, 1
7853/1000, 4
7861/1000, 1
788/1000, 2
789/1000, 1
79/100, 2
793/1000, 8
795/1000, 1
796/1000, 1
797/1000, 4
799/1000, 2
80/100, 6
800/1000, 31
804/1000, 2
805/1000, 1
807/1000, 1
8086/1000, 2
809/1000, 2
8094/1000, 2
81/100, 1
811/1000, 3
8117/1000, 6
813/1000, 2
8134/1000, 1
814/1000, 2
815/1000, 3
8153/1000, 5
817/1000, 1
818/1000, 1
819/1000, 2
82/100, 1
820/1000, 2
8221/1000, 3
823/1000, 7
824/1000, 9
826/1000, 3
8263/1000, 4
829/1000, 1
83/1000, 1
830/1000, 1
832/1000, 4
8324/1000, 10
833/100, 16
833/1000, 8
834/1000, 1
836/100, 1
838/1000, 1
839/1000, 1
84/100, 2
840/1000, 1
8406/1000, 1
841/1000, 2
842/1000, 7
843/1000, 4
8442/1000, 1
847/1000, 18
848/1000, 2
849/1000, 2
85/100, 1
850/100, 5
850/1000, 8
852/1000, 1
8528/1000, 1
853/1000, 1
854/1000, 5
855/1000, 1
856/1000, 1
858/100, 1
858/1000, 2
86/100, 1
86/1000, 2
8605/1000, 1
8607/1000, 14
8610/1000, 3
866/1000, 4
8670/1000, 2
868/1000, 1
869/1000, 4
87/100, 2
870/1000, 1
872/1000, 28
8720/1000, 9
873/1000, 3
875/1000, 1
877/1000, 6
878/1000, 1
879/1000, 5
88/100, 3
88/1000, 8
881/1000, 1
883/1000, 2
885/1000, 2
887/1000, 1
8877/1000, 1
888/1000, 1
8892/1000, 1
89/100, 2
8901/1000, 1
891/1000, 3
892/1000, 1
897/1000, 1
898/1000, 1
899/1000, 2
90/1000, 2
900/1000, 2
9016/1000, 7
901880/1000, 1
905/1000, 1
906/1000, 10
908/1000, 6
909/100, 8
909/1000, 3
91/1000, 1
911/1000, 1
9120/1000, 1
9127/1000, 1
913/1000, 3
918/1000, 3
919/1000, 1
92/100, 1
920/1000, 3
9213/1000, 4
9221/1000, 2
9229/1000, 7
923/1000, 1
924/1000, 1
927/1000, 3
929/1000, 1
93/100, 4
932/1000, 1
9321/1000, 2
934/1000, 2
937/1000, 17
938/1000, 4
94/100, 2
94/1000, 3
940/1000, 10
9412/1000, 7
9456/1000, 3
946/1000, 1
947/1000, 1
949/1000, 1
950/1000, 1
951/1000, 2
952/1000, 13
953/1000, 2
955/1000, 1
958/1000, 3
959/1000, 2
96/100, 2
962/1000, 3
965/1000, 2
968/1000, 1
9684/1000, 1
968532/1000, 1
97/1000, 1
970/1000, 2
971/1000, 3
972/1000, 2
974/1000, 1
975/1000, 2
977/1000, 1
978/1000, 1
979/1000, 3
9791/1000, 1
9803/1000, 3
9805/1000, 1
981/1000, 1
982/1000, 1
983/1000, 1
986/1000, 2
9869/1000, 2
989/1000, 1
99/100, 3
992/1000, 1
995/1000, 1
998/1000, 2
9999/100, 95
