ifds_SubjectDistance ,Count
1460/1000, 1
146154/1000, 4
146233/1000, 1
14627/1000, 1
1465/1000, 1
1467/1000, 1
1468/1000, 2
147/100, 1
147/1000, 5
1470/1000, 1
147192/1000, 2
147788/1000, 4
148/100, 1
1480/1000, 17
1481/1000, 1
148215/1000, 1
1483/1000, 1
1485/1000, 3
1486/1000, 3
149/100, 2
149/1000, 2
1492/1000, 1
1493/1000, 1
1494/1000, 1
1496/1000, 3
1497/1000, 2
1498/1000, 7
15/10, 31
15/100, 2
150/1000, 3
1500/1000, 2
1507/1000, 11
150752/1000, 1
1509/1000, 2
1513/1000, 1
1515/1000, 1
151770/1000, 1
152/100, 1
152/1000, 3
1527/1000, 3
153/1000, 2
153933/1000, 1
154/100, 1
154/1000, 3
1547/1000, 1
1550/1000, 26
155036/1000, 1
1553/1000, 4
1556/1000, 1
155753/1000, 3
1558/1000, 1
1559/1000, 1
156/100, 1
156044/1000, 2
1561/1000, 1
15654/1000, 3
1567/1000, 1
15686/1000, 1
157/1000, 1
1572/1000, 1
15798/1000, 1
158/1000, 2
159/1000, 3
1595/1000, 10
1601/1000, 1
16029/1000, 1
1603/1000, 5
1605/1000, 1
160607/1000, 1
160675/1000, 1
1607/1000, 2
160903/1000, 1
161/100, 2
161/1000, 2
161072/1000, 1
1611/1000, 3
1612/1000, 1
161511/1000, 1
1616/1000, 3
1617/1000, 2
1618/1000, 1
161803/1000, 1
1619/1000, 1
162/100, 8
1622/1000, 1
1625/1000, 1
162638/1000, 2
163/100, 1
163/1000, 5
1631/1000, 12
163717/1000, 4
1639/1000, 1
164/100, 5
164/1000, 2
1640/1000, 4
164045/1000, 1
1641/1000, 1
16428/1000, 1
164286/1000, 1
1643/1000, 1
1644/1000, 1
1652/1000, 14
1653/1000, 7
1657/1000, 1
165781/1000, 1
165935/1000, 1
166/100, 2
1660/1000, 2
1663/1000, 1
1666/100, 16
1666/1000, 8
1668/1000, 1
167/1000, 2
1670/1000, 2
1671/1000, 1
167416/1000, 1
167500/1000, 1
1677/1000, 1
1679/1000, 1
168/10, 2
1680/1000, 1
168232/1000, 1
1688/1000, 1
1689/1000, 7
169/100, 1
169/1000, 3
1692/1000, 1
169231/1000, 3
1694/1000, 2
1695/1000, 4
17/100, 1
17/25, 2
170/100, 2
170/1000, 1
1700/100, 7
1700/1000, 2
1702/1000, 1
1706/1000, 2
1707/1000, 1
170787/1000, 2
1708/1000, 1
1710/1000, 1
1712/1000, 2
1716/1000, 1
171682/1000, 3
1718/1000, 1
172/1000, 2
1721/1000, 1
1722/1000, 3
1726/100, 2
1728/1000, 1
1729/1000, 2
173/1000, 3
1730/1000, 3
1732/1000, 3
1733/1000, 1
17350/1000, 1
17387/1000, 5
1739/1000, 1
174/100, 1
174158/1000, 2
17495/1000, 13
175/100, 1
175/1000, 1
1751/1000, 1
1752/1000, 1
176/100, 1
1764/1000, 1
1765/1000, 2
1767/1000, 1
1768/1000, 1
1769/1000, 3
177/1000, 1
17712/1000, 1
1774/1000, 1
177529/1000, 1
178/100, 2
178/1000, 2
1785/1000, 1
1786/1000, 3
1788/1000, 1
178948/1000, 1
1793/1000, 2
1796/1000, 1
17988/1000, 1
180/1000, 3
1805/1000, 3
1807/1000, 5
180899/1000, 1
181/100, 1
1810/1000, 1
1811/1000, 1
1818/1000, 1
1823/100, 2
1824/1000, 1
182471/1000, 1
183/100, 1
1832/1000, 4
1833/1000, 1
1836/1000, 6
183629/1000, 1
184/100, 2
184/1000, 3
1843/1000, 1
1844/1000, 5
1845/1000, 2
1848/1000, 5
185/100, 3
185/1000, 4
1851/1000, 1
1856/1000, 1
1857/1000, 1
185715/1000, 1
1858/1000, 1
18586/1000, 1
18633/1000, 1
1865/1000, 30
1866/1000, 1
187/1000, 2
187291/1000, 1
187611/1000, 1
187641/1000, 1
1880/1000, 1
1881/1000, 2
1882/1000, 1
1887/1000, 1
189/100, 3
189011/1000, 1
1897/1000, 1
18978/1000, 4
19/100, 1
1900/1000, 1
190302/1000, 1
1905/1000, 1
191/1000, 1
1912/1000, 1
191593/1000, 1
1916/1000, 1
192/100, 7
192/1000, 3
192308/1000, 1
1925/1000, 4
193/100, 1
193/1000, 1
1932/1000, 1
1942/1000, 1
1943/1000, 1
1946/1000, 4
19483/1000, 1
1949/1000, 1
195/100, 2
195/1000, 4
1951/1000, 1
1955/1000, 1
19554/1000, 7
196/100, 6
196/1000, 4
1961/1000, 2
1962/1000, 1
196429/1000, 1
196567/1000, 1
1969/1000, 1
1970/1000, 399
1977/1000, 1
1978/1000, 1
1979/1000, 1
198/1000, 1
1980/1000, 1
1986/1000, 1
1987/1000, 1
1989/1000, 1
198902/1000, 2
199/1000, 2
1991/1000, 1
1997/1000, 1
200/1000, 16
2000/100, 19
2000/1000, 74
20000/1000, 1
2002/1000, 2
2006/1000, 1
201/1000, 1
2012/1000, 1
2014/1000, 1
202/100, 2
202/1000, 1
202198/1000, 1
202440/1000, 1
2027/1000, 2
2029/1000, 29
20319/1000, 2
2039/1000, 4
204/1000, 2
2041/1000, 1
2044/1000, 1
204495/1000, 1
2050/1000, 4
205495/1000, 1
206/1000, 3
2061/1000, 69
2065/1000, 1
2066/1000, 6
2069/1000, 1
2070/1000, 4
2072/1000, 2
207523/1000, 1
207866/1000, 1
208/100, 1
2084/1000, 1
208792/1000, 2
209/1000, 1
2090/1000, 1
2098/1000, 1
210/1000, 1
2103/1000, 1
2105/1000, 1
2108/1000, 1
2109/1000, 1
211/1000, 2
211236/1000, 1
2114/1000, 1
211505/1000, 1
212/100, 3
212/1000, 2
212018/1000, 1
2121/1000, 1
2122/1000, 2
2129/1000, 1
213/100, 1
2130/1000, 4
2132/1000, 2
2134/1000, 4
21399/1000, 1
214/1000, 2
2140/1000, 2
2144/1000, 1
2145/1000, 1
2147/1000, 2
215/100, 3
2150/1000, 1
2157/1000, 2
21594/1000, 9
216/1000, 3
2160/1000, 1
2165/1000, 1
2166/1000, 1
217/100, 3
217/1000, 1
2170/1000, 1
2175/1000, 1
2179/1000, 4
218/100, 7
2180/1000, 1
2182/1000, 4
2188/1000, 1
2189/1000, 2
219/1000, 4
2190/1000, 2
2191/1000, 1
2192/1000, 3
219470/1000, 1
2198/1000, 1
22/100, 1
2200/1000, 1
221/1000, 4
2210/1000, 1
2215/1000, 55
2219/1000, 1
221979/1000, 1
222/10, 3
2221/1000, 2
2227/1000, 3
223/100, 2
22340/1000, 3
223452/1000, 1
2235/1000, 2
223606/1000, 1
223750/1000, 1
2244/1000, 7
224720/1000, 1
2250/1000, 5
225275/1000, 1
2253/1000, 4
225582/1000, 1
2258/1000, 19
226/1000, 1
22674/1000, 2
227/100, 4
227/1000, 1
22727/1000, 1
2278/1000, 1
228/100, 2
2280/1000, 1
2281/1000, 12
2283/1000, 1
2285/1000, 2
228572/1000, 1
229/1000, 2
23/100, 1
230/1000, 3
23083/1000, 1
2312/1000, 2
2313/1000, 1
231416/1000, 2
2317/1000, 1
