ifd1_XResolution ,Count
, 74554
-1048577/-1207959553, 1
-1064976256/-1031421569, 2
-1107460101/-513, 1
-1107461125/-513, 1
-1115570047/-1065304449, 1
-1338178496/1073775872, 1
-1338244032/1073775872, 1
-1533842540/-1550685550, 1
-1570477985/-1587254939, 1
-1689157918/-27035925, 1
-1768393833/-1768458853, 1
-1804307852/-1804307852, 1
-1874853884/272908849, 2
-1879014252/1082409525, 3
-1879014252/1082540597, 1
-1879014268/1082409521, 1
-1879014268/1082540593, 6
-1879014272/1082540593, 1
-1988723584/-2005566349, 1
-2004641788/-1769794237, 1
-2032762922/-1999208489, 4
-2038203741/-1898741598, 1
-2050981696/-2050850879, 3
-2085192779/-2085061448, 1
-2088237928/-2087304427, 2
-2108655007/2102100803, 1
-2111733752/2084700468, 1
-2143190972/-2143125438, 1
-2147449708/1082409521, 1
-2147449724/1082409521, 2
-2147450880/393265, 1
-268566561/-135268353, 1
-34611201/-403177481, 1
-695806337/-695675009, 4
-712059782/-712125061, 1
-75826817/-58786687, 1
-805437474/-135792641, 1
-805437602/-135792641, 2
-997276039/-980499339, 1
0/-2143289280, 1
0/-2147483648, 1
0/0, 638
0/1, 55
0/1082146816, 3
0/1082146817, 1
0/2048, 1
0/2621442, 1
0/8388609, 1
1/0, 1
1/1, 47008
1/65536, 1
1/96, 912
10/1, 3
100/1, 1
1000/1, 2
1002516/10000, 1
1008517/10000, 1
102/1, 1
1032007298/1082212223, 1
1048576/0, 1
1048576/2048, 2
1052040/-2139092970, 15
1053738/10000, 1
1081476/-2042613438, 1
1082500/-2042613438, 4
1083180032/1141911874, 1
1086596/-2076166846, 2
11445/0, 1
117901317/134809863, 9
1207959552/16777216, 1860
128/0, 5
128/1082146817, 1
128/1082277889, 1
128/16385, 1
128/8404993, 3
128/8405505, 1
131072/0, 1
1315982713/1299140217, 1
134251520/101123590, 776
1350006/10000, 1
135299072/-1533476559, 1
135300096/-1533476559, 1
1393333/10000, 1
144/1, 1
1440000/10000, 74
150/1, 548
1500/1, 5
1589333/10000, 1
160/0, 44
1738500505/1637310747, 1
178/1, 1
180/1, 262042
1800000/10000, 353
1949444/10000, 1
1955886194/1955886194, 1
1971356034/2070248553, 1
1987742586/1903922301, 1
1988722812/1971876732, 2
20/188, 168
200/1, 1
2000/1, 13
2000000/10000, 13
2048/22, 1
2048000/10000, 1
2049929008/2066903092, 1
2121758835/2121300088, 1
2127658189/-2083030568, 1
2134736915/-2142993851, 1
2144502/10000, 1
2160000/10000, 1
2250000/10000, 2
230/1, 1
2300000/10000, 5
2354666/10000, 1
2374666/10000, 1
2397/0, 1
240/1, 46
2410000/10000, 1
2468499/10000, 1
256/1, 2
2592/22, 2
2650000/10000, 3
268435456/0, 2
268435456/8, 3
268435588/1082540593, 1
268469376/1082540593, 3
268469380/1082540593, 4
268469396/1082409525, 2
268470285/-2139089400, 16
268959744/33554440, 4
268959872/-1717292799, 1
2788/0, 1
2930/0, 1
300/1, 173839
3000000/10000, 172
301/1, 24
314/1, 11
314000/1000, 1
3140000/10000, 16
3145728/8388608, 1
320/0, 7
320/1, 135
3264/22, 113
32768/-2080366270, 2
32768/-2147483328, 3
3297/0, 1
33920/1082409521, 1
33920/1082540593, 1
33924/-2143289344, 1
350/1, 5734
3500000/10000, 5
360/1, 6
371/1, 2
3713/0, 1
384/1, 1
385/1, 4
3998/0, 1
4/892219648, 5
40/1, 1
400/1, 2
4000000/10000, 1
4011/0, 1
4054/0, 1
407/1, 2
414/1, 4
416/1, 5
42/174, 8
427/1, 1
432/1, 2
434/1, 3
438/1, 6
441/1, 7
442/1, 3
4449/0, 1
4477/0, 1
45000/10000, 16
453/1, 5
454/1, 3
456/1, 4
459/1, 6
462/1, 6
4620/0, 1
4628/0, 1
465/1, 4
471/1, 6
4727/0, 1
474/1, 4
477/1, 5
480/1, 809
4800/0, 1
4800000/10000, 1
486/1, 4
487/1, 1
4898/0, 1
490/1, 7
500/1, 1
