ifds_SubjectLocation1 ,Count
, 1282291
0, 162
0, 0, 0, 0, 58
0, 0, 226, 226, 1
0, 0, 251, 254, 1
0, 0, 400, 300, 10
0, 0, 512, 384, 3
0, 1572, 701, 706, 1
0, 1632, 0, 1224, 7
0, 1652, 766, 771, 1
0, 1920, 0, 1080, 6
0, 26630, 0, 40963, 32
0, 26630, 0, 53252, 113
0, 26630, 256, 52484, 14
0, 26630, 39680, 13060, 368
0, 26630, 512, 39427, 74
0, 3239, 1045, 1051, 1
0, 49155, 6144, 59394, 1
0, 5, 0, 48131, 2
0, 5, 38912, 26627, 1
0, 7172, 47872, 22277, 14
1, 153
1, 1, 1, 1, 9
1000, 1099, 610, 612, 1
1000, 1351, 610, 612, 1
1000, 600, 200, 120, 3
1000, 600, 200, 200, 11
1001, 1561, 607, 609, 1
1001, 532, 484, 484, 1
1001, 646, 484, 484, 1
1001, 813, 484, 484, 1
1001, 997, 484, 484, 1
1002, 1107, 382, 384, 1
1002, 1179, 382, 384, 1
1002, 1738, 326, 326, 1
1002, 390, 150, 150, 1
1002, 508, 382, 384, 1
1002, 576, 382, 384, 1
1002, 700, 382, 384, 1
1002, 738, 382, 384, 1
1002, 752, 382, 384, 1
1002, 768, 690, 690, 1
1002, 897, 382, 384, 1
1002, 930, 382, 384, 1
1002, 940, 382, 384, 1
1003, 1184, 610, 612, 2
1003, 1294, 240, 240, 1
1003, 1493, 610, 612, 1
1003, 607, 610, 612, 1
1003, 996, 610, 612, 1
1004, 1049, 484, 484, 1
1004, 609, 484, 484, 1
1004, 842, 484, 484, 1
1006, 1493, 610, 612, 1
1006, 873, 484, 484, 1
1006, 935, 610, 612, 1
1007, 1320, 366, 366, 1
1007, 702, 450, 450, 1
1008, 1026, 382, 384, 1
1008, 1201, 382, 384, 1
1008, 312, 306, 306, 1
1008, 360, 138, 138, 1
1008, 614, 382, 384, 1
1008, 743, 382, 384, 1
1008, 752, 382, 384, 1
1008, 800, 382, 384, 1
1008, 824, 382, 384, 1
1008, 834, 382, 384, 1
1008, 852, 256, 256, 1
1009, 1018, 484, 484, 1
1009, 1447, 484, 482, 1
1009, 828, 484, 484, 1
1009, 884, 484, 484, 1
1010, 1246, 610, 612, 1
1010, 1471, 610, 612, 1
1010, 1782, 610, 612, 1
1010, 1811, 610, 612, 1
1010, 993, 610, 612, 1
1011, 1347, 484, 484, 1
1011, 718, 484, 484, 1
1011, 776, 484, 484, 1
1011, 818, 609, 609, 1
1012, 1345, 382, 380, 1
1012, 576, 382, 384, 1
1012, 681, 158, 158, 1
1012, 695, 382, 384, 2
1012, 777, 382, 384, 1
1012, 781, 382, 384, 1
1012, 786, 382, 384, 1
1012, 892, 382, 384, 1
1013, 1669, 610, 612, 1
1013, 1804, 610, 612, 1
1013, 1904, 610, 612, 1
1014, 1099, 484, 484, 1
1014, 1140, 484, 484, 1
1014, 1362, 484, 484, 1
1014, 1863, 221, 222, 1
1014, 877, 484, 484, 1
1015, 1548, 629, 631, 1
1016, 1012, 382, 384, 1
1016, 1243, 610, 612, 1
1016, 1326, 610, 612, 1
1016, 1463, 610, 612, 1
1016, 1510, 610, 612, 1
1016, 307, 202, 198, 1
1016, 576, 382, 384, 1
1016, 580, 382, 384, 1
1016, 589, 382, 384, 1
1016, 680, 382, 384, 1
1016, 695, 382, 384, 1
1017, 981, 484, 484, 1
1018, 1320, 382, 384, 1
1018, 1381, 202, 203, 1
1019, 1105, 484, 484, 1
