ifds_ExifInteroperabilityOffset ,Count
@ 0x02CA, 28
@ 0x02CC, 176
@ 0x02CD, 13
@ 0x02CE, 34
@ 0x02D0, 13
@ 0x02D2, 6197
@ 0x02D4, 19
@ 0x02D8, 24
@ 0x02DB, 5
@ 0x02DC, 3
@ 0x02DE, 48
@ 0x02DF, 70
@ 0x02E0, 113
@ 0x02E2, 15
@ 0x02E5, 24
@ 0x02E8, 1
@ 0x02EB, 253
@ 0x02EC, 14
@ 0x02EE, 99
@ 0x02F0, 4
@ 0x02F1, 1
@ 0x02F2, 847
@ 0x02F4, 98
@ 0x02F5, 2
@ 0x02F6, 3781
@ 0x02F8, 4
@ 0x02F9, 14
@ 0x02FC, 12
@ 0x02FE, 58
@ 0x0300, 76
@ 0x0301, 10
@ 0x0302, 40
@ 0x0304, 65
@ 0x0305, 5
@ 0x0306, 1
@ 0x0308, 48
@ 0x030A, 45
@ 0x030C, 3
@ 0x030E, 3
@ 0x0310, 3
@ 0x0311, 1
@ 0x0312, 2
@ 0x0314, 1448
@ 0x0316, 810
@ 0x031A, 4
@ 0x031C, 9
@ 0x031E, 8
@ 0x0320, 290
@ 0x0322, 8
@ 0x0324, 11
@ 0x0325, 7
@ 0x0326, 17
@ 0x0328, 1712
@ 0x032A, 8
@ 0x032C, 120
@ 0x032E, 30
@ 0x0330, 138
@ 0x0332, 62
@ 0x0334, 11
@ 0x0335, 9
@ 0x0336, 61
@ 0x0337, 1
@ 0x0338, 117
@ 0x033A, 520
@ 0x033B, 2
@ 0x033C, 13
@ 0x033E, 20
@ 0x033F, 1
@ 0x0340, 378
@ 0x0341, 52
@ 0x0342, 43
@ 0x0343, 6
@ 0x0346, 3
@ 0x0347, 5
@ 0x0348, 78
@ 0x0349, 1
@ 0x034B, 2
@ 0x034C, 16
@ 0x034E, 16
@ 0x0350, 39
@ 0x0354, 66
@ 0x0355, 36
@ 0x0356, 2
@ 0x0358, 25
@ 0x0359, 1
@ 0x035A, 213
@ 0x035E, 34
@ 0x035F, 1
@ 0x0361, 1
@ 0x0362, 164
@ 0x0363, 29
@ 0x0364, 2
@ 0x0365, 91
@ 0x0366, 8
@ 0x036A, 481
@ 0x036C, 55
@ 0x036E, 174
@ 0x036F, 28
@ 0x0370, 9
@ 0x0371, 34
@ 0x0372, 77
@ 0x0373, 5
@ 0x0374, 239
@ 0x0376, 10715
@ 0x0377, 6
@ 0x0378, 1830
@ 0x037A, 855
@ 0x037C, 27
@ 0x037D, 29
@ 0x037E, 33
@ 0x0380, 192
@ 0x0381, 1
@ 0x0382, 1
@ 0x0384, 408
@ 0x0385, 1
@ 0x0386, 1338
@ 0x0388, 2
@ 0x0389, 2
@ 0x038C, 24
@ 0x038E, 145
@ 0x0390, 3395
@ 0x0392, 6
@ 0x0393, 3
