ifds_ExifInteroperabilityOffset ,Count
@ 0x34D2, 1
@ 0x34D6, 1
@ 0x34E1, 2
@ 0x34EA, 1
@ 0x34F0, 1
@ 0x34F8, 1
@ 0x34FC, 1
@ 0x34FE, 1
@ 0x3500, 1
@ 0x3502, 1
@ 0x3504, 1
@ 0x350A, 2
@ 0x350C, 5
@ 0x3514, 1
@ 0x351C, 3
@ 0x351E, 13
@ 0x3520, 70
@ 0x3522, 1
@ 0x3526, 17
@ 0x352A, 1
@ 0x352C, 227
@ 0x3530, 1
@ 0x3532, 2
@ 0x3534, 1
@ 0x3536, 1
@ 0x3538, 2
@ 0x353E, 6
@ 0x3540, 1755
@ 0x3542, 8
@ 0x3546, 1
@ 0x354A, 1
@ 0x354E, 1
@ 0x3556, 1
@ 0x355A, 7
@ 0x3560, 9
@ 0x3562, 1010
@ 0x3568, 1
@ 0x356E, 1
@ 0x3578, 1
@ 0x3582, 1
@ 0x3584, 2
@ 0x358C, 1
@ 0x3596, 1
@ 0x35A2, 1
@ 0x35B4, 1
@ 0x35C4, 1
@ 0x35C8, 1
@ 0x35CA, 1
@ 0x35CC, 4
@ 0x35CE, 1
@ 0x35D2, 11
@ 0x35D4, 1
@ 0x35D6, 2
@ 0x35EC, 1
@ 0x35F6, 1
@ 0x35F8, 821
@ 0x35FC, 59
@ 0x35FE, 1
@ 0x3606, 1
@ 0x360C, 14
@ 0x361A, 2
@ 0x361E, 1
@ 0x3620, 24
@ 0x3628, 1
@ 0x362A, 2
@ 0x362C, 1
@ 0x3630, 2
@ 0x363C, 1
@ 0x363E, 1
@ 0x3642, 1
@ 0x3647, 1
@ 0x364A, 1
@ 0x3650, 1
@ 0x365E, 1
@ 0x3662, 2
@ 0x3670, 1
@ 0x367E, 3
@ 0x368E, 1
@ 0x368F, 1
@ 0x3692, 2
@ 0x3696, 71
@ 0x369A, 241
@ 0x369C, 225
@ 0x36A6, 1
@ 0x36AA, 11
@ 0x36B6, 1
@ 0x36D0, 1
@ 0x36DC, 1
@ 0x36E0, 2
@ 0x36E8, 1
@ 0x36F4, 1
@ 0x36F8, 2
@ 0x36FA, 12
@ 0x36FC, 65
@ 0x36FE, 1
@ 0x3700, 201
@ 0x3706, 1
@ 0x370A, 3
@ 0x370C, 1
@ 0x3710, 13
@ 0x3714, 4
@ 0x371A, 1
@ 0x371E, 1
@ 0x3720, 22
@ 0x3728, 1
@ 0x372A, 2
@ 0x3730, 1
@ 0x373A, 1
@ 0x373C, 1
@ 0x373E, 1
@ 0x374C, 1
@ 0x374E, 2
@ 0x3750, 1
@ 0x375E, 1
@ 0x3764, 7
@ 0x3766, 1
@ 0x376E, 4
@ 0x3770, 54
@ 0x3772, 1
@ 0x3774, 1
@ 0x3776, 1
@ 0x3780, 3
@ 0x3782, 1
@ 0x3790, 1
@ 0x379E, 1
@ 0x37A6, 1
@ 0x37AE, 1
@ 0x37B4, 2
@ 0x37B6, 1
@ 0x37BE, 1
@ 0x37C2, 1
@ 0x37CC, 1
@ 0x37D6, 1
@ 0x37DC, 1
@ 0x37E4, 1
@ 0x37EA, 1
@ 0x37FA, 43
@ 0x37FB, 1
@ 0x3806, 1
@ 0x3808, 1
@ 0x380C, 1
@ 0x380E, 1
@ 0x381E, 1
@ 0x3820, 1
@ 0x3824, 1
@ 0x3834, 1
@ 0x3848, 1
@ 0x384C, 1
@ 0x3851, 1
@ 0x3858, 1
@ 0x385C, 1
@ 0x3866, 2
@ 0x387A, 3
@ 0x3882, 1
@ 0x3884, 36
@ 0x3886, 1
@ 0x388E, 1
@ 0x3890, 401
@ 0x3892, 1
@ 0x3896, 1
@ 0x3898, 1
@ 0x389A, 1
@ 0x389C, 1
@ 0x38A0, 1
@ 0x38A2, 1
@ 0x38AC, 1
@ 0x38AE, 1
@ 0x38B2, 1
@ 0x38B4, 1
@ 0x38BA, 1
@ 0x38C4, 1
@ 0x38C6, 1
@ 0x38CA, 1
@ 0x38D2, 3
@ 0x38D4, 1
@ 0x38DE, 1
@ 0x38E0, 1
@ 0x38E6, 3
@ 0x38EA, 1
@ 0x38F2, 1
@ 0x38FA, 1
@ 0x38FC, 1
@ 0x390C, 2
@ 0x390E, 1
@ 0x3912, 1
@ 0x391C, 1
@ 0x3929, 1
@ 0x3934, 1
@ 0x3938, 1
@ 0x3942, 1
@ 0x3946, 4
@ 0x3948, 1
@ 0x394E, 1
@ 0x3952, 1
@ 0x3958, 10
@ 0x395A, 2
@ 0x396A, 1
@ 0x396C, 528
@ 0x396E, 1
@ 0x397A, 7
@ 0x397E, 2
@ 0x3988, 1
@ 0x398A, 2
@ 0x398C, 1
@ 0x398E, 1
@ 0x3994, 1
@ 0x39AA, 3
@ 0x39AE, 1
@ 0x39B0, 2
@ 0x39C2, 1
@ 0x39C4, 1
@ 0x39EE, 65
@ 0x39FA, 10
@ 0x39FC, 1
@ 0x3A04, 1
@ 0x3A06, 1
@ 0x3A08, 1
@ 0x3A0C, 1
@ 0x3A0E, 1
@ 0x3A14, 2
@ 0x3A18, 1
@ 0x3A22, 1
@ 0x3A28, 1
@ 0x3A30, 2
@ 0x3A3C, 1
@ 0x3A44, 1
@ 0x3A46, 106
@ 0x3A4A, 2
@ 0x3A4E, 1454
@ 0x3A50, 2
@ 0x3A54, 1
@ 0x3A58, 1
@ 0x3A5C, 1
@ 0x3A66, 2
@ 0x3A6C, 247
@ 0x3A74, 1
@ 0x3A7C, 2
@ 0x3A7E, 1
@ 0x3A81, 1
@ 0x3A86, 1
@ 0x3A88, 1
@ 0x3A90, 2
@ 0x3A92, 1
@ 0x3A9A, 1
@ 0x3AA2, 1
@ 0x3AA6, 1
@ 0x3AAE, 1
@ 0x3AC4, 10
@ 0x3AC8, 1
@ 0x3ACE, 1
@ 0x3AD6, 1
@ 0x3ADC, 1
@ 0x3AE8, 1
@ 0x3AEA, 1
@ 0x3AEE, 2
@ 0x3AF0, 1
@ 0x3AFE, 1
@ 0x3B06, 2
@ 0x3B10, 1
@ 0x3B18, 1
@ 0x3B36, 1
@ 0x3B38, 1
@ 0x3B3E, 1
@ 0x3B48, 1
@ 0x3B5B, 1
@ 0x3B5C, 1
@ 0x3B60, 1
@ 0x3B62, 1
@ 0x3B64, 1
@ 0x3B68, 1
@ 0x3B6C, 1
@ 0x3B70, 2
@ 0x3B7B, 1
@ 0x3B7C, 1
@ 0x3B8C, 2
@ 0x3B90, 1
@ 0x3B96, 47
@ 0x3B9E, 1
@ 0x3BA0, 1
@ 0x3BB6, 1
@ 0x3BBA, 3
@ 0x3BC2, 1
@ 0x3BC6, 2
@ 0x3BCC, 1
@ 0x3BD8, 1
@ 0x3BE0, 1
@ 0x3BEC, 1
@ 0x3BF2, 2
@ 0x3BFA, 2
@ 0x3C07, 1
@ 0x3C0E, 1
@ 0x3C12, 1
@ 0x3C14, 1
@ 0x3C1A, 1
@ 0x3C23, 1
@ 0x3C3C, 1
@ 0x3C46, 2
@ 0x3C4A, 1
@ 0x3C54, 1
@ 0x3C56, 1
@ 0x3C58, 1
@ 0x3C5E, 1
@ 0x3C60, 1
@ 0x3C62, 1
@ 0x3C66, 86
@ 0x3C68, 1
@ 0x3C6A, 49
@ 0x3C6C, 95
@ 0x3C6E, 1
@ 0x3C70, 1
@ 0x3C72, 1
@ 0x3C74, 2
@ 0x3C7A, 2
@ 0x3C82, 1
@ 0x3C8A, 2
@ 0x3C8E, 1
@ 0x3C9A, 2
@ 0x3CA6, 2
@ 0x3CA8, 2
@ 0x3CAA, 1
@ 0x3CB6, 1
@ 0x3CCE, 1
@ 0x3CDA, 1
@ 0x3CDE, 1
@ 0x3CE6, 1
@ 0x3CE8, 1
@ 0x3CF0, 11
@ 0x3CFE, 1
@ 0x3D06, 228
@ 0x3D08, 1
@ 0x3D0C, 1
@ 0x3D14, 1
@ 0x3D1A, 1
@ 0x3D22, 1
@ 0x3D26, 3
@ 0x3D30, 2
@ 0x3D34, 1
@ 0x3D36, 1
@ 0x3D38, 1
@ 0x3D40, 2
@ 0x3D42, 2
@ 0x3D46, 1
@ 0x3D4A, 1
@ 0x3D50, 2
@ 0x3D62, 1
@ 0x3D66, 1
@ 0x3D70, 1
@ 0x3D78, 1
@ 0x3D88, 1
@ 0x3D92, 1
@ 0x3D98, 3
@ 0x3DA0, 1
@ 0x3DA6, 1
@ 0x3DAC, 1
@ 0x3DAE, 3
@ 0x3DB0, 2
@ 0x3DB6, 1
@ 0x3DBA, 1
@ 0x3DBE, 1
@ 0x3DC2, 1
@ 0x3DCA, 1
@ 0x3DD0, 1
@ 0x3DD8, 1
@ 0x3DDA, 1
@ 0x3DEA, 1
@ 0x3DF8, 691
@ 0x3DFA, 2
@ 0x3DFC, 1
@ 0x3E06, 1
@ 0x3E0E, 1
@ 0x3E12, 1
@ 0x3E14, 1
@ 0x3E16, 2
@ 0x3E24, 1
@ 0x3E2A, 1
@ 0x3E34, 2
@ 0x3E36, 1
@ 0x3E38, 1
@ 0x3E40, 2
@ 0x3E4A, 1
@ 0x3E52, 1
@ 0x3E54, 12
@ 0x3E5C, 104
@ 0x3E5E, 1
@ 0x3E60, 1
@ 0x3E64, 1
@ 0x3E66, 1
@ 0x3E6A, 1
@ 0x3E74, 1
@ 0x3E78, 1
@ 0x3E7A, 1
@ 0x3E7E, 1
@ 0x3E86, 1
@ 0x3E8C, 1
@ 0x3E94, 1
@ 0x3E9E, 1
@ 0x3EA2, 1
@ 0x3EA8, 1
@ 0x3EB0, 1
@ 0x3EBA, 1
@ 0x3EC0, 2
@ 0x3EC8, 1
@ 0x3ECA, 1
@ 0x3ED0, 1
@ 0x3EDA, 1
@ 0x3EDE, 1
@ 0x3EF0, 2
@ 0x3EF8, 1
@ 0x3F04, 1
@ 0x3F10, 1
@ 0x3F14, 2
@ 0x3F18, 2
@ 0x3F30, 1
@ 0x3F34, 1
@ 0x3F3C, 2
@ 0x3F45, 1
@ 0x3F4E, 1
@ 0x3F50, 1
@ 0x3F52, 1
@ 0x3F54, 1
@ 0x3F56, 1
@ 0x3F60, 1
@ 0x3F64, 1
@ 0x3F6A, 2
@ 0x3F6E, 1
@ 0x3F82, 1
@ 0x3F8A, 2
@ 0x3F8C, 1
@ 0x3F90, 1
@ 0x3F92, 2
@ 0x3F96, 1
@ 0x3F9E, 2
@ 0x3FA2, 2
@ 0x3FA8, 1
@ 0x3FAE, 1
@ 0x3FB0, 1
@ 0x3FB2, 1
@ 0x3FB6, 1
@ 0x3FC2, 1
@ 0x3FC4, 1
@ 0x3FCA, 1
@ 0x3FD0, 1
@ 0x3FD4, 1
@ 0x3FD9, 1
@ 0x3FE2, 1
@ 0x3FE4, 1
@ 0x3FE6, 1
@ 0x3FE8, 2
@ 0x3FEA, 2
@ 0x3FF0, 1
@ 0x3FF4, 1
@ 0x4002, 1
@ 0x4006, 1
@ 0x400A, 1
@ 0x4010, 1
@ 0x4012, 2
@ 0x4020, 1
@ 0x402A, 1
@ 0x402C, 1
@ 0x4032, 1
@ 0x403C, 2
@ 0x4050, 1
@ 0x4060, 2
@ 0x4066, 1
@ 0x406C, 2
@ 0x406E, 1
@ 0x4076, 1
@ 0x407C, 1
@ 0x407E, 2
@ 0x4080, 1
@ 0x408A, 1
@ 0x408C, 1
@ 0x408E, 1
@ 0x4092, 2
@ 0x409C, 1
@ 0x409E, 1
@ 0x40A6, 1
@ 0x40A8, 1
@ 0x40B6, 1
@ 0x40BA, 1
@ 0x40BC, 2
@ 0x40CE, 2
@ 0x40D2, 2
@ 0x40D6, 1
@ 0x40E0, 1
@ 0x40E4, 1
@ 0x40E8, 6
@ 0x40F2, 1
@ 0x40F4, 976
@ 0x40F6, 124
@ 0x40FA, 1
@ 0x40FC, 3
@ 0x4104, 1
@ 0x4106, 2
@ 0x410A, 1
@ 0x4112, 1
@ 0x4120, 1
@ 0x412A, 1
@ 0x412C, 2
@ 0x412E, 1
@ 0x413A, 2
@ 0x413C, 434
@ 0x4140, 1
@ 0x4142, 1
@ 0x4144, 1
@ 0x414A, 1
@ 0x4154, 1
@ 0x415A, 1
@ 0x415E, 1
@ 0x4168, 59
@ 0x416E, 1
@ 0x4172, 1
@ 0x4174, 1
@ 0x4176, 1
@ 0x417A, 1
@ 0x4180, 1
@ 0x4184, 1
@ 0x4188, 1
@ 0x4194, 1
@ 0x4196, 2
@ 0x419E, 1
@ 0x41A2, 15
@ 0x41A6, 2
@ 0x41B0, 1
@ 0x41B6, 2
@ 0x41BA, 1
@ 0x41C4, 1
@ 0x41C8, 1
@ 0x41CA, 1
@ 0x41D4, 1
@ 0x41D6, 1
@ 0x41D8, 1
@ 0x41E4, 1
@ 0x41EC, 1
@ 0x41FC, 3
@ 0x41FE, 1
@ 0x4202, 1
@ 0x4208, 1
@ 0x420E, 1
@ 0x4212, 1
@ 0x4214, 1
@ 0x421C, 2
@ 0x4224, 1
@ 0x4226, 1
@ 0x4228, 1
@ 0x422A, 1
@ 0x4236, 1
@ 0x4238, 1
@ 0x423A, 1
@ 0x4246, 1
@ 0x4248, 1
@ 0x424E, 3
@ 0x425A, 1
@ 0x4266, 1
@ 0x426A, 1
@ 0x4270, 3
@ 0x4272, 1
@ 0x4274, 4
@ 0x4278, 1
@ 0x427C, 1
@ 0x427D, 1
@ 0x427E, 291
@ 0x4280, 116
@ 0x4282, 1
@ 0x4284, 1
@ 0x4288, 1
@ 0x428E, 2
@ 0x4298, 1
@ 0x429A, 1
@ 0x429E, 1
@ 0x42A6, 1
@ 0x42AA, 1
@ 0x42B0, 1
@ 0x42BA, 1
@ 0x42BE, 1
@ 0x42C0, 1
@ 0x42C2, 1
@ 0x42CC, 1
@ 0x42D0, 3
@ 0x42D4, 1
@ 0x42DE, 1
@ 0x42E0, 1
@ 0x42E2, 1
@ 0x42E4, 1
@ 0x42E8, 1
@ 0x42EA, 1
@ 0x42EE, 2
@ 0x42F0, 1
@ 0x42F2, 1
@ 0x42F6, 1
@ 0x42FA, 1
@ 0x42FE, 1
@ 0x4300, 1
@ 0x4304, 2
@ 0x4306, 1
@ 0x430E, 2
@ 0x4312, 1
@ 0x4318, 2
@ 0x431A, 1
@ 0x431E, 1
@ 0x4322, 2
@ 0x4326, 1
@ 0x432A, 1
@ 0x432C, 1
@ 0x432E, 1
@ 0x4330, 40
@ 0x4338, 1
@ 0x433C, 1
@ 0x4344, 455
@ 0x434A, 1
@ 0x434C, 15
@ 0x434E, 1
@ 0x4352, 1
@ 0x435A, 1
@ 0x4360, 2
@ 0x4362, 1
@ 0x4366, 1
@ 0x436A, 1
@ 0x4382, 1
@ 0x4384, 1
@ 0x4386, 1
@ 0x438A, 1
@ 0x438C, 1
@ 0x4392, 2
@ 0x4394, 2
@ 0x439A, 1
@ 0x439E, 1
@ 0x43A2, 1
@ 0x43A6, 1
@ 0x43B0, 1
@ 0x43B2, 1
@ 0x43B6, 2
@ 0x43B8, 1
@ 0x43BA, 3
@ 0x43BE, 2
@ 0x43C2, 1
@ 0x43CA, 1
@ 0x43D4, 1
@ 0x43D6, 1
@ 0x43DE, 1
@ 0x43E2, 1
@ 0x43EC, 1
@ 0x43F0, 1
@ 0x43F6, 2
@ 0x43F8, 1
@ 0x43FA, 1
@ 0x43FE, 2
@ 0x4408, 1
@ 0x440A, 1
@ 0x4422, 3
@ 0x4426, 1
@ 0x4428, 1
@ 0x4432, 1
@ 0x4434, 1
@ 0x4436, 3
@ 0x4438, 1
@ 0x443A, 3
@ 0x443E, 1
@ 0x4442, 1
@ 0x4444, 1
@ 0x4458, 1
@ 0x445C, 1
@ 0x4464, 1
@ 0x4468, 1
@ 0x446A, 1
@ 0x4470, 1
@ 0x4472, 1
@ 0x4478, 1
@ 0x447A, 1
@ 0x447C, 1
@ 0x447E, 2
@ 0x4484, 2
@ 0x4486, 1
@ 0x448A, 1
@ 0x448E, 1
@ 0x4490, 1
@ 0x4494, 2
@ 0x449A, 6
@ 0x449C, 1
@ 0x44A0, 1
@ 0x44A2, 1
@ 0x44A6, 2
@ 0x44A8, 1
@ 0x44AC, 1
@ 0x44AE, 2
@ 0x44B8, 1
@ 0x44C0, 2
@ 0x44C2, 1
@ 0x44C6, 1
@ 0x44CC, 1
@ 0x44D2, 1
@ 0x44D4, 1
@ 0x44D6, 1
@ 0x44D8, 1
@ 0x44DA, 1
@ 0x44DC, 1
@ 0x44DE, 2
@ 0x44E2, 1
@ 0x44E6, 624
@ 0x44E8, 1
@ 0x44EC, 2
@ 0x44EE, 1
@ 0x44F6, 1
@ 0x44FA, 1
@ 0x4502, 1
@ 0x4504, 1
@ 0x450A, 27
@ 0x450C, 1
@ 0x450E, 1
@ 0x4512, 1
@ 0x4516, 841
@ 0x4518, 1
@ 0x4526, 4
@ 0x452A, 1
@ 0x452E, 2
@ 0x4538, 1
@ 0x453E, 2
@ 0x4544, 2
@ 0x4548, 1
@ 0x4552, 1
@ 0x455A, 1
@ 0x455E, 1
@ 0x4562, 6
@ 0x4564, 1
@ 0x4566, 1
@ 0x4568, 1
@ 0x456A, 1
@ 0x456C, 1
@ 0x4570, 1
@ 0x4572, 3
@ 0x4576, 2
@ 0x4578, 2
@ 0x457C, 1
@ 0x457E, 2
@ 0x4580, 1
@ 0x4582, 1
@ 0x4586, 1
@ 0x458A, 3
@ 0x4596, 1
@ 0x459A, 3
@ 0x459E, 1
@ 0x45A2, 1
@ 0x45A6, 1
@ 0x45A8, 1
@ 0x45AA, 1
@ 0x45AC, 1
@ 0x45AE, 1
@ 0x45B4, 1
@ 0x45B6, 1
@ 0x45B8, 1
@ 0x45BA, 2
@ 0x45BC, 1
@ 0x45C0, 1
@ 0x45C6, 1
@ 0x45C8, 51
@ 0x45CA, 61
@ 0x45CE, 2
@ 0x45D6, 2
@ 0x45D8, 1
@ 0x45DC, 1
@ 0x45E4, 2
@ 0x45EA, 1
@ 0x45F2, 1
@ 0x45F4, 2
@ 0x45F6, 1
@ 0x45F8, 1
@ 0x45FA, 1
@ 0x45FC, 1
@ 0x45FE, 2
@ 0x4602, 1
@ 0x4604, 1
@ 0x460B, 1
@ 0x460C, 1
@ 0x4612, 1
@ 0x4614, 3
@ 0x4616, 2
@ 0x4618, 2
@ 0x461E, 1
@ 0x4620, 1
@ 0x4622, 1
@ 0x4626, 1
@ 0x462A, 2
@ 0x462E, 1
@ 0x4634, 1
@ 0x4636, 1
@ 0x463C, 1
@ 0x4642, 2
@ 0x4646, 1
@ 0x4648, 1
@ 0x464A, 1
@ 0x464C, 2
@ 0x464E, 1
@ 0x4652, 1
@ 0x4656, 2
@ 0x4658, 1
@ 0x465A, 1
@ 0x465E, 2
@ 0x4660, 3
@ 0x4662, 1
@ 0x4666, 1
@ 0x466B, 1
@ 0x466C, 3
@ 0x4670, 1
@ 0x4672, 2
@ 0x4676, 1
@ 0x467C, 1006
@ 0x467E, 2
@ 0x4680, 2
@ 0x4682, 1
@ 0x4684, 2
@ 0x4686, 2
@ 0x468A, 1
@ 0x468E, 2
@ 0x4690, 1
@ 0x4692, 1
@ 0x4694, 1
@ 0x469A, 1
@ 0x46A2, 1
@ 0x46AC, 1
@ 0x46AE, 2
@ 0x46B4, 1
@ 0x46B8, 1
@ 0x46BA, 2
@ 0x46BC, 1
@ 0x46C0, 1
@ 0x46C2, 2
@ 0x46C6, 1
@ 0x46C8, 1
@ 0x46CA, 1
@ 0x46D0, 1
@ 0x46D2, 1
@ 0x46D4, 1
@ 0x46D6, 2
@ 0x46D8, 1
@ 0x46E0, 2
@ 0x46E4, 2
@ 0x46E6, 1
@ 0x46E7, 1
@ 0x46E8, 2
@ 0x46EA, 1
@ 0x46EE, 1
@ 0x46F2, 1
@ 0x4700, 1
@ 0x4704, 2
@ 0x4706, 1
@ 0x4708, 1
@ 0x470A, 1
@ 0x470C, 1
@ 0x4710, 1
@ 0x4714, 1
@ 0x4716, 1
@ 0x471E, 1
@ 0x4720, 1
@ 0x472B, 1
@ 0x472E, 1
@ 0x4730, 1
@ 0x473A, 2
@ 0x473C, 1
@ 0x4740, 1
@ 0x4742, 1
@ 0x4744, 1
@ 0x4746, 1
@ 0x474A, 1
@ 0x474E, 2
@ 0x4756, 2
@ 0x4758, 1
@ 0x475A, 2
@ 0x4762, 1
@ 0x4764, 1
@ 0x4766, 2
@ 0x476C, 3
@ 0x476E, 1
@ 0x4770, 1
@ 0x4772, 1
@ 0x4776, 1
@ 0x477A, 1
@ 0x477C, 28
@ 0x478C, 2
@ 0x478E, 2
@ 0x4790, 1
@ 0x4792, 1
@ 0x4798, 1
@ 0x479A, 2
@ 0x479C, 2
@ 0x479E, 3
@ 0x47A0, 1
@ 0x47A2, 1
@ 0x47A8, 2
@ 0x47AA, 1
@ 0x47B0, 1
@ 0x47B2, 2
@ 0x47B4, 1
@ 0x47B6, 1
@ 0x47BA, 1
@ 0x47C0, 1
@ 0x47C2, 3
@ 0x47C6, 1
@ 0x47DA, 1
@ 0x47E2, 2
@ 0x47E6, 1
@ 0x47E8, 12
@ 0x47EA, 1
@ 0x47F0, 1
@ 0x47F2, 3
@ 0x47F8, 1
@ 0x4800, 3
@ 0x4804, 1
@ 0x4810, 1
@ 0x4812, 1
@ 0x4814, 1
@ 0x4816, 2
@ 0x4818, 1
@ 0x481E, 1
@ 0x4822, 1
@ 0x4824, 1
@ 0x4826, 1
@ 0x482A, 1
@ 0x482E, 1
@ 0x4836, 1
@ 0x483A, 2
@ 0x483C, 1
@ 0x4840, 1
@ 0x4844, 1
@ 0x4848, 4
@ 0x4850, 1
@ 0x4858, 1
@ 0x485C, 2
@ 0x4860, 2
@ 0x4862, 1
@ 0x486A, 2
@ 0x486E, 2
@ 0x4870, 1
@ 0x4871, 1
@ 0x4872, 1
@ 0x4874, 2
@ 0x4878, 2
@ 0x487A, 1
@ 0x487E, 1
@ 0x4884, 1
@ 0x488A, 1
@ 0x488C, 1
@ 0x489A, 1
@ 0x48A2, 2
@ 0x48A6, 1
@ 0x48AA, 3
@ 0x48AC, 1
@ 0x48B2, 1
@ 0x48B6, 1
@ 0x48BA, 3
@ 0x48BC, 3
@ 0x48C0, 1
@ 0x48C2, 2
@ 0x48C4, 3
@ 0x48CA, 1
@ 0x48CE, 1
@ 0x48D4, 1
@ 0x48D6, 3
@ 0x48DA, 1
@ 0x48E2, 6
@ 0x48E6, 2
@ 0x48EA, 1
@ 0x48EC, 1
@ 0x48EE, 1
@ 0x48F2, 1
@ 0x48F4, 1
@ 0x48F6, 2
@ 0x48F8, 3
@ 0x48FA, 3
@ 0x48FE, 1
@ 0x4900, 2
@ 0x4906, 1
@ 0x4908, 1
@ 0x4910, 1
@ 0x4914, 1
@ 0x4916, 2
@ 0x4918, 1
@ 0x491C, 3
@ 0x491E, 3
@ 0x4920, 1
@ 0x4922, 1
@ 0x4926, 1
@ 0x4928, 1
@ 0x492E, 2
@ 0x4932, 2
@ 0x4936, 1
@ 0x493C, 1
@ 0x4940, 2
@ 0x4942, 1
@ 0x4946, 1
@ 0x4948, 1
@ 0x494A, 3
@ 0x4950, 1
@ 0x4954, 2
@ 0x4958, 1
@ 0x495A, 1
@ 0x495C, 1
@ 0x4960, 1
@ 0x4962, 3
@ 0x4964, 1
@ 0x4966, 1
@ 0x4968, 3
@ 0x4970, 7
@ 0x4974, 1
@ 0x4976, 2
@ 0x4978, 1
@ 0x497C, 5
@ 0x4982, 2
@ 0x4986, 15
@ 0x498C, 16
@ 0x498E, 163
@ 0x4996, 172
@ 0x4998, 58
@ 0x499A, 185
@ 0x499C, 3
@ 0x499E, 190
@ 0x49A0, 19
@ 0x49A6, 1
@ 0x49A8, 2
@ 0x49AA, 1
@ 0x49AE, 1
@ 0x49B4, 1
@ 0x49B6, 3
@ 0x49BC, 124
@ 0x49C0, 1
@ 0x49C4, 4
@ 0x49C8, 1
@ 0x49CA, 1
@ 0x49CE, 4
@ 0x49D0, 1
@ 0x49D6, 1
@ 0x49D8, 1
@ 0x49DA, 1
@ 0x49DE, 1
@ 0x49E2, 1
@ 0x49E6, 1
@ 0x49E8, 1
@ 0x49EC, 3
@ 0x49F0, 1
@ 0x49F2, 2
@ 0x49F4, 1
@ 0x49F6, 2
@ 0x49F8, 3
@ 0x49FA, 2
@ 0x49FC, 2
@ 0x4A02, 1
@ 0x4A12, 1
@ 0x4A1A, 1
@ 0x4A1C, 2
@ 0x4A20, 1
@ 0x4A26, 1
@ 0x4A32, 2
@ 0x4A36, 1
@ 0x4A38, 1
@ 0x4A3A, 1
@ 0x4A3C, 1
@ 0x4A3E, 3
@ 0x4A44, 2
@ 0x4A4A, 2
@ 0x4A4C, 2
@ 0x4A50, 1
@ 0x4A52, 2
@ 0x4A54, 1
@ 0x4A5C, 2
@ 0x4A62, 1
@ 0x4A64, 36
@ 0x4A66, 2
@ 0x4A6C, 2
@ 0x4A70, 3
@ 0x4A74, 1
@ 0x4A76, 12
@ 0x4A78, 1
@ 0x4A7A, 1
@ 0x4A82, 1
@ 0x4A86, 300
@ 0x4A8A, 59
@ 0x4A8E, 3
@ 0x4A90, 1
@ 0x4A94, 23
@ 0x4A96, 1
@ 0x4A9A, 1
@ 0x4A9C, 2
@ 0x4AA0, 2
@ 0x4AA2, 2
@ 0x4AA4, 1
@ 0x4AA8, 1
@ 0x4AAA, 1
@ 0x4AB4, 1
@ 0x4AB6, 1
@ 0x4ABA, 1
@ 0x4ABC, 1
@ 0x4ABE, 2
@ 0x4AC0, 1
@ 0x4AC2, 3
@ 0x4ACC, 2
@ 0x4ACE, 3
@ 0x4AD0, 1
@ 0x4AD2, 1
@ 0x4AD6, 1
@ 0x4AD8, 1
@ 0x4ADA, 4
@ 0x4ADC, 3
@ 0x4AE2, 2
@ 0x4AE5, 1
@ 0x4AE6, 1
@ 0x4AE8, 45
@ 0x4AEA, 27
@ 0x4AEE, 256
@ 0x4AF4, 1
@ 0x4AFC, 1
@ 0x4AFE, 2
@ 0x4B00, 1
@ 0x4B02, 3
@ 0x4B06, 1
@ 0x4B0A, 1
@ 0x4B0C, 1
@ 0x4B10, 1
@ 0x4B12, 1
@ 0x4B14, 1
@ 0x4B18, 1
@ 0x4B22, 1
@ 0x4B24, 2
@ 0x4B28, 1
@ 0x4B2A, 4
@ 0x4B2E, 2
@ 0x4B30, 1
@ 0x4B38, 1
@ 0x4B3A, 1
@ 0x4B3C, 1
@ 0x4B3E, 1
@ 0x4B40, 1
@ 0x4B44, 1
@ 0x4B46, 1
@ 0x4B48, 1
@ 0x4B4A, 1
@ 0x4B50, 2
@ 0x4B54, 3
@ 0x4B56, 4
@ 0x4B58, 1
@ 0x4B5E, 1
@ 0x4B68, 1
@ 0x4B6A, 1
@ 0x4B6C, 1
@ 0x4B6E, 243
@ 0x4B70, 2
@ 0x4B72, 2
@ 0x4B74, 1
@ 0x4B78, 1
@ 0x4B7A, 1
@ 0x4B7C, 1
@ 0x4B7E, 1
@ 0x4B80, 1
@ 0x4B82, 1
@ 0x4B8C, 1
@ 0x4B90, 1
@ 0x4B92, 2
@ 0x4B94, 2
@ 0x4B96, 1
@ 0x4B98, 1
@ 0x4B9A, 1
@ 0x4B9C, 1
@ 0x4B9E, 3
@ 0x4BA0, 1
@ 0x4BA2, 3
@ 0x4BA4, 1
@ 0x4BA6, 1
@ 0x4BA8, 2
@ 0x4BAA, 1
@ 0x4BAC, 1
@ 0x4BAE, 1
@ 0x4BB2, 3
@ 0x4BB8, 2
@ 0x4BBA, 1
@ 0x4BBC, 1
@ 0x4BC0, 1
@ 0x4BC2, 1
@ 0x4BC4, 4
@ 0x4BCA, 1
@ 0x4BCC, 1
@ 0x4BCE, 1
@ 0x4BD0, 1
@ 0x4BD2, 1
@ 0x4BD6, 1
@ 0x4BD8, 1
@ 0x4BDA, 3
@ 0x4BDC, 1
@ 0x4BDE, 2
@ 0x4BE0, 1
@ 0x4BE2, 1
